title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Etsy Stock Actually Gained 64% in the Second Half of 2022. Is the Worst Over?,https://www.fool.com/investing/2023/01/10/etsy-stock-actually-gained-64-in-the-second-half-o/,2023-01-10 18:06:30,It's still posting mixed performance.,DG,0.098255,-0.204271,Somewhat-Bearish
18 stock picks in a 'Goldilocks' scenario for U.S. consumers,https://www.marketwatch.com/story/18-stock-picks-in-a-goldilocks-scenario-for-u-s-consumers-11673370114,2023-01-10 17:01:00,"Jefferies analysts expect declining inflation, strong employment and a pile of cash to bode well for the consumer discretionary sector.",DG,0.136113,0.217017,Somewhat-Bullish
Tejon Ranch Co. and Majestic Realty Co. Joint Venture Announce Pre-Lease of Upcoming Industrial Building at the Tejon Ranch Commerce Center  ( TRCC ) ,https://www.globenewswire.com/news-release/2023/01/05/2584127/0/en/Tejon-Ranch-Co-and-Majestic-Realty-Co-Joint-Venture-Announce-Pre-Lease-of-Upcoming-Industrial-Building-at-the-Tejon-Ranch-Commerce-Center-TRCC.html,2023-01-05 21:15:00,Major apparel company to relocate and consolidate operations from Los Angeles area Major apparel company to relocate and consolidate operations from Los Angeles area ...,DG,0.05257,0.09561,Neutral
Can Dollar General Get Big Spenders Into Its New Store Concept?,https://www.fool.com/investing/2023/01/05/can-dollar-general-get-big-spenders-into-new-store/,2023-01-05 14:37:00,Dollar General appears to be taking on Dollar Tree with a new store concept. Even a minor success could be a big win.,DG,0.630514,0.365062,Bullish
Alpine Income  ( PINE )  Completes $187.4M Acquisitions in 2022,https://www.zacks.com/stock/news/2035658/alpine-income-pine-completes-1874m-acquisitions-in-2022,2023-01-05 14:17:00,Alpine Income's (PINE) acquisition of properties with investment-grade tenants and a long lease term will enable it to enjoy recurring revenues over the lease term.,DG,0.283323,0.255926,Somewhat-Bullish
Dollar General Corporation  ( DG )  is Attracting Investor Attention: Here is What You Should Know,https://www.zacks.com/stock/news/2035083/dollar-general-corporation-dg-is-attracting-investor-attention-here-is-what-you-should-know,2023-01-04 14:00:12,"Dollar General (DG) has received quite a bit of attention from Zacks.com users lately. Therefore, it is wise to be aware of the facts that can impact the stock's prospects.",DG,0.515543,0.129948,Neutral
BrandSpark International Announces 5th Annual Most Trusted Grocery Retailers in America,https://www.prnewswire.com/news-releases/brandspark-international-announces-5th-annual-most-trusted-grocery-retailers-in-america-301713038.html,2023-01-04 13:58:00,BrandSpark International Announces 5th Annual Most Trusted ... PR ...,DG,0.070414,0.274068,Somewhat-Bullish
Alpine Income Property Trust Announces 2022 Transaction Activity and Provides Corporate Update,https://www.globenewswire.com/news-release/2023/01/04/2582781/0/en/Alpine-Income-Property-Trust-Announces-2022-Transaction-Activity-and-Provides-Corporate-Update.html,2023-01-04 12:15:00,"WINTER PARK, Fla., Jan. 04, 2023 ( GLOBE NEWSWIRE ) -- Alpine Income Property Trust, Inc. ( NYSE: PINE ) ( the ""Company"" ) today announced its 2022 acquisition and disposition activities and provided a corporate update.",DG,0.0428,0.059682,Neutral
Retailer Data: Brands' Panacea Or Walled Gardens 2.0?,https://www.forbes.com/sites/sarahhofstetter/2023/01/03/retailer-data-brands-panacea-or-walled-gardens-20/,2023-01-03 11:30:00,Nearly every retailer has begun to reinvent itself as a hub of brand advertising.,DG,0.051551,0.13076,Neutral
"Up Almost 40% in the Past 3 Months, Is This Explosive Stock a Smart Buy?",https://www.fool.com/investing/2023/01/20/is-this-explosive-stock-a-smart-buy/,2023-01-20 14:10:00,This booming retailer is projected to post healthy growth on top of difficult comparisons last fiscal year.,DG,0.063258,0.153191,Somewhat-Bullish
"Dollar General  ( NYSE:DG )  Downgraded by StockNews.com to ""Hold""",https://reporter.am/2023/01/20/dollar-general-nysedg-downgraded-by-stocknews-com-to-hold.html,2023-01-20 08:14:59,"Dollar General ( NYSE:DG - Get Rating ) was downgraded by investment analysts at StockNews.com from a ""buy"" rating to a ""hold"" rating in a report released on Friday. Several other brokerages have also commented on DG. Evercore ISI decreased their target price on Dollar General to $265.00 in a ...",DG,0.888506,0.279692,Somewhat-Bullish
"Dollar General  ( NYSE:DG )  Downgraded by StockNews.com to ""Hold""",https://www.etfdailynews.com/2023/01/20/dollar-general-nysedg-downgraded-by-stocknews-com-to-hold/,2023-01-20 08:14:46,"Dollar General ( NYSE:DG - Get Rating ) was downgraded by equities researchers at StockNews.com from a ""buy"" rating to a ""hold"" rating in a report released on Friday. Other research analysts have also issued reports about the stock.",DG,0.844699,0.285319,Somewhat-Bullish
"More Homes In The U.S. Are Purchasing Food From Dollar Stores Over Past 15 Years, Study Finds",https://www.forbes.com/sites/tylerroush/2023/01/19/more-homes-in-the-us-are-purchasing-food-from-dollar-stores-over-past-15-years-study-finds/,2023-01-19 21:00:49,"Researchers evaluated food purchases from an estimated 50,000 U.S. households from 2008 to 2020.",DG,0.316168,0.12628,Neutral
Need More Cash-Back Offers? This New Dollar General Partnership Stretches Rewards Program,https://www.benzinga.com/news/23/01/30482103/need-more-cash-back-offers-this-new-dollar-general-partnership-stretches-rewards-program,2023-01-19 15:23:17,"Dollar General Corp DG has partnered with Ibotta, a free-to-use cash-back rewards platform, to extend its financial services and offer cash-back options to all consumers.",DG,0.907478,0.52436,Bullish
"The 1980s was the blueprint for the upcoming disinflation cycle and these are the stocks for it, strategists say",https://www.marketwatch.com/story/the-1980s-was-the-blueprint-for-the-upcoming-disinflation-cycle-and-these-are-the-stocks-for-it-strategists-say-11674129076,2023-01-19 12:16:00,Our call of the day from Jefferies is telling investors to start thinking about deflation and look at what happened in the good old 1980s.,DG,0.097062,0.017192,Neutral
Party City Files for Bankruptcy,https://www.fool.com/investing/2023/01/18/party-city-files-for-bankruptcy/,2023-01-19 01:00:33,"The party wasn't all it was cracked up to be. Party City, the retailer that since the mid-80s has provided millions of children with...",DG,0.078611,-0.11359,Neutral
Here's Why Dollar General Stock Is a No-Brainer Buy,https://www.fool.com/investing/2023/01/18/heres-why-dollar-general-stock-is-a-no-brainer-buy/,2023-01-18 10:40:00,This discount retailer looks poised for a bull run.,DG,0.578355,0.070325,Neutral
Discounter Dollar General Faces a Pricing Dispute,https://www.thestreet.com/retailers/discounter-dollar-general-faces-a-pricing-dispute,2023-01-17 20:12:00,Discount chain Dollar General is charged in a complaint with overcharging customers.,DG,0.531019,0.07657,Neutral
3 Overlooked Funds For 10.5% Dividends In 2023,https://www.forbes.com/sites/michaelfoster/2023/01/17/3-overlooked-funds-for-105-dividends-in-2023/,2023-01-17 14:50:00,Today we're going to build ourselves a portfolio that hands us a 10.5% yield. And we're going to do it with just three funds.,DG,0.088472,0.214763,Somewhat-Bullish
Dollar General  ( NYSE:DG )  Stock Rating Upgraded by StockNews.com,https://www.etfdailynews.com/2023/01/14/dollar-general-nysedg-stock-rating-upgraded-by-stocknews-com/,2023-01-14 06:28:43,"Dollar General ( NYSE:DG - Get Rating ) was upgraded by investment analysts at StockNews.com from a ""hold"" rating to a ""buy"" rating in a report issued on Thursday.",DG,0.874135,0.509874,Bullish
