title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Devon Energy  ( DVN )  Outpaces Stock Market Gains: What You Should Know,https://www.zacks.com/stock/news/2037566/devon-energy-dvn-outpaces-stock-market-gains-what-you-should-know,2023-01-10 22:45:24,"In the latest trading session, Devon Energy (DVN) closed at $63.13, marking a +1.5% move from the previous day.",DVN,0.606946,0.396547,Bullish
Devon Stock Near High; Profit Soared 102% Last Quarter; Can It Do It Again?,https://www.investors.com/news/devon-energy-shows-rising-relative-price-performance-still-shy-of-key-threshold-2/,2023-01-10 21:16:00,"Devon Stock Near High, Profit Up Triple-Digits | Investor's Business ... Investor's Business Daily ...",DVN,0.319933,0.325954,Somewhat-Bullish
Devon Energy Provides Fourth-Quarter Winter Weather Impact - Devon Energy  ( NYSE:DVN ) ,https://www.benzinga.com/pressreleases/23/01/g30350637/devon-energy-provides-fourth-quarter-winter-weather-impact,2023-01-10 13:00:23,"OKLAHOMA CITY, Jan. 10, 2023 ( GLOBE NEWSWIRE ) -- Devon Energy DVN announced that it expects fourth-quarter production to be reduced by 2 percent, or 15,000 oil-equivalent barrels ( Boe ) per day, due to the impact of severe winter weather across its operations.",DVN,0.318897,0.19587,Somewhat-Bullish
Devon Energy Provides Fourth-Quarter Winter Weather Impact,https://www.globenewswire.com/news-release/2023/01/10/2586105/0/en/Devon-Energy-Provides-Fourth-Quarter-Winter-Weather-Impact.html,2023-01-10 13:00:00,"OKLAHOMA CITY, Jan. 10, 2023 ( GLOBE NEWSWIRE ) -- Devon Energy ( NYSE: DVN ) announced that it expects fourth-quarter production to be reduced by 2 percent, or 15,000 oil-equivalent barrels ( Boe ) per day, due to the impact of severe winter weather across its operations.",DVN,0.330286,0.205848,Somewhat-Bullish
"Jim Cramer's Investing Club meeting Monday: Consumer prices, overvalued tech stocks, oil",https://www.cnbc.com/2023/01/09/jim-cramers-investing-club-meeting-monday-consumer-prices-tech-.html,2023-01-09 17:07:45,"The Investing Club holds its ""Morning Meeting"" every weekday at 10:20 a.m. ET.",DVN,0.246167,0.056906,Neutral
Permian Oil Drilling Rig Count Up in 3 of Prior 4 Weeks,https://www.zacks.com/stock/news/2036638/permian-oil-drilling-rig-count-up-in-3-of-prior-4-weeks,2023-01-09 13:08:00,"In its weekly release, Baker Hughes Company (BKR) reports that the total U.S. rig count is up in five of the prior 10 weeks.",DVN,0.275867,0.445573,Bullish
Should iShares Morningstar MidCap Value ETF  ( IMCV )  Be on Your Investing Radar?,https://www.zacks.com/stock/news/2036057/should-ishares-morningstar-midcap-value-etf-imcv-be-on-your-investing-radar,2023-01-06 11:20:05,Style Box ETF report for ...,DVN,0.120733,0.067941,Neutral
Buckle  ( NYSE:BKE )  Stock Rating Lowered by StockNews.com,https://www.etfdailynews.com/2023/01/06/buckle-nysebke-stock-rating-lowered-by-stocknews-com/,2023-01-06 10:16:53,"StockNews.com cut shares of Buckle ( NYSE:BKE - Get Rating ) from a buy rating to a hold rating in a report issued on Thursday morning. Shares of Buckle stock opened at $46.89 on Thursday. The firm has a market cap of $2.35 billion, a price-to-earnings ratio of 9.27 and a beta of 1.00.",DVN,0.078099,0.077041,Neutral
Cadence Design Systems  ( NASDAQ:CDNS )  Raised to Buy at StockNews.com,https://www.etfdailynews.com/2023/01/06/cadence-design-systems-nasdaqcdns-raised-to-buy-at-stocknews-com/,2023-01-06 10:16:52,Cadence Design Systems ( NASDAQ:CDNS ) Raised to Buy at ... ETF Daily News ...,DVN,0.043818,-0.022726,Neutral
Hudson Pacific Properties  ( NYSE:HPP )  Lowered to Sell at StockNews.com,https://reporter.am/2023/01/06/hudson-pacific-properties-nysehpp-lowered-to-sell-at-stocknews-com.html,2023-01-06 10:02:42,Hudson Pacific Properties ( NYSE:HPP ) Lowered to Sell at ... Armenian Reporter ...,DVN,0.054732,0.13601,Neutral
Gogo  ( NASDAQ:GOGO )  Upgraded to Hold at StockNews.com,https://reporter.am/2023/01/06/gogo-nasdaqgogo-upgraded-to-hold-at-stocknews-com.html,2023-01-06 09:48:41,StockNews.com upgraded shares of Gogo ( NASDAQ:GOGO - Get Rating ) from a sell rating to a hold rating in a report released on Thursday morning.,DVN,0.07913,0.007193,Neutral
StockNews.com Downgrades Marten Transport  ( NASDAQ:MRTN )  to Hold,https://www.etfdailynews.com/2023/01/06/stocknews-com-downgrades-marten-transport-nasdaqmrtn-to-hold/,2023-01-06 09:48:41,StockNews.com Downgrades Marten Transport ( NASDAQ:MRTN ) to ... ETF Daily News ...,DVN,0.077845,0.029702,Neutral
"Marten Transport  ( NASDAQ:MRTN )  Downgraded to ""Hold"" at StockNews.com",https://reporter.am/2023/01/06/marten-transport-nasdaqmrtn-downgraded-to-hold-at-stocknews-com.html,2023-01-06 09:48:41,"Marten Transport ( NASDAQ:MRTN ) Downgraded to ""Hold"" at ... Armenian Reporter ...",DVN,0.073321,0.029468,Neutral
Corvus Pharmaceuticals  ( NASDAQ:CRVS )  Coverage Initiated by Analysts at StockNews.com,https://reporter.am/2023/01/06/corvus-pharmaceuticals-nasdaqcrvs-coverage-initiated-by-analysts-at-stocknews-com.html,2023-01-06 09:48:41,Corvus Pharmaceuticals ( NASDAQ:CRVS ) Coverage Initiated by ... Armenian Reporter ...,DVN,0.067347,-0.048346,Neutral
StockNews.com Initiates Coverage on Corvus Pharmaceuticals  ( NASDAQ:CRVS ) ,https://www.etfdailynews.com/2023/01/06/stocknews-com-initiates-coverage-on-corvus-pharmaceuticals-nasdaqcrvs/,2023-01-06 09:48:41,StockNews.com Initiates Coverage on Corvus Pharmaceuticals ... ETF Daily News ...,DVN,0.06697,-0.048327,Neutral
"The Liberty Braves Group  ( NASDAQ:BATRK )  Upgraded to ""Hold"" at StockNews.com",https://reporter.am/2023/01/06/the-liberty-braves-group-nasdaqbatrk-upgraded-to-hold-at-stocknews-com.html,2023-01-06 09:48:41,"The Liberty Braves Group ( NASDAQ:BATRK ) Upgraded to ""Hold"" at ... Armenian Reporter ...",DVN,0.060848,0.200922,Somewhat-Bullish
Heritage Financial  ( NASDAQ:HFWA )  Downgraded by StockNews.com,https://www.etfdailynews.com/2023/01/06/heritage-financial-nasdaqhfwa-downgraded-by-stocknews-com/,2023-01-06 09:48:41,StockNews.com lowered shares of Heritage Financial ( NASDAQ:HFWA - Get Rating ) from a hold rating to a sell rating in a research report released on Thursday. HFWA has been the subject of several other reports.,DVN,0.050786,0.044996,Neutral
"Heritage Financial  ( NASDAQ:HFWA )  Downgraded to ""Sell"" at StockNews.com",https://reporter.am/2023/01/06/heritage-financial-nasdaqhfwa-downgraded-to-sell-at-stocknews-com.html,2023-01-06 09:48:41,"Heritage Financial ( NASDAQ:HFWA ) Downgraded to ""Sell"" at ... Armenian Reporter ...",DVN,0.050572,0.044994,Neutral
Liquidity Services  ( NASDAQ:LQDT )  Upgraded by StockNews.com to Strong-Buy,https://reporter.am/2023/01/06/liquidity-services-nasdaqlqdt-upgraded-by-stocknews-com-to-strong-buy.html,2023-01-06 09:48:41,Liquidity Services ( NASDAQ:LQDT ) Upgraded by StockNews.com to ... Armenian Reporter ...,DVN,0.050148,0.059832,Neutral
Omnicell  ( NASDAQ:OMCL )  Lowered to Sell at StockNews.com,https://reporter.am/2023/01/06/omnicell-nasdaqomcl-lowered-to-sell-at-stocknews-com.html,2023-01-06 09:48:41,StockNews.com downgraded shares of Omnicell ( NASDAQ:OMCL - Get Rating ) from a hold rating to a sell rating in a report released on Thursday morning. Several other brokerages have also commented on OMCL. Piper Sandler cut their price target on shares of Omnicell to $55.00 in a research note on ...,DVN,0.048919,0.098675,Neutral
Liquidity Services  ( NASDAQ:LQDT )  Stock Rating Upgraded by StockNews.com,https://www.etfdailynews.com/2023/01/06/liquidity-services-nasdaqlqdt-stock-rating-upgraded-by-stocknews-com/,2023-01-06 09:48:40,Liquidity Services ( NASDAQ:LQDT ) Stock Rating Upgraded by ... ETF Daily News ...,DVN,0.049322,0.059781,Neutral
Omnicell  ( NASDAQ:OMCL )  Lowered to Sell at StockNews.com,https://www.etfdailynews.com/2023/01/06/omnicell-nasdaqomcl-lowered-to-sell-at-stocknews-com/,2023-01-06 09:48:40,StockNews.com downgraded shares of Omnicell ( NASDAQ:OMCL - Get Rating ) from a hold rating to a sell rating in a research note published on Thursday morning.,DVN,0.045569,0.098249,Neutral
Fortress Biotech  ( NASDAQ:FBIO )  Receives New Coverage from Analysts at StockNews.com,https://reporter.am/2023/01/06/fortress-biotech-nasdaqfbio-receives-new-coverage-from-analysts-at-stocknews-com.html,2023-01-06 09:42:48,Fortress Biotech ( NASDAQ:FBIO ) Receives New Coverage from ... Armenian Reporter ...,DVN,0.067347,-0.159412,Somewhat-Bearish
Sierra Bancorp  ( NASDAQ:BSRR )  Downgraded by StockNews.com to Hold,https://reporter.am/2023/01/06/sierra-bancorp-nasdaqbsrr-downgraded-by-stocknews-com-to-hold.html,2023-01-06 09:42:48,Sierra Bancorp ( NASDAQ:BSRR ) Downgraded by StockNews.com ... Armenian Reporter ...,DVN,0.050359,0.009991,Neutral
Cadence Design Systems  ( NASDAQ:CDNS )  Upgraded by StockNews.com to Buy,https://reporter.am/2023/01/06/cadence-design-systems-nasdaqcdns-upgraded-by-stocknews-com-to-buy.html,2023-01-06 09:42:48,Cadence Design Systems ( NASDAQ:CDNS ) Upgraded by ... Armenian Reporter ...,DVN,0.048133,-0.022892,Neutral
EPR Properties  ( NYSE:EPR )  Upgraded to Buy at StockNews.com,https://www.etfdailynews.com/2023/01/06/epr-properties-nyseepr-upgraded-to-buy-at-stocknews-com/,2023-01-06 09:42:47,StockNews.com upgraded shares of EPR Properties ( NYSE:EPR - Get Rating ) from a hold rating to a buy rating in a report released on Thursday morning. Other equities research analysts have also issued reports about the stock.,DVN,0.073098,0.071059,Neutral
"Buckle  ( NYSE:BKE )  Lowered to ""Hold"" at StockNews.com",https://reporter.am/2023/01/06/buckle-nysebke-lowered-to-hold-at-stocknews-com-2.html,2023-01-06 09:42:46,"StockNews.com cut shares of Buckle ( NYSE:BKE - Get Rating ) from a buy rating to a hold rating in a report published on Thursday. Buckle stock opened at $46.89 on Thursday. The company has a market capitalization of $2.35 billion, a P/E ratio of 9.27 and a beta of 1.00.",DVN,0.075397,0.076642,Neutral
"Argan  ( NYSE:AGX )  Upgraded to ""Buy"" at StockNews.com",https://reporter.am/2023/01/06/argan-nyseagx-upgraded-to-buy-at-stocknews-com.html,2023-01-06 09:42:46,StockNews.com upgraded shares of Argan ( NYSE:AGX - Get Rating ) from a hold rating to a buy rating in a report released on Thursday morning. A number of other research analysts have also weighed in on the company.,DVN,0.074692,-0.025427,Neutral
EPR Properties  ( NYSE:EPR )  Upgraded to Buy at StockNews.com,https://reporter.am/2023/01/06/epr-properties-nyseepr-upgraded-to-buy-at-stocknews-com.html,2023-01-06 09:42:46,StockNews.com upgraded shares of EPR Properties ( NYSE:EPR - Get Rating ) from a hold rating to a buy rating in a research report released on Thursday morning. Several other research analysts also recently weighed in on the stock.,DVN,0.066414,0.070449,Neutral
"Edwards Lifesciences  ( NYSE:EW )  Upgraded to ""Buy"" by StockNews.com",https://reporter.am/2023/01/06/edwards-lifesciences-nyseew-upgraded-to-buy-by-stocknews-com.html,2023-01-06 09:42:46,"Edwards Lifesciences ( NYSE:EW ) Upgraded to ""Buy"" by StockNews ... Armenian Reporter ...",DVN,0.04531,0.137891,Neutral
Greenbrier Companies  ( NYSE:GBX )  Downgraded by StockNews.com to Sell,https://reporter.am/2023/01/06/greenbrier-companies-nysegbx-downgraded-by-stocknews-com-to-sell.html,2023-01-06 09:25:52,Greenbrier Companies ( NYSE:GBX ) Downgraded by StockNews ... Armenian Reporter ...,DVN,0.049322,-0.050746,Neutral
GameStop  ( NYSE:GME )  Upgraded to Sell at StockNews.com,https://reporter.am/2023/01/06/gamestop-nysegme-upgraded-to-sell-at-stocknews-com.html,2023-01-06 09:25:18,"StockNews.com upgraded shares of GameStop ( NYSE:GME - Get Rating ) to a sell rating in a report issued on Thursday morning. Separately, Wedbush cut their price target on shares of GameStop from $6.00 to $5.30 and set an underperform rating on the stock in a research note on Thursday, December ...",DVN,0.083541,0.023779,Neutral
Gartner  ( NYSE:IT )  Downgraded to Hold at StockNews.com,https://reporter.am/2023/01/06/gartner-nyseit-downgraded-to-hold-at-stocknews-com.html,2023-01-06 09:22:45,StockNews.com cut shares of Gartner ( NYSE:IT - Get Rating ) from a buy rating to a hold rating in a report released on Thursday. Several other equities research analysts have also commented on the stock.,DVN,0.049629,0.000997,Neutral
LyondellBasell Industries  ( NYSE:LYB )  Downgraded by StockNews.com,https://www.etfdailynews.com/2023/01/06/lyondellbasell-industries-nyselyb-downgraded-by-stocknews-com/,2023-01-06 09:22:42,LyondellBasell Industries ( NYSE:LYB ) Downgraded by StockNews ... ETF Daily News ...,DVN,0.054607,0.036001,Neutral
"Nabors Industries  ( NYSE:NBR )  Downgraded to ""Hold"" at StockNews.com",https://reporter.am/2023/01/06/nabors-industries-nysenbr-downgraded-to-hold-at-stocknews-com.html,2023-01-06 09:22:41,"Nabors Industries ( NYSE:NBR ) Downgraded to ""Hold"" at StockNews ... Armenian Reporter ...",DVN,0.058615,0.050096,Neutral
"Nabors Industries  ( NYSE:NBR )  Downgraded to ""Hold"" at StockNews.com",https://www.etfdailynews.com/2023/01/06/nabors-industries-nysenbr-downgraded-to-hold-at-stocknews-com/,2023-01-06 09:22:40,"Nabors Industries ( NYSE:NBR ) Downgraded to ""Hold"" at StockNews ... ETF Daily News ...",DVN,0.064623,0.050347,Neutral
"AT&T  ( NYSE:T )  Upgraded by StockNews.com to ""Buy""",https://reporter.am/2023/01/06/att-nyset-upgraded-by-stocknews-com-to-buy.html,2023-01-06 09:14:44,StockNews.com upgraded shares of AT&T ( NYSE:T - Get Rating ) from a hold rating to a buy rating in a research note issued to investors on Thursday. Several other research analysts have also issued reports on T.,DVN,0.063091,-0.026039,Neutral
"Voya Financial  ( NYSE:VOYA )  Upgraded to ""Hold"" by StockNews.com",https://reporter.am/2023/01/06/voya-financial-nysevoya-upgraded-to-hold-by-stocknews-com.html,2023-01-06 09:14:44,StockNews.com upgraded shares of Voya Financial ( NYSE:VOYA - Get Rating ) from a sell rating to a hold rating in a report released on Thursday. VOYA has been the topic of a number of other reports. Wells Fargo & Company upped their price objective on Voya Financial from $75.00 to $86.00 in a ...,DVN,0.047559,0.100775,Neutral
Startek  ( NYSE:SRT )  Coverage Initiated by Analysts at StockNews.com,https://reporter.am/2023/01/06/startek-nysesrt-coverage-initiated-by-analysts-at-stocknews-com.html,2023-01-06 09:14:43,StockNews.com began coverage on shares of Startek ( NYSE:SRT - Get Rating ) in a research report report published on Thursday. The brokerage issued a buy rating on the business services provider's stock. Other analysts have also recently issued research reports about the stock.,DVN,0.092569,0.093439,Neutral
"Science Applications International  ( NYSE:SAIC )  Downgraded to ""Buy"" at StockNews.com",https://www.etfdailynews.com/2023/01/06/science-applications-international-nysesaic-downgraded-to-buy-at-stocknews-com-2/,2023-01-06 09:14:41,Science Applications International ( NYSE:SAIC ) Downgraded to ... ETF Daily News ...,DVN,0.053749,0.021,Neutral
"Penumbra  ( NYSE:PEN )  Upgraded to ""Hold"" by StockNews.com",https://reporter.am/2023/01/06/penumbra-nysepen-upgraded-to-hold-by-stocknews-com.html,2023-01-06 09:14:41,StockNews.com upgraded shares of Penumbra ( NYSE:PEN - Get Rating ) from a sell rating to a hold rating in a research note released on Thursday morning. Several other analysts have also commented on the stock.,DVN,0.043658,0.05624,Neutral
Science Applications International  ( NYSE:SAIC )  Lowered to Buy at StockNews.com,https://reporter.am/2023/01/06/science-applications-international-nysesaic-lowered-to-buy-at-stocknews-com.html,2023-01-06 09:14:40,Science Applications International ( NYSE:SAIC ) Lowered to Buy at ... Armenian Reporter ...,DVN,0.053992,0.021,Neutral
"Penumbra  ( NYSE:PEN )  Lifted to ""Hold"" at StockNews.com",https://www.etfdailynews.com/2023/01/06/penumbra-nysepen-lifted-to-hold-at-stocknews-com/,2023-01-06 09:14:40,StockNews.com upgraded shares of Penumbra ( NYSE:PEN - Get Rating ) from a sell rating to a hold rating in a report published on Thursday morning. Other analysts have also recently issued research reports about the stock.,DVN,0.046543,0.056549,Neutral
StockNews.com Downgrades U.S. Energy  ( NASDAQ:USEG )  to Sell,https://www.etfdailynews.com/2023/01/06/stocknews-com-downgrades-u-s-energy-nasdaquseg-to-sell/,2023-01-06 09:00:48,StockNews.com lowered shares of U.S. Energy ( NASDAQ:USEG - Get Rating ) from a hold rating to a sell rating in a research report report published on Thursday morning. Other research analysts also recently issued reports about the company. Johnson Rice initiated coverage on U.S.,DVN,0.076847,0.111617,Neutral
"U.S. Energy  ( NASDAQ:USEG )  Downgraded to ""Sell"" at StockNews.com",https://reporter.am/2023/01/06/u-s-energy-nasdaquseg-downgraded-to-sell-at-stocknews-com.html,2023-01-06 09:00:47,"U.S. Energy ( NASDAQ:USEG ) Downgraded to ""Sell"" at StockNews ... Armenian Reporter ...",DVN,0.075397,0.111319,Neutral
"United Community Banks  ( NASDAQ:UCBI )  Upgraded to ""Hold"" at StockNews.com",https://reporter.am/2023/01/06/united-community-banks-nasdaqucbi-upgraded-to-hold-at-stocknews-com.html,2023-01-06 09:00:47,"United Community Banks ( NASDAQ:UCBI ) Upgraded to ""Hold"" at ... Armenian Reporter ...",DVN,0.07031,0.098189,Neutral
Tucows  ( NASDAQ:TCX )  Upgraded at StockNews.com,https://www.etfdailynews.com/2023/01/06/tucows-nasdaqtcx-upgraded-at-stocknews-com/,2023-01-06 09:00:45,StockNews.com upgraded shares of Tucows ( NASDAQ:TCX - Get Rating ) ( TSE:TC ) from a sell rating to a hold rating in a report released on Thursday. Tucows stock opened at $32.06 on Thursday. The stock has a 50-day moving average of $33.26 and a two-hundred day moving average of $40.84.,DVN,0.073098,0.014188,Neutral
Tecnoglass  ( NASDAQ:TGLS )  Downgraded by StockNews.com,https://www.etfdailynews.com/2023/01/06/tecnoglass-nasdaqtgls-downgraded-by-stocknews-com/,2023-01-06 09:00:45,StockNews.com lowered shares of Tecnoglass ( NASDAQ:TGLS - Get Rating ) from a strong-buy rating to a buy rating in a research report report published on Thursday. Several other analysts have also recently weighed in on TGLS. Robert W.,DVN,0.060085,-0.020035,Neutral
