title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
What To Know About Ana Walshe: Missing Massachusetts Woman Whose Husband Is Charged With Misleading Investigators,https://www.forbes.com/sites/conormurray/2023/01/10/what-to-know-about-ana-walshe-missing-massachusetts-woman-whose-husband-is-charged-with-misleading-investigators/,2023-01-10 19:43:22,"Police found a bloody knife in the basement of the Walshe family's Cohasset, Massachusetts home.",EBAY,0.118647,-0.235398,Somewhat-Bearish
"More than 50 Million Users in the US Alone, Makes Fantasy Sports a Booming Business, FIFA World Cup Added Million More Users Globally, The Revenue from Fantasy Sports to Grow 2X in the Next 6 Years - Arizton",https://www.prnewswire.com/news-releases/more-than-50-million-users-in-the-us-alone-makes-fantasy-sports-a-booming-business-fifa-world-cup-added-million-more-users-globally-the-revenue-from-fantasy-sports-to-grow-2x-in-the-next-6-years---arizton-301717860.html,2023-01-10 17:00:00,"More than 50 Million Users in the US Alone, Makes Fantasy Sports a ... PR ...",EBAY,0.029802,0.228303,Somewhat-Bullish
"More than 50 Million Users in the US Alone, Makes Fantasy Sports a Booming Business, FIFA World Cup Added Million More Users Globally, The Revenue from Fantasy Sports to Grow 2X in the Next 6 Years - Arizton",https://www.benzinga.com/pressreleases/23/01/n30357792/more-than-50-million-users-in-the-us-alone-makes-fantasy-sports-a-booming-business-fifa-world-cup-,2023-01-10 17:00:00,"Chicago, Jan. 10, 2023 /PRNewswire/ -- According to Arizton's latest research report, the fantasy sports market is likely to grow at a CAGR of 12.19% during 2022-2028. Changes across sporting formats, frequent tournaments and booming sports players' popularity are some of the factors driving the ...",EBAY,0.024572,0.223758,Somewhat-Bullish
Krispy Kreme Mixes Cult Favorite Cookie Flavor With Doughnuts,https://www.thestreet.com/restaurants/krispy-kreme-biscoff-partnership,2023-01-09 19:53:00,You may have encountered this memorable treat high up in the air.,EBAY,0.056808,0.184107,Somewhat-Bullish
's David Gardner Closes 2022 With Some Questions and a Rap Battle,https://www.fool.com/investing/2023/01/07/the-motley-fools-david-gardner-closes-2022-with-so/,2023-01-07 11:00:00,"We've got an AI-generated rap battle between Shakespeare and David Gardner, of course.",EBAY,0.005616,0.034427,Neutral
MACH Alliance Announces New Member Adyen,https://www.prnewswire.com/news-releases/mach-alliance-announces-new-member-adyen-301715457.html,2023-01-06 13:45:00,"SAN FRANCISCO and NEW YORK and LONDON and AMSTERDAM and BERLIN, Jan. 6, 2023 /PRNewswire/ -- , the group of independent tech companies dedicated to advocating for open, best-of-breed technology ecosystems, announced today that ( AMS: ADYEN ) , the global financial technology platform of choice ...",EBAY,0.142144,0.246753,Somewhat-Bullish
"The best sales to shop today: Cuup, Adidas, Ikea and more",https://www.cnn.com/2023/01/05/cnn-underscored/deals/best-online-sales-right-now,2023-01-05 15:32:00,"Today, you'll find a deal on Cuup intimates, discounts during Nordstrom's Half-Yearly Sale and savings at Fable Pets. All that and more below. Cuup bras promise minimalist design, modern colorways and seamless fit.",EBAY,0.051886,0.281757,Somewhat-Bullish
Hepsiburada Announces Changes to Its Board of Directors and Executive Management Team,https://www.globenewswire.com/news-release/2023/01/04/2583308/0/en/Hepsiburada-Announces-Changes-to-Its-Board-of-Directors-and-Executive-Management-Team.html,2023-01-04 22:00:00,"ISTANBUL, Turkey, Jan. 04, 2023 ( GLOBE NEWSWIRE ) -- D-MARKET Electronic Services & Trading ( d/b/a ""Hepsiburada"" ) ( NASDAQ: HEPS ) , a leading Turkish e-commerce platform ( referred to herein as ""Hepsiburada"" or the ""Company"" ) , today announces certain changes to its Board of Directors and ...",EBAY,0.059194,0.028989,Neutral
Hepsiburada Announces Changes to Its Board of Directors and Executive Management Team - D-MARKET Electronic  ( NASDAQ:HEPS ) ,https://www.benzinga.com/pressreleases/23/01/g30284418/hepsiburada-announces-changes-to-its-board-of-directors-and-executive-management-team,2023-01-04 22:00:00,"ISTANBUL, Turkey, Jan. 04, 2023 ( GLOBE NEWSWIRE ) -- D-MARKET Electronic Services & Trading ( d/b/a ""Hepsiburada"" ) HEPS, a leading Turkish e-commerce platform ( referred to herein as ""Hepsiburada"" or the ""Company"" ) , today announces certain changes to its Board of Directors and its executive ...",EBAY,0.058188,0.021991,Neutral
"If You Had A Nickel For Every Search Done On Google, Here's How Long It Would Take To Equal Elon Musk's Wealth - Tesla  ( NASDAQ:TSLA ) ",https://www.benzinga.com/general/education/23/01/30279238/if-you-had-a-nickel-for-every-search-done-on-google-heres-how-long-it-would-take-to-equal-elon-,2023-01-04 19:17:20,"You know the old phrase, ""If I had a nickel for every time [x happened], I'd be rich,"" here's one example of how you could be as rich as Tesla Inc TSLA CEO Elon Musk based on getting one nickel at a time.",EBAY,0.262522,0.264344,Somewhat-Bullish
Why PayPal Stock Rallied on Wednesday,https://www.fool.com/investing/2023/01/04/why-paypal-stock-rallied-on-wednesday/,2023-01-04 18:04:12,The digital payments specialist might be gaining ground on Apple Pay.,EBAY,0.109956,0.026374,Neutral
"Nexus Venture to raise $700 mn fund to bet on domestic, US tech startups",https://www.business-standard.com/article/companies/nexus-venture-to-raise-700-mn-fund-to-bet-on-domestic-us-tech-startups-123010401188_1.html,2023-01-04 15:10:00,"Nexus will invest the new funds in early stage funding rounds of Indian internet and technology startups, as well as U.S.-based software firms ...",EBAY,0.080188,0.0,Neutral
What To Expect From EBay Stock?,https://www.forbes.com/sites/greatspeculations/2023/01/04/what-to-expect-from-ebay-stock/,2023-01-04 12:00:00,"Notably, the recent stock volatility was due to a drop in online sales because of the normalization of consumer behavior and tough macroeconomic conditions.",EBAY,0.620858,0.103718,Neutral
