title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"Spotlight Growth Shares 3 Stocks for an Uncertain & Likely-Volatile 2023 - Asure Software  ( NASDAQ:ASUR ) , Apple  ( NASDAQ:AAPL ) ",https://www.benzinga.com/news/small-cap/23/01/30354067/spotlight-growth-shares-3-stocks-for-an-uncertain-likely-volatile-2023,2023-01-10 14:35:08,"With 2022 now in the rearview, investors shift their focus to 2023 and the year ahead. The economic outlook for the new year remains muddied, as Wall Street looks for clues on inflation, the Federal Reserve's rate hikes, unemployment, GDP, and more. The good news?",EFX,0.043979,0.191385,Somewhat-Bullish
Consumer complaints about credit reporting agencies highlighted in CFPB report,https://www.foxbusiness.com/markets/consumer-complaints-about-credit-reporting-agencies-highlighted-cfpb-report,2023-01-05 01:19:49,The Consumer Financial Protection Bureau ( CFPB ) released a report Tuesday that details complaints about consumer credit reporting agencies and their efforts to address those concerns.,EFX,0.25168,0.0,Neutral
Here are some ways that can help you dig out of holiday debt,https://www.cnbc.com/2023/01/04/here-are-some-strategies-that-can-help-you-dig-out-of-holiday-debt.html,2023-01-04 13:00:01,Americans spent more this holiday season and will likely take their time paying off any debt incurred. Here are seven steps that can help tackle debt.,EFX,0.03443,0.180091,Somewhat-Bullish
6 things to do if you're a victim of credit card fraud,https://www.marketwatch.com/story/6-things-to-do-if-youre-a-victim-of-credit-card-fraud-11672344085,2023-01-04 10:00:00,"Shutting down new account fraud requires persistence and some know-how. If you're a victim, take these steps to reclaim your finances and your life.",EFX,0.056876,0.192041,Somewhat-Bullish
Credit reporting firms should fix practices amid consumer complaints- U.S. watchdog,https://www.reuters.com/business/finance/credit-reporting-firms-should-fix-practices-amid-consumer-complaints-us-watchdog-2023-01-03/,2023-01-03 18:35:00,Credit reporting firms should fix practices amid consumer complaints ... ...,EFX,0.38489,0.209207,Somewhat-Bullish
One missed payment can lead to repossession of your car. Here's a guide on what to do if you're facing repo-or if it happens.,https://www.marketwatch.com/story/one-missed-payment-can-lead-to-repossession-of-your-car-heres-a-guide-on-what-to-do-if-youre-facing-repoor-if-it-happens-11672163548,2023-01-03 10:03:00,Auto repossession is a major life event with negative repercussions lasting for years. Here's what know and a few steps you can take if you're facing repo.,EFX,0.032491,0.111585,Neutral
There's still time to get health insurance through the public exchange - and you may qualify for help paying premiums,https://www.cnbc.com/2023/01/02/theres-still-time-to-get-health-insurance-through-the-public-exchange.html,2023-01-02 14:30:01,"If you don't have a health plan, you can sign up for one through the federal marketplace until Jan. 15.",EFX,0.065685,0.080544,Neutral
T-Mobile hack: Here's what to do if you're ever worried that your data was leaked,https://www.marketwatch.com/story/t-mobile-is-looking-into-a-hack-of-100-million-customers-data-heres-what-to-do-if-you-think-that-your-data-was-leaked-11629144499,2023-01-20 18:45:00,"The latest breach included customer names, birthdays, phone numbers, billing addresses, email addresses and account numbers.",EFX,0.053749,-0.022024,Neutral
FIS Appoints Lee Adrean and Mark Benjamin as Independent Directors,https://investingnews.com/fis-appoints-lee-adrean-and-mark-benjamin-as-independent-directors/,2023-01-20 12:50:48,Appointees bring extensive financial services and technology experience; join Board as part of ongoing refreshment program,EFX,0.115787,-0.054806,Neutral
8Twelve Enters into Mortgage Solution Agreement with Dwello,https://www.benzinga.com/pressreleases/23/01/g30481312/8twelve-enters-into-mortgage-solution-agreement-with-dwello,2023-01-19 13:12:00,"TORONTO, Jan. 19, 2023 ( GLOBE NEWSWIRE ) -- 8Twelve Financial Technologies Inc. ( ""8Twelve"" or the ""Company"" ) is pleased to announce that it has entered into an agreement to provide mortgage solutions to Dwello. Dwello is on a mission of helping all Canadians get equitable access to ...",EFX,0.131643,0.326597,Somewhat-Bullish
