title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Emerson Electric  ( EMR )  Gains But Lags Market: What You Should Know,https://www.zacks.com/stock/news/2037640/emerson-electric-emr-gains-but-lags-market-what-you-should-know,2023-01-10 23:15:19,"In the latest trading session, Emerson Electric (EMR) closed at $97.82, marking a +0.58% move from the previous day.",EMR,0.603594,0.259068,Somewhat-Bullish
"Jim Cramer's Investing Club meeting Tuesday: Microsoft, health care, Emerson Electric",https://www.cnbc.com/2023/01/10/jim-cramers-investing-club-meeting-tuesday-microsoft-health-care.html,2023-01-10 16:32:15,"The Investing Club holds its ""Morning Meeting"" every weekday at 10:20 a.m. ET.",EMR,0.342093,0.191519,Somewhat-Bullish
Automation solution market in renewable power generation industry; Growth opportunities led by ABB Ltd. and Beckhoff Automation GmbH and Co. KG - Technavio,https://www.prnewswire.com/news-releases/automation-solution-market-in-renewable-power-generation-industry-growth-opportunities-led-by-abb-ltd-and-beckhoff-automation-gmbh-and-co-kg---technavio-301714255.html,2023-01-09 14:00:00,Automation solution market in renewable power generation industry ... PR ...,EMR,0.03453,0.065273,Neutral
Here's Why 3M Stock Is A Better Pick Over Its Sector Peer,https://www.forbes.com/sites/greatspeculations/2023/01/09/heres-why-3m-stock-is-a-better-pick-over-its-sector-peer/,2023-01-09 13:00:57,"We believe this valuation gap will narrow in favor of 3M, given that both companies have seen similar revenue growth, are equally profitable, and offer identical risk.",EMR,0.681079,0.288379,Somewhat-Bullish
M&A Is Expected to Pick Up in 2023 as Companies Adapt to Tougher Conditions,https://www.wsj.com/articles/m-a-is-expected-to-pick-up-in-2023-as-companies-adapt-to-tougher-conditions-11672874676,2023-01-05 10:30:00,"Financing challenges disrupted deal making last year, but many companies adjusted to sidestep market volatility and minimize costs.",EMR,0.032035,0.094091,Neutral
These 3 Stocks Have Plenty of Room to Run,https://www.fool.com/investing/2023/01/04/3-stocks-have-plenty-of-room-to-run/,2023-01-04 11:10:00,"Here are three growth stocks to buy now, while you wait for a bull market in 2023.",EMR,0.186738,0.062133,Neutral
"Jim Cramer's Investing Club meeting Tuesday: 2023 mantra, infrastructure stocks, Apple",https://www.cnbc.com/2023/01/03/jim-cramers-investing-club-meeting-tuesday-2023-mantra-apple.html,2023-01-03 16:34:30,"The Investing Club holds its ""Morning Meeting"" every weekday at 10:20 a.m. ET.",EMR,0.28008,0.178752,Somewhat-Bullish
These 3 Stocks Might Be Getting a Little Too Expensive,https://www.fool.com/investing/2023/01/03/these-stocks-might-be-getting-little-too-expensive/,2023-01-03 14:33:56,"On a risk/reward basis, they aren't a great value right now, but these are excellent stocks to watch for a better entry point on.",EMR,0.051663,0.15498,Somewhat-Bullish
Emerson Electric  ( EMR )  Gains But Lags Market: What You Should Know,https://www.zacks.com/stock/news/2042273/emerson-electric-emr-gains-but-lags-market-what-you-should-know,2023-01-20 23:15:20,"Emerson Electric (EMR) closed at $87.35 in the latest trading session, marking a +0.53% move from the prior day.",EMR,0.646507,0.250173,Somewhat-Bullish
What Does Emerson Electric's Debt Look Like?,https://www.benzinga.com/news/23/01/30506240/what-does-emerson-electrics-debt-look-like,2023-01-20 19:10:28,"Shares of Emerson Electric Inc. EMR increased by 2.85% in the past three months. Before having a look at the importance of debt, let's look at how much debt Emerson Electric has.",EMR,0.395012,0.072461,Neutral
