title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Clean Energy Fuels  ( CLNE )  Starts RNG Production at New Project,https://www.zacks.com/stock/news/2209377/clean-energy-fuels-clne-starts-rng-production-at-new-project,2024-01-12 13:16:00,"Clean Energy Fuels (CLNE) completes a new RNG production facility in South Dakota, which is in sync with CLNE's goal to decarbonize transportation through the development of RNG.",ES,0.224383,0.291568,Somewhat-Bullish
Spire  ( SR )  to Assist KC Water in Constructing RNG Facility,https://www.zacks.com/stock/news/2208712/spire-sr-to-assist-kc-water-in-constructing-rng-facility,2024-01-11 12:54:00,Spire (SR) is set to develop a RNG facility at KC Water's Blue River Wastewater Treatment Plant to reduce emissions. Renewable natural gas from this project will provide clean energy to customers.,ES,0.169676,0.182717,Somewhat-Bullish
"Eversource  ( ES )  to Divest Wind Assets, Expects $1.6B Charges",https://www.zacks.com/stock/news/2207473/eversource-es-to-divest-wind-assets-expects-16b-charges,2024-01-09 14:36:00,"Eversource (ES) is in advanced talks to sell its stake in three offshore wind projects, and expects impairment costs of $1.6 billion.",ES,0.275867,0.188394,Somewhat-Bullish
Eversource Energy Nears Sale Of Offshore Wind Stakes Amid Significant Impairment Charge: Details - Eversource Energy  ( NYSE:ES ) ,https://www.benzinga.com/markets/equities/24/01/36550727/eversource-energy-nears-sale-of-offshore-wind-stakes-amid-significant-impairment-charge-details,2024-01-09 11:44:23,"Eversource Energy ES has provided updates regarding the divestiture of its 50% stake in three offshore wind projects: South Fork Wind, Revolution Wind and Sunrise Wind. The company holds its share of these three projects in two separate joint venture partnerships with the Danish energy company ...",ES,0.428632,0.161871,Somewhat-Bullish
Enphase Energy Expands its Support for Virtual Power Plants Across the United States - Enphase Energy  ( NASDAQ:ENPH ) ,https://www.benzinga.com/pressreleases/23/12/g36214160/enphase-energy-expands-its-support-for-virtual-power-plants-across-the-united-states,2023-12-13 13:00:00,"FREMONT, Calif., Dec. 13, 2023 ( GLOBE NEWSWIRE ) -- Enphase Energy, Inc. ENPH, a global energy technology company and the world's leading supplier of microinverter-based solar and battery systems, announced today that it is expanding its support for virtual power plants ( VPPs ) through grid ...",ES,0.029581,0.153031,Somewhat-Bullish
Why Is Eversource  ( ES )  Up 6.8% Since Last Earnings Report?,https://www.zacks.com/stock/news/2194340/why-is-eversource-es-up-68-since-last-earnings-report,2023-12-06 16:30:32,Eversource (ES) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,ES,0.175859,-0.05034,Neutral
Eversource  ( ES )  Q3 Earnings and Revenues Miss Estimates,https://www.zacks.com/stock/news/2179343/eversource-es-q3-earnings-and-revenues-miss-estimates,2023-11-06 15:54:00,Eversource's (ES) third-quarter earnings and revenues decline year over year. Total operating expenses also reduce during the same period.,ES,0.346642,-0.264395,Somewhat-Bearish
"Eversource Energy Misses Q3 Earnings On Weak Profits Across Most Segments, Tweaks FY23 Guidance - Eversource Energy  ( NYSE:ES ) ",https://www.benzinga.com/news/earnings/23/11/35616355/eversource-energy-misses-q3-earnings-on-weak-profits-across-most-segments-tweaks-fy23-guidance,2023-11-06 13:13:48,"Eversource Energy ES reported Q3 FY23 revenue of $2.79 billion, missing the consensus of $3.295 billion. Adjusted EPS of $0.97 missed the consensus of $0.98. Adjusted earnings declined to $339.7 million from $351.6 million a year ago.",ES,0.666827,0.0,Neutral
Eversource Energy  ( ES )  to Post Q3 Earnings: What's in Store?,https://www.zacks.com/stock/news/2178188/eversource-energy-es-to-post-q3-earnings-whats-in-store,2023-11-03 14:33:00,"Eversource Energy's (ES) third-quarter 2023 results are expected to benefit from the completed sale of the uncommitted lease area. However, rate design might lower revenues.",ES,0.596796,0.287067,Somewhat-Bullish
Eversource Energy  ( ES )  to Post Q3 Earnings: What's in Store?,https://www.zacks.com/stock/news/2178188/eversource-energy-es-to-post-q3-earnings-whats-in-store,2023-11-03 13:33:00,"Eversource Energy's (ES) third-quarter 2023 results are expected to benefit from the completed sale of the uncommitted lease area. However, rate design might lower revenues.",ES,0.596796,0.287067,Somewhat-Bullish
Consolidated Edison  ( ED )  Expected to Beat Earnings Estimates: What to Know Ahead of Q3 Release,https://www.zacks.com/stock/news/2172734/consolidated-edison-ed-expected-to-beat-earnings-estimates-what-to-know-ahead-of-q3-release,2023-10-26 14:02:38,Con Ed (ED) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,ES,0.087663,0.039084,Neutral
CMS Energy  ( CMS )  Q3 Earnings and Revenues Miss Estimates,https://www.zacks.com/stock/news/2172407/cms-energy-cms-q3-earnings-and-revenues-miss-estimates,2023-10-26 11:50:14,"CMS Energy (CMS) delivered earnings and revenue surprises of -3.17% and 19.85%, respectively, for the quarter ended September 2023. Do the numbers hold clues to what lies ahead for the stock?",ES,0.138066,0.0,Neutral
Capital Raise of $182 Million Confirms Eavor as the Leader in Scalable Geothermal,https://www.benzinga.com/pressreleases/23/10/g35426099/capital-raise-of-182-million-confirms-eavor-as-the-leader-in-scalable-geothermal,2023-10-25 20:30:00,"CALGARY, Alberta, Oct. 25, 2023 ( GLOBE NEWSWIRE ) -- Eavor Technologies Inc., ( ""Eavor"" ) a pioneer in the field of advanced geothermal energy solutions today announces the successful completion of $182 million in financing.",ES,0.042421,0.221981,Somewhat-Bullish
Earnings Preview: Eversource Energy  ( ES )  Q3 Earnings Expected to Decline,https://www.zacks.com/stock/news/2171652/earnings-preview-eversource-energy-es-q3-earnings-expected-to-decline,2023-10-25 14:02:02,Eversource (ES) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,ES,0.087985,0.041759,Neutral
Why This 1 Value Stock Could Be a Great Addition to Your Portfolio,https://www.zacks.com/stock/news/2166436/why-this-1-value-stock-could-be-a-great-addition-to-your-portfolio,2023-10-16 13:40:06,"Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",ES,0.45825,0.278779,Somewhat-Bullish
New England states join to buy offshore wind power as US industry struggles,https://www.reuters.com/business/energy/new-england-states-join-buy-offshore-wind-power-us-industry-struggles-2023-10-04/,2023-10-04 19:38:00,"A construction barge and crane float next to the first jacket ( C ) installed to support a turbine for a wind farm in the waters of the Atlantic Ocean off Block Island, Rhode Island July 27, 2015. REUTERS/Brian Snyder//File Photo Acquire Licensing Rights",ES,0.075161,0.0,Neutral
Are Options Traders Betting on a Big Move in Eversource Energy  ( ES )  Stock?,https://www.zacks.com/stock/news/2148206/are-options-traders-betting-on-a-big-move-in-eversource-energy-es-stock,2023-09-13 12:38:00,Investors need to pay close attention to Eversource Energy (ES) stock based on the movements in the options market lately.,ES,0.575055,0.093295,Neutral
Eversource  ( ES )  Benefits From Investment & Renewable Focus,https://www.zacks.com/stock/news/2144543/eversource-es-benefits-from-investment-renewable-focus,2023-09-04 16:54:00,"Eversource's (ES) investment of $21.5 billion, during 2023-2027 time period, is set to boost clean electricity generation, fortify its infrastructure and increase reliability of its services.",ES,0.367141,0.36329,Bullish
Eversource Energy  ( ES )  Starts Drilling for a Geothermal Project,https://www.zacks.com/stock/news/2136231/eversource-energy-es-starts-drilling-for-a-geothermal-project,2023-08-14 13:50:00,"Eversource Energy (ES) begins drilling for a geothermal project in Framingham, MA. This will connect 140 customers across nearly 40 buildings.",ES,0.480536,0.250884,Somewhat-Bullish
NRG Energy  ( NRG )  Q2 Earnings & Revenues Surpass Estimates,https://www.zacks.com/stock/news/2133719/nrg-energy-nrg-q2-earnings-revenues-surpass-estimates,2023-08-08 13:52:00,"NRG Energy's (NRG) second-quarter 2023 earnings improve year over year, while revenues decline. Adjusted EBITDA decline during the same period.",ES,0.262994,0.262845,Somewhat-Bullish
Eversource Energy  ( NYSE:ES )  Rating Lowered to Sell at StockNews.com,https://www.defenseworld.net/2023/08/03/eversource-energy-nysees-rating-lowered-to-sell-at-stocknews-com.html,2023-08-03 08:20:43,"Eversource Energy ( NYSE:ES - Get Free Report ) was downgraded by research analysts at StockNews.com from a ""hold"" rating to a ""sell"" rating in a note issued to investors on Thursday. Other research analysts have also issued reports about the company.",ES,0.893631,0.328844,Somewhat-Bullish
WSP Named Professional Engineer for New York's Sunrise Wind Farm,https://markets.businessinsider.com/news/stocks/wsp-named-professional-engineer-for-new-york-s-sunrise-wind-farm-1032507201,2023-08-02 13:55:00,"Offshore wind farm will be first in U.S. to use efficient high-voltage direct current technology; Ørsted and Eversource project will power 600,000 New York homes when operational in 2025.",ES,0.05257,0.167626,Somewhat-Bullish
"Eversource  ( ES )  Q2 Earnings Beat Estimates, Revenues Up Y/Y",https://www.zacks.com/stock/news/2130465/eversource-es-q2-earnings-beat-estimates-revenues-up-yy,2023-08-01 13:12:00,Eversource Energy's (ES) Q2 earnings benefit from the higher level of investments and favorable regulatory decisions.,ES,0.378285,0.223317,Somewhat-Bullish
Eversource Energy beats Q2 profit estimates on lower costs,https://www.reuters.com/business/energy/eversource-energy-beats-q2-profit-estimates-lower-costs-2023-07-31/,2023-07-31 22:01:00,"July 31 ( Reuters ) - Utility firm Eversource Energy ( ES.N ) beat Wall Street estimates for second-quarter profit on Monday, helped by lower costs and a favorable regulatory decision. Revenue in the company's electric distribution business, one of its biggest segments, grew 28.3% to $165.5 ...",ES,0.305058,0.36787,Bullish
Eversource Energy  ( ES )  Q2 Earnings Beat Estimates,https://www.zacks.com/stock/news/2130102/eversource-energy-es-q2-earnings-beat-estimates,2023-07-31 21:45:07,"Eversource (ES) delivered earnings and revenue surprises of 8.70% and 8.56%, respectively, for the quarter ended June 2023. Do the numbers hold clues to what lies ahead for the stock?",ES,0.138863,0.095919,Neutral
NiSource  ( NI )  to Report Q2 Earnings: What's in the Cards?,https://www.zacks.com/stock/news/2129850/nisource-ni-to-report-q2-earnings-whats-in-the-cards,2023-07-31 12:22:00,NiSource's (NI) second-quarter revenues are likely to have benefited from new rates and efficient capital programs.,ES,0.19117,0.0,Neutral
