title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Are You a Value Investor? This 1 Stock Could Be the Perfect Pick,https://www.zacks.com/stock/news/2217162/are-you-a-value-investor-this-1-stock-could-be-the-perfect-pick,2024-01-29 14:40:07,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.",ETR,0.889454,0.295698,Somewhat-Bullish
Entergy announces quarterly dividend payment to shareholders,https://www.prnewswire.com/news-releases/entergy-announces-quarterly-dividend-payment-to-shareholders-302045905.html,2024-01-26 19:36:00,"NEW ORLEANS, Jan. 26, 2024 /PRNewswire/ -- Entergy's board of directors today declared a quarterly dividend payment of $1.13 per share on the company's common stock. The dividend is payable March 1, 2024, to shareholders of record as of Feb. 9, 2024.",ETR,0.930964,0.580953,Bullish
Reasons to Add IDACORP  ( IDA )  to Your Portfolio Right Now,https://www.zacks.com/stock/news/2212692/reasons-to-add-idacorp-ida-to-your-portfolio-right-now,2024-01-19 13:44:00,"IDACORP (IDA) makes a strong case for investment, given its earnings growth prospects, strong ROE and ability to increase shareholders' value.",ETR,0.144275,0.146194,Neutral
Xcel Energy  ( XEL )  Rides on Investments & Clean Power Generation,https://www.zacks.com/stock/news/2212691/xcel-energy-xel-rides-on-investments-clean-power-generation,2024-01-19 13:43:00,"Xcel Energy (XEL) continues to benefit from its strategic investment plans, renewable expansion and expanding customer base.",ETR,0.169081,0.068303,Neutral
Reasons to Add SJW Group  ( SJW )  Stock to Your Portfolio Now,https://www.zacks.com/stock/news/2211912/reasons-to-add-sjw-group-sjw-stock-to-your-portfolio-now,2024-01-18 12:24:00,"SJW Group (SJW), with its systematic investments and rising earn0ings estimates, makes a strong case for investment in the utility space.",ETR,0.175221,0.070012,Neutral
Here's Why Entergy  ( ETR )  is a Strong Growth Stock,https://www.zacks.com/stock/news/2211441/heres-why-entergy-etr-is-a-strong-growth-stock,2024-01-17 14:45:07,"Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",ETR,0.841536,0.364463,Bullish
Boeing Names Independent Advisor to Lead Comprehensive Quality Review,https://www.prnewswire.com/news-releases/boeing-names-independent-advisor-to-lead-comprehensive-quality-review-302036079.html,2024-01-16 18:00:00,"ARLINGTON, Va., Jan. 16, 2024 /PRNewswire/ -- Boeing [NYSE: BA] today named Admiral Kirkland H. Donald, U.S. Navy ( Ret. ) as special advisor to Boeing President and CEO Dave Calhoun. The appointment is effective immediately.",ETR,0.103778,0.220236,Somewhat-Bullish
AlphaGen Announces Executive Leadership Team,https://www.prnewswire.com/news-releases/alphagen-announces-executive-leadership-team-302034999.html,2024-01-16 14:00:00,"HOUSTON, Jan. 16, 2024 /PRNewswire/ -- Alpha Generation, LLC ( ""AlphaGen"" ) , manager of one of the largest power infrastructure portfolios in the United States, has announced its Executive Leadership Team.",ETR,0.056808,0.0,Neutral
4 Utility Stocks to Buy as Inflation Resumes Climb,https://www.zacks.com/stock/news/2210120/4-utility-stocks-to-buy-as-inflation-resumes-climb,2024-01-15 14:17:00,"Stocks from the utility sector such as Otter Tail Corporation (OTTR), Entergy Corporation (ETR), Atmos Energy Corporation (ATO) and American Water Works Company, Inc. (AWK) are a safe bet during times of market volatility.",ETR,0.324902,0.179334,Somewhat-Bullish
Reasons to Add Entergy  ( ETR )  to Your Portfolio Right Now,https://www.zacks.com/stock/news/2209380/reasons-to-add-entergy-etr-to-your-portfolio-right-now,2024-01-12 13:26:00,"Entergy (ETR) makes a strong case for investment, given its earnings growth prospects, strong ROE and ability to increase shareholders' value.",ETR,0.325208,0.341658,Somewhat-Bullish
"Public Service  ( PEG )  Rides on Investments, Rising Customer Base",https://www.zacks.com/stock/news/2209381/public-service-peg-rides-on-investments-rising-customer-base,2024-01-12 13:24:00,Public Service Enterprise Group's (PEG) capital investment and clean energy initiatives are likely to have a positive impact on earnings. Supply chain constraints can affect results.,ETR,0.255641,0.0118,Neutral
Reasons to Add Sempra Energy  ( SRE )  to Your Portfolio Now,https://www.zacks.com/stock/news/2208693/reasons-to-add-sempra-energy-sre-to-your-portfolio-now,2024-01-11 12:14:00,"Sempra Energy (SRE), with its regular dividend payments and rising earnings estimates, makes a strong case for investment in the utility space.",ETR,0.185306,0.071422,Neutral
Why This 1 Value Stock Could Be a Great Addition to Your Portfolio,https://www.zacks.com/stock/news/2208269/why-this-1-value-stock-could-be-a-great-addition-to-your-portfolio,2024-01-10 14:40:06,"Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",ETR,0.773597,0.224061,Somewhat-Bullish
Is Entergy  ( ETR )  Stock Outpacing Its Utilities Peers This Year?,https://www.zacks.com/stock/news/2208274/is-entergy-etr-stock-outpacing-its-utilities-peers-this-year,2024-01-10 14:40:05,Here is how Entergy (ETR) and Otter Tail (OTTR) have performed compared to their sector so far this year.,ETR,0.776097,0.341989,Somewhat-Bullish
Entergy delivers nearly $500M in economic impact for greater New Orleans region,https://www.prnewswire.com/news-releases/entergy-delivers-nearly-500m-in-economic-impact-for-greater-new-orleans-region-302026732.html,2024-01-04 21:43:00,"NEW ORLEANS, Jan. 4, 2024 /PRNewswire/ -- The greater New Orleans region is enjoying nearly half of $1 billion dollars in economic benefits because the city is host to the corporate headquarters for Entergy, the city's only Fortune 500 company.",ETR,0.796741,0.524718,Bullish
CMS Energy  ( CMS )  Commences Operations at 201MW Wind Farm,https://www.zacks.com/stock/news/2204861/cms-energy-cms-commences-operations-at-201mw-wind-farm,2024-01-03 13:21:00,"CMS Energy (CMS), with its newly operational wind farm, continues to progress toward its clean energy goals.",ETR,0.189175,0.148278,Neutral
Here's Why Entergy  ( ETR )  is a Strong Value Stock,https://www.zacks.com/stock/news/2201605/heres-why-entergy-etr-is-a-strong-value-stock,2023-12-22 15:00:07,The Zacks Style Scores offers investors a way to easily find top-rated stocks based on their investing style. Here's why you should take advantage.,ETR,0.756917,0.225839,Somewhat-Bullish
Edison International  ( EIX )  Announces Dividend Hike of 5.8%,https://www.zacks.com/stock/news/2200375/edison-international-eix-announces-dividend-hike-of-58,2023-12-20 11:39:00,Edison (EIX) continues to reward shareholders through dividend hikes. It has been increasing dividends for 20 consecutive years.,ETR,0.261117,0.314224,Somewhat-Bullish
