title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Diamondback Energy  ( FANG )  Increases Despite Market Slip: Here's What You Need to Know,https://www.zacks.com/stock/news/2218320/diamondback-energy-fang-increases-despite-market-slip-heres-what-you-need-to-know,2024-01-30 23:00:17,"Diamondback Energy (FANG) reachead $156.93 at the closing of the latest trading day, reflecting a +1.34% change compared to its last close.",FANG,0.595343,0.247143,Somewhat-Bullish
3 Great Dividend Stocks to Spice Up Your Portfolio,https://www.fool.com/investing/2024/01/27/3-great-dividend-stocks-to-spice-up-your-portfolio/,2024-01-27 18:32:00,These dividend stocks can give your income a boost.,FANG,0.270274,0.245847,Somewhat-Bullish
Diamondback Energy  ( FANG )  Laps the Stock Market: Here's Why,https://www.zacks.com/stock/news/2215353/diamondback-energy-fang-laps-the-stock-market-heres-why,2024-01-24 23:00:16,"In the most recent trading session, Diamondback Energy (FANG) closed at $153.20, indicating a +1.14% shift from the previous trading day.",FANG,0.651499,0.284829,Somewhat-Bullish
3 Permian Stocks to Watch as Oil Price is Still Healthy,https://www.zacks.com/stock/news/2214040/3-permian-stocks-to-watch-as-oil-price-is-still-healthy,2024-01-23 13:26:00,"Improving Permian production amid healthy oil prices raises the incentive to keep an eye on companies like ExxonMobil (XOM), Chevron (CVX) and Diamondback Energy (FANG).",FANG,0.305058,0.365606,Bullish
Diamondback Energy  ( FANG )  Exceeds Market Returns: Some Facts to Consider,https://www.zacks.com/stock/news/2213827/diamondback-energy-fang-exceeds-market-returns-some-facts-to-consider,2024-01-22 23:15:20,"The latest trading day saw Diamondback Energy (FANG) settling at $151.94, representing a +0.58% change from its previous close.",FANG,0.554916,0.274803,Somewhat-Bullish
Peering Into Diamondback Energy's Recent Short Interest - Diamondback Energy  ( NASDAQ:FANG ) ,https://www.benzinga.com/insights/short-sellers/24/01/36717102/peering-into-diamondback-energys-recent-short-interest,2024-01-22 15:00:23,"Diamondback Energy's FANG short percent of float has risen 8.15% since its last report. The company recently reported that it has 6.24 million shares sold short, which is 3.98% of all regular shares that are available for trading.",FANG,0.221819,0.155473,Somewhat-Bullish
Permian Oil Drilling Rig Count Falls for Two Straight Weeks,https://www.zacks.com/stock/news/2213306/permian-oil-drilling-rig-count-falls-for-two-straight-weeks,2024-01-22 13:01:00,"Baker Hughes (BKR), in its weekly release, reports that its count of oil and gas rigs has increased after decreasing for two straight weeks.",FANG,0.207127,0.158671,Somewhat-Bullish
Diamondback Energy's Options Frenzy: What You Need to Know - Diamondback Energy  ( NASDAQ:FANG ) ,https://www.benzinga.com/insights/options/24/01/36699760/diamondback-energys-options-frenzy-what-you-need-to-know,2024-01-19 18:30:47,"Investors with a lot of money to spend have taken a bullish stance on Diamondback Energy FANG. We noticed this today when the positions showed up on publicly available options history that we track here at Benzinga. Whether these are institutions or just wealthy individuals, we don't know.",FANG,0.7887,0.263871,Somewhat-Bullish
Price Over Earnings Overview: Diamondback Energy - Diamondback Energy  ( NASDAQ:FANG ) ,https://www.benzinga.com/news/24/01/36658752/price-over-earnings-overview-diamondback-energy,2024-01-17 13:30:32,"Looking into the current session, Diamondback Energy Inc. FANG shares are trading at $150.40, after a 0.50% decrease. Over the past month, the stock decreased by 3.48%, but over the past year, it actually spiked by 2.71%.",FANG,0.416844,0.082203,Neutral
Diamondback Energy  ( FANG )  Falls More Steeply Than Broader Market: What Investors Need to Know,https://www.zacks.com/stock/news/2211140/diamondback-energy-fang-falls-more-steeply-than-broader-market-what-investors-need-to-know,2024-01-16 23:15:17,"Diamondback Energy (FANG) reachead $151.16 at the closing of the latest trading day, reflecting a -1.74% change compared to its last close.",FANG,0.538782,0.141736,Neutral
