title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"BofA Analyst's Chemical Blend: Rating Change Saga, Reassesses Agricultural Market Dynamics - DuPont de Nemours  ( NYSE:DD ) , Celanese  ( NYSE:CE ) , Dow  ( NYSE:DOW ) , FMC  ( NYSE:FMC ) ",https://www.benzinga.com/markets/equities/24/01/36647969/bofa-analysts-chemical-blend-rating-change-saga-reassesses-agricultural-market-dynamics,2024-01-16 18:53:40,"BofA Securities analyst Steve Byrne said he was bullish on commodity chemical stocks but remained selective given a tough recovery and leans ""this way with lithium, as well.""",FMC,0.245339,-0.213326,Somewhat-Bearish
Agricultural Science Company FMC's 'Project Focus' Aims To Harvest ~$150M Savings In Global Restructuring & More - FMC  ( NYSE:FMC ) ,https://www.benzinga.com/markets/equities/23/12/36300550/agricultural-science-company-fmcs-project-focus-aims-to-harvest-150m-savings-in-global-restructu,2023-12-19 12:50:55,"FMC Corp FMC initiated a global restructuring plan known as ""Project Focus"" amid an unprecedented global crop protection market downturn that resulted in severe channel destocking.",FMC,0.758753,0.151011,Somewhat-Bullish
Agricultural Science Company FMC Pressured From Worst Supply Chain Correction: Analyst - FMC  ( NYSE:FMC ) ,https://www.benzinga.com/analyst-ratings/analyst-color/23/12/36138282/agricultural-science-company-fmc-pressured-from-worst-supply-chain-correction-analy,2023-12-07 19:52:27,Mizuho Securities analyst Edlain Rodriguez downgraded FMC Corp FMC to Neutral from Buy with an unchanged price target of $59. The re-rating is due to significantly pressured earnings in H2 FY23 owing to unprecedented pesticide inventory correction and elevated concerns about generic competition.,FMC,0.796338,0.426972,Bullish
Do you support defense spending that creates U.S. jobs? Then Ukraine matters.,https://www.marketwatch.com/story/do-you-support-defense-spending-that-creates-u-s-jobs-then-ukraine-matters-7f38c89d,2023-12-07 12:18:00,U.S. aid to Ukraine has boosted economic activity and jobs in 38 states.,FMC,0.07913,0.051368,Neutral
FMC  ( FMC )  Down 1.6% Since Last Earnings Report: Can It Rebound?,https://www.zacks.com/stock/news/2191003/fmc-fmc-down-16-since-last-earnings-report-can-it-rebound,2023-11-29 16:30:28,FMC (FMC) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,FMC,0.37643,-0.018708,Neutral
"Biostimulants Market to increase by USD 1.51 billion between 2022 to 2027; ADAMA Ltd., Bayer AG, Bioiberica S.A.U. ... - PR Newswire",https://www.prnewswire.com/news-releases/biostimulants-market-to-increase-by-usd-1-51-billion-between-2022-to-2027-adama-ltd-bayer-ag-bioiberica-sau-and-more-among-key-companies---technavio-301996822.html,2023-11-24 22:15:00,"Biostimulants Market to increase by USD 1.51 billion between 2022 to 2027. ADAMA Ltd., Bayer AG, Bioiberica S.A.U. ... PR ...",FMC,0.080728,0.061391,Neutral
"Agrochemicals Market to increase by USD 49 million between 2022 to 2027 | American Vanguard Corp., Archer ... - PR Newswire",https://www.prnewswire.com/news-releases/agrochemicals-market-to-increase-by-usd-49-million-between-2022-to-2027--american-vanguard-corp-archer-daniels-midland-co-arysta-lifescience-corp-and-more-among-key-companies---technavio-301996931.html,2023-11-24 20:15:00,"Agrochemicals Market to increase by USD 49 million between 2022 to 2027 | American Vanguard Corp., Archer ... PR ...",FMC,0.083541,0.092396,Neutral
"Agricultural Science Company FMC's Investor Day: Plans Non-Core Asset Sale, R&D Pipeline & Others - FMC  ( NYSE:FMC ) ",https://www.benzinga.com/markets/equities/23/11/35849634/agricultural-science-company-fmcs-investor-day-plans-non-core-asset-sale-r-d-pipeline-others,2023-11-17 16:30:54,"On Investor Day yesterday, FMC Corp FMC disclosed its new strategic growth plan. The company announced a strategic review of non-core assets, which includes the potential sale of its non-crop product line, Global Specialty Solutions.",FMC,0.572601,0.33019,Somewhat-Bullish
Agri chemicals maker FMC looking to sell non-core assets,https://www.reuters.com/markets/deals/agri-chemicals-maker-fmc-looking-sell-non-core-assets-2023-11-17/,2023-11-17 13:30:12,"Nov 17 ( Reuters ) - Crop protection products maker FMC Corp ( FMC.N ) has launched a strategic review of its non-core assets, including a potential sale of its non-crop business.",FMC,0.535653,0.266993,Somewhat-Bullish
Agricultural Science Company FMC Outlines Strategic Growth Plan & Financial Targets: Here's Details - FMC  ( NYSE:FMC ) ,https://www.benzinga.com/markets/equities/23/11/35829867/agricultural-science-company-fmc-outlines-strategic-growth-plan-financial-targets-heres-details,2023-11-16 17:04:02,"FMC Corp FMC disclosed updated long-term financial targets and provided an FY24 outlook. In addition, the company plans to further detail its restructuring plan at its Investor Day later today at the corporate headquarters in Philadelphia.",FMC,0.733479,0.275844,Somewhat-Bullish
