title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Fortinet  ( FTNT )  Gains As Market Dips: What You Should Know,https://www.zacks.com/stock/news/2037009/fortinet-ftnt-gains-as-market-dips-what-you-should-know,2023-01-09 22:50:18,"Fortinet (FTNT) closed the most recent trading day at $49.41, moving +1.48% from the previous trading session.",FTNT,0.591634,0.210186,Somewhat-Bullish
"Investors Heavily Search Fortinet, Inc.  ( FTNT ) : Here is What You Need to Know",https://www.zacks.com/stock/news/2036173/investors-heavily-search-fortinet-inc-ftnt-here-is-what-you-need-to-know,2023-01-06 14:00:13,"Zacks.com users have recently been watching Fortinet (FTNT) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.",FTNT,0.49219,0.150761,Somewhat-Bullish
"Why Fortinet, Palo Alto Networks, and Zscaler Stocks Slumped on Jan. 5, 2023",https://www.fool.com/investing/2023/01/05/why-fortinet-palo-alto-networks-and-zscaler-stocks/,2023-01-05 17:47:02,One of these cybersecurity stocks is not like the others.,FTNT,0.466609,0.196786,Somewhat-Bullish
5 Top Growth Stocks I'm Buying to Kick Off 2023,https://www.fool.com/investing/2023/01/04/5-top-growth-stocks-im-buying-to-kick-off-2023/,2023-01-04 13:03:00,"After a brutal 2022, there are many long-term deals to be bought.",FTNT,0.199037,0.260609,Somewhat-Bullish
Why Fortinet Investors Weren't Fortunate Today,https://www.fool.com/investing/2023/01/03/why-fortinet-investors-werent-fortunate-today/,2023-01-03 23:20:22,The market is approaching the company's next earnings release with trepidation.,FTNT,0.642555,0.345415,Somewhat-Bullish
Fortinet  ( FTNT )  Dips More Than Broader Markets: What You Should Know,https://www.zacks.com/stock/news/2034815/fortinet-ftnt-dips-more-than-broader-markets-what-you-should-know,2023-01-03 22:45:25,"In the latest trading session, Fortinet (FTNT) closed at $48.52, marking a -0.76% move from the previous day.",FTNT,0.66878,0.155793,Somewhat-Bullish
FTNT: 4 Cybersecurity Stocks to Buy and Hold for the Next Decade,https://stocknews.com/news/ftnt-chkp-tmicy-rdwr-4-cybersecurity-stocks-to-buy-and-hold-for-the-next/,2023-01-03 19:47:42,"Digital crime is escalating alongside the growth of the digital economy. The exponential growth in online and mobile interactions leads to greater exposure to cyberattacks. With more organizations going digital, the chances of data breaches are increasing.",FTNT,0.37975,0.294416,Somewhat-Bullish
Why Fortinet  ( FTNT )  is Poised to Beat Earnings Estimates Again,https://www.zacks.com/stock/news/2034724/why-fortinet-ftnt-is-poised-to-beat-earnings-estimates-again,2023-01-03 17:10:11,Fortinet (FTNT) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,FTNT,0.414559,0.442896,Bullish
Fortinet to Announce Fourth Quarter 2022 Financial Results,https://www.globenewswire.com/news-release/2023/01/03/2582223/0/en/Fortinet-to-Announce-Fourth-Quarter-2022-Financial-Results.html,2023-01-03 14:00:00,"SUNNYVALE, Calif., Jan. 03, 2023 ( GLOBE NEWSWIRE ) -- News Summary Fortinet® ( NASDAQ: FTNT ) , a global leader in broad, integrated, and automated cybersecurity solutions, announced that it will hold a conference call to discuss its fourth quarter 2022 financial results on Tuesday, February 7, ...",FTNT,0.771027,0.187998,Somewhat-Bullish
These 2 Computer and Technology Stocks Could Beat Earnings: Why They Should Be on Your Radar,https://www.zacks.com/stock/news/2034534/these-2-computer-and-technology-stocks-could-beat-earnings-why-they-should-be-on-your-radar,2023-01-03 13:50:06,The Zacks Earnings ESP is a great way to find potential earnings surprises. Why investors should take advantage now.,FTNT,0.376194,0.420872,Bullish
