title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"GE HealthCare Is Giving Guidance. Don't Worry, It's OK.",https://www.barrons.com/articles/ge-healthcare-earnings-sales-guidance-51673355592,2023-01-10 13:01:00,"GE HealthCare Technologies spun out of General Electric just a few days ago, is already giving investors an update about its fourth-quarter numbers, as well as a look at 2023. Tuesday morning, GE HealthCare ( ticker: GEHC ) disclosed that fourth-quarter sales came in at about $4.9 billion.",GE,0.949596,0.394434,Bullish
GE HealthCare expects 5%-7% organic revenue growth in 2023 on strong demand,https://www.reuters.com/business/healthcare-pharmaceuticals/ge-healthcare-expects-organic-revenue-growth-5-7-2023-2023-01-10/,2023-01-10 12:24:11,GE HealthCare expects organic revenue growth of 5%-7% in ...,GE,0.678673,0.037692,Neutral
General Electric  ( GE )  Gains As Market Dips: What You Should Know,https://www.zacks.com/stock/news/2037000/general-electric-ge-gains-as-market-dips-what-you-should-know,2023-01-09 22:50:21,"General Electric (GE) closed at $72.67 in the latest trading session, marking a +1.01% move from the prior day.",GE,0.689912,0.309769,Somewhat-Bullish
Cargill CFO Resigns as Company Reshuffles Leadership,https://www.wsj.com/articles/cargill-chief-financial-officer-jamie-miller-resigns-11673279776,2023-01-09 21:56:00,The Minneapolis-based agricultural giant has begun searching for Jamie Miller's successor. Her departure comes as the company's new CEO takes up his role.,GE,0.07887,0.012204,Neutral
GE's Stock Price Is Down. Why Wall Street Isn't Worried.,https://www.barrons.com/articles/general-electric-stock-price-spinoff-51673292356,2023-01-09 19:27:00,"General Electric is a different company than it was just a few days ago, now that the GE HealthCare Technologies spinoff is done. The change means thinking about GE ( ticker: GE ) will require nuance in these early days of 2023. An example: Numbers, such as earnings estimates, are going to be all ...",GE,0.999823,0.0,Neutral
Looking At General Electric's Recent Unusual Options Activity - General Electric  ( NYSE:GE ) ,https://www.benzinga.com/markets/options/23/01/30338028/looking-at-general-electrics-recent-unusual-options-activity,2023-01-09 18:19:36,"Someone with a lot of money to spend has taken a bullish stance on General Electric GE. We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga. Whether this is an institution or just a wealthy individual, we don't know.",GE,0.796338,0.158125,Somewhat-Bullish
"IoT in Manufacturing Market Size Worth USD 136.83 Billion, Globally, by 2026 at 22.1% CAGR",https://www.benzinga.com/pressreleases/23/01/g30329304/iot-in-manufacturing-market-size-worth-usd-136-83-billion-globally-by-2026-at-22-1-cagr,2023-01-09 11:55:17,"Pune, India, Jan. 09, 2023 ( GLOBE NEWSWIRE ) -- The global IoT in Manufacturing Market size was valued USD 27.76 billion in 2018. The global market size is projected to reach USD 136.83billion by 2026, exhibiting a CAGR of 22.1% during the forecast period from 2021-2026.",GE,0.089295,0.200671,Somewhat-Bullish
"Transformers Market Size [2022-2029] | Industry Share, Trends, Growth and Global Forecast Analysis",https://www.benzinga.com/pressreleases/23/01/g30325552/transformers-market-size-2022-2029-industry-share-trends-growth-and-global-forecast-analysis,2023-01-09 07:15:18,"Pune, India, Jan. 09, 2023 ( GLOBE NEWSWIRE ) -- The global Transformer Market size is increasing due to the growing requirement for energy-efficient power distribution systems. Government policies to minimize power wastage to boosts market growth.",GE,0.051551,0.019829,Neutral
3 Tech Titans Worth Owning in 2023  ( and Beyond ) ,https://www.fool.com/investing/2023/01/08/3-tech-titans-worth-owning-in-2023-and-beyond/,2023-01-08 11:30:00,These discounted blue chips could lead the next bull market.,GE,0.039224,0.0,Neutral
StockNews.com Downgrades General Electric  ( NYSE:GE )  to Hold,https://www.etfdailynews.com/2023/01/08/stocknews-com-downgrades-general-electric-nysege-to-hold/,2023-01-08 07:58:41,"General Electric ( NYSE:GE - Get Rating ) was downgraded by equities research analysts at StockNews.com from a ""buy"" rating to a ""hold"" rating in a research note issued to investors on Friday.",GE,0.89561,0.259001,Somewhat-Bullish
