title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
EOG Resources'  ( EOG )  Permian Activities to be Flat This Year,https://www.zacks.com/stock/news/2037155/eog-resources-eog-permian-activities-to-be-flat-this-year,2023-01-10 12:44:00,"EOG Resources, Inc. (EOG), like most exploration and production companies, is strongly focusing on shareholder returns.",HAL,0.453099,0.367562,Bullish
3 Stocks Staging Breakouts,https://www.zacks.com/commentary/2036971/3-stocks-staging-breakouts,2023-01-09 22:41:00,"Monday, markets added to Friday's strength as leadership broadened. Today, we cover 3 stocks breaking out technically with stellar fundamentals.",HAL,0.191675,-0.112215,Neutral
"Dow Jones, S&P 500 Reverse Lower; A Few Stocks Break Out But Volume Mixed",https://www.investors.com/market-trend/stock-market-today/dow-jones-rises-new-data-shows-strong-economy-in-2023-retailers-fall-but-bed-bath-beyond-pops/,2023-01-09 21:33:00,"Dow Jones, S&P Reverse Lower As Nasdaq Pares Gains Investor's Business Daily ...",HAL,0.112008,-0.262745,Somewhat-Bearish
"Jim Cramer's Investing Club meeting Monday: Consumer prices, overvalued tech stocks, oil",https://www.cnbc.com/2023/01/09/jim-cramers-investing-club-meeting-monday-consumer-prices-tech-.html,2023-01-09 17:07:45,"The Investing Club holds its ""Morning Meeting"" every weekday at 10:20 a.m. ET.",HAL,0.246167,0.056906,Neutral
"Take the Zacks Approach to Beat the Market: Boeing, Halliburton, Starbucks in Focus",https://www.zacks.com/stock/news/2036606/take-the-zacks-approach-to-beat-the-market-boeing-halliburton-starbucks-in-focus,2023-01-09 12:19:00,Our time-tested methodologies were at work to help investors navigate the market well last week. Here are some of our key performance data from the past three months.,HAL,0.088472,0.307948,Somewhat-Bullish
Stock Market Has Hope After Jobs Numbers; Tesla Sees More Pain,https://www.investors.com/market-trend/stock-market-today/stock-market-has-hope-after-jobs-numbers-tesla-sees-more-pain/,2023-01-06 15:48:00,Stock Market Has Hope After Jobs Numbers. Tesla Sees More Pain Investor's Business Daily ...,HAL,0.098862,-0.119812,Neutral
Week #1 Recap: 5 Key Takeaways,https://www.zacks.com/commentary/2036295/week-recap-5-key-takeaways,2023-01-06 15:18:00,"With the first trading week of the year nearly in the books, we dissect 5 key takeaways investors should be paying attention to.",HAL,0.18343,-0.126206,Neutral
Here's Why Hold Strategy is Apt for Baker Hughes  ( BKR )  Stock,https://www.zacks.com/stock/news/2036115/heres-why-hold-strategy-is-apt-for-baker-hughes-bkr-stock,2023-01-06 13:27:00,Baker Hughes (BKR) is committed to returning capital to shareholders. It also has a strong balance sheet.,HAL,0.36472,0.312093,Somewhat-Bullish
Enterprise  ( EPD )  Rewards Unitholders With Distribution Hike,https://www.zacks.com/stock/news/2036113/enterprise-epd-rewards-unitholders-with-distribution-hike,2023-01-06 13:24:00,"Apart from the distribution hike, Enterprise Products (EPD) is also repurchasing shares for returning capital to unit holders.",HAL,0.399734,0.332252,Somewhat-Bullish
EPS Stands Out As Indicator Of Stock Success; Here's What To Look For,https://www.investors.com/how-to-invest/investors-corner/eps-stands-out-as-indicator-of-stock-success-heres-what-to-look-for/,2023-01-06 13:00:00,EPS Stands Out As Indicator Of Stock Success. Here's What To Look ... Investor's Business Daily ...,HAL,0.361802,0.2921,Somewhat-Bullish
