title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"Battleground For Oil Majors: BP Activist Investor Calls For Cut In Green Energy Pledges - Chevron  ( NYSE:CVX ) , BP  ( NYSE:BP ) ",https://www.benzinga.com/analyst-ratings/analyst-color/24/01/36829332/battleground-for-oil-majors-bp-activist-investor-calls-for-cut-in-green-energy-pled,2024-01-29 17:20:04,"With the ink barely dry on the COP28 agreement to transition away from fossil fuels, U.K.-based oil major BP plc BP was called on by an activist investor to drop its commitments to clean energy production.",HES,0.147366,0.10414,Neutral
"M&A volume fell 26.7% in 2023, but dealmaking environment is brighter now: S&P",https://www.marketwatch.com/story/m-a-volume-fell-26-7-in-2023-but-dealmaking-environment-is-brighter-now-s-p-497ccca5,2024-01-29 17:08:00,"The total value of global merger-and-acquisition announcements fell 26.7% to $2.27 trillion in 2023, as higher interest rates chilled dealmaking, S&P said on Monday.",HES,0.268294,-0.006064,Neutral
"AI, Biotech, Energy Sectors Expect M&A Revival For 2024 - Apple  ( NASDAQ:AAPL ) , Amazon.com  ( NASDAQ:AMZN ) ",https://www.benzinga.com/analyst-ratings/analyst-color/24/01/36824293/ai-biotech-energy-sectors-expect-m-a-revival-for-2024,2024-01-29 14:02:53,"Markets are primed for a revival in mergers and acquisitions ( M&A ) in 2024 following the worst performance in almost a decade for deal-making in 2023. Equity and M&A experts believe that, after a year beset by volatile markets and rising interest rates, 2024 offers improving conditions for ...",HES,0.088472,0.063944,Neutral
Hess  ( NYSE:HES )  Now Covered by StockNews.com,https://www.defenseworld.net/2024/01/28/hess-nysehes-now-covered-by-stocknews-com.html,2024-01-28 06:36:45,"Stock analysts at StockNews.com started coverage on shares of Hess ( NYSE:HES - Get Free Report ) in a research report issued to clients and investors on Sunday. The firm set a ""sell"" rating on the oil and gas producer's stock.",HES,0.852739,0.475557,Bullish
"Oil & Gas Stock Roundup: Q4 Earnings From SLB, KMI & More",https://www.zacks.com/stock/news/2216564/oil-gas-stock-roundup-q4-earnings-from-slb-kmi-more,2024-01-26 15:15:00,"SLB, KMI, XOM, SHEL and CVX emerge as the energy headline makers during the week.",HES,0.032781,0.171216,Somewhat-Bullish
Analysts Estimate Hess  ( HES )  to Report a Decline in Earnings: What to Look Out for,https://www.zacks.com/stock/news/2215050/analysts-estimate-hess-hes-to-report-a-decline-in-earnings-what-to-look-out-for,2024-01-24 15:00:27,Hess (HES) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,HES,0.299478,-0.017892,Neutral
"Chevron  ( CVX )  Plans Duvernay Asset Sale, Optimizes Portfolio",https://www.zacks.com/stock/news/2213300/chevron-cvx-plans-duvernay-asset-sale-optimizes-portfolio,2024-01-22 12:53:00,"Following a challenging 2023, Chevron's (CVX) focus has shifted toward performance improvement, particularly in prolific areas like the Permian basin and Guyana.",HES,0.074926,0.223814,Somewhat-Bullish
Chevron Eyes Sale Of Canada's Duvernay Shale Gas Assets To Trim Portfolio: Report - Chevron  ( NYSE:CVX ) ,https://www.benzinga.com/markets/equities/24/01/36713815/chevron-eyes-sale-of-canadas-duvernay-shale-gas-assets-to-trim-portfolio-report,2024-01-22 12:33:08,"On Friday, Chevron Corp CVX reportedly disclosed that it is putting its natural gas business in Canada's Duvernay Shale for sale. The move comes as a part of its efforts to streamline global operations following several big acquisitions, reported Reuters.",HES,0.320974,0.572205,Bullish
HESM: 2024 Energy Watchlist Unveiled,https://stocknews.com/news/hesm-capl-mrc-pds-2024-energy-watchlist-unveiled/,2024-01-22 10:31:56,"With escalating global energy demands and constricted supply levels, crude oil prices in 2024 are predicted to remain closely aligned with those of the previous year.",HES,0.018891,-0.023234,Neutral
I'm Putting My Cash Stockpile to Work on These 3 Stocks,https://www.fool.com/investing/2024/01/21/im-putting-my-cash-stockpile-to-work-on-these-3-st/,2024-01-21 17:47:00,"With the market selling off to start the year, this Fool plans to put some of his growing cash pile to work.",HES,0.100729,0.075834,Neutral
"Apple, American Express Led The Way For Buffett In 2023",https://www.forbes.com/sites/gurufocus/2024/01/12/apple-american-express-led-the-way-for-buffett-in-2023/,2024-01-12 15:42:16,"• Despite its strong performance, Apple has recorded a decline in revenue. • American Express has topped the index three years in a row. As we head into 2024, investors are examining their portfolios to determine how their investments performed in 2023.",HES,0.063933,0.032347,Neutral
Here's How Much $1000 Invested In Hess 5 Years Ago Would Be Worth Today - Hess  ( NYSE:HES ) ,https://www.benzinga.com/news/24/01/36597930/heres-how-much-1000-invested-in-hess-5-years-ago-would-be-worth-today,2024-01-11 17:00:54,"Hess HES has outperformed the market over the past 5 years by 9.33% on an annualized basis producing an average annual return of 21.99%. Currently, Hess has a market capitalization of $42.67 billion.",HES,0.983605,0.387251,Bullish
2 Energy Biggies With Solid Free Cashflow Conversion to Watch,https://www.zacks.com/stock/news/2208787/2-energy-biggies-with-solid-free-cashflow-conversion-to-watch,2024-01-11 13:56:00,"While having strong earnings potential is noteworthy, what holds paramount importance for ExxonMobil (XOM) and Chevron (CVX) is their proficiency in free cash flow conversions.",HES,0.238133,0.148574,Neutral
Unpacking the Latest Options Trading Trends in Hess - Hess  ( NYSE:HES ) ,https://www.benzinga.com/markets/options/24/01/36582301/unpacking-the-latest-options-trading-trends-in-hess,2024-01-10 19:15:45,"Investors with significant funds have taken a bearish position in Hess HES, a development that retail traders should be aware of. This was brought to our attention today through our monitoring of publicly accessible options data at Benzinga.",HES,0.7414,0.211578,Somewhat-Bullish
Hess Corporation - Bearish Signs and Their implications,https://www.investorideas.com/news/2024/energy/01101TradingAlert-Hess-Corporation.asp,2024-01-10 18:31:30,"January 10, 2024 ( Investorideas.com Newswire ) Two candlesticks' formations, price gap and indicators signals. What does it tell us about the price's future? In today's article I decided to take a closer look at the current technical picture of Hess Corporation. Why?",HES,0.062761,0.033003,Neutral
"SHAREHOLDER INVESTIGATION: Halper Sadeh LLC Investigates HES, DSKE, ROVR, ESMT - Engagesmart  ( NYSE:ESMT ) , Daseke  ( NASDAQ:DSKE ) ",https://www.benzinga.com/pressreleases/24/01/g36539106/shareholder-investigation-halper-sadeh-llc-investigates-hes-dske-rovr-esmt,2024-01-08 17:08:46,"NEW YORK, Jan. 08, 2024 ( GLOBE NEWSWIRE ) -- Halper Sadeh LLC, an investor rights law firm, is investigating the following companies for potential violations of the federal securities laws and/or breaches of fiduciary duties to shareholders relating to:",HES,0.139265,0.165744,Somewhat-Bullish
"Southwestern Energy And Chesapeake Energy Near $17B Merger: Report - Chevron  ( NYSE:CVX ) , Chesapeake Energy  ( NASDAQ:CHK ) ",https://www.benzinga.com/markets/equities/24/01/36521132/southwestern-energy-and-chesapeake-energy-near-17b-merger-report,2024-01-06 02:30:29,"Southwestern Energy Co. SWN and Chesapeake Energy Corp. CHK are reportedly on the verge of a merger, creating a $17 billion entity. The outcome of this merger could result in one of the nation's largest natural gas producers.",HES,0.236972,-0.109484,Neutral
Top E&P Player Retreats To U.S. Assets Amid Middle East Concerns,https://www.investors.com/news/middle-east-oil-fears-jump-amid-libya-protests-apa-retreats-to-safer-us-assets/,2024-01-04 15:24:00,Middle East Oil Fears Jump Amid Libya Protests. APA Retreats To Safer U.S. Assets. Investor's Business Daily ...,HES,0.201803,0.137742,Neutral
