title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Honeywell International Inc.  ( HON )  Gains As Market Dips: What You Should Know,https://www.zacks.com/stock/news/2037031/honeywell-international-inc-hon-gains-as-market-dips-what-you-should-know,2023-01-09 23:00:20,"Honeywell International Inc. (HON) closed the most recent trading day at $210.67, moving +0.19% from the previous trading session.",HON,0.638519,0.280019,Somewhat-Bullish
"Sputter Coatings Market will reach to USD 1,043 million by 2030 : GreyViews",https://www.benzinga.com/pressreleases/23/01/g30336906/sputter-coatings-market-will-reach-to-usd-1-043-million-by-2030-greyviews,2023-01-09 17:00:00,"Pune India, Jan. 09, 2023 ( GLOBE NEWSWIRE ) -- The market has been studied for the below mentioned-segmentation and regional analysis for North America, Europe, Asia, South America, and the Middle East and Africa. These are the key regions where the sputter coatings market is operating and is ...",HON,0.026981,0.057587,Neutral
Honeywell  ( HON )  to Display Retail Solutions at NRF 2023,https://www.zacks.com/stock/news/2036740/honeywell-hon-to-display-retail-solutions-at-nrf-2023,2023-01-09 14:23:00,"At the NRF 2023 event, Honeywell (HON) is set to display how its retail technology solution can improve store associate productivity and enhance customers' shopping experience.",HON,0.729556,0.533845,Bullish
Automation solution market in renewable power generation industry; Growth opportunities led by ABB Ltd. and Beckhoff Automation GmbH and Co. KG - Technavio,https://www.prnewswire.com/news-releases/automation-solution-market-in-renewable-power-generation-industry-growth-opportunities-led-by-abb-ltd-and-beckhoff-automation-gmbh-and-co-kg---technavio-301714255.html,2023-01-09 14:00:00,Automation solution market in renewable power generation industry ... PR ...,HON,0.03453,0.065273,Neutral
HON: 5 Industrial Stocks to Buy as You Head Into 2023,https://stocknews.com/news/hon-cat-dci-tnc-powl-5-industrial-stocks-to-buy-as-you-head-into-2023/,2023-01-05 15:12:08,HON: 5 Industrial Stocks to Buy as You Head Into ...,HON,0.314455,0.352939,Bullish
Asian shares mostly rise in muted trading on bargain-hunting,https://apnews.com/article/inflation-business-china-federal-reserve-system-financial-markets-a9a2e63144341239d1dac64acc1341af,2023-01-05 06:53:40,"Asia shares up as sentiments boosted by Fed minutes, US jobs The Associated Press - en ...",HON,0.048036,-0.079041,Neutral
Honeywell Stock Is Falling After a Rare Double Downgrade,https://www.barrons.com/articles/honeywell-stock-double-downgrade-51672856391,2023-01-04 18:21:00,"Higher-than-normal valuation has one bull suddenly turning bearish on shares of industrial-controls giant Honeywell International. The stock is falling. Wednesday, UBS analyst Chris Snyder downgraded Honeywell stock ( ticker: HON ) to Sell from Buy. His price target for shares went to $193 from ...",HON,0.996307,-0.017529,Neutral
Stellantis to build U.S. firm Archer's air taxi,https://www.reuters.com/business/aerospace-defense/stellantis-build-us-firm-archers-air-taxi-2023-01-04/,2023-01-04 16:49:44,"PARIS, Jan 4 ( Reuters ) - Car maker Stellantis ( STLA.MI ) will help build Archer Aviation's ( ACHR.N ) electric aircraft Midnight eVTOL and increase its stake in the U.S. company, the two firms said on Wednesday.",HON,0.114682,0.0,Neutral
Stock Market Gives Back Gains; Job Openings Rise More Than Expected,https://www.investors.com/market-trend/stock-market-today/stock-market-gives-back-gains-job-openings-rise-more-than-expected/,2023-01-04 15:59:00,Stock Market Whipsaws Bulls And Bears. Job Openings Rise ... Investor's Business Daily ...,HON,0.095517,0.0,Neutral
Futures Rise Ahead Of Key Economic Data,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-market-hit-resistance-to-start-2023-apple-tesla-dived/,2023-01-04 12:48:00,Dow Jones Futures Rise With Key Data Due After Market Hit ... Investor's Business Daily ...,HON,0.050254,-0.158888,Somewhat-Bearish
2 Stocks Down Over 60% to Buy Right Now,https://www.fool.com/investing/2023/01/04/2-stocks-down-big-to-buy-right-now-2023/,2023-01-04 10:22:00,One beaten-down growth stock and one dividend stock worth buying in the new year.,HON,0.039224,-0.035578,Neutral
Honeywell International Inc.  ( HON )  Flat As Market Sinks: What You Should Know,https://www.zacks.com/stock/news/2034859/honeywell-international-inc-hon-flat-as-market-sinks-what-you-should-know,2023-01-03 23:00:23,"Honeywell International Inc. (HON) closed the most recent trading day at $214.30, making no change from the previous trading session.",HON,0.666827,0.262779,Somewhat-Bullish
Smart Hospitality Market Report 2022: Sector to Reach $110.08 Billion by 2030 with a 29.8% CAGR,https://www.prnewswire.com/news-releases/smart-hospitality-market-report-2022-sector-to-reach-110-08-billion-by-2030-with-a-29-8-cagr-301712251.html,2023-01-03 15:00:00,Smart Hospitality Market Report 2022: Sector to Reach $110.08 ... PR ...,HON,0.061003,0.169282,Somewhat-Bullish
Lumentum Names Caroline Pan as Senior Vice President and Chief Marketing Officer,https://www.prnewswire.com/news-releases/lumentum-names-caroline-pan-as-senior-vice-president-and-chief-marketing-officer-301712131.html,2023-01-03 14:15:00,Lumentum Names Caroline Pan as Senior Vice President and Chief ... PR ...,HON,0.07887,0.198885,Somewhat-Bullish
This Dow Jones Stock Is a Genius Buy for Dividend Growth,https://www.fool.com/investing/2023/01/02/this-dow-jones-stock-is-a-genius-buy-for-dividend/,2023-01-02 18:05:00,"A successful, stalwart growth stock is rewarding shareholders as it powers into the future.",HON,0.559081,0.681534,Bullish
"Air Purifier Market Size to Hit $26.90 Billion, Globally, by 2028 with 9.8% CAGR - Exclusive Study by The Insight Partners",https://www.benzinga.com/pressreleases/23/01/g30249646/air-purifier-market-size-to-hit-26-90-billion-globally-by-2028-with-9-8-cagr-exclusive-study-by-th,2023-01-02 14:32:10,"New York, Jan. 02, 2023 ( GLOBE NEWSWIRE ) -- The Insight Partners published latest research study on ""Air Purifier Market Size, Share, Growth, Trends and Global Forecast to 2028 - COVID-19 Impact and Global Analysis by Technique [High-Efficiency Particulate Air ( HEPA ) , Ultraviolet Germicidal ...",HON,0.031446,0.096712,Neutral
Ultra-High Molecular Weight Polyethylene  ( UHMWPE )  Market Size to Surpass USD 3.4 Billion by 2028 at 9.5% CAGR - Report by Market Research Future  ( MRFR ) ,https://www.benzinga.com/pressreleases/23/01/g30248615/ultra-high-molecular-weight-polyethylene-uhmwpe-market-size-to-surpass-usd-3-4-billion-by-2028-at-,2023-01-02 11:00:00,"New York, USA, Jan. 02, 2023 ( GLOBE NEWSWIRE ) -- Ultra-High Molecular Weight Polyethylene ( UHMWPE ) Market Overview",HON,0.027603,0.0,Neutral
