title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Dental Surgical Equipment Market size to Grow by USD 2.10 billion from 2022 to 2027; Surging demand for cutting ... - PR Newswire,https://www.prnewswire.com/news-releases/dental-surgical-equipment-market-size-to-grow-by-usd-2-10-billion-from-2022-to-2027-surging-demand-for-cutting-edge-tools-in-dental-procedures-to-drive-growth---technavio-302039764.html,2024-01-22 09:20:00,Dental Surgical Equipment Market size to Grow by USD 2.10 billion from 2022 to 2027. Surging demand for cutting ... PR ...,HSIC,0.062434,0.131062,Neutral
The hottest hotel for elites at the World Economic Forum costs around $120 a night in the states,https://www.businessinsider.com/world-economic-forum-davos-switzerland-hilton-garden-inn-hot-hotel-2024-1,2024-01-21 04:11:00,Elites at the World Economic Forum stay at the Hilton Garden Inn: WSJ - Business Insider ...,HSIC,0.068502,-0.018198,Neutral
"What Vitamins Did For Healthy Living, Stemtech Corporation  ( OTCQB: STEK )  Says It Is Doing For Anti-Aging With Stem Cell Nutrition - Herbalife  ( NYSE:HLF ) , Amphastar Pharma  ( NASDAQ:AMPH ) ",https://www.benzinga.com/general/biotech/24/01/36694007/what-vitamins-did-for-healthy-living-stemtech-corporation-otcqb-stek-says-it-is-doing-for-anti-ag,2024-01-19 13:14:38,"Vitamins may not be a miracle cure, but combined with exercise and a healthy diet, they have the potential to greatly improve health and wellness. It's no wonder vitamin supplements are a multi-billion dollar business, projected to hit a market size of $98 billion in less than a decade.",HSIC,0.084871,0.0,Neutral
Dental Implants and Prosthetics Market Worth $16.0 Billion | MarketsandMarkets™,https://www.prnewswire.com/news-releases/dental-implants-and-prosthetics-market-worth-16-0-billion--marketsandmarkets-302033431.html,2024-01-12 15:30:00,"CHICAGO, Jan. 12, 2024 /PRNewswire/ -- Dental Implants and Prosthetics Market in terms of revenue was estimated to be worth $10.4 billion in 2023 and is poised to reach $16.0 billion by 2029, growing at a CAGR of 7.5% from 2023 to 2029 according to a new report by MarketsandMarkets™.",HSIC,0.02677,0.049838,Neutral
3 Medical Info Systems Stocks to Buy as Industry Rebounds,https://www.zacks.com/commentary/2204867/3-medical-info-systems-stocks-to-buy-as-industry-rebounds,2024-01-03 15:22:00,"Zacks Medical Info Systems industry stocks like Clover Health Investments (CLOV), Talkspace (TALK) and P3 Health Partners (PIII) are expected to gain from the new normal trends.",HSIC,0.03014,0.057652,Neutral
"Henry Schein  ( HSIC )  Sales Hurt by Cyber Attack, Macro Woes",https://www.zacks.com/stock/news/2202660/henry-schein-hsic-sales-hurt-by-cyber-attack-macro-woes,2023-12-27 15:09:00,Henry Schein's (HSIC) financial operations are being affected by the current macroeconomic environment.,HSIC,0.523336,0.205851,Somewhat-Bullish
Henry Schein  ( HSIC )  Enters Orthopedic Market With New Buyout,https://www.zacks.com/stock/news/2201157/henry-schein-hsic-enters-orthopedic-market-with-new-buyout,2023-12-21 16:39:00,"Henry Schein's (HSIC) recent deals will position it as a prominent producer and supplier in the orthopedic market's Foot and Ankle, Hand and Wrist extremity sectors.",HSIC,0.49407,0.44276,Bullish
Henry Schein  ( HSIC )  Up 4.9% Since Last Earnings Report: Can It Continue?,https://www.zacks.com/stock/news/2197464/henry-schein-hsic-up-49-since-last-earnings-report-can-it-continue,2023-12-13 16:30:06,Henry Schein (HSIC) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,HSIC,0.440827,0.173446,Somewhat-Bullish
"Veterinary Equipment and Disposables Market Size to Exceed USD 4.4 billion By 2031, with a Robust CAGR of 7.9 %| States Transparency Market Research, Inc.",https://www.benzinga.com/pressreleases/23/12/g36190825/veterinary-equipment-and-disposables-market-size-to-exceed-usd-4-4-billion-by-2031-with-a-robust-c,2023-12-12 09:00:00,"Wilmington, Delaware, United States, Dec. 12, 2023 ( GLOBE NEWSWIRE ) -- Transparency Market Research Inc. - The global market for veterinary equipment and disposables is projected to soar significantly at a CAGR of 7.9% between 2023 and 2031.",HSIC,0.067064,0.242501,Somewhat-Bullish
eAssist Partners with Henry Schein and Other Dental Industry Experts to Launch 2024 Give Yourself a Raise Tour - PR Newswire,https://www.prnewswire.com/news-releases/eassist-partners-with-henry-schein-and-other-dental-industry-experts-to-launch-2024-give-yourself-a-raise-tour-302010158.html,2023-12-11 13:31:00,eAssist Partners with Henry Schein and Other Dental Industry Experts to Launch 2024 Give Yourself a Raise Tour PR ...,HSIC,0.320974,0.403909,Bullish
