title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Why Idexx  ( IDXX )  is Poised to Beat Earnings Estimates Again,https://www.zacks.com/stock/news/2218160/why-idexx-idxx-is-poised-to-beat-earnings-estimates-again,2024-01-30 17:10:10,Idexx (IDXX) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,IDXX,0.172097,0.216858,Somewhat-Bullish
IDEXX Laboratories  ( IDXX )  to Post Q4 Earnings: What's in Store?,https://www.zacks.com/stock/news/2217329/idexx-laboratories-idxx-to-post-q4-earnings-whats-in-store,2024-01-29 16:58:00,Strength in CAG Diagnostics and Water businesses are likely to have boosted IDEXX Laboratories' (IDXX) revenues in Q4.,IDXX,0.257895,0.166201,Somewhat-Bullish
IBD Rating Upgrades: IDEXX Laboratories Shows Improved Price Strength,https://www.investors.com/ibd-data-stories/ibd-rating-upgrades-idexx-laboratories-shows-improved-price-strength/,2024-01-26 08:00:00,"IDEXX Laboratories ( IDXX ) had its Relative Strength ( RS ) Rating upgraded from 70 to 75 Friday -- a welcome improvement, but still shy of the 80 or better score you look for. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.",IDXX,0.663719,0.374463,Bullish
P/E Ratio Insights for IDEXX Laboratories - IDEXX Laboratories  ( NASDAQ:IDXX ) ,https://www.benzinga.com/news/24/01/36643632/pe-ratio-insights-for-idexx-laboratories,2024-01-16 15:15:29,"Looking into the current session, IDEXX Laboratories Inc. IDXX shares are trading at $530.12, after a 0.97% decrease. Over the past month, the stock fell by 2.86%, but over the past year, it actually went up by 10.14%.",IDXX,0.388879,0.03001,Neutral
IDEXX  ( IDXX )  Enhances Fecal Dx Antigen Testing Platform,https://www.zacks.com/stock/news/2210311/idexx-idxx-enhances-fecal-dx-antigen-testing-platform,2024-01-15 16:33:00,IDEXX's (IDXX) Fecal Dx antigen testing detects the most prevalent and clinically relevant intestinal parasites in dogs and cats.,IDXX,0.094576,-0.190351,Somewhat-Bearish
"IDEXX Expands Fecal Dx® Antigen Testing Platform with Cystoisospora Detection, Marking the Second Platform ... - Canada NewsWire",https://www.newswire.ca/news-releases/idexx-expands-fecal-dx-r-antigen-testing-platform-with-cystoisospora-detection-marking-the-second-platform-expansion-in-less-than-two-years-880191540.html,2024-01-12 12:05:00,"IDEXX Expands Fecal Dx® Antigen Testing Platform with Cystoisospora Detection, Marking the Second Platform ... Canada ...",IDXX,0.09893,0.114725,Neutral
"IDEXX Announces Revolutionary Slide-Free Cellular Analyzer, IDEXX inVue Dx™ Transforming In-Clinic Workflows - Canada NewsWire",https://www.newswire.ca/news-releases/idexx-announces-revolutionary-slide-free-cellular-analyzer-idexx-invue-dx-tm-transforming-in-clinic-workflows-848484455.html,2024-01-12 12:00:00,"IDEXX Announces Revolutionary Slide-Free Cellular Analyzer, IDEXX inVue Dx™ Transforming In-Clinic Workflows Canada ...",IDXX,0.170275,0.176237,Somewhat-Bullish
$1000 Invested In IDEXX Laboratories 10 Years Ago Would Be Worth This Much Today - IDEXX Laboratories  ( NASDAQ:IDXX ) ,https://www.benzinga.com/news/24/01/36539656/1000-invested-in-idexx-laboratories-10-years-ago-would-be-worth-this-much-today,2024-01-08 17:30:21,"IDEXX Laboratories IDXX has outperformed the market over the past 10 years by 15.84% on an annualized basis producing an average annual return of 25.71%. Currently, IDEXX Laboratories has a market capitalization of $45.03 billion.",IDXX,0.980595,0.386944,Bullish
Stocks Showing Improved Relative Strength: Axonics,https://www.investors.com/ibd-data-stories/stocks-showing-improved-relative-strength-axonics/,2023-12-29 08:00:00,"On Friday, Axonics ( AXNX ) received a positive adjustment to its Relative Strength ( RS ) Rating, from 67 to 71. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.",IDXX,0.318897,0.0,Neutral
"Henry Schein  ( HSIC )  Sales Hurt by Cyber Attack, Macro Woes",https://www.zacks.com/stock/news/2202660/henry-schein-hsic-sales-hurt-by-cyber-attack-macro-woes,2023-12-27 15:09:00,Henry Schein's (HSIC) financial operations are being affected by the current macroeconomic environment.,IDXX,0.043658,0.08945,Neutral
