title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Billionaire Carl Icahn Has $9.9 Billion Invested in These 5 High-Yield Dividend Stocks,https://www.fool.com/investing/2024/01/30/billionaire-carl-icahn-high-yield-dividend-stocks/,2024-01-30 10:50:00,Are these high-yield stocks smart picks for investors who aren't so famous?,IFF,0.194763,0.134541,Neutral
"Food Flavors Market Poised to Expand at a 4.9% CAGR, Surpassing US$20 Billion by 2032 | Persistence Market Research",https://www.benzinga.com/pressreleases/24/01/g36756421/food-flavors-market-poised-to-expand-at-a-4-9-cagr-surpassing-us-20-billion-by-2032-persistence-ma,2024-01-24 13:08:25,"New York, Jan. 24, 2024 ( GLOBE NEWSWIRE ) -- Market Overview: The food flavors market is a dynamic and integral segment of the global food and beverage industry. Food flavors are essential components that enhance the taste and aroma of various food products, making them more appealing to ...",IFF,0.074692,0.130295,Neutral
"Global Plant Extracts Market Size is Estimated to Reach USD 94.1 billion by 2031, Growing at a CAGR of 12%: Straits Research",https://www.benzinga.com/pressreleases/24/01/g36739007/global-plant-extracts-market-size-is-estimated-to-reach-usd-94-1-billion-by-2031-growing-at-a-cagr,2024-01-23 15:00:00,"New York, United State, Jan. 23, 2024 ( GLOBE NEWSWIRE ) -- A plant extract is a substance or active ingredient with desirable properties used for a particular purpose. Usually, a solvent is used to extract it from plant tissues. Plant extracts are primarily derived from roots, bulbs, fruits, ...",IFF,0.10863,0.088216,Neutral
"Gut Supplement Market Projected to Reach US$22.6 Billion by 2030, Demonstrating a Robust Boom with a CAGR of 8.9%, Reports Persistence Market Research",https://www.benzinga.com/pressreleases/24/01/g36681724/gut-supplement-market-projected-to-reach-us-22-6-billion-by-2030-demonstrating-a-robust-boom-with-,2024-01-18 16:45:00,"New York, Jan. 18, 2024 ( GLOBE NEWSWIRE ) -- The market dedicated to digestive health supplements involves the manufacturing and distribution of products aimed at promoting and improving gastrointestinal health.",IFF,0.03072,0.0,Neutral
"Animal Feed Additives Market to Achieve 4.8% CAGR, Surpassing US$ 71.8 Billion Revenue by 2033, According to Persistence Market Research",https://www.benzinga.com/pressreleases/24/01/g36644236/animal-feed-additives-market-to-achieve-4-8-cagr-surpassing-us-71-8-billion-revenue-by-2033-accord,2024-01-16 15:45:00,"New York, Jan. 16, 2024 ( GLOBE NEWSWIRE ) -- The global animal feed additives market has experienced significant growth in recent years, driven by a rising demand for high-quality animal protein, increased awareness about animal health, and the imperative for efficient and sustainable livestock ...",IFF,0.028089,0.089704,Neutral
"Hydrocolloids Market Size, Share, Growth Trends and Global Industry Insights",https://www.benzinga.com/pressreleases/24/01/g36629752/hydrocolloids-market-size-share-growth-trends-and-global-industry-insights,2024-01-15 14:30:00,"Chicago, Jan. 15, 2024 ( GLOBE NEWSWIRE ) -- The global hydrocolloids market size is estimated to be valued at USD 11.2 billion in 2023 and is projected to reach USD 14.5 billion by 2028, at a CAGR of 5.4% during the forecast period.",IFF,0.052918,0.177683,Somewhat-Bullish
"'Dogecoin Killer' Shiba Inu Dominates with 400% Surge in Token Burns, Whales Acquire $1.38M in SHIB, Trump's Town Hall Draws 4.4M Views, Eclipsing Haley-DeSantis GOP Debate - Top Headlines Today While US Was Sleeping",https://www.benzinga.com/news/24/01/36609404/dogecoin-killer-shiba-inu-dominates-with-400-surge-in-token-burns-whales-acquire-1-38m-in-shib-trump,2024-01-12 13:04:34,"Crypto Analyst Predicts Pepe Coin 'To Be Breaking Out' As Price Escapes Bearish Channel Ethereum Co-Founder Vitalik Buterin Proposes A 33% Boost In Network's Gas Limit 'Dogecoin Killer' Shiba Inu Scorches The Charts: Token Burn Skyrockets 400%, Whales Accumulate $1.38M Worth Of SHIB",IFF,0.054114,0.305977,Somewhat-Bullish
"Lululemon To Rally Over 17%? Here Are 10 Top Analyst Forecasts For Friday - Alibaba Gr Holding  ( NYSE:BABA ) , Autodesk  ( NASDAQ:ADSK ) ",https://www.benzinga.com/news/24/01/36609210/lululemon-to-rally-over-17-here-are-10-top-analyst-forecasts-for-friday,2024-01-12 12:48:18,"Top Wall Street analysts changed their outlook on these top names. For a complete view of all analyst rating changes, including upgrades and downgrades, please see our analyst ratings page. Keybanc raised Lululemon Athletica Inc. LULU price target from $500 to $570.",IFF,0.160633,0.1354,Neutral
International Flavors & Fragrances Shares Are Up: Here's Why International Flavors & Fragrances Shares Are Up: Here's Details - Intl Flavors & Fragrances  ( NYSE:IFF ) ,https://www.benzinga.com/markets/equities/24/01/36607186/international-flavors-fragrances-shares-are-up-heres-details,2024-01-12 10:41:27,"International Flavors & Fragrances Inc IFF shares are trading higher after it appointed a new CEO and reaffirmed FY23 guidance and strategic plan. The company disclosed the appointment of J. Erik Fyrwald as Chief Executive Officer and member of the IFF Board of Directors, succeeding Frank ...",IFF,0.759278,0.61894,Bullish
International Flavors & Fragrances Taps Fyrwald to Succeed Clyburn as Next CEO,https://www.wsj.com/business/international-flavors-fragrances-taps-fyrwalk-to-succeed-clyburn-as-next-ceo-130d8e6c,2024-01-11 21:36:00,Fyrwald most recently served as CEO of Syngenta.,IFF,0.846873,0.458552,Bullish
