title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
2 Growth Stocks That Could Help Set You Up for Life,https://www.fool.com/investing/2023/01/10/2-growth-stocks-that-could-help-set-you-up-for-lif/,2023-01-10 13:15:00,Regularly investing in both up and down markets can help you build a resilient portfolio over time.,ISRG,0.218817,0.089349,Neutral
"Want $1 Million in Retirement? Invest $300,000 in These 3 Stocks and Wait a Decade",https://www.fool.com/investing/2023/01/10/want-1-million-retirement-invest-in-these-stocks/,2023-01-10 10:50:00,Don't let your retirement planning fall by the wayside in the current market.,ISRG,0.139669,0.137789,Neutral
5 Struggling Stocks to Buy at a Discount,https://www.fool.com/investing/2023/01/10/5-struggling-stocks-to-buy-at-a-discount/,2023-01-10 10:30:00,These are bargains you won't want to miss.,ISRG,0.076236,-0.020614,Neutral
Why You Should Hold Elevance Health  ( ELV )  in Your Portfolio,https://www.zacks.com/stock/news/2036953/why-you-should-hold-elevance-health-elv-in-your-portfolio,2023-01-09 18:35:00,Elevance Health (ELV) remains well-poised for growth due to a growing customer base within its Government and IngenioRx businesses coupled with solid cash-generating abilities.,ISRG,0.215894,0.048253,Neutral
This Robotic Products Company Is A Better Pick Over Medtronic Stock,https://www.forbes.com/sites/greatspeculations/2023/01/06/this-robotic-products-company-is-a-better-pick-over-medtronic-stock/,2023-01-06 13:00:38,"We believe Intuitive Surgical stock (NASDAQ: ISRG) is currently a better pick than Medtronic stock (NYSE: MDT), given its better prospects.",ISRG,0.671529,0.328462,Somewhat-Bullish
Here's Why You Should Hold Cigna  ( CI )  Stock in Your Portfolio,https://www.zacks.com/stock/news/2035807/heres-why-you-should-hold-cigna-ci-stock-in-your-portfolio,2023-01-05 16:47:00,"Cigna (CI) remains well-poised for growth on the back of the solid Evernorth and Cigna Healthcare businesses, an expanding customer base and robust cash-generating abilities.",ISRG,0.222327,0.138095,Neutral
Here's What Chipmakers Have In Mind For The Tech World In 2023,https://www.investors.com/news/technology/ces-2023-chipmakers-tout-latest-processors-at-tech-show/,2023-01-05 15:47:00,CES 2023: Chipmakers Tout Latest Processors At Tech Show ... Investor's Business Daily ...,ISRG,0.135347,0.187421,Somewhat-Bullish
Is Intuitive Surgical Stock a Buy Now?,https://www.fool.com/investing/2023/01/05/is-intuitive-surgical-stock-a-buy-now/,2023-01-05 14:00:00,This growth stock has generally made its shareholders happy.,ISRG,0.597525,0.236197,Somewhat-Bullish
AngioDynamics  ( ANGO )  Surpasses Q2 Earnings and Revenue Estimates,https://www.zacks.com/stock/news/2035551/angiodynamics-ango-surpasses-q2-earnings-and-revenue-estimates,2023-01-05 13:15:04,"AngioDynamics (ANGO) delivered earnings and revenue surprises of 200% and 1.65%, respectively, for the quarter ended November 2022. Do the numbers hold clues to what lies ahead for the stock?",ISRG,0.207571,0.0,Neutral
3 Nasdaq 100 Stocks That Are Surefire Buys in 2023,https://www.fool.com/investing/2023/01/05/3-nasdaq-100-stocks-that-are-surefire-buys-in-2023/,2023-01-05 10:21:00,A drubbing for growth stocks last year has created a generational buying opportunity in 2023.,ISRG,0.23008,0.045007,Neutral
AMD Highlights Future of High-Performance and Adaptive Computing During Opening Keynote of CES 2023 - Advanced Micro Devices  ( NASDAQ:AMD ) ,https://www.benzinga.com/pressreleases/23/01/g30288384/amd-highlights-future-of-high-performance-and-adaptive-computing-during-opening-keynote-of-ces-202,2023-01-05 03:30:00,"- AMD CEO and partners including Microsoft, HP, Lenovo, Magic Leap and Intuitive Surgical showcase AMD technologies advancing AI, hybrid work, gaming, healthcare, aerospace and sustainable computing -",ISRG,0.026532,0.212758,Somewhat-Bullish
AMD Highlights Future of High-Performance and Adaptive Computing During Opening Keynote of CES 2023,https://www.globenewswire.com/news-release/2023/01/05/2583339/0/en/AMD-Highlights-Future-of-High-Performance-and-Adaptive-Computing-During-Opening-Keynote-of-CES-2023.html,2023-01-05 03:30:00,"- AMD CEO and partners including Microsoft, HP, Lenovo, Magic Leap and Intuitive Surgical showcase AMD technologies advancing AI, hybrid work, gaming, healthcare, aerospace and sustainable computing ...",ISRG,0.01816,0.204607,Somewhat-Bullish
"Intuitive Surgical, Inc.  ( ISRG )  Gains As Market Dips: What You Should Know",https://www.zacks.com/stock/news/2034888/intuitive-surgical-inc-isrg-gains-as-market-dips-what-you-should-know,2023-01-03 23:15:20,"Intuitive Surgical, Inc. (ISRG) closed the most recent trading day at $265.63, moving +0.11% from the previous trading session.",ISRG,0.689912,0.230099,Somewhat-Bullish
