title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
DSGX: 1 SaaS Stock to Buy in 2023 and 2 to Avoid Completely,https://stocknews.com/news/dsgx-pltr-twlo-1-saas-stock-to-buy-in-2023-and-2-to/,2023-01-10 17:10:00,"As inflationary pressures and macroeconomic factors weakened the consumer demand for companies, 2022 turned out to be a challenging year for Software-as-a-service ( SaaS ) stocks. In response to a lack of demand, tech companies began shedding employees, resulting in mass layoffs.",IT,0.037387,0.014956,Neutral
GreyOrange Transforms Warehouse Fulfillment with Its GreyMatter Open API,https://www.benzinga.com/pressreleases/23/01/g30352583/greyorange-transforms-warehouse-fulfillment-with-its-greymatter-open-api,2023-01-10 14:00:00,"ATLANTA, Jan. 10, 2023 ( GLOBE NEWSWIRE ) -- GreyOrange, a global leader in automated robotic fulfillment and inventory optimization software, today announced the launch of its GreyMatter™ open API ( application programming interface ) .",IT,0.05133,-0.042665,Neutral
New Research by APQC and IBM Institute for Business Value Estimates the Business Value of Benchmarking Could Exceed $1 Trillion Annually for Fortune 1000,https://www.prnewswire.com/news-releases/new-research-by-apqc-and-ibm-institute-for-business-value-estimates-the-business-value-of-benchmarking-could-exceed-1-trillion-annually-for-fortune-1000-301716834.html,2023-01-10 14:00:00,New Research by APQC and IBM Institute for Business Value ... PR ...,IT,0.035661,0.040694,Neutral
ZERO SYSTEMS RECOGNIZED AS A 2022 GARTNER COOL VENDOR IN DATA-CENTRIC AI,https://www.newswire.ca/news-releases/zero-systems-recognized-as-a-2022-gartner-cool-vendor-in-data-centric-ai-827223881.html,2023-01-10 13:00:00,ZERO SYSTEMS RECOGNIZED AS A 2022 GARTNER COOL ... Canada ...,IT,0.082111,0.054207,Neutral
VSH: 3 Under-the-Radar Tech Stocks to Buy This January,https://stocknews.com/news/vsh-ttmi-sckt-3-under-the-radar-tech-stocks-to-buy-this-january/,2023-01-10 12:26:31,"Layoffs, record-high inflation, rising interest rates, and an economic slowdown roiled the tech industry in 2022. The tech-heavy Nasdaq Composite tumbled more than 28% over the past year. However, sustained demand for tech products and services is expected to drive the industry's growth this year.",IT,0.035345,0.01444,Neutral
"How India Inc CFOs will spend on IT in 2023, CFO News, ETCFO",https://cfo.economictimes.indiatimes.com/news/how-india-inc-cfos-will-spend-on-it-in-2023/96843487,2023-01-09 03:31:00,Finance heads will continue to increase their spending in key segments of information technology next year as digitalisation stays a strong investment theme for the Indian industry.,IT,0.089797,0.042791,Neutral
"3 Remarkable Growth Stocks That Could Climb 39% to 46%, According to Wall Street",https://www.fool.com/investing/2023/01/07/3-remarkable-growth-stocks-that-could-climb-39-to/,2023-01-07 10:17:00,These companies are reporting financial results that aren't being reflected in their stock market performances.,IT,0.059488,0.135375,Neutral
Gartner  ( NYSE:IT )  Downgraded to Hold at StockNews.com,https://reporter.am/2023/01/06/gartner-nyseit-downgraded-to-hold-at-stocknews-com.html,2023-01-06 09:22:45,StockNews.com cut shares of Gartner ( NYSE:IT - Get Rating ) from a buy rating to a hold rating in a report released on Thursday. Several other equities research analysts have also commented on the stock.,IT,0.049629,0.000997,Neutral
"Salesforce Customers Not Swayed by Slack, Analysts Say",https://www.wsj.com/articles/salesforce-customers-not-swayed-by-slack-analysts-say-11672964706,2023-01-06 00:25:00,"When Salesforce bought Slack for $27.7 billion almost two years ago, it said it would transform how people work. Corporate technology buyers so far aren't impressed, analysts said.",IT,0.045482,0.0,Neutral
ABBV: 3 High-Quality Stocks That Can Help Take Your Portfolio to the Next Level,https://stocknews.com/news/abbv-it-dbx-3-high-quality-stocks-that-can-help-take-your-portfolio-to/,2023-01-05 19:52:22,ABBV: 3 High-Quality Stocks That Can Help Take Your Portfolio to ... ...,IT,0.034933,0.100098,Neutral
Neo4j Hires Twilio Veteran Alyson Welch as its First Chief Revenue Officer,https://www.prnewswire.com/news-releases/neo4j-hires-twilio-veteran-alyson-welch-as-its-first-chief-revenue-officer-301713519.html,2023-01-04 17:08:00,Neo4j Hires Twilio Veteran Alyson Welch as its First Chief Revenue ... PR ...,IT,0.056011,0.053901,Neutral
"Twilio, Zoom, and Other Cloud Communications Stocks Are a Buy for 2023",https://www.fool.com/investing/2023/01/04/twilio-zoom-and-other-cloud-communications-stocks/,2023-01-04 13:45:00,"If you liked the cloud communications industry in 2022, not much has changed for long-term prospects in 2023.",IT,0.088964,0.05229,Neutral
