title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Johnson Controls International Plc  ( JCI )  Q1 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/01/30/johnson-controls-international-plc-jci-q1-2024-ear/,2024-01-30 19:00:15,"JCI earnings call for the period ending December 31, 2023.",JCI,0.051693,0.148717,Neutral
"Johnson Controls  ( JCI )  Q1 Earnings Beat, Revenues Rise Y/Y",https://www.zacks.com/stock/news/2218143/johnson-controls-jci-q1-earnings-beat-revenues-rise-yy,2024-01-30 17:01:00,Johnson Controls' (JCI) fiscal first-quarter results benefit from strength in the HVAC & controls businesses.,JCI,0.458708,0.212398,Somewhat-Bullish
Why Is Johnson Controls Stock Taking A Hit Today? Why Johnson Controls  ( JCI )  Shares Are Slipping Today - Johnson Controls Intl  ( NYSE:JCI ) ,https://www.benzinga.com/news/earnings/24/01/36849987/why-is-johnson-controls-stock-taking-a-hit-today,2024-01-30 16:46:59,"The company reported first-quarter revenues of $6.094 billion, missing the analyst consensus of $6.12 billion. Revenues were flat compared to the prior year on an as-reported basis and declined 1% organically. The company said it is in the early stages of pursuing strategic alternatives for ...",JCI,0.48268,-0.213629,Somewhat-Bearish
Johnson Controls  ( JCI )  Q1 Earnings Surpass Estimates,https://www.zacks.com/stock/news/2217709/johnson-controls-jci-q1-earnings-surpass-estimates,2024-01-30 13:05:03,"Johnson Controls (JCI) delivered earnings and revenue surprises of 2% and 0.52%, respectively, for the quarter ended December 2023. Do the numbers hold clues to what lies ahead for the stock?",JCI,0.401331,0.115012,Neutral
Johnson Controls Reports Solid Q1 Results; Updates FY24 Guidance,https://www.prnewswire.com/news-releases/johnson-controls-reports-solid-q1-results-updates-fy24-guidance-302047316.html,2024-01-30 11:55:00,Johnson Controls Reports Solid Q1 Results. Updates FY24 Guidance PR ...,JCI,0.364823,0.154349,Somewhat-Bullish
What to Note Ahead of Johnson Controls'  ( JCI )  Q1 Earnings,https://www.zacks.com/stock/news/2216002/what-to-note-ahead-of-johnson-controls-jci-q1-earnings,2024-01-25 16:44:00,Johnson Controls' (JCI) first-quarter fiscal 2024 results are likely to reflect a slowdown in the residential market and the challenging end-market conditions in China.,JCI,0.482982,0.003151,Neutral
Unveiling Johnson Controls  ( JCI )  Q1 Outlook: Wall Street Estimates for Key Metrics,https://www.zacks.com/stock/news/2215701/unveiling-johnson-controls-jci-q1-outlook-wall-street-estimates-for-key-metrics,2024-01-25 14:15:23,"Looking beyond Wall Street's top -and-bottom-line estimate forecasts for Johnson Controls (JCI), delve into some of its key metrics to gain a deeper insight into the company's potential performance for the quarter ended December 2023.",JCI,0.508593,0.08641,Neutral
Johnson Controls International  ( NYSE:JCI )  Downgraded to Hold at StockNews.com,https://www.defenseworld.net/2024/01/25/johnson-controls-international-nysejci-downgraded-to-hold-at-stocknews-com.html,2024-01-25 06:40:43,"Johnson Controls International ( NYSE:JCI - Get Free Report ) was downgraded by equities research analysts at StockNews.com from a ""buy"" rating to a ""hold"" rating in a report issued on Thursday. A number of other research analysts have also issued reports on the company.",JCI,0.779232,0.359218,Bullish
Analysts Estimate Johnson Controls  ( JCI )  to Report a Decline in Earnings: What to Look Out for,https://www.zacks.com/stock/news/2214273/analysts-estimate-johnson-controls-jci-to-report-a-decline-in-earnings-what-to-look-out-for,2024-01-23 15:00:25,Johnson Controls (JCI) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,JCI,0.296463,0.11328,Neutral
"By 2027, the Industrial High-efficiency Particulate Air (HEPA) Filters Market is expected to achieve a CAGR of 5.5 ... - PR Newswire",https://www.prnewswire.com/news-releases/by-2027--the-industrial-high-efficiency-particulate-air-hepa-filters-market-is-expected-to-achieve-a-cagr-of-5-5-growth-driven-by-the-development-of-the-distributed-power-generation-base--17-000-technavio-reports-302039555.html,2024-01-22 03:15:00,"By 2027, the Industrial High-efficiency Particulate Air ( HEPA ) Filters Market is expected to achieve a CAGR of 5.5 ... PR ...",JCI,0.05654,0.081916,Neutral
"Absorption Chillers Market to Total US$ 2,263.7 Million by 2031, Expanding at a 4.2% CAGR | Persistence Market Research",https://www.benzinga.com/pressreleases/24/01/g36654618/absorption-chillers-market-to-total-us-2-263-7-million-by-2031-expanding-at-a-4-2-cagr-persistence,2024-01-17 07:30:00,"New York, Jan. 17, 2024 ( GLOBE NEWSWIRE ) -- Market Overview: The Absorption Chillers market is a significant segment within the global cooling and HVAC industry.",JCI,0.055686,0.171927,Somewhat-Bullish
"Automotive Cockpit Electronics Market is Projected to Surge at a 8.25 CAGR, Reaching USD 58.1 Billion by 2032 - Analysis Report by Persistence Market Research",https://www.benzinga.com/pressreleases/24/01/g36653647/automotive-cockpit-electronics-market-is-projected-to-surge-at-a-8-25-cagr-reaching-usd-58-1-billi,2024-01-17 02:45:00,"New York, Jan. 17, 2024 ( GLOBE NEWSWIRE ) -- The increased production of vehicles equipped with Advanced Driver Assistance Systems ( ADAS ) features, coupled with a growing emphasis on passenger comfort and safety, along with government regulations mandating safety features, are poised to ...",JCI,0.023626,0.0,Neutral
"Ozop Energy Solutions, Inc. Announces Formation of Advisory Board for OZOP ARC",https://www.globenewswire.com/news-release/2024/01/16/2810018/0/en/Ozop-Energy-Solutions-Inc-Announces-Formation-of-Advisory-Board-for-OZOP-ARC.html,2024-01-16 14:30:00,Appoints Industry Veteran Steven Klauber as First Member ...,JCI,0.051111,0.122398,Neutral
"Global HVAC Equipment Market Size is Estimated to Reach USD 206.4 billion by 2030, Growing at a CAGR of 7.6%: Straits Research",https://www.benzinga.com/pressreleases/24/01/g36629656/global-hvac-equipment-market-size-is-estimated-to-reach-usd-206-4-billion-by-2030-growing-at-a-cag,2024-01-15 14:15:00,"New York, United States, Jan. 15, 2024 ( GLOBE NEWSWIRE ) -- HVAC technology provides adequate indoor air quality and thermal comfort for indoor and outdoor environments.",JCI,0.039033,0.056745,Neutral
