title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"Banks take No.1 spot, tech loses a market crown: The 2023 Just 100 rankings",https://www.cnbc.com/2023/01/10/banks-take-no-1-spot-tech-loses-market-crown-the-2023-just-100-list.html,2023-01-10 13:21:08,The technology sector loses the No. 1 ranking in the 2023 JUST 100 list of large-cap companies leading on the issues the American public says matter the most.,KEY,0.04076,0.096238,Neutral
StockNews.com Downgrades Life Storage  ( NYSE:LSI )  to Sell,https://www.etfdailynews.com/2023/01/10/stocknews-com-downgrades-life-storage-nyselsi-to-sell/,2023-01-10 08:22:42,"Life Storage ( NYSE:LSI - Get Rating ) was downgraded by equities researchers at StockNews.com from a ""hold"" rating to a ""sell"" rating in a report issued on Tuesday. A number of other equities analysts have also weighed in on the company.",KEY,0.065506,-0.025026,Neutral
StockNews.com Downgrades Life Storage  ( NYSE:LSI )  to Sell,https://reporter.am/2023/01/10/stocknews-com-downgrades-life-storage-nyselsi-to-sell.html,2023-01-10 08:22:41,"Life Storage ( NYSE:LSI - Get Rating ) was downgraded by StockNews.com from a ""hold"" rating to a ""sell"" rating in a research report issued to clients and investors on Tuesday. A number of other analysts have also recently commented on the company.",KEY,0.061473,-0.003,Neutral
KeyCorp  ( NYSE:KEY )  Stock Rating Lowered by StockNews.com,https://www.etfdailynews.com/2023/01/10/keycorp-nysekey-stock-rating-lowered-by-stocknews-com/,2023-01-10 08:18:47,"KeyCorp ( NYSE:KEY - Get Rating ) was downgraded by StockNews.com from a ""hold"" rating to a ""sell"" rating in a report released on Tuesday. A number of other brokerages also recently commented on KEY. TheStreet upgraded KeyCorp from a ""c+"" rating to a ""b"" rating in a research report on Thursday, ...",KEY,0.887465,0.44737,Bullish
"KeyCorp  ( NYSE:KEY )  Downgraded to ""Sell"" at StockNews.com",https://reporter.am/2023/01/10/keycorp-nysekey-downgraded-to-sell-at-stocknews-com.html,2023-01-10 08:18:46,"KeyCorp ( NYSE:KEY - Get Rating ) was downgraded by research analysts at StockNews.com from a ""hold"" rating to a ""sell"" rating in a note issued to investors on Tuesday. Several other equities analysts have also issued reports on the company.",KEY,0.855104,0.370175,Bullish
"CenterPoint Energy  ( NYSE:CNP )  Raised to ""Hold"" at StockNews.com",https://reporter.am/2023/01/10/centerpoint-energy-nysecnp-raised-to-hold-at-stocknews-com.html,2023-01-10 08:18:43,"CenterPoint Energy ( NYSE:CNP - Get Rating ) was upgraded by StockNews.com from a ""sell"" rating to a ""hold"" rating in a research note issued on Tuesday. CNP has been the topic of several other research reports.",KEY,0.061949,-0.025,Neutral
"CenterPoint Energy  ( NYSE:CNP )  Raised to ""Hold"" at StockNews.com",https://www.etfdailynews.com/2023/01/10/centerpoint-energy-nysecnp-raised-to-hold-at-stocknews-com/,2023-01-10 08:18:43,"CenterPoint Energy ( NYSE:CNP - Get Rating ) was upgraded by analysts at StockNews.com from a ""sell"" rating to a ""hold"" rating in a research note issued on Tuesday.",KEY,0.059341,0.007005,Neutral
McDonald's  ( NYSE:MCD )  Upgraded by StockNews.com to Buy,https://www.etfdailynews.com/2023/01/07/mcdonalds-nysemcd-upgraded-by-stocknews-com-to-buy/,2023-01-07 10:24:43,StockNews.com upgraded shares of McDonald's ( NYSE:MCD - Get Rating ) from a hold rating to a buy rating in a research note released on Friday morning. Other equities research analysts also recently issued reports about the company.,KEY,0.065506,0.039063,Neutral
McDonald's  ( NYSE:MCD )  Upgraded to Buy at StockNews.com,https://reporter.am/2023/01/07/mcdonalds-nysemcd-upgraded-to-buy-at-stocknews-com.html,2023-01-07 10:24:41,StockNews.com upgraded shares of McDonald's ( NYSE:MCD - Get Rating ) from a hold rating to a buy rating in a report issued on Friday morning. MCD has been the topic of a number of other reports.,KEY,0.058472,0.045001,Neutral
Chipotle Mexican Grill  ( NYSE:CMG )  Stock Rating Upgraded by StockNews.com,https://www.etfdailynews.com/2023/01/07/chipotle-mexican-grill-nysecmg-stock-rating-upgraded-by-stocknews-com/,2023-01-07 09:52:41,Chipotle Mexican Grill ( NYSE:CMG ) Stock Rating Upgraded by ... ETF Daily News ...,KEY,0.063594,-0.014025,Neutral
StockNews.com Lowers Rent-A-Center  ( NASDAQ:RCII )  to Hold,https://reporter.am/2023/01/07/stocknews-com-lowers-rent-a-center-nasdaqrcii-to-hold.html,2023-01-07 08:08:41,"Rent-A-Center ( NASDAQ:RCII - Get Rating ) was downgraded by research analysts at StockNews.com from a ""buy"" rating to a ""hold"" rating in a research report issued to clients and investors on Saturday. RCII has been the subject of several other research reports.",KEY,0.061315,0.02801,Neutral
Omnicell  ( NASDAQ:OMCL )  Lowered to Sell at StockNews.com,https://reporter.am/2023/01/06/omnicell-nasdaqomcl-lowered-to-sell-at-stocknews-com.html,2023-01-06 09:48:41,StockNews.com downgraded shares of Omnicell ( NASDAQ:OMCL - Get Rating ) from a hold rating to a sell rating in a report released on Thursday morning. Several other brokerages have also commented on OMCL. Piper Sandler cut their price target on shares of Omnicell to $55.00 in a research note on ...,KEY,0.048919,0.002991,Neutral
STERIS  ( NYSE:STE )  Upgraded by StockNews.com to Buy,https://reporter.am/2023/01/05/steris-nyseste-upgraded-by-stocknews-com-to-buy.html,2023-01-05 08:18:42,"STERIS ( NYSE:STE - Get Rating ) was upgraded by investment analysts at StockNews.com from a ""hold"" rating to a ""buy"" rating in a research note issued to investors on Thursday.",KEY,0.064623,0.036047,Neutral
RPM International  ( NYSE:RPM )  Rating Lowered to Hold at StockNews.com,https://reporter.am/2023/01/05/rpm-international-nyserpm-rating-lowered-to-hold-at-stocknews-com.html,2023-01-05 08:18:42,RPM International ( NYSE:RPM ) Rating Lowered to Hold at ... Armenian Reporter ...,KEY,0.041466,0.065395,Neutral
STERIS  ( NYSE:STE )  Upgraded by StockNews.com to Buy,https://www.etfdailynews.com/2023/01/05/steris-nyseste-upgraded-by-stocknews-com-to-buy/,2023-01-05 08:18:41,"STERIS ( NYSE:STE - Get Rating ) was upgraded by StockNews.com from a ""hold"" rating to a ""buy"" rating in a research report issued to clients and investors on Thursday. Other equities research analysts also recently issued reports about the stock.",KEY,0.076115,0.011157,Neutral
Toll Brothers  ( NYSE:TOL )  Stock Rating Upgraded by StockNews.com,https://reporter.am/2023/01/05/toll-brothers-nysetol-stock-rating-upgraded-by-stocknews-com.html,2023-01-05 08:18:41,"Toll Brothers ( NYSE:TOL - Get Rating ) was upgraded by equities researchers at StockNews.com from a ""hold"" rating to a ""buy"" rating in a research report issued on Thursday. Other equities analysts have also recently issued research reports about the stock.",KEY,0.046006,0.065188,Neutral
RPM International  ( NYSE:RPM )  Rating Lowered to Hold at StockNews.com,https://www.etfdailynews.com/2023/01/05/rpm-international-nyserpm-rating-lowered-to-hold-at-stocknews-com/,2023-01-05 08:18:41,RPM International ( NYSE:RPM ) Rating Lowered to Hold at ... ETF Daily News ...,KEY,0.042647,0.027264,Neutral
StockNews.com Lowers AMETEK  ( NYSE:AME )  to Hold,https://reporter.am/2023/01/05/stocknews-com-lowers-ametek-nyseame-to-hold.html,2023-01-05 08:16:42,"AMETEK ( NYSE:AME - Get Rating ) was downgraded by analysts at StockNews.com from a ""buy"" rating to a ""hold"" rating in a report released on Thursday.",KEY,0.046724,0.075353,Neutral
