title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
ADRNY or KMB: Which Is the Better Value Stock Right Now?,https://www.zacks.com/stock/news/2217320/adrny-or-kmb-which-is-the-better-value-stock-right-now,2024-01-29 16:40:09,ADRNY vs. KMB: Which Stock Is the Better Value Option?,KMB,0.694939,0.59831,Bullish
Is Trending Stock Kimberly-Clark Corporation  ( KMB )  a Buy Now?,https://www.zacks.com/stock/news/2216985/is-trending-stock-kimberly-clark-corporation-kmb-a-buy-now,2024-01-29 14:00:05,"Zacks.com users have recently been watching Kimberly-Clark (KMB) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.",KMB,0.518333,0.098958,Neutral
1 Big Reason to Like Procter & Gamble Stock in 2024,https://www.fool.com/investing/2024/01/28/1-big-reason-to-like-procter-gamble-stock-in-2024/,2024-01-28 14:05:00,The consumer staples giant had some good news for investors in its recent operating update.,KMB,0.0699,0.199226,Somewhat-Bullish
"ProvisionAi Takes 88,000 Trucks Off Road in 2023; Goal is 188K in 2024",https://www.benzinga.com/pressreleases/24/01/g36783486/provisionai-takes-88-000-trucks-off-road-in-2023-goal-is-188k-in-2024,2024-01-25 16:00:00,"FRANKLIN, Tenn., Jan. 25, 2024 ( GLOBE NEWSWIRE ) -- ProvisionAi, the only provider of a patented optimization that modifies supply plans to make them both high-service and low cost, announces that companies using its AutoO2 load optimization solution removed 88,000 trucks from the road in 2023.",KMB,0.060085,0.198385,Somewhat-Bullish
Kimberly Clark  ( KMB )  Q4 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/01/24/kimberly-clark-kmb-q4-2023-earnings-call-transcrip/,2024-01-24 22:30:20,"KMB earnings call for the period ending December 31, 2023.",KMB,0.022536,0.173292,Somewhat-Bullish
"Daily Dividend Report: OGS, NSC, KMB, WFC, LMT",https://www.forbes.com/sites/dividendchannel/2024/01/24/daily-dividend-report-ogs-nsc-kmb-wfc-lmt/,2024-01-24 22:06:13,"The board of directors of ONE Gas today increased the dividend for the first quarter 2024 by 1 cent per share to 66 cents per share, resulting in an annualized dividend of $2.64 per share. The dividend is payable March 8, 2024, to shareholders of record at the close of business Feb. 23, 2024.",KMB,0.170878,0.182206,Somewhat-Bullish
"Kimberly-Clark  ( KMB )  Q4 Earnings Lag Estimates, Inflation Hurts",https://www.zacks.com/stock/news/2215218/kimberly-clark-kmb-q4-earnings-lag-estimates-inflation-hurts,2024-01-24 17:32:00,Kimberly-Clark's (KMB) fourth-quarter 2023 results reflect reduced earnings on adverse impact from inflationary headwinds. Management announces a hike in quarterly dividend.,KMB,0.28648,0.030271,Neutral
Manufacturing Numbers Expected After Opening Bell,https://www.zacks.com/stock/news/2215092/manufacturing-numbers-expected-after-opening-bell,2024-01-24 15:51:00,"Pre-market futures are back up again this morning, with a series of Q4 earnings reports greeting us in the early morning hours, with the only major economic reads - S&P flash Services and Manufacturing PMI - expected after the opening bell.",KMB,0.252987,-0.055935,Neutral
Why Huggies Maker Kimberly-Clark Shares Are Sinking Today Why Huggies Maker Kimberly-Clark  ( KMB )  Shares Are Sinking Today - Kimberly-Clark  ( NYSE:KMB ) ,https://www.benzinga.com/news/earnings/24/01/36760814/why-huggies-maker-kimberly-clark-shares-are-sinking-today,2024-01-24 15:31:13,"Kimberly-Clark Corp KMB shares are trading lower after the company reported fourth-quarter FY23 results. Sales remained flat Y/Y at $4.97 billion, missing the consensus estimate of $4.98 billion. Organic sales increased by 3%, driven by a 2% increase in price and a 1% favorable product mix, with ...",KMB,0.409503,0.042895,Neutral
"Q4 Earnings Roundup: ABT, GD, KMB & More",https://www.zacks.com/stock/news/2215065/q4-earnings-roundup-abt-gd-kmb-more,2024-01-24 15:17:00,A spot-check of early morning Q4 reports show some earnings misses and revenue beats. Tesla and others report after the close.,KMB,0.247838,-0.055015,Neutral
Kimberly-Clark  ( KMB )  Lags Q4 Earnings and Revenue Estimates,https://www.zacks.com/stock/news/2214793/kimberly-clark-kmb-lags-q4-earnings-and-revenue-estimates,2024-01-24 13:10:02,"Kimberly-Clark (KMB) delivered earnings and revenue surprises of -1.31% and 0.32%, respectively, for the quarter ended December 2023. Do the numbers hold clues to what lies ahead for the stock?",KMB,0.393977,0.18822,Somewhat-Bullish
"Nasdaq, S&P 500 Futures Jump As Wall Street Eagerly Awaits Tesla's Q4 Earnings: Analyst Says Rally Broadening But Favors These Stocks - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , SPDR S&P 500  ( ARCA:SPY ) ",https://www.benzinga.com/news/earnings/24/01/36755805/nasdaq-s-p-500-futures-jump-as-wall-street-eagerly-awaits-teslas-q4-earnings-analyst-says-rally-bro,2024-01-24 12:41:45,"U.S. stock futures indicate a positive opening on Wednesday, buoyed by strong earnings reports from Netflix, Inc. NFLX and semiconductor equipment maker ASML Holding N.V. ASML. Investors are eagerly awaiting Tesla, Inc.'s TSLA fourth-quarter results, which are expected to take center stage.",KMB,0.115787,0.0,Neutral
