title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Coca-Cola  ( KO )  Stock Sinks As Market Gains: What You Should Know,https://www.zacks.com/stock/news/2037581/coca-cola-ko-stock-sinks-as-market-gains-what-you-should-know,2023-01-10 22:45:19,"Coca-Cola (KO) closed at $62.13 in the latest trading session, marking a -0.77% move from the prior day.",KO,0.633079,0.257561,Somewhat-Bullish
"Pepsi, Coca-Cola Face Government Probe Over Pricing",https://www.thestreet.com/retailers/pepsi-coke-prices-rising,2023-01-10 22:08:00,The FTC has preliminarily set its sights on both Coca-Cola and Pepsi.,KO,0.272029,0.126588,Neutral
"Felukah, Arab-Futurist Songstress, Dreams Of Nature's Feeling",https://www.forbes.com/sites/rileyvansteward/2023/01/10/felukah-arab-futurist-songstress-dreams-of-natures-feeling/,2023-01-10 21:12:21,"Poet, writer, performer, songstress, and Arab-futurist Felukah and Forbes writer Riley Van Steward create through interview and literature a piece of surrealist pop-music portraiture. Felukah discusses nature, culture, Islam and gender.",KO,0.025192,-0.032175,Neutral
Zaxby's welcomes Carl Mount as new chief supply chain officer,https://www.prnewswire.com/news-releases/zaxbys-welcomes-carl-mount-as-new-chief-supply-chain-officer-301718169.html,2023-01-10 18:25:00,"KFC veteran to optimize Zaxby's partnerships between suppliers and franchisees ATHENS, Ga., Jan. 10, 2023 /PRNewswire/ -- Saucy chicken chain welcomes Carl Mount as chief supply chain officer effective January 17.",KO,0.077343,-0.006097,Neutral
Will Coke  ( KO )  Beat Estimates Again in Its Next Earnings Report?,https://www.zacks.com/stock/news/2037496/will-coke-ko-beat-estimates-again-in-its-next-earnings-report,2023-01-10 17:10:12,Coke (KO) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,KO,0.172097,0.078617,Neutral
"Coke, PepsiCo Are Target of Probe by Federal Trade Commission",https://www.wsj.com/articles/ftc-opens-probe-into-pricing-by-coke-pepsico-11673363158,2023-01-10 15:30:00,The agency is investigating potential price discrimination in the U.S. beverage market.,KO,0.595343,-0.478667,Bearish
3 Tea Stocks to Consider in 2023,https://www.fool.com/investing/stock-market/market-sectors/consumer-staples/beverage-stocks/tea-stocks/,2023-01-10 15:06:10,Here's everything you need to know about the top tea stocks on the market.,KO,0.041466,0.082868,Neutral
Kosovo Refugee Founded Beverage Startup Ryl Ushers In A New Era Of Functional Tea By Harnessing The Power Of Polyphenols,https://www.forbes.com/sites/douglasyu/2023/01/10/kosovo-refugee-founded-beverage-startup-ryl-ushers-in-a-new-era-of-functional-tea-by-harnessing-the-power-of-polyphenols/,2023-01-10 14:44:12,"Drinking tea, or ""caj"" in the Albanian language, has been as much of an enjoyable daily ritual for Blodin Ukella as a panacea for all illnesses, while he grew up in a Kosovo refugee family.",KO,0.049629,0.157739,Somewhat-Bullish
Is Coca-Cola Europacific Partners  ( CCEP )  Stock Outpacing Its Consumer Staples Peers This Year?,https://www.zacks.com/stock/news/2037383/is-coca-cola-europacific-partners-ccep-stock-outpacing-its-consumer-staples-peers-this-year,2023-01-10 14:40:10,Here is how Coca-Cola European (CCEP) and Chewy (CHWY) have performed compared to their sector so far this year.,KO,0.526707,0.273145,Somewhat-Bullish
How to Find Strong Consumer Staples Stocks Slated for Positive Earnings Surprises,https://www.zacks.com/stock/news/2037275/how-to-find-strong-consumer-staples-stocks-slated-for-positive-earnings-surprises,2023-01-10 13:50:07,Investors looking for ways to find stocks that are set to beat quarterly earnings estimates should check out the Zacks Earnings ESP.,KO,0.393977,0.38607,Bullish
Sabio Holdings Names Humera Kassem as its First Chief People Officer,https://www.newswire.ca/news-releases/sabio-holdings-names-humera-kassem-as-its-first-chief-people-officer-822470484.html,2023-01-10 13:31:00,Sabio Holdings Names Humera Kassem as its First Chief People ... Canada ...,KO,0.035345,0.10512,Neutral
Why Should You Invest in Blue Chip Stocks?,https://www.fool.com/investing/2023/01/10/why-should-you-invest-in-blue-chip-stocks/,2023-01-10 13:07:00,"Forget the search for thrills. Sometimes, boring is the better bet.",KO,0.142005,0.059369,Neutral
Chinese stocks have been on a tear. Morgan Stanley says it's turning even more bullish on China.,https://www.marketwatch.com/story/chinese-stocks-have-been-on-a-tear-morgan-stanley-says-its-turning-even-more-bullish-11673351396,2023-01-10 12:03:00,Leading brokers are getting more excited about Chinese stocks after the big rally.,KO,0.082677,-0.038502,Neutral
How I wake up: Seth Goldman,https://www.axios.com/local/washington-dc/2023/01/10/how-i-wake-up-seth-goldman-just-ice-tea,2023-01-10 11:20:03,"Bethesda entrepreneur Seth Goldman was heartbroken last year after Coca-Cola scrapped Honest Tea, the company he founded in 1998. • Just months later, he co-founded Just Ice Tea, salvaging the market for organic unsweetened ( and just sweet enough ) tea.",KO,0.145145,0.110833,Neutral
"US FTC probes Pepsi, Coca-Cola over price discrimination, says report",https://www.business-standard.com/article/international/us-ftc-probes-pepsi-coca-cola-over-price-discrimination-says-report-123011000230_1.html,2023-01-10 04:39:00,"US FTC probes Pepsi, Coca-Cola over price discrimination, says ... Business Standard ...",KO,0.468029,-0.060664,Neutral
What Does 2023 Have In Store For The Grocery Industry?,https://www.forbes.com/sites/errolschweizer/2023/01/09/what-does-2023-have-in-store-for-the-grocery-industry/,2023-01-10 04:00:24,"Will 2023 grocery trends be tender, juicy and delicious? From challenging economic conditions to regenerative value chains, 2023 promises plenty of fun and excitement for the food industry.",KO,0.02241,-0.003797,Neutral
"FTC reportedly investigating Coke, Pepsi for price discrimination",https://www.marketwatch.com/story/ftc-reportedly-investigating-coke-pepsi-for-price-discrimination-11673314528,2023-01-10 01:35:00,"The Federal Trade Commission has started a preliminary investigation into possible price discrimination by beverage giants Coca-Cola Co. and PepsiCo Inc., according to a Politico report late Monday.",KO,0.627119,0.014469,Neutral
"FTC probes Pepsi, Coca-Cola over price discrimination - Politico",https://www.reuters.com/business/retail-consumer/ftc-probes-pepsi-coca-cola-over-price-discrimination-politico-2023-01-10/,2023-01-10 00:49:28,"[1/2] Bottles of Coca-Cola are seen at a Carrefour Hypermarket store in Montreuil, near Paris, France, February 5, 2018. REUTERS/Regis Duvignau/File Photo",KO,0.742397,-0.065875,Neutral
A Popular Coca-Cola Drink Faces New Pepsico Competition,https://www.thestreet.com/retail/pepsico-new-soda-coca-cola-sprite-starry,2023-01-09 22:01:00,The food and beverage conglomerate hopes its new product will capture the sought-after Gen Z cohort.,KO,0.414559,0.355048,Bullish
Short Sellers Profited By 31% in 2022 on Stock Picks,https://www.thestreet.com/stocks/short-sellers-profited-by-31-in-2022-on-stock-picks,2023-01-09 17:25:00,Tesla was the number one stock that short sellers made money from in 2022.,KO,0.083251,0.331775,Somewhat-Bullish
CCEP vs. MNST: Which Stock Is the Better Value Option?,https://www.zacks.com/stock/news/2036878/ccep-vs-mnst-which-stock-is-the-better-value-option,2023-01-09 16:40:09,Investors interested in stocks from the Beverages - Soft drinks sector have probably already heard of Coca-Cola European ( CCEP Quick QuoteCCEP - ) and Monster Beverage ( MNST Quick QuoteMNST - ) . But which of these two stocks presents investors with the better value opportunity right now?,KO,0.197413,0.366852,Bullish
"Recent Price Trend in Coca-Cola European  ( CCEP )  is Your Friend, Here's Why",https://www.zacks.com/stock/news/2036690/recent-price-trend-in-coca-cola-european-ccep-is-your-friend-heres-why,2023-01-09 13:50:06,"Coca-Cola European (CCEP) made it through our ""Recent Price Strength"" screen and could be a great choice for investors looking to make a profit from stocks that are currently on the move.",KO,0.143415,0.122334,Neutral
3 Things Every Crypto Investor Should Look Out For in 2023,https://www.fool.com/investing/2023/01/09/3-things-every-crypto-investor-should-look-out-for/,2023-01-09 11:00:00,Some of my favorite cryptocurrencies have a lot to look forward to in 2023.,KO,0.054983,0.165873,Somewhat-Bullish
