title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Will Kellogg  ( K )  Beat Estimates Again in Its Next Earnings Report?,https://www.zacks.com/stock/news/2037503/will-kellogg-k-beat-estimates-again-in-its-next-earnings-report,2023-01-10 17:10:09,Kellogg (K) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,K,0.427184,0.470698,Bullish
MYR Group Inc. Announces CFO Succession Plan,https://www.globenewswire.com/news-release/2023/01/09/2585682/10748/en/MYR-Group-Inc-Announces-CFO-Succession-Plan.html,2023-01-09 21:20:00,"THORNTON, Colo., Jan. 09, 2023 ( GLOBE NEWSWIRE ) -- MYR Group Inc. ( ""MYR Group"" or the ""Company"" ) ( NASDAQ: MYRG ) , a holding company of leading specialty contractors serving the electric utility infrastructure, commercial and industrial construction markets in the United States and Canada, ...",K,0.129749,-0.049286,Neutral
Short Sellers Profited By 31% in 2022 on Stock Picks,https://www.thestreet.com/stocks/short-sellers-profited-by-31-in-2022-on-stock-picks,2023-01-09 17:25:00,Tesla was the number one stock that short sellers made money from in 2022.,K,0.083251,0.331775,Somewhat-Bullish
"AirSculpt Technologies, Inc. Announces Executive Leadership Changes & Reiterates 2022 Revenue Guidance",https://www.globenewswire.com/news-release/2023/01/06/2584389/0/en/AirSculpt-Technologies-Inc-Announces-Executive-Leadership-Changes-Reiterates-2022-Revenue-Guidance.html,2023-01-06 13:00:00,Todd Magazine Appointed CEO & Dr. Aaron Rollins Named Executive Chairman Todd Magazine Appointed CEO & Dr. Aaron Rollins Named Executive Chairman ...,K,0.14573,0.007655,Neutral
"AirSculpt Technologies, Inc. Announces Executive Leadership Changes & Reiterates 2022 Revenue Guidance - AirSculpt Technologies  ( NASDAQ:AIRS ) ",https://www.benzinga.com/pressreleases/23/01/g30308959/airsculpt-technologies-inc-announces-executive-leadership-changes-reiterates-2022-revenue-guidance,2023-01-06 13:00:00,"MIAMI BEACH, Fla., Jan. 06, 2023 ( GLOBE NEWSWIRE ) -- AirSculpt Technologies, Inc., ( ""AirSculpt"" or the ""Company"" ) AIRS an industry leader and provider of premium body contouring procedures, announced today that AirSculpt Founder and current Chief Executive Officer, Dr. Aaron Rollins, will ...",K,0.140621,0.077639,Neutral
How Kellogg Uses Standardized Benchmarks to Boost Cost Savings,https://www.wsj.com/articles/how-kellogg-uses-standardized-benchmarks-to-boost-cost-savings-11672953730,2023-01-06 11:00:00,The cereal giant is one of thousands of companies that rely on a standard set of measures of business processes.,K,0.121241,0.171066,Somewhat-Bullish
Conagra Brands  ( CAG )  Q2 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/01/05/conagra-brands-cag-q2-2023-earnings-call-transcrip/,2023-01-05 19:00:21,"CAG earnings call for the period ending December 31, 2022.",K,0.00443,0.102578,Neutral
"Don't Give Up on Consumer Staples Stocks, Just Buy Companies Like These",https://www.fool.com/investing/2023/01/05/dont-give-up-on-consumer-staples-just-buy-these/,2023-01-05 14:15:00,Upstart consumer staples brands often end up imploding. investors are usually better off with established companies.,K,0.265666,0.093131,Neutral
Conagra Brands raises 2023 forecast on price increases,https://www.reuters.com/business/retail-consumer/conagra-brands-raises-2023-forecast-price-increases-2023-01-05/,2023-01-05 13:41:00,"Jan 5 ( Reuters ) - Conagra Brands Inc ( CAG.N ) raised its annual forecasts on Thursday, after handily beating expectations for quarterly profit, as it mainly benefited from higher prices for its snacks and ready-to-eat meals.",K,0.126784,0.23656,Somewhat-Bullish
3 Dividend Stocks to Buy for Bear Market Downturns,https://www.fool.com/investing/2023/01/05/3-dividend-stocks-to-buy-for-bear-market-downturns/,2023-01-05 13:30:00,"Bear markets are challenging, but if you focus on dividends instead of stock prices, you might find they are easier to bear.",K,0.326746,0.045785,Neutral
