title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Netflix and Vita Coco have been highlighted as Zacks Bull and Bear of the Day,https://www.zacks.com/stock/news/2217720/netflix-and-vita-coco-have-been-highlighted-as-zacks-bull-and-bear-of-the-day,2024-01-30 13:22:00,Netflix and Vita Coco are part of the Zacks Bull and Bear of the Day article.,LDOS,0.181591,0.073259,Neutral
Will Segmental Sales Boost Huntington Ingalls'  ( HII )  Q4 Earnings?,https://www.zacks.com/stock/news/2217690/will-segmental-sales-boost-huntington-ingalls-hii-q4-earnings,2024-01-30 12:51:00,Huntington Ingalls' (HII) Q4 results are likely to reflect the benefits of improved margin performance and stabilizing supply-chain issues amid labor market challenges.,LDOS,0.304679,0.147006,Neutral
"If You Love America's New Robot Navy, Buy This 1 Stock",https://www.fool.com/investing/2024/01/30/if-you-love-americas-new-robot-navy-buy-this-1-sto/,2024-01-30 12:07:00,Defense stock Leidos offers investors a cheap way to invest in robotic Navy ships.,LDOS,0.678102,0.464044,Bullish
Leidos awarded contract to support ARPA-H - Leidos Holdings  ( NYSE:LDOS ) ,https://www.benzinga.com/pressreleases/24/01/n36834085/leidos-awarded-contract-to-support-arpa-h,2024-01-29 21:30:00,"RESTON, Va., Jan. 29, 2024 /PRNewswire/ -- Leidos LDOS, a Fortune 500® innovation company, was recently awarded a prime contract by the Advanced Research Projects Agency for Health ( ARPA-H ) . The hybrid firm fixed price/time and materials contract was awarded by the U.S.",LDOS,0.679118,0.49234,Bullish
Will Improved Defense Deliveries Boost Boeing's  ( BA )  Q4 Earnings?,https://www.zacks.com/stock/news/2216928/will-improved-defense-deliveries-boost-boeings-ba-q4-earnings,2024-01-29 13:34:00,Boeing's (BA) defense segment's Q4 results are likely to reflect adverse impacts of higher estimated costs from the VC-25B program amid benefits of higher delivery figures.,LDOS,0.279015,0.137021,Neutral
Higher Commercial Jet Deliveries to Aid Boeing's  ( BA )  Q4 Earnings,https://www.zacks.com/stock/news/2216319/higher-commercial-jet-deliveries-to-aid-boeings-ba-q4-earnings,2024-01-26 11:22:00,Boeing's (BA) Q4 results for its commercial airplane business are likely to reflect the benefits of solid delivery figures amid higher research and development expenses related to the 777X program.,LDOS,0.255641,0.127665,Neutral
L3Harris  ( LHX )  Q4 Earnings and Revenues Beat Estimates,https://www.zacks.com/stock/news/2216105/l3harris-lhx-q4-earnings-and-revenues-beat-estimates,2024-01-25 22:25:05,"L3Harris (LHX) delivered earnings and revenue surprises of 1.21% and 0.98%, respectively, for the quarter ended December 2023. Do the numbers hold clues to what lies ahead for the stock?",LDOS,0.209365,0.0,Neutral
Will Leidos  ( LDOS )  Beat Estimates Again in Its Next Earnings Report?,https://www.zacks.com/stock/news/2216043/will-leidos-ldos-beat-estimates-again-in-its-next-earnings-report,2024-01-25 17:10:09,Leidos (LDOS) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,LDOS,0.411848,0.454588,Bullish
Will Higher Service Revenues Aid Boeing  ( BA )  in Q4 Earnings?,https://www.zacks.com/stock/news/2215935/will-higher-service-revenues-aid-boeing-ba-in-q4-earnings,2024-01-25 15:30:00,"Boeing's (BA) Q4 results are likely to reflect the benefits of improved deliveries and solid commercial jet service revenues. Yet, higher R&D costs might have partially hurt overall earnings performance.",LDOS,0.230892,0.117596,Neutral
Are You a Value Investor? This 1 Stock Could Be the Perfect Pick,https://www.zacks.com/stock/news/2214974/are-you-a-value-investor-this-1-stock-could-be-the-perfect-pick,2024-01-24 14:40:06,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.",LDOS,0.331765,0.321827,Somewhat-Bullish
