title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
KB Home Earnings Due With Outlook Key After Rate Shock,https://www.investors.com/news/kb-home-earnings-q4-kbh-stock-homebuilder-outlook-mortgage-rate-shock/,2023-01-10 17:57:00,"KB Home ( KBH ) reports fiscal fourth-quarter earnings results late Wednesday, after the leading new homebuilder warned on Q4 last fall citing macroeconomic uncertainty. KBH stock edged higher Tuesday. The KB Home earnings report is likely to shed light on homebuilder industry fundamentals and ...",LEN,0.128478,0.0,Neutral
Investing Action Plan: Earnings Season And A Black Box Rally,https://www.investors.com/research/investing-action-plan/stock-market-investing-action-plan-earnings-season-and-a-black-box-rally/,2023-01-06 23:37:00,Stock Market Investing Action Plan: Earnings Season And A Black ... Investor's Business Daily ...,LEN,0.05749,0.113107,Neutral
Lennar Stock Sees Composite Rating Climb To 96 And RS Line At New High,https://www.investors.com/research/lennar-cl-a-sees-composite-rating-climb-to-96/,2023-01-06 15:54:00,Lennar Stock Sees Composite Rating Climb To 96 And RS Line At ... Investor's Business Daily ...,LEN,0.430454,0.198083,Somewhat-Bullish
Lennar Stock Sees Composite Rating Climb To 96 And RS Line At New High,https://www.investors.com/research/lennar-cl-a-sees-composite-rating-climb-to-96/,2023-01-06 08:00:00,Lennar Cl A Sees Composite Rating Climb To 96 Investor's Business Daily ...,LEN,0.430454,0.198083,Somewhat-Bullish
Jim Cramer reminds investors that market pain is needed to prevent endless price hikes,https://www.cnbc.com/2023/01/05/jim-cramer-says-market-pain-is-needed-to-prevent-inflation-endless-price-hikes.html,2023-01-05 23:38:41,"Cramer said that while consumer spending power needs to come down for the Fed to beat inflation, such an outcome will also hurt portfolios.",LEN,0.127456,-0.116154,Neutral
Key EPS Themes for January,https://www.zacks.com/commentary/2035923/key-eps-themes-for-january,2023-01-05 22:37:00,"Today, we will look at some key earnings reports slated for January. Earnings season can inform investors of industry group health and the health of the economy and stock market.",LEN,0.143987,-0.044803,Neutral
Homebuilder Stock Nears Buy Point With RS Line At New High,https://www.investors.com/research/homebuilder-stock-nears-buy-point-with-rs-line-at-new-high/,2023-01-05 18:34:00,"Homebuilder Stock Rallies 48%, Nears Buy Point | Investor's ... Investor's Business Daily ...",LEN,0.473427,0.243191,Somewhat-Bullish
Should You Invest in the iShares U.S. Home Construction ETF  ( ITB ) ?,https://www.zacks.com/stock/news/2034417/should-you-invest-in-the-ishares-us-home-construction-etf-itb,2023-01-03 11:20:08,Sector ETF report for ...,LEN,0.127795,0.058035,Neutral
Okta and Meritage Homes have been highlighted as Zacks Bull and Bear of the Day,https://www.zacks.com/stock/news/2041867/okta-and-meritage-homes-have-been-highlighted-as-zacks-bull-and-bear-of-the-day,2023-01-20 13:42:00,Okta and Meritage Homes are part of the Zacks Bull and Bear of the Day article.,LEN,0.028592,0.168431,Somewhat-Bullish
Should You Invest in the SPDR S&P Homebuilders ETF  ( XHB ) ?,https://www.zacks.com/stock/news/2041764/should-you-invest-in-the-spdr-sp-homebuilders-etf-xhb,2023-01-20 11:20:05,Sector ETF report for ...,LEN,0.11983,0.057529,Neutral
Bear of the Day: Meritage Homes  ( MTH ) ,https://www.zacks.com/commentary/2041698/bear-of-the-day-meritage-homes-mth,2023-01-20 11:20:00,"After a stellar 2022 for homebuilders, analysts are not so optimistic about new home sales ...",LEN,0.259727,0.084256,Neutral
Fifth Wall Expands Mandate of Its Climate Business to Include Infrastructure,https://www.prnewswire.com/news-releases/fifth-wall-expands-mandate-of-its-climate-business-to-include-infrastructure-301725895.html,2023-01-19 15:30:00,Fifth Wall Expands Mandate of Its Climate Business to Include ... PR ...,LEN,0.044222,0.038535,Neutral
"U.S. builder confidence bounces back, breaking a 12-month losing streak",https://www.marketwatch.com/story/u-s-builder-confidence-bounces-back-breaking-a-12-month-losing-streak-11674054281,2023-01-18 15:04:00,"U.S. home builder sentiment rose in January, after dropping for 12 straight months, the National Association of Home Builders said.",LEN,0.187463,-0.015235,Neutral
Demand Is Still Weak. But Bottom in Sight for Builders.,https://www.barrons.com/articles/home-demand-builder-stocks-kb-home-lennar-nvr-51673646732,2023-01-17 13:44:00,Home Demand Is Still Weak. But the Bottom May Be Near for Builders. ...,LEN,0.159148,-0.040531,Neutral
Home Demand Is Still Weak. But the Bottom May Be Near for Builders.,https://www.barrons.com/articles/home-demand-is-still-weak-but-the-bottom-may-be-near-for-builders-51673646732,2023-01-17 06:00:00,"New home orders dropped significantly at California-based builder KB Home in its fourth quarter. It's the latest illustration of how rising mortgage rates have weighed on builders. Mortgage rates have retreated a bit, offering some optimism for investors-but analysts say it may be too soon to ...",LEN,0.159148,-0.041916,Neutral
"Mortgage rates should keep falling, boosting home-builder stocks, analysts say",https://www.marketwatch.com/story/mortgage-rates-should-keep-falling-boosting-home-builder-stocks-analysts-say-11673457068,2023-01-14 14:57:00,"Home-builder stocks rally after analysts make upbeat calls on the sector, saying mortgage rates have likely already peaked.",LEN,0.159569,0.220453,Somewhat-Bullish
Lennar  ( LEN )  Up 5.2% Since Last Earnings Report: Can It Continue?,https://www.zacks.com/stock/news/2039163/lennar-len-up-52-since-last-earnings-report-can-it-continue,2023-01-13 16:30:04,Lennar (LEN) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,LEN,0.466064,0.082348,Neutral
"Tesla To Rally Around 20%? Here Are 10 Other Analyst Forecasts For Friday - Costamare  ( NYSE:CMRE ) , American Axle & Mfg Hldgs  ( NYSE:AXL ) ",https://www.benzinga.com/news/23/01/30408085/tesla-to-rally-around-20-here-are-10-other-analyst-forecasts-for-friday,2023-01-13 13:14:28,Keybanc boosted the price target for KLA Corporation KLAC from $410 to $468. Keybanc analyst Steve Barger maintained an Overweight rating on the stock. KLA shares fell 0.1% to close at $419.07 on Thursday. RBC Capital cut the price target for Lennar Corporation LEN from $79 to $76.,LEN,0.273807,-0.152133,Somewhat-Bearish
Is SPDR S&P Homebuilders ETF  ( XHB )  a Strong ETF Right Now?,https://www.zacks.com/stock/news/2038868/is-spdr-sp-homebuilders-etf-xhb-a-strong-etf-right-now,2023-01-13 11:20:07,Smart Beta ETF report for ...,LEN,0.110462,0.055756,Neutral
"KB Home  ( KBH )  Q4 Earnings Lag, Stock Down, Outlook Tepid",https://www.zacks.com/stock/news/2038577/kb-home-kbh-q4-earnings-lag-stock-down-outlook-tepid,2023-01-12 16:17:00,"KB Home's (KBH) fiscal Q4 results reflect lower orders and backlog. Also, the lower first quarter and fiscal 2023 projections raise concern.",LEN,0.101582,0.001097,Neutral
Is Invesco S&P 500 Equal Weight Consumer Discretionary ETF  ( RCD )  a Strong ETF Right Now?,https://www.zacks.com/stock/news/2038280/is-invesco-sp-500-equal-weight-consumer-discretionary-etf-rcd-a-strong-etf-right-now,2023-01-12 11:20:07,Smart Beta ETF report for RCD ...,LEN,0.114682,0.055415,Neutral
"Analyst Upgrades PulteGroup And Lennar, Names Top Homebuilder Stock Pick For 2023 - Lennar  ( NYSE:LEN ) , PulteGroup  ( NYSE:PHM ) , NVR  ( NYSE:NVR ) ",https://www.benzinga.com/analyst-ratings/analyst-color/23/01/30372422/analyst-upgrades-pultegroup-and-lennar-names-top-homebuilder-stock-pick-for-2023,2023-01-11 15:03:47,"Home may be where the heart is, but last year's housing market conditions began to break them. Home prices hit all-time highs in June, mortgage rates touched 21-year highs in October, home builder confidence and housing affordability dropped to their lowest level since 2012, and home sales fell ...",LEN,0.197413,0.139269,Neutral
Jim Cramer Says 'Not Too Late' To Buy Homebuilder Stocks - Lennar  ( NYSE:LEN ) ,https://www.benzinga.com/news/23/01/30365721/cramer-says-investors-can-still-buy-homebuilder-stocks-before-possible-run-up-in-prices-charts-are-s,2023-01-11 05:45:31,Prominent market commentator Jim Cramer said on Tuesday investors still have a chance to load up on homebuilder stocks before a possible run-up in their prices.,LEN,0.306963,0.035031,Neutral
