title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"Jim Cramer's Investing Club meeting Tuesday: Microsoft, health care, Emerson Electric",https://www.cnbc.com/2023/01/10/jim-cramers-investing-club-meeting-tuesday-microsoft-health-care.html,2023-01-10 16:32:15,"The Investing Club holds its ""Morning Meeting"" every weekday at 10:20 a.m. ET.",LLY,0.342093,0.191519,Somewhat-Bullish
"If You Invested $1000 In This Stock 10 Years Ago, You Would Have $6,600 Today - Eli Lilly  ( NYSE:LLY ) ",https://www.benzinga.com/news/earnings/23/01/30356487/if-you-invested-1000-in-this-stock-10-years-ago-you-would-have-6-600-today,2023-01-10 16:02:29,"Eli Lilly LLY has outperformed the market over the past 10 years by 10.44% on an annualized basis producing an average annual return of 20.58%. Currently, Eli Lilly has a market capitalization of $328.98 billion.",LLY,0.980595,0.375984,Bullish
Campbell Soup and Eli Lilly have been highlighted as Zacks Bull and Bear of the Day,https://www.zacks.com/stock/news/2037184/campbell-soup-and-eli-lilly-have-been-highlighted-as-zacks-bull-and-bear-of-the-day,2023-01-10 13:27:00,"Chicago, IL - January 10, 2023 - Zacks Equity Research shares Campbell Soup Company ( CPB Quick QuoteCPB - ) as the Bull of the Day and Eli Lilly & Co. ( LLY Quick QuoteLLY - ) as the Bear of the Day.",LLY,0.136801,0.098198,Neutral
Bear of the Day: Eli Lilly  ( LLY ) ,https://www.zacks.com/commentary/2037063/bear-of-the-day-eli-lilly-lly,2023-01-10 11:20:00,Guidance for this year drags down analyst EPS estimates by nearly 10% to just 9% growth ...,LLY,0.462743,0.091212,Neutral
Is Alexandria Real Estate Equity a Buy?,https://www.fool.com/investing/2023/01/10/is-alexandria-real-estate-equity-a-buy/,2023-01-10 10:00:00,"It's a great stock, but investors dislike the sector.",LLY,0.115509,0.025857,Neutral
Eli Lilly has spent years and billions of dollars in search of an effective Alzheimer's drug. But success is not all or nothing for the stock,https://www.cnbc.com/2023/01/09/eli-lilly-search-for-effective-alzheimers-drug-may-be-close-to-success.html,2023-01-09 21:29:46,Eli Lilly's latest Alzheimer's drug may be next to receive FDA approval. But investors should know about some of the hurdles ahead.,LLY,0.866386,0.568072,Bullish
"Biogen  ( BIIB ) , Eisai's Lecanemab Gets FDA Nod for Alzheimer's",https://www.zacks.com/stock/news/2036807/biogen-biib-eisais-lecanemab-gets-fda-nod-for-alzheimers,2023-01-09 15:04:00,FDA approves Biogen (BIIB) and Eisai's lecanemab on an accelerated basis. Eisai filed a supplemental biologics license application (sBLA) to the FDA to get a traditional approval for Leqembi.,LLY,0.148731,0.119928,Neutral
"General Motors And These 2 Healthcare Majors On CNBC's 'Final Trades' - General Motors  ( NYSE:GM ) , Eli Lilly  ( NYSE:LLY ) ",https://www.benzinga.com/news/23/01/30328216/general-motors-and-these-2-healthcare-majors-on-cnbcs-final-trades,2023-01-09 13:17:19,"On CNBC's ""Halftime Report Final Trades,"" Bryn Talkington of Requisite Capital Management named Pfizer Inc. PFE, saying that it offers ""growth at a reasonable price."" Benzinga's analyst ratings data shows a consensus Equal-Weight rating for Pfizer stock.",LLY,0.558244,0.362606,Bullish
Dozens in Congress beat stock market in 2022 despite downturn on Wall Street: analysis,https://www.marketwatch.com/story/dozens-in-congress-beat-stock-market-in-2022-despite-downturn-on-wall-street-analysis-11673115066,2023-01-07 18:11:00,"More than two dozen members of Congress beat the stock market despite Wall Street suffering its worst year since 2008, according to an analysis by a popular stock-trading news site.",LLY,0.081276,-0.002062,Neutral
3 No-Brainer Dividend Stocks to Buy in 2023,https://www.fool.com/investing/2023/01/07/3-no-brainer-dividend-stocks-to-buy-in-2023/,2023-01-07 11:10:00,These stocks have what it takes to win over the long run.,LLY,0.401331,0.305948,Somewhat-Bullish
Eli Lilly  ( LLY )  Gains But Lags Market: What You Should Know,https://www.zacks.com/stock/news/2036450/eli-lilly-lly-gains-but-lags-market-what-you-should-know,2023-01-06 22:45:19,"Eli Lilly (LLY) closed at $362.94 in the latest trading session, marking a +1.12% move from the prior day.",LLY,0.638519,0.310088,Somewhat-Bullish
"SAVA, LLY, IBB: Why The Alzheimer's Related Stocks Are Volatile On Friday - Eli Lilly  ( NYSE:LLY ) , Biogen  ( NASDAQ:BIIB ) , Cassava Sciences  ( NASDAQ:SAVA ) ",https://www.benzinga.com/general/biotech/23/01/30316142/sava-lly-ibb-why-the-alzheimers-related-stocks-are-volatile-on-friday,2023-01-06 19:47:16,"Stocks of companies with Alzheimer's candidates, including Cassava Sciences, Inc. SAVA and Eli Lilly And Company LLY, spiked on Friday after the FDA granted accelerated approval to Biogen BIIB's Leqembi.",LLY,0.59972,0.55504,Bullish
FDA Mulls Biogen's Second Alzheimer's Drug; Will Medicare Bite?,https://www.investors.com/news/technology/biogen-stock-fda-mulls-alzheimers-treatment-but-will-medicare-bite/,2023-01-06 15:41:00,"Biogen Stock: FDA Mulls Alzheimer's Treatment, But Will Medicare ... Investor's Business Daily ...",LLY,0.245339,0.278961,Somewhat-Bullish
"On anniversary of the Capitol attack, companies face new pressures to disclose political spending",https://www.marketwatch.com/story/on-anniversary-of-the-capitol-attack-companies-face-new-pressures-to-disclose-political-spending-11673013055,2023-01-06 13:50:00,"Shareholders, consumer groups and lawmakers seeking more details, better oversight of corporate political outlays ...",LLY,0.083251,-0.039156,Neutral
Best Mutual Funds Report: Bulls In Hibernation In Bear Market,https://www.investors.com/etfs-and-funds/mutual-funds/best-mutual-funds-report-bulls-in-hibernation-in-bear-market/,2023-01-06 13:02:00,"The first list of new buys by the best mutual funds in the new year reflects the lack of a Santa Claus rally in 2022. At least for now, it's the bulls, rather than the bears, that have gone into hibernation. The dollar amounts invested by top funds into the individual stocks on this screen ...",LLY,0.138464,0.089602,Neutral
"CRISPR, Genetics And AI - Why 2023 Could Be Biotech's Year",https://www.investors.com/news/technology/biotech-stocks-how-crispr-genetics-and-ai-could-drive-a-2023-inflection/,2023-01-06 13:00:00,"Biotech Stocks: How CRISPR, Genetics And AI Could Drive A 2023 ... Investor's Business Daily ...",LLY,0.084324,0.024615,Neutral
"Jim Cramer Says Avoid This Stock: 'Too Expensive' - Bloom Energy  ( NYSE:BE ) , BlackLine  ( NASDAQ:BL ) ",https://www.benzinga.com/news/23/01/30289006/jim-cramer-says-avoid-this-stock-too-expensive,2023-01-05 15:35:56,"On CNBC's ""Mad Money Lightning Round,"" Jim Cramer said Blackline, Inc. BL was an enterprise software company that was losing money. ""Those are the ones I'm trying to get people to stay away from,"" he added. When asked about Blackstone Inc BX, he said, ""Pull the trigger.""",LLY,0.463792,0.196562,Somewhat-Bullish
Could Eli Lilly Stock Help You Become a Millionaire?,https://www.fool.com/investing/2023/01/05/could-eli-lilly-stock-help-you-become-millionaire/,2023-01-05 15:07:00,"Over the past 10 years, when including its dividend, Eli Lilly's total return has amounted to an incredible 843%.",LLY,0.483434,0.422072,Bullish
