title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
$100 Invested In Lululemon Athletica 15 Years Ago Would Be Worth This Much Today - Lululemon Athletica  ( NASDAQ:LULU ) ,https://www.benzinga.com/news/earnings/23/01/30360862/100-invested-in-lululemon-athletica-15-years-ago-would-be-worth-this-much-today,2023-01-10 20:03:22,"Lululemon Athletica LULU has outperformed the market over the past 15 years by 14.19% on an annualized basis producing an average annual return of 21.41%. Currently, Lululemon Athletica has a market capitalization of $39.25 billion.",LULU,0.980595,0.386944,Bullish
"Why Lululemon Is In 'Penalty Box' In Short Term, But Remains One Of The 'Highest Quality Companies' Globally: 3 Analysts On Retailer's Guidance - Lululemon Athletica  ( NASDAQ:LULU ) ",https://www.benzinga.com/analyst-ratings/analyst-color/23/01/30355880/why-lululemon-is-in-penalty-box-in-short-term-but-remains-one-of-the-highest-qualit,2023-01-10 16:12:29,"Athletic apparel company Lululemon Athletica LULU provided new guidance Monday ahead of the ICR Conference. The retailer sees fourth-quarter revenue coming in ahead of previously announced estimates, but the earnings per share range was tightened on margin concerns.",LULU,0.370418,0.420348,Bullish
Lululemon Stock Falls Following Gross-Margin Guidance Cut for Fiscal Q4,https://www.fool.com/investing/2023/01/10/lululemon-stock-drops-on-warning-that-gross-margin/,2023-01-10 16:00:00,"On Monday, shares of the athletic-wear company dropped more than 9% after management revised its outlook for its fiscal fourth quarter, which ends in late January.",LULU,0.18602,0.133266,Neutral
"Company News for Jan 10, 2023",https://www.zacks.com/stock/news/2037351/company-news-for-jan-10-2023,2023-01-10 14:32:00,"Companies In The News Are: REGN, LULU, DCT, BAX.",LULU,0.601928,-0.502216,Bearish
"AT&T To Rally Over 15%? Here Are 10 Other Analyst Forecasts For Tuesday - Ally Financial  ( NYSE:ALLY ) , argenx  ( NASDAQ:ARGX ) ",https://www.benzinga.com/news/23/01/30352263/at-t-to-rally-over-15-here-are-10-other-analyst-forecasts-for-tuesday,2023-01-10 13:48:11,"Keybanc boosted Five Below, Inc. FIVE price target from $188 to $200. Keybanc analyst Bradley Thomas maintained an Overweight rating on the stock. Five Below shares fell 1.6% to $183.92 in pre-market trading. Wells Fargo raised AT&T Inc. T price target from $17 to $22.",LULU,0.181819,0.003152,Neutral
"Tesla, Apple, Nuwellis, Revance, Lululemon: Why These 5 Stocks Are Drawing Investors' Attention Today - Lululemon Athletica  ( NASDAQ:LULU ) , Nuwellis  ( NASDAQ:NUWE ) , Apple  ( NASDAQ:AAPL ) , Broadcom  ( NASDAQ:AVGO ) , Tesla  ( NASDAQ:TSLA ) , Revance Therapeutics  ( NASDAQ:RVNC ) ",https://www.benzinga.com/news/23/01/30343962/tesla-apple-nuwellis-revance-lululemon-why-these-5-stocks-are-drawing-investors-attention-today,2023-01-10 01:04:40,"Major Wall Street indices closed mixed on Monday with the Nasdaq Composite being the only one to end the session on a positive note, led by gains in technology shares. The Dow Jones and the S&P 500 ended in the red.",LULU,0.214937,0.127538,Neutral
S&P 500 near flat as investors weigh chances of less aggressive rate hikes,https://www.moneycontrol.com/news/business/markets/sp-500-near-flat-as-investors-weigh-chances-of-less-aggressive-rate-hikes-9837941.html,2023-01-10 00:34:18,"The Dow ended lower, and the Nasdaq Composite ( .IXIC ) ended well off the day's highs.",LULU,0.077845,-0.34789,Somewhat-Bearish
good natured Products Inc. Announces Appointment of Chief Financial Officer,https://www.newswire.ca/news-releases/good-natured-products-inc-announces-appointment-of-chief-financial-officer-881200492.html,2023-01-09 21:49:00,good natured Products Inc. Announces Appointment of Chief ... Canada ...,LULU,0.058759,0.030045,Neutral
US Stocks End Mixed As Markets Ponder 'Soft Landing' Odds,https://www.barrons.com/news/us-stocks-end-mixed-as-markets-ponder-soft-landing-odds-01673299508,2023-01-09 21:28:03,"Wall Street stocks ended mixed on Monday despite a strong start, with markets looking ahead to critical inflation data and bank earnings later in the week. Major indices looked poised for another solid run after Friday's rally, which came on the back of jobs data that raised hopes for a ""soft ...",LULU,0.143415,0.0,Neutral
"Duck Creek, Rite Aid rise; Macy's, Lululemon fall",https://apnews.com/article/business-duck-creek-technologies-inc-lululemon-athletica-build-a-bear-workshop-chicos-fas-fd995bb731c0b974bfd4b2e4fe69a01c,2023-01-09 21:14:53,"Duck Creek, Rite Aid rise. Macy's, Lululemon fall The Associated Press - en ...",LULU,0.233556,0.0,Neutral
