title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Mondelez  ( MDLZ )  Gains But Lags Market: What You Should Know,https://www.zacks.com/stock/news/2037637/mondelez-mdlz-gains-but-lags-market-what-you-should-know,2023-01-10 23:15:20,"Mondelez (MDLZ) closed the most recent trading day at $67.31, moving +0.1% from the previous trading session.",MDLZ,0.686288,0.381336,Bullish
Campbell Soup  ( CPB )  Looks Appetizing on Snacks Unit & Savings,https://www.zacks.com/stock/news/2037466/campbell-soup-cpb-looks-appetizing-on-snacks-unit-savings,2023-01-10 16:28:00,Campbell Soup (CPB) has been benefiting from brand strength and inflation-driven pricing actions. Growing Snacks business is a key driver.,MDLZ,0.201105,0.162439,Somewhat-Bullish
Investor Fundsmith accuses Unilever of 'virtue signalling' and prioritising Peltz,https://www.reuters.com/business/retail-consumer/investor-fundsmith-accuses-unilever-virtue-signalling-prioritising-peltz-2023-01-10/,2023-01-10 10:00:35,Investor Fundsmith accuses Unilever of 'virtue signalling' and ... ...,MDLZ,0.090816,0.0,Neutral
Kimberly-Clark  ( KMB )  Benefits From Growth Pillars & Cost Cutting,https://www.zacks.com/stock/news/2036830/kimberly-clark-kmb-benefits-from-growth-pillars-cost-cutting,2023-01-09 15:32:00,Kimberly-Clark (KMB) is committed to its three key strategic growth pillars. The company has been progressing well with expanding global business.,MDLZ,0.231332,0.207322,Somewhat-Bullish
The Estee Lauder Companies'  ( EL )  Online Business Aids Growth,https://www.zacks.com/stock/news/2036823/the-estee-lauder-companies-el-online-business-aids-growth,2023-01-09 15:28:00,"The Estee Lauder Companies (EL) is implementing new technology and digital experiences to drive online growth. However, inflation and supply-chain bottlenecks are concerns.",MDLZ,0.214462,0.195486,Somewhat-Bullish
Sweet spreads market to grow by 4.05% Y-O-Y from 2022 to 2023: Evolving taste preferences will drive growth - Technavio,https://www.prnewswire.com/news-releases/sweet-spreads-market-to-grow-by-4-05-y-o-y-from-2022-to-2023-evolving-taste-preferences-will-drive-growth---technavio-301714223.html,2023-01-09 08:30:00,Sweet spreads market to grow by 4.05% Y-O-Y from 2022 to 2023 ... PR ...,MDLZ,0.039679,-0.039659,Neutral
Functional chewing gum market to grow by 5.0% Y-O-Y in 2023; Increasing demand for nicotine in smoking cessation therapy will drive growth - Technavio,https://www.prnewswire.com/news-releases/functional-chewing-gum-market-to-grow-by-5-0-y-o-y-in-2023-increasing-demand-for-nicotine-in-smoking-cessation-therapy-will-drive-growth---technavio-301714219.html,2023-01-09 07:30:00,Functional chewing gum market to grow by 5.0% Y-O-Y in 2023 ... PR ...,MDLZ,0.039548,0.067547,Neutral
13 new companies start construction at facilities in Sri City: Official,https://www.business-standard.com/article/current-affairs/13-new-companies-start-construction-at-facilities-in-sri-city-official-123010800481_1.html,2023-01-08 14:02:00,"Sri City one of the popular special economic zones located in the region has attracted fresh investments from 13 new companies which have signed memorandum of understandings in 2022, a top official said. Besides bagging in new deals, the cumulative exports made from Sri City, located about 90 km ...",MDLZ,0.128822,0.320516,Somewhat-Bullish
Why Mondelez  ( MDLZ )  Could Beat Earnings Estimates Again,https://www.zacks.com/stock/news/2035285/why-mondelez-mdlz-could-beat-earnings-estimates-again,2023-01-04 17:10:12,Mondelez (MDLZ) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,MDLZ,0.417304,0.484812,Bullish
Lamb Weston  ( LW )  Gears Up for Q2 Earnings: Things to Note,https://www.zacks.com/stock/news/2035133/lamb-weston-lw-gears-up-for-q2-earnings-things-to-note,2023-01-04 14:37:00,Lamb Weston's (LW) second-quarter performance is likely to have witnessed gains from pricing and capacity expansion endeavors amid escalated cost concerns.,MDLZ,0.227538,0.111739,Neutral
Oat Based Snacks Market will surpass USD 27.6 billion by 2030 at a CAGR of 5.10% till 2030 : GreyViews,https://www.benzinga.com/pressreleases/23/01/g30264107/oat-based-snacks-market-will-surpass-usd-27-6-billion-by-2030-at-a-cagr-of-5-10-till-2030-greyview,2023-01-03 21:00:00,"Pune India, Jan. 03, 2023 ( GLOBE NEWSWIRE ) -- The market has been studied for the below mentioned-segmentation and regional analysis for North America, Europe, Asia, South America, and the Middle East and Africa. These are the key regions where the oat-based snacks market is operating and is ...",MDLZ,0.023464,0.04772,Neutral
Things to Know Before Constellation Brands'  ( STZ )  Q3 Earnings,https://www.zacks.com/stock/news/2034640/things-to-know-before-constellation-brands-stz-q3-earnings,2023-01-03 14:51:00,"Constellation Brands' (STZ) Q3 results are expected to reflect gains from a strong beer business and robust consumer demand, offset by supply-chain challenges and elevated material costs.",MDLZ,0.162802,0.10676,Neutral
Conagra Brands  ( CAG )  Readies for Q2 Earnings: Things to Note,https://www.zacks.com/stock/news/2034520/conagra-brands-cag-readies-for-q2-earnings-things-to-note,2023-01-03 13:35:00,Conagra Brands' (CAG) second-quarter performance is likely to have witnessed gains from pricing and the strength of the snacks category amid rising cost inflation.,MDLZ,0.217346,0.107731,Neutral
Mondelez  ( MDLZ )  Gains But Lags Market: What You Should Know,https://www.zacks.com/stock/news/2042264/mondelez-mdlz-gains-but-lags-market-what-you-should-know,2023-01-20 23:15:22,"Mondelez (MDLZ) closed at $64.04 in the latest trading session, marking a +0.31% move from the prior day.",MDLZ,0.634884,0.340761,Somewhat-Bullish
McCormick  ( MKC )  Gears Up for Q4 Earnings: Things to Consider,https://www.zacks.com/stock/news/2042091/mccormick-mkc-gears-up-for-q4-earnings-things-to-consider,2023-01-20 16:31:00,"McCormick (MKC) fourth-quarter fiscal 2022 performance is likely to reflect gains from strategic pricing and impressive brand portfolio. Also, prudent buyouts are upsides.",MDLZ,0.190043,0.097171,Neutral
Mondelez  ( MDLZ )  Looks Tempting on Snacking Category Strength,https://www.zacks.com/stock/news/2041941/mondelez-mdlz-looks-tempting-on-snacking-category-strength,2023-01-20 14:28:00,"Mondelez (MDLZ) highlights that consumers continue to put snacking as a priority, even amid inflated costs and economic headwinds. The company remains well-placed for growth.",MDLZ,0.552443,0.357864,Bullish
Here's How Diageo  ( DEO )  is Placed Ahead of 1H23 Earnings,https://www.zacks.com/stock/news/2041913/heres-how-diageo-deo-is-placed-ahead-of-1h23-earnings,2023-01-20 14:02:00,"Diageo's (DEO) first half of fiscal 2023 results are likely to reflect gains from market share improvements, continued recovery across markets and premiumization efforts, offset by inflationary costs.",MDLZ,0.139265,0.122885,Neutral
"After five years, recipe to end deforestation from cocoa farming remains elusive",https://www.reuters.com/business/sustainable-business/after-five-years-recipe-end-deforestation-cocoa-farming-remains-elusive-2023-01-20/,2023-01-20 11:15:40,"After five years, recipe to end deforestation from cocoa farming ... ...",MDLZ,0.024126,0.114617,Neutral
CAG vs. MDLZ: Which Stock Is the Better Value Option?,https://www.zacks.com/stock/news/2041485/cag-vs-mdlz-which-stock-is-the-better-value-option,2023-01-19 16:40:11,Investors interested in Food - Miscellaneous stocks are likely familiar with Conagra Brands ( CAG Quick QuoteCAG - ) and Mondelez ( MDLZ Quick QuoteMDLZ - ) . But which of these two companies is the best option for those looking for undervalued stocks? Let's take a closer look.,MDLZ,0.745397,0.579976,Bullish
