title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"Babies R Us attempts comeback, plans to open store at American Dream mall in New Jersey",https://www.cnbc.com/2023/01/10/babies-r-us-to-open-new-flagship-store-at-american-dream-in-new-jersey.html,2023-01-10 14:37:37,"Babies R Us, which went out of business in 2018, will open its a flagship store at the American Dream mega mall in New Jersey.",MET,0.102013,-0.023212,Neutral
Civista Bancshares  ( NASDAQ:CIVB )  Lowered to Hold at StockNews.com,https://www.etfdailynews.com/2023/01/10/civista-bancshares-nasdaqcivb-lowered-to-hold-at-stocknews-com/,2023-01-10 08:40:41,Civista Bancshares ( NASDAQ:CIVB ) Lowered to Hold at StockNews ... ETF Daily News ...,MET,0.124809,0.210067,Somewhat-Bullish
Patterson Companies  ( NASDAQ:PDCO )  Upgraded by StockNews.com to Buy,https://www.etfdailynews.com/2023/01/10/patterson-companies-nasdaqpdco-upgraded-by-stocknews-com-to-buy/,2023-01-10 08:22:48,Patterson Companies ( NASDAQ:PDCO ) Upgraded by StockNews ... ETF Daily News ...,MET,0.107978,0.28793,Somewhat-Bullish
Univar Solutions  ( NYSE:UNVR )  Cut to Hold at StockNews.com,https://www.etfdailynews.com/2023/01/10/univar-solutions-nyseunvr-cut-to-hold-at-stocknews-com/,2023-01-10 08:22:47,"Univar Solutions ( NYSE:UNVR - Get Rating ) was downgraded by StockNews.com from a ""buy"" rating to a ""hold"" rating in a research report issued to clients and investors on Tuesday. Several other equities research analysts also recently weighed in on the company.",MET,0.096866,0.217817,Somewhat-Bullish
Patterson Companies  ( NASDAQ:PDCO )  Upgraded by StockNews.com to Buy,https://reporter.am/2023/01/10/patterson-companies-nasdaqpdco-upgraded-by-stocknews-com-to-buy.html,2023-01-10 08:22:46,Patterson Companies ( NASDAQ:PDCO ) Upgraded by StockNews ... Armenian Reporter ...,MET,0.108712,0.260848,Somewhat-Bullish
Kaman  ( NYSE:KAMN )  Upgraded to Hold by StockNews.com,https://www.etfdailynews.com/2023/01/10/kaman-nysekamn-upgraded-to-hold-by-stocknews-com/,2023-01-10 08:18:47,"Kaman ( NYSE:KAMN - Get Rating ) was upgraded by investment analysts at StockNews.com from a ""sell"" rating to a ""hold"" rating in a note issued to investors on Tuesday. Several other equities research analysts have also issued reports on the stock.",MET,0.14131,0.208856,Somewhat-Bullish
Home Bancorp  ( NASDAQ:HBCP )  Downgraded by StockNews.com to Hold,https://reporter.am/2023/01/10/home-bancorp-nasdaqhbcp-downgraded-by-stocknews-com-to-hold.html,2023-01-10 08:10:46,Home Bancorp ( NASDAQ:HBCP ) Downgraded by StockNews.com ... Armenian Reporter ...,MET,0.188193,0.306159,Somewhat-Bullish
Equity Bancshares  ( NASDAQ:EQBK )  Downgraded by StockNews.com,https://www.etfdailynews.com/2023/01/10/equity-bancshares-nasdaqeqbk-downgraded-by-stocknews-com/,2023-01-10 08:10:44,"Equity Bancshares ( NASDAQ:EQBK - Get Rating ) was downgraded by equities research analysts at StockNews.com from a ""buy"" rating to a ""hold"" rating in a research note issued to investors on Tuesday. Shares of Equity Bancshares stock opened at $32.31 on Tuesday.",MET,0.095517,0.215252,Somewhat-Bullish
StockNews.com Lowers Popular  ( NASDAQ:BPOP )  to Hold,https://reporter.am/2023/01/10/stocknews-com-lowers-popular-nasdaqbpop-to-hold.html,2023-01-10 08:10:41,"Popular ( NASDAQ:BPOP - Get Rating ) was downgraded by StockNews.com from a ""buy"" rating to a ""hold"" rating in a research note issued on Tuesday. A number of other analysts have also commented on the company. UBS Group cut their price target on Popular to $100.00 in a report on Wednesday, ...",MET,0.079921,0.220286,Somewhat-Bullish
StockNews.com Downgrades Chemours  ( NYSE:CC )  to Hold,https://reporter.am/2023/01/08/stocknews-com-downgrades-chemours-nysecc-to-hold.html,2023-01-08 06:24:41,"Chemours ( NYSE:CC - Get Rating ) was downgraded by StockNews.com from a ""buy"" rating to a ""hold"" rating in a research report issued on Friday. Other equities analysts have also issued research reports about the company.",MET,0.122581,0.136844,Neutral
