title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"3M says earplug-litigation settlement on track, will pay $1 billion of total in cash",https://www.marketwatch.com/story/3m-says-earplug-litigation-settlement-on-track-to-exceed-98-participation-threshold-it-agreed-to-8a0672a8,2024-01-29 11:44:00,"The case is the largest mass tort in U.S. history, exceeding even asbestos and opioid claims.",MMM,0.105141,-0.02857,Neutral
Electrical Conductors Market for the Power Industry: USD 13.8 Billion Growth Forecasted at a CAGR of 6.78% between ... - PR Newswire,https://www.prnewswire.com/news-releases/electrical-conductors-market-for-the-power-industry-usd-13-8-billion-growth-forecasted-at-a-cagr-of-6-78-between-2024-to-2028---technavio-302046207.html,2024-01-28 10:20:00,Electrical Conductors Market for the Power Industry: USD 13.8 Billion Growth Forecasted at a CAGR of 6.78% between ... PR ...,MMM,0.068502,0.091281,Neutral
Orthodontic Supplies Global Market Report 2024: Projected Growth Rate and Market Size As Per The Business Research Company's Orthodontic Supplies Global Market Report 2024,https://www.benzinga.com/pressreleases/24/01/g36784310/orthodontic-supplies-global-market-report-2024-projected-growth-rate-and-market-size-as-per-the-bu,2024-01-25 16:30:00,"LONDON, Jan. 25, 2024 ( GLOBE NEWSWIRE ) -- As per The Business Research Company's Orthodontic Supplies Global Market Report 2024, the orthodontic supplies market has witnessed robust growth, and this trend is expected to continue in the coming years.",MMM,0.05833,0.352221,Bullish
"Cathie Wood Sees Fed Cutting Interest Rates, Stopping 'Rolling Recession' - SPDR S&P 500  ( ARCA:SPY ) ",https://www.benzinga.com/news/24/01/36764700/cathie-wood-predicts-fed-will-stop-rolling-recession-with-interest-rate-cuts-more-deflationary-force,2024-01-24 18:26:23,"Investor Cathie Wood regularly shares her opinions on the macroeconomic environment and what could be ahead for stocks. On Tuesday, Wood doubled down on her belief in a deflationary environment in 2024.",MMM,0.233556,0.0,Neutral
"Nasdaq, S&P 500 Futures Jump As Wall Street Eagerly Awaits Tesla's Q4 Earnings: Analyst Says Rally Broadening But Favors These Stocks - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , SPDR S&P 500  ( ARCA:SPY ) ",https://www.benzinga.com/news/earnings/24/01/36755805/nasdaq-s-p-500-futures-jump-as-wall-street-eagerly-awaits-teslas-q4-earnings-analyst-says-rally-bro,2024-01-24 12:41:45,"U.S. stock futures indicate a positive opening on Wednesday, buoyed by strong earnings reports from Netflix, Inc. NFLX and semiconductor equipment maker ASML Holding N.V. ASML. Investors are eagerly awaiting Tesla, Inc.'s TSLA fourth-quarter results, which are expected to take center stage.",MMM,0.115787,-0.100818,Neutral
"Investor Optimism Improves Following Earnings Reports; S&P 500 Reaches Another High - Abbott Laboratories  ( NYSE:ABT ) , IBM  ( NYSE:IBM ) ",https://www.benzinga.com/news/earnings/24/01/36752497/investor-optimism-improves-following-earnings-reports-s-p-500-reaches-another-high,2024-01-24 08:49:59,"The CNN Money Fear and Greed index showed a further increase in overall market sentiment, while the index remained in the ""Greed"" zone on Tuesday. U.S. stocks closed mixed on Tuesday, with the Dow Jones index snapping a three-day winning streak. However, the S&P 500 hit a new all-time closing ...",MMM,0.231332,0.525561,Bullish
"US Stocks Pause As Treasury Yields, Dollar Surge On Trimmed Fed Rate Cut Bets: What's Driving Markets Tuesday? - Alibaba Gr Holding  ( NYSE:BABA ) ",https://www.benzinga.com/markets/cryptocurrency/24/01/36744784/us-stocks-pause-as-treasury-yields-dollar-surge-on-trimmed-fed-rate-cut-bets-whats-driving,2024-01-23 19:07:43,"Wall Street took a breather on Tuesday, with the major U.S. stock indices trading near the flatline or showing slight declines during midday trading in New York as investors closely await a series of relevant earnings reports and crucial economic data slated for the remainder of the week.",MMM,0.151064,-0.210684,Somewhat-Bearish
"3M  ( MMM )  Q4 Earnings Beat Estimates, Revenues Decline Y/Y",https://www.zacks.com/stock/news/2214446/3m-mmm-q4-earnings-beat-estimates-revenues-decline-yy,2024-01-23 17:41:00,"3M (MMM) reports fourth-quarter 2023 results, wherein its revenues inch down by 0.8% year over year.",MMM,0.27535,0.0774,Neutral
3M's Earnings Beat Not Enough: Analyst Stays Neutral After Disappointing Revenue Performance - 3M  ( NYSE:MMM ) ,https://www.benzinga.com/analyst-ratings/analyst-color/24/01/36740061/3ms-earnings-beat-not-enough-analyst-stays-neutral-after-disappointing-revenue-perf,2024-01-23 16:20:44,"Shares of 3M Co MMM tanked in early trading on Tuesday, after the company reported its quarterly results. While the company reported its earnings slightly ahead of Street expectations, it posted a top line miss, with organic growth remaining weaker than expected, according to BofA Securities.",MMM,0.454174,-0.04613,Neutral
"Surface Computing Market Projected to Reach a Staggering US$ 480.0 Billion by 2033, Insights by Persistence Market Research",https://www.benzinga.com/pressreleases/24/01/g36737863/surface-computing-market-projected-to-reach-a-staggering-us-480-0-billion-by-2033-insights-by-pers,2024-01-23 14:14:27,"New York, Jan. 23, 2024 ( GLOBE NEWSWIRE ) -- The global Surface Computing market is experiencing significant growth propelled by technological advancements, increasing demand for interactive user interfaces, and a growing focus on enhancing user experiences.",MMM,0.019618,0.178274,Somewhat-Bullish
3M's stock tanks after 2024 earnings outlook comes in well below forecasts,https://www.marketwatch.com/story/3m-stock-tanks-after-quarterly-profit-beat-forecasts-but-full-year-outlook-was-well-below-9811e2f4,2024-01-23 12:46:00,"3M's stock tanked Tuesday, after the consumer, industrial and healthcare-products company provided a 2024 profit outlook that was well below forecasts, which overshadowed fourth-quarter results that topped expectations.",MMM,0.223866,0.087832,Neutral
