title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Marathon Petroleum  ( MPC )  Gains But Lags Market: What You Should Know,https://www.zacks.com/stock/news/2037585/marathon-petroleum-mpc-gains-but-lags-market-what-you-should-know,2023-01-10 22:50:23,"In the latest trading session, Marathon Petroleum (MPC) closed at $116.50, marking a +0.64% move from the previous day.",MPC,0.640349,0.433839,Bullish
Should You Invest in the Invesco Dynamic Energy Exploration & Production ETF  ( PXE ) ?,https://www.zacks.com/stock/news/2036575/should-you-invest-in-the-invesco-dynamic-energy-exploration-production-etf-pxe,2023-01-09 11:20:07,Sector ETF report for ...,MPC,0.12645,0.127564,Neutral
Marathon Petroleum  ( MPC )  Stock Sinks As Market Gains: What You Should Know,https://www.zacks.com/stock/news/2035356/marathon-petroleum-mpc-stock-sinks-as-market-gains-what-you-should-know,2023-01-04 22:45:21,"Marathon Petroleum (MPC) closed at $110.58 in the latest trading session, marking a -0.31% move from the prior day.",MPC,0.638519,0.340944,Somewhat-Bullish
"The Zacks Analyst Blog Highlights Occidental Petroleum, Hess, Marathon Petroleum, ExxonMobil and Schlumberger",https://www.zacks.com/stock/news/2034922/the-zacks-analyst-blog-highlights-occidental-petroleum-hess-marathon-petroleum-exxonmobil-and-schlumberger,2023-01-04 10:17:00,"Occidental Petroleum, Hess, Marathon Petroleum, ExxonMobil and Schlumberger are included in this Analyst Blog.",MPC,0.25594,0.211442,Somewhat-Bullish
Marathon Petroleum Corporation  ( MPC )  Is a Trending Stock: Facts to Know Before Betting on It,https://www.zacks.com/stock/news/2034560/marathon-petroleum-corporation-mpc-is-a-trending-stock-facts-to-know-before-betting-on-it,2023-01-03 14:00:12,"Zacks.com users have recently been watching Marathon Petroleum (MPC) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.",MPC,0.486627,0.155662,Somewhat-Bullish
Will These 5 Energy Stocks See Another Bull Run in 2023?,https://www.zacks.com/stock/news/2034495/will-these-5-energy-stocks-see-another-bull-run-in-2023,2023-01-03 13:19:00,"Let's take a deep look into the S&P 500's top sector for 22022 - Energy - and its high flyers OXY, HES, MPC, XOM and SLB.",MPC,0.235537,0.164193,Somewhat-Bullish
Marathon Petroleum  ( MPC )  Gains As Market Dips: What You Should Know,https://www.zacks.com/stock/news/2041639/marathon-petroleum-mpc-gains-as-market-dips-what-you-should-know,2023-01-19 22:50:23,"In the latest trading session, Marathon Petroleum (MPC) closed at $123.23, marking a +1.58% move from the previous day.",MPC,0.634884,0.227877,Somewhat-Bullish
"If You Invested $100 In This Stock 10 Years Ago, You Would Have $400 Today",https://www.benzinga.com/news/earnings/23/01/30490309/if-you-invested-100-in-this-stock-10-years-ago-you-would-have-400-today,2023-01-19 19:03:33,"Marathon Petroleum MPC has outperformed the market over the past 10 years by 3.67% on an annualized basis producing an average annual return of 13.74%. Currently, Marathon Petroleum has a market capitalization of $57.39 billion.",MPC,0.980595,0.386944,Bullish
Why Marathon Petroleum  ( MPC )  is Poised to Beat Earnings Estimates Again,https://www.zacks.com/stock/news/2041517/why-marathon-petroleum-mpc-is-poised-to-beat-earnings-estimates-again,2023-01-19 17:10:12,Marathon Petroleum (MPC) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,MPC,0.409171,0.42088,Bullish
"MPC: Marathon, Valero and 1 Other Energy Stock to Purchase in 2023",https://stocknews.com/news/mpc-vlo-ae-marathon-valero-and-1-other-energy-stock-to-purchase-in/,2023-01-18 18:47:25,"MPC: Marathon, Valero and 1 Other Energy Stock to Purchase in ...",MPC,0.311201,0.334773,Somewhat-Bullish
