title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Micron DDR5 Delivers Increased Performance and Reliability for the 4th Gen Intel® Xeon® Scalable Processor Family - Micron Technology  ( NASDAQ:MU ) ,https://www.benzinga.com/pressreleases/23/01/g30358916/micron-ddr5-delivers-increased-performance-and-reliability-for-the-4th-gen-intel-xeon-scalable-pro,2023-01-10 18:01:00,"BOISE, Idaho, Jan. 10, 2023 ( GLOBE NEWSWIRE ) -- Micron Technology, Inc. MU, today announced that its DDR5 server memory portfolio for the data center is now fully validated on the 4th Gen Intel Xeon Scalable processor family.",MU,0.338004,0.259569,Somewhat-Bullish
Micron DDR5 Delivers Increased Performance and Reliability for the 4th Gen Intel® Xeon® Scalable Processor Family,https://www.globenewswire.com/news-release/2023/01/10/2586535/14450/en/Micron-DDR5-Delivers-Increased-Performance-and-Reliability-for-the-4th-Gen-Intel-Xeon-Scalable-Processor-Family.html,2023-01-10 18:01:00,Micron DDR5 improves workloads across the data center today while enabling future infrastructure growth Micron DDR5 improves workloads across the data center today while enabling future infrastructure growth ...,MU,0.313674,0.250004,Somewhat-Bullish
"Battery Maker Enovix Hopes To Recharge With New CEO, Strategy",https://www.investors.com/news/technology/enovix-stock-looks-to-regain-investor-confidence/,2023-01-10 17:53:00,Enovix Stock Looks To Regain Investor Confidence Investor's Business Daily ...,MU,0.114409,0.167092,Somewhat-Bullish
5 Blockchain ETFs to Consider in 2023,https://www.fool.com/investing/stock-market/market-sectors/financials/blockchain-stocks/blockchain-etf/,2023-01-10 16:01:46,"Blockchain technology has a promising future. Thousands of cryptocurrencies have popped up in recent years to capitalize on the potential, but that might be a risky investment you aren't ready to embark on.Not to worry, though.",MU,0.035714,0.066182,Neutral
"The Zacks Analyst Blog Highlights Thermo Fisher Scientific, Starbucks, Moderna, Canadian Pacific Railway and Micron Technology",https://www.zacks.com/stock/news/2037089/the-zacks-analyst-blog-highlights-thermo-fisher-scientific-starbucks-moderna-canadian-pacific-railway-and-micron-technology,2023-01-10 10:00:00,"Thermo Fisher Scientific, Starbucks, Moderna, Canadian Pacific Railway and Micron Technology are included in this Analyst Blog.",MU,0.186738,0.0,Neutral
Here's How Much You Would Have Made Owning Micron Technology Stock In The Last 15 Years - Micron Technology  ( NASDAQ:MU ) ,https://www.benzinga.com/news/earnings/23/01/30340031/heres-how-much-you-would-have-made-owning-micron-technology-stock-in-the-last-15-years,2023-01-09 20:31:37,"Micron Technology MU has outperformed the market over the past 15 years by 9.29% on an annualized basis producing an average annual return of 16.42%. Currently, Micron Technology has a market capitalization of $61.41 billion.",MU,0.980595,0.386944,Bullish
"Samsung Is First to Succumb to a Slowing Economy That Is Crushing Semiconductors - Apple  ( NASDAQ:AAPL ) , Amazon.com  ( NASDAQ:AMZN ) ",https://www.benzinga.com/general/23/01/30334677/samsung-is-first-to-succumb-to-a-slowing-economy-that-is-crushing-semiconductors,2023-01-09 18:27:45,"On Friday, Samsung Electronics Co. Ltd ( KSE: 005930.KS ) flagged its October-December operating quarterly profit has tumbled by two-thirds to an eight-year low as a sluggish global economy hammered memory chip prices and weakened demand for electronic devices.",MU,0.093653,-0.144527,Neutral
"Top Stock Reports for Thermo Fisher Scientific, Starbucks & Moderna",https://www.zacks.com/research-daily/2036745/top-stock-reports-for-thermo-fisher-scientific-starbucks-moderna,2023-01-09 17:38:00,"Today's Research Daily features new research reports on 16 major stocks, including Thermo Fisher Scientific Inc. (TMO), Starbucks Corporation (SBUX) and Moderna, Inc. (MRNA).",MU,0.148731,0.11045,Neutral
"Compound semiconductor market 2023-2027. A descriptive analysis of parent market, five forces model, market dynamics, and segmentation - Technavio",https://www.prnewswire.com/news-releases/compound-semiconductor-market-2023-2027-a-descriptive-analysis-of-parent-market-five-forces-model-market-dynamics-and-segmentation---technavio-301714282.html,2023-01-09 16:30:00,Compound semiconductor market 2023-2027. A descriptive analysis ... PR ...,MU,0.064379,0.074052,Neutral
Micron Delivers High-Performance Data Center SSD to Power the Most Demanding Workloads - Micron Technology  ( NASDAQ:MU ) ,https://www.benzinga.com/pressreleases/23/01/g30332832/micron-delivers-high-performance-data-center-ssd-to-power-the-most-demanding-workloads,2023-01-09 14:01:00,"BOISE, Idaho, Jan. 09, 2023 ( GLOBE NEWSWIRE ) -- Micron Technology, Inc., MU, today announced the Micron 9400 NVMe™ SSD is in volume production and immediately available from channel partners and to global OEM customers for use in servers requiring the highest levels of storage performance.",MU,0.183099,0.181372,Somewhat-Bullish
Republicans and Democrats actually agree that America must be a tech leader. Here's what this means for the U.S. economy and jobs.,https://www.marketwatch.com/story/republicans-and-democrats-actually-agree-that-america-must-be-a-tech-leader-heres-what-this-means-for-the-u-s-economy-and-jobs-11673259399,2023-01-09 13:03:00,"Federal funding for science and technology is pouring into chip-manufacturing, clean tech, AI and other emerging techologies.",MU,0.074926,0.063801,Neutral
Peering Into Micron Technology's Recent Short Interest - Micron Technology  ( NASDAQ:MU ) ,https://www.benzinga.com/short-sellers/23/01/30311409/peering-into-micron-technologys-recent-short-interest,2023-01-06 15:21:07,"Micron Technology's MU short percent of float has risen 4.73% since its last report. The company recently reported that it has 31.31 million shares sold short, which is 2.88% of all regular shares that are available for trading.",MU,0.221819,0.155473,Somewhat-Bullish
