title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
$100 Invested In This Stock 5 Years Ago Would Be Worth $200 Today - NextEra Energy  ( NYSE:NEE ) ,https://www.benzinga.com/news/earnings/23/01/30359400/100-invested-in-this-stock-5-years-ago-would-be-worth-200-today,2023-01-10 18:33:17,"NextEra Energy NEE has outperformed the market over the past 5 years by 10.28% on an annualized basis producing an average annual return of 17.3%. Currently, NextEra Energy has a market capitalization of $166.11 billion.",NEE,0.980595,0.386944,Bullish
How To Choose Recession-Proof Stocks To Fortify Your Portfolio In 2023,https://www.forbes.com/sites/qai/2023/01/10/how-to-choose-recession-proof-stocks-to-fortify-your-portfolio-in-2023/,2023-01-10 15:45:57,"Chances are, the best recession stocks are companies you've never heard of. They're the 'unsexy' businesses that keep the world turning. This is where their strength lies: providing steady, consistent returns.",NEE,0.033562,-0.008923,Neutral
3 Top Utilities Stocks For a Defensive Approach,https://www.zacks.com/stock/news/2037015/3-top-utilities-stocks-for-a-defensive-approach,2023-01-09 23:06:00,"Stocks in the Zacks Utilities sector are defensive by nature, as these companies' services witness consistent demand no matter the economic backdrop.",NEE,0.397098,0.457569,Bullish
The Government Is Pouring $391 Billion Into These Stocks - Buy Now,https://moneymorning.com/2023/01/09/the-government-is-pouring-391-billion-into-these-stocks-buy-now/,2023-01-09 17:05:37,"It didn't make many big news channels, but back on January 1, 2023, the government released $391 billion.The destination: a select group of companies whose stocks could see double-digit gains this year. These are the five stocks that could benefit the most…",NEE,0.080278,0.287454,Somewhat-Bullish
Stocks With Rising Relative Strength: NextEra Energy,https://www.investors.com/ibd-data-stories/stocks-with-rising-relative-strength-nextera-energy-5/,2023-01-09 08:00:00,"In a welcome move, NextEra Energy ( NEE ) saw its Relative Strength Rating improve from 70 to 73 on Monday. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.",NEE,0.832899,0.436652,Bullish
The Best Energy Dividend Stock for a Decade of Passive Income,https://www.fool.com/investing/2023/01/08/the-best-energy-dividend-stock-for-a-decade-of-pas/,2023-01-08 12:45:00,The company should have plenty of power to continue growing its dividend over the next 10 years.,NEE,0.424521,0.568757,Bullish
My 5 Highest Conviction Stocks to Buy in 2023,https://www.fool.com/investing/2023/01/07/my-5-highest-conviction-stocks-to-buy-in-2023/,2023-01-07 14:36:00,I plan to add to my positions in these high-conviction ideas.,NEE,0.204503,0.077631,Neutral
"Got $1,500? You Can Confidently Add These 3 Stocks to Your Portfolio",https://www.fool.com/investing/2023/01/07/got-1500-you-can-confidently-add-these-3-stocks-to/,2023-01-07 13:07:00,These stocks should produce attractive total returns in the coming years.,NEE,0.21258,0.184985,Somewhat-Bullish
NextEra Energy  ( NEE )  Gains But Lags Market: What You Should Know,https://www.zacks.com/stock/news/2036441/nextera-energy-nee-gains-but-lags-market-what-you-should-know,2023-01-06 22:45:22,"In the latest trading session, NextEra Energy (NEE) closed at $83.65, marking a +1.23% move from the previous day.",NEE,0.636698,0.378957,Bullish
NGG or NEE: Which Is the Better Value Stock Right Now?,https://www.zacks.com/stock/news/2035796/ngg-or-nee-which-is-the-better-value-stock-right-now,2023-01-05 16:40:11,NGG vs. NEE: Which Stock Is the Better Value Option?,NEE,0.610572,0.535657,Bullish
