title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Varonis Announces Universal Data Classification Support for Databases - Varonis Systems  ( NASDAQ:VRNS ) ,https://www.benzinga.com/pressreleases/24/01/g36845274/varonis-announces-universal-data-classification-support-for-databases,2024-01-30 14:00:38,"NEW YORK, Jan. 30, 2024 ( GLOBE NEWSWIRE ) -- Varonis Systems, Inc. VRNS, a leader in data security, today announced the ability to integrate with connected databases hosted in the cloud or on-premises, building on its existing support for popular databases such as Oracle, SQL Server, MySQL, and ...",NTAP,0.07031,0.0,Neutral
"Zacks Value Trader Highlights: Dell Technologies, International Business Machines, Silicon Motion Technology, Zoom Video Communications and NetApp",https://www.zacks.com/stock/news/2216961/zacks-value-trader-highlights-dell-technologies-international-business-machines-silicon-motion-technology-zoom-video-communications-and-netapp,2024-01-29 13:53:00,"Dell Technologies, International Business Machines, Silicon Motion Technology, Zoom Video Communications and NetApp are part of the Zacks Value Trader blog.",NTAP,0.3007,0.006538,Neutral
Should You Quit Value Investing?,https://www.zacks.com/stock/news/2216570/should-you-quit-value-investing,2024-01-26 15:30:00,Growth stocks are hitting new highs again while value lags. Is it time to join the party?,NTAP,0.40348,0.00818,Neutral
"Zacks Investment Ideas feature highlights: ASML, Microsoft and NetApp",https://www.zacks.com/stock/news/2214696/zacks-investment-ideas-feature-highlights-asml-microsoft-and-netapp,2024-01-24 09:03:00,"ASML, Microsoft and NetApp have been highlighted in this Investment Ideas article.",NTAP,0.277118,0.176476,Somewhat-Bullish
"Zacks Investment Ideas feature highlights: ASML Holding, Microsoft and NetApp",https://www.zacks.com/stock/news/2213974/zacks-investment-ideas-feature-highlights-asml-holding-microsoft-and-netapp,2024-01-23 12:39:00,"ASML Holding, Microsoft and NetApp are part of the Zacks Investment Ideas article.",NTAP,0.277118,0.176476,Somewhat-Bullish
3 Buy-Rated Tech Stocks with Increasing Dividend Payouts,https://www.zacks.com/commentary/2213715/3-buy-rated-tech-stocks-with-increasing-dividend-payouts,2024-01-22 19:52:00,"Tech's momentum is impossible to ignore. For those seeking exposure paired with a passive income stream, all three of these stocks fit that criteria nicely.",NTAP,0.381255,0.283567,Somewhat-Bullish
Council Post: Navigating The Future Of Third-Party Maintenance: Opportunities And Challenges,https://www.forbes.com/sites/forbestechcouncil/2024/01/22/navigating-the-future-of-third-party-maintenance-opportunities-and-challenges/,2024-01-22 11:30:00,Navigating The Future Of Third-Party Maintenance: Opportunities And Challenges Forbes ...,NTAP,0.039745,0.266829,Somewhat-Bullish
Stocks To Watch: Pure Storage Cl A Sees Relative Strength Rating Jump To 93,https://www.investors.com/ibd-data-stories/stocks-to-watch-pure-storage-cl-a-sees-relative-strength-rating-jump-to-93/,2024-01-22 08:00:00,"Pure Storage Cl A ( PSTG ) saw a welcome improvement to its Relative Strength ( RS ) Rating on Monday, with an upgrade from 90 to 93. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.",NTAP,0.31282,0.0,Neutral
IBD Rating Upgrades: Silicon Motion Tech ADR Flashes Improved Technical Strength,https://www.investors.com/ibd-data-stories/ibd-rating-upgrades-silicon-motion-tech-adr-flashes-improved-technical-strength/,2024-01-22 08:00:00,"On Monday, Silicon Motion Tech ADR ( SIMO ) received a positive adjustment to its Relative Strength ( RS ) Rating, from 66 to 71. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.",NTAP,0.271274,0.0,Neutral
NTAP: 3 Tech Stocks to Add to Your Portfolio for 2024,https://stocknews.com/news/ntap-dbx-eltk-nvda-3-tech-stocks-to-add-to-your-portfolio-for-2024/,2024-01-18 17:13:03,NTAP: 3 Tech Stocks to Add to Your Portfolio for ...,NTAP,0.18046,0.162136,Somewhat-Bullish
Stocks Showing Market Leadership: Western Digital Earns 92 RS Rating,https://www.investors.com/ibd-data-stories/stocks-showing-market-leadership-western-digital-earns-92-rs-rating/,2024-01-17 08:00:00,"When looking for the best stocks to buy and watch, focus on those with rising relative price strength. One stock that fits that bill is Western Digital ( WDC ) , which saw a welcome improvement to its Relative Strength ( RS ) Rating on Wednesday, rising from 88 to 92.",NTAP,0.2872,0.107336,Neutral
Hitachi Vantara Names Octavian Tanase as New Chief Product Officer,https://www.prnewswire.com/news-releases/hitachi-vantara-names-octavian-tanase-as-new-chief-product-officer-302035323.html,2024-01-16 14:00:00,"SANTA CLARA, Calif., Jan. 16, 2024 /PRNewswire/ -- Hitachi Vantara, the data storage, infrastructure, and hybrid cloud management subsidiary of Hitachi, Ltd. ( TSE: 6501 ) , today announced that Octavian Tanase has joined the company as its new chief product officer, effective today.",NTAP,0.117774,-0.006905,Neutral
"Qualcomm, NetApp And 2 Other Stocks Insiders Are Selling - Acuity Brands  ( NYSE:AYI ) , Box  ( NYSE:BOX ) ",https://www.benzinga.com/news/24/01/36610205/qualcomm-netapp-and-2-other-stocks-insiders-are-selling,2024-01-12 13:49:05,"The Nasdaq 100 closed slightly higher on Thursday. Investors, meanwhile, focused on some notable insider trades. When insiders sell shares, it could be a preplanned sale, or could indicate their concern in the company's prospects or that they view the stock as being overpriced.",NTAP,0.418689,0.24025,Somewhat-Bullish
NetApp  ( NASDAQ:NTAP )  Downgraded to Buy at StockNews.com,https://www.defenseworld.net/2024/01/11/netapp-nasdaqntap-downgraded-to-buy-at-stocknews-com.html,2024-01-11 06:14:44,"NetApp ( NASDAQ:NTAP - Get Free Report ) was downgraded by investment analysts at StockNews.com from a ""strong-buy"" rating to a ""buy"" rating in a note issued to investors on Thursday. NTAP has been the subject of several other research reports.",NTAP,0.95919,0.436829,Bullish
Cinchy Names Paul Patterson New CEO As Co-Founder Dan DeMers Shifts to Key Market-Building Role,https://www.benzinga.com/pressreleases/24/01/g36574426/cinchy-names-paul-patterson-new-ceo-as-co-founder-dan-demers-shifts-to-key-market-building-role,2024-01-10 13:00:00,"TORONTO, Jan. 10, 2024 ( GLOBE NEWSWIRE ) -- Cinchy, the enterprise simplification company that pioneered enterprise data collaboration, announced that longtime tech executive Paul Patterson is joining as its new CEO, with Co-Founder and former CEO Dan DeMers shifting to the role of Chief ...",NTAP,0.083833,0.378697,Bullish
"Cloud Infrastructure Market to Hit US$ 465.0 Billion by 2032, Growing at 8.3% CAGR - Market Size, Share, Forecasts, & Trends Analysis Report by Persistence Market Research",https://www.benzinga.com/pressreleases/24/01/g36571532/cloud-infrastructure-market-to-hit-us-465-0-billion-by-2032-growing-at-8-3-cagr-market-size-share-,2024-01-10 08:50:00,"New York, Jan. 10, 2024 ( GLOBE NEWSWIRE ) -- Market Introduction and Definition:",NTAP,0.038253,-0.071383,Neutral
NetApp  ( NTAP )  Up 35% in the Past Year: Will the Rally Last?,https://www.zacks.com/stock/news/2206223/netapp-ntap-up-35-in-the-past-year-will-the-rally-last,2024-01-05 14:07:00,NetApp (NTAP) expects strength in product and hyper-scaler first-party and marketplace services to cushion revenue performance amid soft macroeconomic conditions.,NTAP,0.362254,0.294512,Somewhat-Bullish
NetApp  ( NASDAQ:NTAP )  Upgraded to Strong-Buy by StockNews.com,https://www.defenseworld.net/2024/01/04/netapp-nasdaqntap-upgraded-to-strong-buy-by-stocknews-com.html,2024-01-04 08:26:42,StockNews.com upgraded shares of NetApp ( NASDAQ:NTAP - Free Report ) from a buy rating to a strong-buy rating in a research report sent to investors on Wednesday morning.,NTAP,0.886267,0.482364,Bullish
Why Is NetApp  ( NTAP )  Down 1.1% Since Last Earnings Report?,https://www.zacks.com/stock/news/2203244/why-is-netapp-ntap-down-11-since-last-earnings-report,2023-12-28 16:30:08,NetApp (NTAP) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,NTAP,0.421485,-0.002872,Neutral
"Micron Technology Clears Key Benchmark, Hitting 90-Plus RS Rating",https://www.investors.com/ibd-data-stories/micron-technology-clears-key-benchmark-hitting-90-plus-rs-rating/,2023-12-22 08:00:00,"When looking for the best stocks to buy and watch, focus on those with rising relative price strength. One stock that fits that bill is Micron Technology ( MU ) , which saw a positive improvement to its Relative Strength ( RS ) Rating on Friday, rising from 89 to 92.",NTAP,0.28387,0.10837,Neutral
NovoEd Recognized as an Industry-Defining Learning Solution Provider in the Brandon Hall Group's 2023 Technology and EdTech Excellence Awards,https://www.prnewswire.com/news-releases/novoed-recognized-as-an-industry-defining-learning-solution-provider-in-the-brandon-hall-groups-2023-technology-and-edtech-excellence-awards-302020123.html,2023-12-20 14:11:00,NovoEd Recognized as an Industry-Defining Learning Solution Provider in the Brandon Hall Group's 2023 Technology ... PR ...,NTAP,0.044634,0.213818,Somewhat-Bullish
Hitachi Vantara Appoints Tony Gonnella as New Chief Financial Officer,https://www.prnewswire.com/news-releases/hitachi-vantara-appoints-tony-gonnella-as-new-chief-financial-officer-302017333.html,2023-12-18 13:55:00,"SANTA CLARA, Calif., Dec. 18, 2023 /PRNewswire/ -- Hitachi Vantara, the data storage, infrastructure, and hybrid cloud management subsidiary of Hitachi, Ltd. ( TSE: 6501 ) , today announced that Tony Gonnella has joined the company as its new chief financial officer ( CFO ) , effective ...",NTAP,0.062597,0.040096,Neutral
"e360 Expands Its Executive Leadership Team; Emphasizes Commitment to Growth, Innovation, and a People-First Culture",https://www.benzinga.com/pressreleases/23/12/g36218846/e360-expands-its-executive-leadership-team-emphasizes-commitment-to-growth-innovation-and-a-people,2023-12-13 16:02:13,"CONCORD, Calif. and IRVINE, Calif., Dec. 13, 2023 ( GLOBE NEWSWIRE ) -- e360, an award-winning enterprise technology partner committed to providing solutions that empower the modern enterprise, today announced that Rob Schaeffer is joining its Executive Leadership Team as President and Chief ...",NTAP,0.05387,0.205044,Somewhat-Bullish
