title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Frederik Meijer Gardens & Sculpture Park Presents 2023 Calendar of Major Events,https://www.benzinga.com/pressreleases/23/01/n30360775/frederik-meijer-gardens-sculpture-park-presents-2023-calendar-of-major-events,2023-01-10 20:00:00,"Frederik Meijer Gardens & Sculpture Park, one of the world's most significant sculpture and botanic experiences, presents the 2023 calendar of major events. Additional programming and events are added throughout the year and current information is available at MeijerGardens.org/calendar.",NTRS,0.023406,0.358423,Bullish
"NovoCure  ( NASDAQ:NVCR )  Downgraded to ""Sell"" at StockNews.com",https://reporter.am/2023/01/10/novocure-nasdaqnvcr-downgraded-to-sell-at-stocknews-com.html,2023-01-10 08:44:41,"NovoCure ( NASDAQ:NVCR - Get Rating ) was downgraded by equities researchers at StockNews.com from a ""hold"" rating to a ""sell"" rating in a note issued to investors on Tuesday. Other equities research analysts have also issued research reports about the stock.",NTRS,0.092213,0.232041,Somewhat-Bullish
Boeing  ( NYSE:BA )  Lifted to Hold at StockNews.com,https://www.etfdailynews.com/2023/01/10/boeing-nyseba-lifted-to-hold-at-stocknews-com/,2023-01-10 08:18:41,"Boeing ( NYSE:BA - Get Rating ) was upgraded by equities researchers at StockNews.com from a ""sell"" rating to a ""hold"" rating in a research note issued on Tuesday. BA has been the topic of several other reports.",NTRS,0.095899,0.237032,Somewhat-Bullish
Orion Energy Systems  ( NASDAQ:OESX )  Now Covered by StockNews.com,https://reporter.am/2023/01/09/orion-energy-systems-nasdaqoesx-now-covered-by-stocknews-com-3.html,2023-01-09 08:10:41,Orion Energy Systems ( NASDAQ:OESX ) Now Covered by ... Armenian Reporter ...,NTRS,0.139669,0.216288,Somewhat-Bullish
Big Banks To Kick Off Q4 Earnings Season Amid Expectations For First S&P 500 Profit Decline In More Than 2 Years - Bank of America  ( NYSE:BAC ) ,https://www.benzinga.com/analyst-ratings/analyst-color/23/01/30324059/big-banks-to-kick-off-q4-earnings-season-amid-expectations-for-first-s-p-500-profit,2023-01-08 22:00:11,"The fourth-quarter reporting season is around the corner, and it is one of the key catalysts that will likely determine the near-term stock market trajectory. Muted Expectations: Earnings of S&P 500 companies are expected to show a 4.1% year-over-year drop in the fourth quarter, FactSet said in ...",NTRS,0.136888,0.0,Neutral
StockNews.com Begins Coverage on Regulus Therapeutics  ( NASDAQ:RGLS ) ,https://reporter.am/2023/01/08/stocknews-com-begins-coverage-on-regulus-therapeutics-nasdaqrgls-2.html,2023-01-08 08:34:45,StockNews.com Begins Coverage on Regulus Therapeutics ... Armenian Reporter ...,NTRS,0.138066,0.176981,Somewhat-Bullish
American Realty Investors  ( NYSE:ARL )  Research Coverage Started at StockNews.com,https://www.etfdailynews.com/2023/01/08/american-realty-investors-nysearl-research-coverage-started-at-stocknews-com/,2023-01-08 08:10:41,American Realty Investors ( NYSE:ARL ) Research Coverage Started ... ETF Daily News ...,NTRS,0.101582,0.235769,Somewhat-Bullish
StockNews.com Initiates Coverage on NeuroMetrix  ( NASDAQ:NURO ) ,https://www.etfdailynews.com/2023/01/07/stocknews-com-initiates-coverage-on-neurometrix-nasdaqnuro/,2023-01-07 08:08:45,"StockNews.com assumed coverage on shares of NeuroMetrix ( NASDAQ:NURO - Get Rating ) in a report issued on Saturday. The brokerage set a ""sell"" rating on the medical device company's stock. Shares of NURO stock opened at $1.57 on Friday.",NTRS,0.082677,0.193609,Somewhat-Bullish
Odyssey Marine Exploration  ( NASDAQ:OMEX )  Now Covered by StockNews.com,https://www.etfdailynews.com/2023/01/07/odyssey-marine-exploration-nasdaqomex-now-covered-by-stocknews-com/,2023-01-07 08:08:45,Odyssey Marine Exploration ( NASDAQ:OMEX ) Now Covered by ... ETF Daily News ...,NTRS,0.181137,0.276545,Somewhat-Bullish
NeuroMetrix  ( NASDAQ:NURO )  Earns Sell Rating from Analysts at StockNews.com,https://reporter.am/2023/01/07/neurometrix-nasdaqnuro-earns-sell-rating-from-analysts-at-stocknews-com.html,2023-01-07 08:08:42,NeuroMetrix ( NASDAQ:NURO ) Earns Sell Rating from Analysts at ... Armenian Reporter ...,NTRS,0.08183,0.232507,Somewhat-Bullish
