title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Acuity Brands  ( AYI )  Cheers Investors With 15% Dividend Hike,https://www.zacks.com/stock/news/2217253/acuity-brands-ayi-cheers-investors-with-15-dividend-hike,2024-01-29 15:29:00,Acuity Brands (AYI) hikes its quarterly cash dividend by 15% to 15 cents per share on the back of its effective capital-allocation strategy.,NVR,0.200688,0.204347,Somewhat-Bullish
"The Zacks Analyst Blog Highlights D.R. Horton, Lennar, PulteGroup, NVR and Toll Brothers",https://www.zacks.com/stock/news/2217001/the-zacks-analyst-blog-highlights-dr-horton-lennar-pultegroup-nvr-and-toll-brothers,2024-01-29 14:16:00,"D.R. Horton, Lennar, PulteGroup, NVR and Toll Brothers are part of the Zacks top Analyst Blog.",NVR,0.192694,0.087076,Neutral
Homebuilding Market Likely to Witness a Rebound in 2024,https://www.zacks.com/stock/news/2216517/homebuilding-market-likely-to-witness-a-rebound-in-2024,2024-01-26 15:00:00,"Five stocks in focus from home-building market are: LEN, DHI, NVR, TOL, PHM.",NVR,0.140076,0.115909,Neutral
NVR Gears Up to Report Q4 Earnings: What's in the Cards?,https://www.zacks.com/stock/news/2215086/nvr-gears-up-to-report-q4-earnings-whats-in-the-cards,2024-01-24 15:41:00,NVR's fourth-quarter 2023 results are quite likely to reflect high mortgage rates and reduced new homes settlements.,NVR,0.471254,-0.114002,Neutral
3 NY Life Invest Mutual Funds for Superior Returns,https://www.zacks.com/stock/news/2213968/3-ny-life-invest-mutual-funds-for-superior-returns,2024-01-23 12:28:00,"Consider investing in NY Life Invest mutual funds like MLACX, MECDX and MSOAX for optimum returns.",NVR,0.07031,0.0,Neutral
"MDC to be Acquired by Sekisui House for $4.9B, Stock Gains",https://www.zacks.com/stock/news/2212938/mdc-to-be-acquired-by-sekisui-house-for-49b-stock-gains,2024-01-19 16:43:00,MDC to help accelerate Sekisui House's global vision and achieve its targets.,NVR,0.272788,0.238978,Somewhat-Bullish
"The Zacks Analyst Blog Highlights Century Communities, Dream Finders Homes, Taylor Morrison, PulteGroup and NVR",https://www.zacks.com/stock/news/2212549/the-zacks-analyst-blog-highlights-century-communities-dream-finders-homes-taylor-morrison-pultegroup-and-nvr,2024-01-19 09:47:00,"Century Communities, Dream Finders Homes, Taylor Morrison, PulteGroup and NVR are included in this Analyst Blog.",NVR,0.165031,0.117189,Neutral
Tri Pointe  ( TPH )  Launches a New Homebuyer App Across the U.S.,https://www.zacks.com/stock/news/2212291/tri-pointe-tph-launches-a-new-homebuyer-app-across-the-us,2024-01-18 16:52:00,Tri Pointe (TPH) launches the new Tri Pointe Homes Homebuyer App to enhance customer experience and offer unhindered communication opportunities.,NVR,0.186259,0.193482,Somewhat-Bullish
Builder Sentiment Gains as Rates Fall: 5 Top Housing Picks,https://www.zacks.com/stock/news/2211954/builder-sentiment-gains-as-rates-fall-5-top-housing-picks,2024-01-18 13:12:00,January's builder confidence signals strong housing demand with declining mortgage rates.,NVR,0.135094,0.172765,Somewhat-Bullish
Janus  ( JBI )  Boosts Trojan Storage Security With Noke Smart Locks,https://www.zacks.com/stock/news/2211344/janus-jbi-boosts-trojan-storage-security-with-noke-smart-locks,2024-01-17 13:54:00,Janus's (JBI) strategic partnership with Trojan Storage enhances the deployment of Noke smart locks for better security.,NVR,0.204647,0.207358,Somewhat-Bullish
"Martin Marietta  ( MLM )  Buys AFS, Boosts Aggregates Platform",https://www.zacks.com/stock/news/2211326/martin-marietta-mlm-buys-afs-boosts-aggregates-platform,2024-01-17 13:44:00,Martin Marietta (MLM) strengthens its market foothold and secures 60 years of reserves in a strategic Colorado move.,NVR,0.174167,0.184582,Somewhat-Bullish
Should You Invest in the iShares U.S. Home Construction ETF  ( ITB ) ?,https://www.zacks.com/stock/news/2211203/should-you-invest-in-the-ishares-us-home-construction-etf-itb,2024-01-17 11:20:06,Sector ETF report for ...,NVR,0.127119,0.057891,Neutral
Shawmut Design and Construction Announces Appointment of Paul Praylo to Board of Directors - PR Newswire,https://www.prnewswire.com/news-releases/shawmut-design-and-construction-announces-appointment-of-paul-praylo-to-board-of-directors-302036148.html,2024-01-16 19:03:00,Shawmut Design and Construction Announces Appointment of Paul Praylo to Board of Directors PR ...,NVR,0.076602,0.095536,Neutral
