title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Chicago Music Exchange Harmonizes its Business with NetSuite,https://www.prnewswire.com/news-releases/chicago-music-exchange-harmonizes-its-business-with-netsuite-301717127.html,2023-01-10 13:00:00,NetSuite helps music equipment retailer to enable increased profitability and enhance the customer experience by simplifying fulfillment processes,ORCL,0.048919,0.0,Neutral
"Dow Jones, S&P 500 Reverse Lower; A Few Stocks Break Out But Volume Mixed",https://www.investors.com/market-trend/stock-market-today/dow-jones-rises-new-data-shows-strong-economy-in-2023-retailers-fall-but-bed-bath-beyond-pops/,2023-01-09 21:33:00,"Dow Jones, S&P Reverse Lower As Nasdaq Pares Gains Investor's Business Daily ...",ORCL,0.112008,0.064219,Neutral
"SaaS customer relationship management  ( CRM )  market 2023-2027: A descriptive analysis of parent market, five forces model, market dynamics, and segmentation - Technavio",https://www.prnewswire.com/news-releases/saas-customer-relationship-management-crm-market-2023-2027-a-descriptive-analysis-of-parent-market-five-forces-model-market-dynamics-and-segmentation---technavio-301714357.html,2023-01-09 20:00:00,SaaS customer relationship management ( CRM ) market 2023-2027 ... PR ...,ORCL,0.054267,0.0,Neutral
Oracle Unusual Options Activity - Oracle  ( NYSE:ORCL ) ,https://www.benzinga.com/markets/options/23/01/30338785/oracle-unusual-options-activity,2023-01-09 19:30:25,"Someone with a lot of money to spend has taken a bullish stance on Oracle ORCL. We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga. Whether this is an institution or just a wealthy individual, we don't know.",ORCL,0.800175,0.297564,Somewhat-Bullish
Dow Jones Rises; Retailers Fall But Bed Bath & Beyond Pops,https://www.investors.com/market-trend/stock-market-today/dow-jones-rises-retailers-fall-but-bed-bath-beyond-pops/,2023-01-09 18:53:00,Dow Jones Rises. Retailers Fall But Bed Bath & Beyond Pops Investor's Business Daily ...,ORCL,0.143843,0.075326,Neutral
Oracle Is Growing Again. Why One Analyst Has Turned Bullish.,https://www.barrons.com/articles/oracle-stock-upgrade-earnings-growth-51673277377,2023-01-09 15:17:00,"Oracle Stock Is Upgraded. Analyst Sees Faster Growth in Earnings, Profit. ...",ORCL,0.904419,-0.025281,Neutral
Web Real-Time Communication Market Share Worth $39.78 Billion by 2028 - Lead by Rise in the Adoption of WFH and WFA | Exclusive Report by The Insight Partners,https://www.benzinga.com/pressreleases/23/01/g30329707/web-real-time-communication-market-share-worth-39-78-billion-by-2028-lead-by-rise-in-the-adoption-,2023-01-09 12:08:16,"New York, Jan. 09, 2023 ( GLOBE NEWSWIRE ) -- According to The Insight Partners. ""Web Real-Time Communication Market Size, Share, Trends, Growth and Global Forecast to 2028 - Covid-19 Impact and Global Analysis - by Solution, Services, and Industry Vertical"".",ORCL,0.026241,0.0,Neutral
"Grid Computing Market Is Expected to Hit USD 10,785 Million at a CAGR of 16.14% by 2030 - Report by Market Research Future  ( MRFR ) ",https://www.benzinga.com/pressreleases/23/01/g30328422/grid-computing-market-is-expected-to-hit-usd-10-785-million-at-a-cagr-of-16-14-by-2030-report-by-m,2023-01-09 11:05:16,"New York, US, Jan. 09, 2023 ( GLOBE NEWSWIRE ) -- According to a comprehensive research report by Market Research Future ( MRFR ) , ""Grid Computing Market Research Report, By Components, Graphics Type, by End User, by Application- Forecast till 2030, the market is anticipated to acquire a ...",ORCL,0.030958,0.0,Neutral
Silicon Photonics Market Size [2022-2029] | Increasing Demand for High-Speed Data Transmission to Drive the Growth of Market,https://www.benzinga.com/pressreleases/23/01/g30325513/silicon-photonics-market-size-2022-2029-increasing-demand-for-high-speed-data-transmission-to-driv,2023-01-09 07:01:18,"Pune, India, Jan. 09, 2023 ( GLOBE NEWSWIRE ) -- The global silicon photonics market size is projected to grow significantly during forecast year 2022 to 2029 This growth is attributed to factors such as increasing demand for high-speed data transmission Silicon photonics is a technology that ...",ORCL,0.046724,0.0,Neutral
"Elon Musk Warns Of More Pain As Commercial Real Estate Prices Pull Back To 2009 Levels - Chevron  ( NYSE:CVX ) , Oracle  ( NYSE:ORCL ) ",https://www.benzinga.com/news/23/01/30325358/elon-musk-warns-of-more-pain-as-commercial-real-estate-prices-pull-back-to-2009-levels,2023-01-09 06:30:28,"The housing market, which was the trigger point for the 2008 recession, is acting up yet again. The development is concerning given a majority of economists have begun discounting a moderate to severe recession.",ORCL,0.19661,-0.006227,Neutral
Elon Musk Sends Subtle Message to Disenchanted Tesla Shareholders,https://www.thestreet.com/technology/elon-musk-sends-subtle-message-to-disenchanted-tesla-shareholders,2023-01-09 00:44:00,The CEO of the electric vehicle manufacturer is under unprecedented pressure from retail investors.,ORCL,0.126784,-0.053804,Neutral
Big Tesla Shareholder Mounts a Rebellion Against Elon Musk,https://www.thestreet.com/technology/big-tesla-shareholder-mounts-a-rebellion-against-elon-musk,2023-01-08 13:30:00,Leo KoGuan is one of the largest retail investors in the electric vehicle manufacturer.,ORCL,0.081414,0.089651,Neutral
