title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
631st Consecutive Common Stock Monthly Dividend Declared By Realty Income,https://www.prnewswire.com/news-releases/631st-consecutive-common-stock-monthly-dividend-declared-by-realty-income-301718236.html,2023-01-10 21:05:00,631st Consecutive Common Stock Monthly Dividend Declared By ... PR ...,O,0.184363,0.113443,Neutral
Investing in Retail REITs,https://www.fool.com/investing/stock-market/market-sectors/real-estate-investing/reit/retail-reit/,2023-01-09 15:33:12,A closer look at how to invest in retail REITs.,O,0.056474,0.124981,Neutral
"Realty Income  ( O )  Closes $1B Term Loan, Boosts Liquidity",https://www.zacks.com/stock/news/2036562/realty-income-o-closes-1b-term-loan-boosts-liquidity,2023-01-09 11:17:00,Realty Income (O) closes a $1 billion multicurrency unsecured term loan and executes one-year variable-to-fixed interest rate swaps. The moves boost its liquidity and financial flexibility.,O,0.224903,0.249291,Somewhat-Bullish
3 Dividend Stocks You Can Invest Confidently in Right Now,https://www.fool.com/investing/2023/01/08/3-dividend-stocks-you-can-invest-confidently-in-ri/,2023-01-08 12:12:00,"These stocks offer the hallmarks of confident investing: healthy earnings, stable outlooks, and superior credit ratings.",O,0.218817,0.191273,Somewhat-Bullish
"2 ""Boring"" Stocks That Have Handily Beaten the Market -- and Could Keep Doing It",https://www.fool.com/investing/2023/01/08/2-boring-stocks-that-have-handily-beaten-the-marke/,2023-01-08 11:22:00,Just because a business isn't an exciting growth story doesn't mean it can't beat the market.,O,0.277118,0.221324,Somewhat-Bullish
"Got $1,500? You Can Confidently Add These 3 Stocks to Your Portfolio",https://www.fool.com/investing/2023/01/07/got-1500-you-can-confidently-add-these-3-stocks-to/,2023-01-07 13:07:00,These stocks should produce attractive total returns in the coming years.,O,0.363009,0.341292,Somewhat-Bullish
Realty Income Corp.  ( O )  Gains But Lags Market: What You Should Know,https://www.zacks.com/stock/news/2036434/realty-income-corp-o-gains-but-lags-market-what-you-should-know,2023-01-06 22:45:24,"Realty Income Corp. (O) closed the most recent trading day at $64.08, moving +1.09% from the previous trading session.",O,0.565003,0.323821,Somewhat-Bullish
Realty Income Announces $1.0 Billion Multicurrency Term Loan,https://www.prnewswire.com/news-releases/realty-income-announces-1-0-billion-multicurrency-term-loan-301715738.html,2023-01-06 21:05:00,"SAN DIEGO, Jan. 6, 2023 /PRNewswire/ -- Realty Income Corporation ( Realty Income, NYSE: O ) , The Monthly Dividend Company®, today announced that it has closed on a $1.0 billion multicurrency unsecured term loan.",O,0.237358,0.14957,Neutral
Peering Into Realty Income's Recent Short Interest - Realty Income  ( NYSE:O ) ,https://www.benzinga.com/short-sellers/23/01/30312699/peering-into-realty-incomes-recent-short-interest,2023-01-06 16:17:57,"Realty Income's O short percent of float has fallen 4.86% since its last report. The company recently reported that it has 18.93 million shares sold short, which is 3.52% of all regular shares that are available for trading.",O,0.112008,0.032722,Neutral
This Week in Finance News: 10 Stories You Need to See,https://www.prnewswire.com/news-releases/this-week-in-finance-news-10-stories-you-need-to-see-301714967.html,2023-01-06 12:52:00,"A roundup of the week's most newsworthy financial industry press releases from PR Newswire NEW YORK, Jan. 6, 2023 /PRNewswire/ -- With thousands of press releases published each week, it can be difficult to keep up with everything on PR Newswire.",O,0.039548,0.063773,Neutral
Why Realty Income Can Keep Increasing Its Dividend,https://www.fool.com/investing/2023/01/06/why-realty-income-can-keep-increasing-its-dividend/,2023-01-06 11:45:00,A conservative business model allows Realty Income to keep hiking itsdividend.,O,0.475618,0.037359,Neutral
Is Agree Realty a Buy?,https://www.fool.com/investing/2023/01/05/is-agree-realty-a-buy/,2023-01-05 14:43:00,Agree Realty is a highly defensive income stock.,O,0.136499,0.193656,Somewhat-Bullish
Realty Income  ( NYSE:O )  Rating Lowered to Sell at StockNews.com,https://www.etfdailynews.com/2023/01/05/realty-income-nyseo-rating-lowered-to-sell-at-stocknews-com/,2023-01-05 08:18:42,"Realty Income ( NYSE:O - Get Rating ) was downgraded by investment analysts at StockNews.com from a ""hold"" rating to a ""sell"" rating in a research note issued on Thursday. Other analysts have also recently issued research reports about the company.",O,0.855426,0.452461,Bullish
StockNews.com Downgrades Realty Income  ( NYSE:O )  to Sell,https://reporter.am/2023/01/05/stocknews-com-downgrades-realty-income-nyseo-to-sell.html,2023-01-05 08:18:42,"Realty Income ( NYSE:O - Get Rating ) was downgraded by research analysts at StockNews.com from a ""hold"" rating to a ""sell"" rating in a report issued on Thursday. Other analysts also recently issued research reports about the company.",O,0.764552,0.409672,Bullish
Here's Why Agree Realty Can Keep Raising Its Dividend,https://www.fool.com/investing/2023/01/04/why-agree-realty-can-keep-raising-its-dividend/,2023-01-04 15:45:52,"This large net-lease REIT's dividend is up nearly 6% year over year, with more increases likely to come.",O,0.357049,0.326547,Somewhat-Bullish
Realty Income  ( O )  to Acquire 185-Property Portfolio for $894M,https://www.zacks.com/stock/news/2034505/realty-income-o-to-acquire-185-property-portfolio-for-894m,2023-01-03 13:28:00,"Realty Income (O) to acquire a 185-property portfolio from subsidiaries of CIM Real Estate Finance Trust, Inc. for $894 million as part of its portfolio expansion efforts in key markets.",O,0.197951,0.185702,Somewhat-Bullish
Should iShares Morningstar MidCap ETF  ( IMCB )  Be on Your Investing Radar?,https://www.zacks.com/stock/news/2034416/should-ishares-morningstar-midcap-etf-imcb-be-on-your-investing-radar,2023-01-03 11:20:08,Style Box ETF report for ...,O,0.066414,0.055075,Neutral
2 Stocks That Cut You a Check Each Month,https://www.fool.com/investing/2023/01/02/2-stocks-that-cut-you-a-check-each-month/,2023-01-02 17:07:00,Why wait up to three months when you can get some yield 12 times a year? Here are two high-conviction picks for income investors of all stripes.,O,0.211191,0.196076,Somewhat-Bullish
Top 3 Under-the-Radar REITs to Buy in 2023,https://www.fool.com/real-estate/2023/01/01/top-3-under-the-radar-reits-to-buy-in-2023/,2023-01-01 13:48:00,These lesser-known REITs offer big growth opportunities at favorable pricing.,O,0.047371,0.0,Neutral
Realty Income Corp.  ( O )  Dips More Than Broader Markets: What You Should Know,https://www.zacks.com/stock/news/2041615/realty-income-corp-o-dips-more-than-broader-markets-what-you-should-know,2023-01-19 22:45:23,"Realty Income Corp. (O) closed at $65.31 in the latest trading session, marking a -1.11% move from the prior day.",O,0.558244,0.208464,Somewhat-Bullish
Is Trending Stock Realty Income Corporation  ( O )  a Buy Now?,https://www.zacks.com/stock/news/2041247/is-trending-stock-realty-income-corporation-o-a-buy-now,2023-01-19 14:00:13,"Zacks.com users have recently been watching Realty Income Corp. (O) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.",O,0.430251,0.199004,Somewhat-Bullish
"Whitestone REIT Is Rallying. Should You Jump In, Too?",https://www.fool.com/investing/2023/01/19/whitestone-reit-is-rallying-should-you-jump-in-too/,2023-01-19 10:41:00,This relative laggard is making up ground and should be able to continue that trajectory.,O,0.222838,0.146359,Neutral
Why Is Tanger Factory Outlet's Dividend Yield So High?,https://www.fool.com/investing/2023/01/18/why-is-tanger-outlets-dividend-yield-so-high/,2023-01-18 15:28:57,Rising interest rates won't ding this retail REIT enough to affect the dividend.,O,0.058903,0.001002,Neutral
"Got $1,000? Here's How to Turn That Into a Passive Income Stream in 2023",https://www.fool.com/investing/2023/01/15/got-1000-heres-how-to-turn-that-into-a-passive-inc/,2023-01-15 15:46:00,Here's how to turn your active income into passive income.,O,0.06211,0.350814,Bullish
Best Monthly Dividend Stocks To Buy In 2023? 3 To Watch,https://stockmarket.com/featured/best-monthly-dividend-stocks-to-buy-in-2023-3-to-watch-2023-01-15,2023-01-15 13:48:02,"Investing in monthly dividend-paying stocks can provide you with a reliable source of income that can be used to supplement your salary or fund other investments. These stocks pay out a portion of their profits to shareholders on a regular basis, typically every month.",O,0.182047,0.149984,Neutral
"StockNews.com Upgrades Realty Income  ( NYSE:O )  to ""Hold""",https://www.etfdailynews.com/2023/01/15/stocknews-com-upgrades-realty-income-nyseo-to-hold/,2023-01-15 07:26:43,"Realty Income ( NYSE:O - Get Rating ) was upgraded by analysts at StockNews.com from a ""sell"" rating to a ""hold"" rating in a research note issued to investors on Friday. A number of other research analysts have also recently commented on the company.",O,0.779232,0.402982,Bullish
