title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Paramount Global-B  ( PARA )  Outpaces Stock Market Gains: What You Should Know,https://www.zacks.com/stock/news/2037598/paramount-global-b-para-outpaces-stock-market-gains-what-you-should-know,2023-01-10 22:50:20,"In the latest trading session, Paramount Global-B (PARA) closed at $19.89, marking a +1.74% move from the previous day.",PARA,0.587962,0.312426,Somewhat-Bullish
Paramount  ( PARA )  Announces the Release of Fatal Attraction,https://www.zacks.com/stock/news/2037493/paramount-para-announces-the-release-of-fatal-attraction,2023-01-10 17:12:00,Paramount Global (PARA) announced the release of its new original series Fatal Attraction that will be premiered first on Apr 30 on Paramount Plus.,PARA,0.140076,0.228304,Somewhat-Bullish
2 Unstoppable Warren Buffett Stocks That Can Turn Sitting Cash Into Growing Wealth,https://www.fool.com/investing/2023/01/10/2-unstoppable-warren-buffett-stocks-cash-wealth/,2023-01-10 15:00:00,Buffett's company bought these stocks recently. Here's why you should buy them too.,PARA,0.165409,0.265805,Somewhat-Bullish
Why Paramount Global Stock Fell 15.9% Last Month,https://www.fool.com/investing/2023/01/10/why-paramount-global-stock-fell-159-last-month/,2023-01-10 13:39:00,"Paramount is on a mission to boldly go where no media company has gone before, straddling the line between Hollywood and cyberspace. This journey isn't easy.",PARA,0.185306,0.14128,Neutral
What's Next For Paramount Stock?,https://www.forbes.com/sites/greatspeculations/2023/01/10/whats-next-for-paramount-stock/,2023-01-10 10:00:46,"Paramount Global stock (NASDAQ: PARA) has gained about 5% over the past month, outperforming the S&P 500 which decreased by -1.5% over the same period.",PARA,0.578948,0.352103,Bullish
5 Stocks to Start 2023 With a Bang,https://www.fool.com/investing/2023/01/09/5-stocks-to-start-2023-with-a-bang-meta/,2023-01-09 14:09:39,Buying quality stocks at lower prices is a recipe for successful investing.,PARA,0.031696,0.151663,Somewhat-Bullish
2 Warren Buffett Stocks That Are No-Brainer Buys and 1 to Avoid Like the Plague,https://www.fool.com/investing/2023/01/09/2-warren-buffett-stocks-buy-1-to-avoid-like-plague/,2023-01-09 10:06:00,"Two Buffett stocks stand out as clear-cut buys in the new year, while another top holding has lost much of its luster.",PARA,0.121804,0.079622,Neutral
Bill Clinton Takes A Shot At Donald Trump: Here's What He Said - Paramount Global  ( NASDAQ:PARA ) ,https://www.benzinga.com/news/22/06/27804646/bill-clinton-takes-a-shot-at-donald-trump-heres-what-he-said-5,2023-01-08 00:01:00,"A former president took a shot at another former president last year when asked a question on a late-night talk show. What Happened: In a June 2022 appearance on ""Late Late Show With James Corden,"" former President Bill Clinton was a featured guest.",PARA,0.217834,0.304264,Somewhat-Bullish
"Down 47% in This Bear Market, Can Paramount Recover in 2023?",https://www.fool.com/investing/2023/01/07/down-47-in-this-bear-market-can-paramount-recover/,2023-01-07 07:15:39,"Investors may not like the media company's spending plans for the next couple of years, but there's a method to the madness.",PARA,0.237358,0.058837,Neutral
The Race to Build the 'Yellowstone' Universe,https://www.wsj.com/articles/1923-yellowstone-taylor-sheridan-harrison-ford-helen-mirren-streaming-11673045642,2023-01-07 05:00:00,"Amid tight deadlines and freezing temperatures, Paramount churns out prequels to generate programming for its streaming service and capitalize on a hit.",PARA,0.252987,0.039583,Neutral
"INDIACAST PARTNERS WITH AMAGI TO LAUNCH VIACOM18's FIRST FREE AD-SUPPORTED  ( FAST )  STREAMING HINDI ENTERTAINMENT TV CHANNEL - 'DESI PLAY TV' IN HD, ACROSS NORTH AMERICA AND MIDDLE EAST",https://www.prnewswire.com/news-releases/indiacast-partners-with-amagi-to-launch-viacom18s-first-free-ad-supported-fast-streaming-hindi-entertainment-tv-channel--desi-play-tv-in-hd-across-north-america-and-middle-east-301715331.html,2023-01-06 12:30:00,INDIACAST PARTNERS WITH AMAGI TO LAUNCH VIACOM18's ... PR ...,PARA,0.034831,0.121437,Neutral
"INDIACAST PARTNERS WITH AMAGI TO LAUNCH VIACOM18's FIRST FREE AD-SUPPORTED  ( FAST )  STREAMING HINDI ENTERTAINMENT TV CHANNEL - 'DESI PLAY TV' IN HD, ACROSS NORTH AMERICA AND MIDDLE EAST",https://www.benzinga.com/pressreleases/23/01/n30308579/indiacast-partners-with-amagi-to-launch-viacom18s-first-free-ad-supported-fast-streaming-hindi-ent,2023-01-06 12:30:00,"~ Desi Play TV is now available on Sling in the US and Plex across the US, Canada and Middle East regions ~ NEW JERSEY, Jan. 6, 2023 /PRNewswire/ -- Amagi, a global leader in cloud-based SaaS technology for broadcast and connected TV, today announced that IndiaCast Media Distribution Pvt.",PARA,0.034039,0.119125,Neutral
2 Top Buffett Stocks to Buy and Hold for the Long Haul,https://www.fool.com/investing/2023/01/06/top-buffett-stocks-buy-and-hold-for-long-haul/,2023-01-06 12:05:00,These Buffett-backed stocks are built for long-term success and trade at attractive valuations.,PARA,0.275867,0.402035,Bullish
Paramount Global-B  ( PARA )  Gains As Market Dips: What You Should Know,https://www.zacks.com/stock/news/2035984/paramount-global-b-para-gains-as-market-dips-what-you-should-know,2023-01-05 23:00:18,"Paramount Global-B (PARA) closed at $18.66 in the latest trading session, marking a +0.86% move from the prior day.",PARA,0.645887,0.156482,Somewhat-Bullish
'Romeo & Juliet' actors suing Paramount for sexual exploitation over 1968 movie's teen nude scene,https://www.marketwatch.com/story/romeo-juliet-actors-suing-paramount-for-sexual-exploitation-over-1968-movies-teen-nude-scene-11672935481,2023-01-05 16:18:00,"Then-teen actors Leonard Whiting and Olivia Hussey sue Paramount for $500 million, alleging they were misled for a nude scene in 1968's ""Romeo and Juliet."" ...",PARA,0.119532,-0.215587,Somewhat-Bearish
2022 Box Office Performance: Year Of The Sequel - Top 10 Movies And Which Stocks To Watch - Paramount Global  ( NASDAQ:PARA ) ,https://www.benzinga.com/general/entertainment/23/01/30284319/2022-box-office-performance-year-of-the-sequel-top-10-movies-and-which-stocks-to-watch,2023-01-05 14:10:43,Movie theaters continue to suffer due to the COVID-19 pandemic and the surge of content from on-demand streaming platforms. Here's a recap of what happened in 2022 and the highest grossing movies both domestically and worldwide.,PARA,0.043898,0.124819,Neutral
Check Out What Whales Are Doing With PARA - Paramount Global  ( NASDAQ:PARA ) ,https://www.benzinga.com/markets/options/23/01/30280335/check-out-what-whales-are-doing-with-para,2023-01-04 19:51:19,"Someone with a lot of money to spend has taken a bullish stance on Paramount Global PARA. We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga. Whether this is an institution or just a wealthy individual, we don't know.",PARA,0.817578,0.362876,Bullish
2 Beaten-Down Warren Buffett Stocks to Buy in 2023,https://www.fool.com/investing/2023/01/01/beaten-down-warren-buffett-stocks-to-buy-in-2023/,2023-01-01 10:13:00,These are high-conviction stocks for the Oracle of Omaha but they're trading at knocked-down prices.,PARA,0.277118,0.222256,Somewhat-Bullish
