title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
PEP: 3 Top Beverage Stocks to Buy for 2023,https://stocknews.com/news/pep-abev-prmw-3-top-beverage-stocks-to-buy-for-2023/,2023-01-10 18:55:11,PEP: 3 Top Beverage Stocks to Buy for ...,PEP,0.359187,0.423961,Bullish
Zaxby's welcomes Carl Mount as new chief supply chain officer,https://www.prnewswire.com/news-releases/zaxbys-welcomes-carl-mount-as-new-chief-supply-chain-officer-301718169.html,2023-01-10 18:25:00,"KFC veteran to optimize Zaxby's partnerships between suppliers and franchisees ATHENS, Ga., Jan. 10, 2023 /PRNewswire/ -- Saucy chicken chain welcomes Carl Mount as chief supply chain officer effective January 17.",PEP,0.077343,-0.006097,Neutral
Will PepsiCo  ( PEP )  Beat Estimates Again in Its Next Earnings Report?,https://www.zacks.com/stock/news/2037500/will-pepsico-pep-beat-estimates-again-in-its-next-earnings-report,2023-01-10 17:10:10,PepsiCo (PEP) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,PEP,0.421485,0.476372,Bullish
"Coke, PepsiCo Are Target of Probe by Federal Trade Commission",https://www.wsj.com/articles/ftc-opens-probe-into-pricing-by-coke-pepsico-11673363158,2023-01-10 15:30:00,The agency is investigating potential price discrimination in the U.S. beverage market.,PEP,0.595343,-0.478667,Bearish
The 8 'rarest' types of employees-and why they 'outperform' everyone else: Career expert,https://www.cnbc.com/2023/01/10/rarest-types-of-employees-and-why-they-outperform-everyone-else-according-to-career-expert.html,2023-01-10 15:09:31,"At work, there are people who blend into the background, and then there are those who shine in the spotlight. A career expert shares rarest - and most successful - types of employees, and why they outperform everyone else.",PEP,0.047559,0.094882,Neutral
3 Tea Stocks to Consider in 2023,https://www.fool.com/investing/stock-market/market-sectors/consumer-staples/beverage-stocks/tea-stocks/,2023-01-10 15:06:10,Here's everything you need to know about the top tea stocks on the market.,PEP,0.08282,0.060697,Neutral
How to Find Strong Consumer Staples Stocks Slated for Positive Earnings Surprises,https://www.zacks.com/stock/news/2037278/how-to-find-strong-consumer-staples-stocks-slated-for-positive-earnings-surprises,2023-01-10 13:50:07,The Zacks Earnings ESP is a great way to find potential earnings surprises. Why investors should take advantage now.,PEP,0.382925,0.41761,Bullish
SKULLCANDY AND DORITOS BRING BOLD SELF-EXPRESSION TO GAMING WITH LATEST COLLABORATION,https://investingnews.com/skullcandy-and-doritos-bring-bold-self-expression-to-gaming-with-latest-collaboration/,2023-01-10 13:29:29,"Limited-Edition SLYR Multi-Platform Gaming Headset and Dime 2 True Wireless Earbuds Feature UV-Reactive Graphics that Glow When the Lights Go Low Skullcandy, the #1 selling brand in stereo headphones 1 and true wireless earbuds 2 under $100 announced today a limited-edition collaboration with ...",PEP,0.123526,0.230922,Somewhat-Bullish
Chinese stocks have been on a tear. Morgan Stanley says it's turning even more bullish on China.,https://www.marketwatch.com/story/chinese-stocks-have-been-on-a-tear-morgan-stanley-says-its-turning-even-more-bullish-11673351396,2023-01-10 12:03:00,Leading brokers are getting more excited about Chinese stocks after the big rally.,PEP,0.082677,-0.038502,Neutral
3 Top Dividend Kings to Buy for the Long Haul,https://www.fool.com/investing/2023/01/10/3-top-dividend-kings-to-buy-for-the-long-haul/,2023-01-10 10:52:00,It's the underlying businesses that fund their dividends that make these stocks especially attractive.,PEP,0.344872,0.299914,Somewhat-Bullish
