title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Pfizer  ( PFE )  Stock Sinks As Market Gains: What You Should Know,https://www.zacks.com/stock/news/2037576/pfizer-pfe-stock-sinks-as-market-gains-what-you-should-know,2023-01-10 22:45:21,"Pfizer (PFE) closed at $47.62 in the latest trading session, marking a -1.59% move from the prior day.",PFE,0.655281,0.308774,Somewhat-Bullish
Halozyme Provides 2023 Financial Guidance and Outlook,https://www.prnewswire.com/news-releases/halozyme-provides-2023-financial-guidance-and-outlook-301717757.html,2023-01-10 22:15:00,2023 Total Revenue Guidance of $815 to $845 Million Representing >20% Growth Over Expected 2022 Revenue 2023 Recurring Revenues from Royalties Projected to Grow by >20% to $445 to $455 Million 2023 EBITDA Projected to Grow by >30% Year-Over-Year to $415 to $440 Million,PFE,0.05333,0.124,Neutral
"If You Invested $1,000 In Inovio Stock At Its COVID-19 Pandemic Low, Here's How Much You'd Have Now - Inovio Pharmaceuticals  ( NASDAQ:INO ) ",https://www.benzinga.com/news/23/01/30315163/if-you-invested-1-000-in-inovio-stock-at-its-covid-19-pandemic-low-heres-how-much-youd-have-now,2023-01-10 17:48:18,Investors who bought stocks during the COVID-19 market crash in 2020 have generally experienced some big gains in the past two and a half years. But there was no question some big-name stocks performed better than others since the pandemic bottom.,PFE,0.129866,0.0,Neutral
Sen. Bernie Sanders urges Moderna not to hike price of Covid-19 vaccines,https://www.cnbc.com/2023/01/10/bernie-sanders-urges-moderna-not-to-hike-covid-19-vaccine-price.html,2023-01-10 17:38:05,"Sanders, the incoming chair of the Senate health committee, called the price increase ""outrageous"" in a letter to Moderna CEO Stephane Bancel.",PFE,0.057767,0.120979,Neutral
China takes first steps to punish countries that imposed testing mandates for Chinese travelers,https://www.marketwatch.com/story/china-takes-first-steps-to-punish-countries-that-imposed-testing-mandates-for-chinese-travelers-11673363816,2023-01-10 16:43:00,China suspended visas for South Koreans on Tuesday in a tit-for-tat response to that country's COVID testing requirement for Chinese tourists.,PFE,0.145583,0.09214,Neutral
"Novavax  ( NVAX )  Names John Jacobs as New CEO, Shares Rise",https://www.zacks.com/stock/news/2037465/novavax-nvax-names-john-jacobs-as-new-ceo-shares-rise,2023-01-10 16:24:00,"Novavax (NVAX) appoints John C. Jacobs as its new president and chief executive officer, effective Jan 23, 2023.",PFE,0.45634,-0.083981,Neutral
3 Passive Income Stocks That Are Screaming Buys in January,https://www.fool.com/investing/2023/01/10/3-passive-income-stocks-are-screaming-buys-january/,2023-01-10 14:45:00,All three could make investors a little bit richer every quarter.,PFE,0.098862,0.023654,Neutral
Is Former CStone Chairman the Medicine Ailing Hengrui Needs? - Pfizer  ( NYSE:PFE ) ,https://www.benzinga.com/23/01/30354269/is-former-cstone-chairman-the-medicine-ailing-hengrui-needs,2023-01-10 14:43:46,"Hengrui Pharma has named the former top executive of the smaller CStone as its new chief strategy officer, hoping he can help to reverse its recent decline The company has lost four vice general managers since last year, and its stock is down nearly 60% from its high at the end of 2020.",PFE,0.072435,0.131973,Neutral
"Top Stories Tuesday, Jan. 10 - Bitcoin  ( BTC/USD ) , Ethereum  ( ETH/USD ) ",https://www.benzinga.com/general/biotech/23/01/30351188/coinbase-discloses-restructuring-plan-amid-macro-headwinds-pfizer-rebuts-generic-version-of-covid,2023-01-10 13:17:16,"Coinbase Global, Inc COIN disclosed a restructuring plan letting go of 950 employees, helping it reduce its operating expenses by 25% amid the crypto meltdown.",PFE,0.077593,0.0,Neutral
"Pfizer Rebuts Generic Version Of COVID-19 Oral Treatment In China, Says It's Not A Poor Country - Pfizer  ( NYSE:PFE ) ",https://www.benzinga.com/markets/asia/23/01/30350072/pfizer-rebuts-generic-version-of-covid-19-oral-treatment-in-china-says-its-not-a-poor-country,2023-01-10 13:08:16,"Pfizer Inc PFE CEO Albert Bourla rebuffed reports saying the company is in talks with Chinese authorities to license a generic version of its Covid-19 treatment Paxlovid. Bourla speaking at JPMorgan's healthcare conference, said, ""We are not in discussions.",PFE,0.491878,0.149928,Neutral
