title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
PG: 2 of the Safest Stocks to Buy in 2023,https://stocknews.com/news/pg-hum-2-of-the-safest-stocks-to-buy-in-2023/,2023-01-10 19:07:48,PG: 2 of the Safest Stocks to Buy in ...,PG,0.44074,0.472205,Bullish
"Stock Indexes Move Lower Ahead of Key Consumer Data, More Fed Speakers - Coinbase Global  ( NASDAQ:COIN ) , Boeing  ( NYSE:BA ) ",https://www.benzinga.com/federal-reserve/23/01/30358199/stock-indexes-move-lower-ahead-of-key-consumer-data-more-fed-speakers,2023-01-10 17:21:15,( Tuesday Market Open ) Investors remained subdued Tuesday morning after a reality check from Federal Reserve speakers yesterday and rising anticipation ahead of a key U.S. inflation measure. Major stock futures turned lower before the opening while oil and Treasuries rose slightly.,PG,0.059785,0.0,Neutral
How To Choose Recession-Proof Stocks To Fortify Your Portfolio In 2023,https://www.forbes.com/sites/qai/2023/01/10/how-to-choose-recession-proof-stocks-to-fortify-your-portfolio-in-2023/,2023-01-10 15:45:57,"Chances are, the best recession stocks are companies you've never heard of. They're the 'unsexy' businesses that keep the world turning. This is where their strength lies: providing steady, consistent returns.",PG,0.033562,-0.061101,Neutral
JNJ: 3 Stocks to Help Stabilize Your Portfolio in 2023,https://stocknews.com/news/jnj-pg-atr-3-stocks-to-help-stabilize-your-portfolio-in-2023/,2023-01-10 14:49:43,JNJ: 3 Stocks to Help Stabilize Your Portfolio in ...,PG,0.21686,0.211897,Somewhat-Bullish
Venterra Realty Appoints Nicolai Salcedo as Chief Technology and Digital Officer,https://www.newswire.ca/news-releases/venterra-realty-appoints-nicolai-salcedo-as-chief-technology-and-digital-officer-887776657.html,2023-01-10 13:00:00,Venterra Realty Appoints Nicolai Salcedo as Chief Technology and ... Canada ...,PG,0.100308,-0.012828,Neutral
"Bed Bath & Beyond Posts Steeper Q3 Loss, 'Exploring Multiple Paths', As Bankruptcy Risk Looms",https://www.thestreet.com/markets/bed-bath-beyond-posts-steeper-q3-loss-as-bankruptcy-risk-looms,2023-01-10 12:52:00,"""We continue to work with advisors as we consider all strategic alternatives to accomplish our near- and long-term goals,"" said CEO Sue Gove.",PG,0.147366,-0.096575,Neutral
Procter & Gamble  ( PG )  Dips More Than Broader Markets: What You Should Know,https://www.zacks.com/stock/news/2036985/procter-gamble-pg-dips-more-than-broader-markets-what-you-should-know,2023-01-09 22:45:19,"Procter & Gamble (PG) closed the most recent trading day at $152.04, moving -1.22% from the previous trading session.",PG,0.668563,0.154833,Somewhat-Bullish
"Investors Look to Steer Friday's Rally Around Expected Q4 Earnings Headwinds - Citigroup  ( NYSE:C ) , Bank of America  ( NYSE:BAC ) ",https://www.benzinga.com/markets/23/01/30337651/investors-look-to-steer-fridays-rally-around-expected-q4-earnings-headwinds,2023-01-09 17:36:59,( Monday Market Open ) Investors kept Friday's jobs rally rolling this morning despite warning signs that Q4 earnings season could be anything but a party. Major stock futures indexes were all up slightly.,PG,0.052512,0.0,Neutral
"Take the Zacks Approach to Beat the Market: Boeing, Halliburton, Starbucks in Focus",https://www.zacks.com/stock/news/2036606/take-the-zacks-approach-to-beat-the-market-boeing-halliburton-starbucks-in-focus,2023-01-09 12:19:00,Our time-tested methodologies were at work to help investors navigate the market well last week. Here are some of our key performance data from the past three months.,PG,0.132368,0.129215,Neutral
Is Procter & Gamble an Excellent Defensive Stock to Buy?,https://www.fool.com/investing/2023/01/08/is-procter-gamble-an-excellent-defensive-stock-to/,2023-01-08 16:08:00,"With worldwide economic growth slowing down, investors are looking for defensive stocks.",PG,0.947069,0.270647,Somewhat-Bullish
2 Dividend Aristocrat Stocks to Buy and Never Sell,https://www.zacks.com/stock/news/2036431/2-dividend-aristocrat-stocks-to-buy-and-never-sell,2023-01-06 22:11:00,"Dividend Aristocrats are steady and maybe a bit boring. But that can be a good thing, especially during periods of volatility ...",PG,0.417611,0.151262,Somewhat-Bullish
3 Top Consumer Staples Stocks for a Steady Portfolio,https://www.zacks.com/stock/news/2036427/3-top-consumer-staples-stocks-for-a-steady-portfolio,2023-01-06 20:55:00,"Adding Consumer Staples stocks is a way that investors can heighten their portfolio's defense, as these companies' products generate reliable and consistent demand in the face of many economic situations.",PG,0.378094,0.166895,Somewhat-Bullish
"Moral Rating Agency slams Western companies, including Microsoft and Nestlé, over alleged supply of products to Russia",https://www.marketwatch.com/story/moral-rating-agency-slams-western-companies-including-microsoft-and-nestle-over-alleged-supply-of-products-to-russia-11673016382,2023-01-06 14:46:00,New research claims consumer giants are still selling products into the country.,PG,0.154207,0.048062,Neutral
Like Passive Income? Buy These No-Brainer Warren Buffett Stocks,https://www.fool.com/investing/2023/01/06/like-passive-income-buy-warren-buffett-stocks/,2023-01-06 14:37:00,Dividends drive significant returns for Berkshire Hathaway's portfolio.,PG,0.207127,0.237455,Somewhat-Bullish
Dow Likely to Continue Outperforming Peers in 2023: 5 Picks,https://www.zacks.com/stock/news/2036136/dow-likely-to-continue-outperforming-peers-in-2023-5-picks,2023-01-06 13:32:00,"We have narrowed our search to five Dow stocks. These are: NKE, PG, CRM, IBM and CAT.",PG,0.202366,0.447356,Bullish
"AirSculpt Technologies, Inc. Announces Executive Leadership Changes & Reiterates 2022 Revenue Guidance",https://www.globenewswire.com/news-release/2023/01/06/2584389/0/en/AirSculpt-Technologies-Inc-Announces-Executive-Leadership-Changes-Reiterates-2022-Revenue-Guidance.html,2023-01-06 13:00:00,Todd Magazine Appointed CEO & Dr. Aaron Rollins Named Executive Chairman Todd Magazine Appointed CEO & Dr. Aaron Rollins Named Executive Chairman ...,PG,0.04882,0.077194,Neutral
"AirSculpt Technologies, Inc. Announces Executive Leadership Changes & Reiterates 2022 Revenue Guidance - AirSculpt Technologies  ( NASDAQ:AIRS ) ",https://www.benzinga.com/pressreleases/23/01/g30308959/airsculpt-technologies-inc-announces-executive-leadership-changes-reiterates-2022-revenue-guidance,2023-01-06 13:00:00,"MIAMI BEACH, Fla., Jan. 06, 2023 ( GLOBE NEWSWIRE ) -- AirSculpt Technologies, Inc., ( ""AirSculpt"" or the ""Company"" ) AIRS an industry leader and provider of premium body contouring procedures, announced today that AirSculpt Founder and current Chief Executive Officer, Dr. Aaron Rollins, will ...",PG,0.047092,0.16389,Somewhat-Bullish
"Jim Cramer Says He's 'Still Feeling Good' About These 5 Stocks From 'Mutilated' Nasdaq - T-Mobile US  ( NASDAQ:TMUS ) , Regeneron Pharmaceuticals  ( NASDAQ:REGN ) ",https://www.benzinga.com/analyst-ratings/analyst-color/23/01/30305723/jim-cramer-says-hes-still-feeling-good-about-these-5-stocks-from-mutilated-nasdaq,2023-01-06 02:42:40,"Prominent market commentator Jim Cramer has recommended five stocks from the Nasdaq Index that he believes could be decent additions to investors' portfolios. ""In an index that's been folded, spindled and mutilated, I am still feeling good about a few of these stocks,"" Cramer said according to a ...",PG,0.271274,0.312294,Somewhat-Bullish
Jim Cramer says he likes these 5 Nasdaq stocks for 2023,https://www.cnbc.com/2023/01/05/jim-cramer-says-he-likes-these-5-nasdaq-stocks-for-2023.html,2023-01-06 00:08:21,Cramer offered investors a list of stocks listed in the Nasdaq Composite that he believes could be winners this year.,PG,0.136113,0.203705,Somewhat-Bullish
Will Investors Notice Exciting Sign On Procter & Gamble's Chart? - Procter & Gamble  ( NYSE:PG ) ,https://www.benzinga.com/markets/23/01/30294844/will-investors-notice-exciting-sign-on-procter-gambles-chart,2023-01-05 14:47:45,"If history is any guide, there may be good fortune ahead for shares of Procter & Gamble PG. A so-called ""golden cross"" has formed on its chart and, not surprisingly, this could be bullish for the stock. What To Know: Many traders use moving average crossover systems to make their decisions.",PG,0.558244,0.558056,Bullish
"Bed Bath & Beyond Stock Plunges As Retailer Explores Bankruptcy, Restructuring Options",https://www.thestreet.com/markets/bed-bath-beyond-stock-plunges-as-retailer-explores-bankruptcy,2023-01-05 13:39:00,"Bed Bath & Beyond said it ""continues to consider all strategic alternatives ... including obtaining relief under the U.S. Bankruptcy Code."" ...",PG,0.144275,-0.0954,Neutral
3 Dividend Stocks to Buy for Bear Market Downturns,https://www.fool.com/investing/2023/01/05/3-dividend-stocks-to-buy-for-bear-market-downturns/,2023-01-05 13:30:00,"Bear markets are challenging, but if you focus on dividends instead of stock prices, you might find they are easier to bear.",PG,0.282234,0.053386,Neutral
"Barometers end with modest losses amid volatility; Nifty settles below 18,000",https://www.business-standard.com/article/news-cm/barometers-end-with-modest-losses-amid-volatility-nifty-settles-below-18-000-123010500785_1.html,2023-01-05 10:17:00,Barometers end with modest losses amid volatility. Nifty settles ... Business Standard ...,PG,0.050465,0.070441,Neutral
"Market pares losses; Nifty climbs above 18,050",https://www.business-standard.com/article/news-cm/market-pares-losses-nifty-climbs-above-18-050-123010500337_1.html,2023-01-05 05:01:00,"Market pares losses. Nifty climbs above 18,050 Business Standard ...",PG,0.13459,0.150521,Somewhat-Bullish
PG: 2 Super-Safe Stocks to Buy for 2023 and Beyond,https://stocknews.com/news/pg-brdcy-2-super-safe-stocks-to-buy-for-2023-and-beyond/,2023-01-04 20:20:01,"The Fed's intention to raise interest rates through 2023 has raised recession fears. Despite the uncertain macroeconomic environment, some sectors have remained resilient due to the inelastic demand for their products.",PG,0.410059,0.613546,Bullish
Procter & Gamble Unusual Options Activity For January 04 - Procter & Gamble  ( NYSE:PG ) ,https://www.benzinga.com/markets/options/23/01/30279423/procter-gamble-unusual-options-activity-for-january-04,2023-01-04 18:02:08,"A whale with a lot of money to spend has taken a noticeably bearish stance on Procter & Gamble. Looking at options history for Procter & Gamble PG we detected 13 strange trades. If we consider the specifics of each trade, it is accurate to state that 30% of the investors opened trades with ...",PG,0.7887,-0.027926,Neutral
