title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"Pentair Shows Improved Profitability Despite Sales Decline, Charts Upward Growth Path For 2024 - Pentair  ( NYSE:PNR ) ",https://www.benzinga.com/news/earnings/24/01/36850951/pentair-shows-improved-profitability-despite-sales-decline-charts-upward-growth-path-for-2024,2024-01-30 17:38:37,"Pentair PLC PNR reported a fourth-quarter fiscal 2023 net sales decline of 1.8% year-over-year to $984.6 million and a core sales decline of 2% Y/Y, beating the consensus of $976.02 million. The gross margin expanded to 37.2% from 32.4%.",PNR,0.662393,0.303022,Somewhat-Bullish
Pentair's  ( PNR )  Q4 Earnings and Sales Surpass Estimates,https://www.zacks.com/stock/news/2218054/pentairs-pnr-q4-earnings-and-sales-surpass-estimates,2024-01-30 15:35:00,"Pentair (PNR) Q4 results reflect improved year-over-year margin performances in the Water Solutions and Pool segments, offset by lower margins in the Flow segment.",PNR,0.519739,0.210123,Somewhat-Bullish
Pentair plc  ( PNR )  Q4 Earnings and Revenues Surpass Estimates,https://www.zacks.com/stock/news/2217707/pentair-plc-pnr-q4-earnings-and-revenues-surpass-estimates,2024-01-30 13:05:03,"Pentair plc (PNR) delivered earnings and revenue surprises of 1.16% and 1.21%, respectively, for the quarter ended December 2023. Do the numbers hold clues to what lies ahead for the stock?",PNR,0.390904,0.171046,Somewhat-Bullish
Pentair  ( NYSE:PNR )  Raised to Buy at StockNews.com,https://www.defenseworld.net/2024/01/28/pentair-nysepnr-raised-to-buy-at-stocknews-com.html,2024-01-28 09:52:42,StockNews.com upgraded shares of Pentair ( NYSE:PNR - Free Report ) from a hold rating to a buy rating in a research report report published on Thursday morning.,PNR,0.711516,0.43682,Bullish
Pentair  ( PNR )  to Report Q4 Earnings: What's in the Cards?,https://www.zacks.com/stock/news/2215204/pentair-pnr-to-report-q4-earnings-whats-in-the-cards,2024-01-24 17:27:00,"Pentair's (PNR) fourth-quarter 2023 performance is likely to reflect the impact of lower pool volumes, inflated costs and supply-chain issues offset by pricing actions.",PNR,0.546745,0.245808,Somewhat-Bullish
Is Invesco Global Water ETF  ( PIO )  a Strong ETF Right Now?,https://www.zacks.com/stock/news/2214735/is-invesco-global-water-etf-pio-a-strong-etf-right-now,2024-01-24 11:20:06,Smart Beta ETF report for PIO ...,PNR,0.121037,0.068013,Neutral
Pentair plc  ( PNR )  Earnings Expected to Grow: Should You Buy?,https://www.zacks.com/stock/news/2214261/pentair-plc-pnr-earnings-expected-to-grow-should-you-buy,2024-01-23 15:00:29,Pentair plc (PNR) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,PNR,0.298264,0.044409,Neutral
"Electric Heat Tracing Systems Market Size Projected to Grow at a 8.3% CAGR from 2023 to 2031 | Exclusive Report by Transparency Market Research, Inc.",https://www.benzinga.com/pressreleases/24/01/g36610232/electric-heat-tracing-systems-market-size-projected-to-grow-at-a-8-3-cagr-from-2023-to-2031-exclus,2024-01-12 13:51:35,"Wilmington, Delaware, United States, Jan. 12, 2024 ( GLOBE NEWSWIRE ) -- Transparency Market Research Inc. - The global electric heat tracing systems market is estimated to flourish at a CAGR of 8.3% from 2023 to 2031.",PNR,0.064885,0.21826,Somewhat-Bullish
QUEST WATER STRENGTHENS ADVISORY BOARD,https://www.globenewswire.com/news-release/2024/01/10/2807183/0/en/QUEST-WATER-STRENGTHENS-ADVISORY-BOARD.html,2024-01-10 14:10:00,"VANCOUVER, CANADA, Jan. 10, 2024 ( GLOBE NEWSWIRE ) -- QUEST WATER GLOBAL, INC. ( OTC Pink: QWTR ) ( ""Quest"" and/or the ""Company"" ) , is pleased to announce the expansion of its non-executive Advisory Board ( the ""Advisory Board"" ) with the appointment of three new advisors to provide expertise, ...",PNR,0.033703,0.117298,Neutral
"Pressure Relief Valve Market Surges with 4.6% CAGR, Expected to Cross the US$ 7,070.9 Million Mark by 2033: A Comprehensive Report by Persistence Market Research",https://www.benzinga.com/pressreleases/24/01/g36561183/pressure-relief-valve-market-surges-with-4-6-cagr-expected-to-cross-the-us-7-070-9-million-mark-by,2024-01-09 17:05:00,"New York, Jan. 09, 2024 ( GLOBE NEWSWIRE ) -- Market Overview: In 2023, the sales of Pressure Relief Valve in Global Market is expected to reach US$ 4,509.8 Mn. and is projected to expand steadily at a CAGR of 4.6% to reach a market valuation of close to US$ 7,070.9 Mn by 2033.",PNR,0.029399,0.113557,Neutral
"Global Aquaponics Market Size is Estimated to Reach USD 1,145 million by 2031, Growing at a CAGR of 9.82%: Straits Research",https://www.benzinga.com/pressreleases/24/01/g36556875/global-aquaponics-market-size-is-estimated-to-reach-usd-1-145-million-by-2031-growing-at-a-cagr-of,2024-01-09 14:15:00,"New York, United States, Jan. 09, 2024 ( GLOBE NEWSWIRE ) -- Aquaponics is the method of hydroponically cultivating plants while using traditional fish culture. Aquaponic techniques have gained widespread favor among farmers because of the system's unique ability to produce throughout the year.",PNR,0.045569,0.307459,Somewhat-Bullish
Should You Invest in the Invesco Global Water ETF  ( PIO ) ?,https://www.zacks.com/stock/news/2204771/should-you-invest-in-the-invesco-global-water-etf-pio,2024-01-03 11:20:06,Sector ETF report for PIO ...,PNR,0.135347,0.071708,Neutral
Pentair  ( PNR )  Gains 62% in a Year: Will the Rally Hold in 2024?,https://www.zacks.com/stock/news/2203515/pentair-pnr-gains-62-in-a-year-will-the-rally-hold-in-2024,2023-12-29 12:11:00,"Pentair (PNR) is expected to maintain its momentum backed by acquisitions, the introduction of products and investments in the areas of pool and residential and commercial water treatment.",PNR,0.326643,0.263233,Somewhat-Bullish
Pentair  ( NYSE:PNR )  Rating Lowered to Hold at StockNews.com,https://www.defenseworld.net/2023/12/20/pentair-nysepnr-rating-lowered-to-hold-at-stocknews-com.html,2023-12-20 06:16:43,"Pentair ( NYSE:PNR - Get Free Report ) was downgraded by equities researchers at StockNews.com from a ""buy"" rating to a ""hold"" rating in a research note issued to investors on Wednesday. PNR has been the topic of a number of other research reports.",PNR,0.748842,0.370468,Bullish
Wpromote Expands Private Equity Partnership Focus With Pierre Le Veaux II Executive Hire,https://www.prnewswire.com/news-releases/wpromote-expands-private-equity-partnership-focus-with-pierre-le-veaux-ii-executive-hire-302019122.html,2023-12-19 15:04:00,"EL SEGUNDO, Calif., Dec. 19, 2023 /PRNewswire/ -- Wpromote continues to grow its successful private equity book of business, welcoming Pierre Le Veaux II as the agency's new SVP, Head of Private Equity Partnerships.",PNR,0.082111,0.27601,Somewhat-Bullish
"Pentair's Structural Margin Enhancements Undervalued, Analyst Sees Positive Momentum In Pool Business - Pentair  ( NYSE:PNR ) ",https://www.benzinga.com/analyst-ratings/analyst-color/23/12/36219059/pentairs-structural-margin-enhancements-undervalued-analyst-sees-positive-momentum-,2023-12-13 18:10:41,KeyBanc analyst Jeffrey Hammond upgraded the shares of Pentair Plc PNR from Sector Weight to Overweight with a price target of $82. The analyst says investors' concerns about Pentair's Pool segment are overdone and sees an attractive setup for the business moving forward in 2024.,PNR,0.591019,0.215928,Somewhat-Bullish
Pentair  ( PNR )  Rewards Shareholders With 5% Hike in Dividend,https://www.zacks.com/stock/news/2196849/pentair-pnr-rewards-shareholders-with-5-hike-in-dividend,2023-12-12 15:42:00,Pentair's (PNR) latest dividend hike takes its dividend yield from 1.31% to 1.37%.,PNR,0.521465,0.380911,Bullish
Pentair  ( NYSE:PNR )  Downgraded by StockNews.com to Hold,https://www.defenseworld.net/2023/12/12/pentair-nysepnr-downgraded-by-stocknews-com-to-hold.html,2023-12-12 08:54:45,StockNews.com downgraded shares of Pentair ( NYSE:PNR - Free Report ) from a buy rating to a hold rating in a research report released on Monday morning. Several other analysts have also commented on the company.,PNR,0.733479,0.32078,Somewhat-Bullish
"Industrial Wastewater Treatment Equipment Market Revenue to Cross USD 9.2 billion by 2031| Says Transparency Market Research, Inc.",https://www.benzinga.com/pressreleases/23/12/g36135516/industrial-wastewater-treatment-equipment-market-revenue-to-cross-usd-9-2-billion-by-2031-says-tra,2023-12-07 15:10:00,"Wilmington, Delaware, United States, Dec. 07, 2023 ( GLOBE NEWSWIRE ) -- Transparency Market Research Inc. - The global industrial wastewater treatment equipment market is estimated to flourish at a CAGR of 7.7% from 2023 to 2031.",PNR,0.032781,0.300554,Somewhat-Bullish
Zebra  ( ZBRA )  Up 19.5% Since Last Earnings Report: Can It Continue?,https://www.zacks.com/stock/news/2191616/zebra-zbra-up-195-since-last-earnings-report-can-it-continue,2023-11-30 16:30:58,Zebra (ZBRA) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,PNR,0.209819,0.057628,Neutral
StockNews.com Upgrades Pentair  ( NYSE:PNR )  to Buy,https://www.defenseworld.net/2023/11/24/stocknews-com-upgrades-pentair-nysepnr-to-buy-2.html,2023-11-24 08:12:44,"Pentair ( NYSE:PNR - Get Free Report ) was upgraded by stock analysts at StockNews.com from a ""hold"" rating to a ""buy"" rating in a note issued to investors on Friday. Other analysts have also issued reports about the stock.",PNR,0.77641,0.478481,Bullish
Why Is Pentair plc  ( PNR )  Up 9.3% Since Last Earnings Report?,https://www.zacks.com/stock/news/2188575/why-is-pentair-plc-pnr-up-93-since-last-earnings-report,2023-11-23 16:30:50,Pentair plc (PNR) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,PNR,0.417995,0.210921,Somewhat-Bullish
Is Invesco Global Water ETF  ( PIO )  a Strong ETF Right Now?,https://www.zacks.com/stock/news/2187020/is-invesco-global-water-etf-pio-a-strong-etf-right-now,2023-11-21 11:20:07,Smart Beta ETF report for PIO ...,PNR,0.12165,0.062458,Neutral
Hot and Cold Water Dispensers Market to grow by USD 1.20 billion from 2022 to 2027; market is fragmented due to the ... - PR Newswire,https://www.prnewswire.com/news-releases/hot-and-cold-water-dispensers-market-to-grow-by-usd-1-20-billion-from-2022-to-2027-market-is-fragmented-due-to-the-presence-of-prominent-companies-like-atlantis-avalon-water-coolers-and-avanti-products-llc-and-many-more---techn-301993075.html,2023-11-20 23:35:00,Hot and Cold Water Dispensers Market to grow by USD 1.20 billion from 2022 to 2027. market is fragmented due to the ... PR ...,PNR,0.095899,0.034493,Neutral
"Pentair  ( NYSE:PNR )  Lowered to ""Hold"" at StockNews.com",https://www.defenseworld.net/2023/11/18/pentair-nysepnr-lowered-to-hold-at-stocknews-com.html,2023-11-18 06:22:44,"Pentair ( NYSE:PNR - Get Free Report ) was downgraded by equities research analysts at StockNews.com from a ""buy"" rating to a ""hold"" rating in a research note issued on Thursday. Several other research firms have also issued reports on PNR. Seaport Res Ptn restated a ""buy"" rating on shares of ...",PNR,0.838487,0.291193,Somewhat-Bullish
Stock Upgrades: Pentair Shows Rising Relative Strength,https://www.investors.com/ibd-data-stories/stock-upgrades-pentair-shows-rising-relative-strength-2/,2023-11-15 08:00:00,"When looking for the best stocks to buy and watch, focus on those with rising relative price strength. One stock that fits that bill is Pentair ( PNR ) , which had its Relative Strength ( RS ) Rating upgraded from 77 to 83 Wednesday.",PNR,0.633079,0.2633,Somewhat-Bullish
