title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Pool Corp  ( POOL )  Up 34% This Year: What Awaits in 2024?,https://www.zacks.com/stock/news/2203326/pool-corp-pool-up-34-this-year-what-awaits-in-2024,2023-12-28 18:24:00,Strong maintenance and repair demand is likely to benefit Pool Corp (POOL) amid softened new pool construction activities.,POOL,0.210274,0.112265,Neutral
"Jabil Posts Upbeat Earnings, Joins Moderna, Rivian Automotive And Other Big Stocks Moving Higher On Thursday - Alcoa  ( NYSE:AA ) , Alector  ( NASDAQ:ALEC ) ",https://www.benzinga.com/news/23/12/36239155/jabil-posts-upbeat-earnings-joins-moderna-rivian-automotive-and-other-big-stocks-moving-higher-on-th,2023-12-14 15:15:20,"U.S. stocks traded higher, with the Nasdaq Composite gaining around 75 points on Thursday. Shares of Jabil Inc. JBL rose during Thursday's session after the company reported first-quarter earnings. Jabil reported quarterly revenue of $8.39 billion, down by 13% year-on-year, beating the consensus ...",POOL,0.195814,0.501186,Bullish
Here's Why Investors Should Retain Pool Corp  ( POOL )  Stock,https://www.zacks.com/stock/news/2190844/heres-why-investors-should-retain-pool-corp-pool-stock,2023-11-29 14:37:00,"Pool Corp (POOL) benefits from solid demand for maintenance and repair activities, and strategic expansions.",POOL,0.286193,0.251836,Somewhat-Bullish
"Pool Corp  ( POOL )  Tops Q3 Earnings Estimates, Narrows '23 View",https://www.zacks.com/stock/news/2169838/pool-corp-pool-tops-q3-earnings-estimates-narrows-23-view,2023-10-20 15:56:00,Pool Corp's (POOL) third-quarter top line reflects lower sales volumes courtesy of reduced pool construction and deferred discretionary replacement activities.,POOL,0.261117,-0.197803,Somewhat-Bearish
Pool Corp.  ( POOL )  Outruns Industry in a Year: More Room to Run?,https://www.zacks.com/stock/news/2166633/pool-corp-pool-outruns-industry-in-a-year-more-room-to-run,2023-10-16 15:04:00,Pool Corp. (POOL) emphasizes expansion to drive revenue growth.,POOL,0.174587,0.121876,Neutral
Factors Setting the Tone for Pool Corp's  ( POOL )  Q3 Earnings,https://www.zacks.com/stock/news/2165821/factors-setting-the-tone-for-pool-corps-pool-q3-earnings,2023-10-13 16:29:00,Pool Corp's (POOL) third-quarter operations are likely affected by softer pool construction activity and inflationary pressures.,POOL,0.290607,-0.083893,Neutral
"Investors Take Note: 311,000 Magnificent Changes Happening at Pool Corporation",https://www.fool.com/investing/2023/08/10/investors-take-note-311000-magnificent-changes/,2023-08-10 12:00:00,"Pool Corporation's growth has slowed, leading investors to flee. But there could be plenty of demand ahead.",POOL,0.404563,-0.002792,Neutral
Pool Corp Faces Weather-Driven Revenue Decline: Analyst's Forecast And Strategy - Pool  ( NASDAQ:POOL ) ,https://www.benzinga.com/analyst-ratings/analyst-color/23/07/33326419/pool-corp-faces-weather-driven-revenue-decline-analysts-forecast-and-strategy,2023-07-21 18:47:04,"Oppenheimer analyst Scott Schneeberger reiterated an Outperform rating on the shares of Pool Corporation POOL and raised the price target from $375 to $380. It reported a second-quarter FY23 sales decline of 9.7% year-on-year to $1.857 billion, missing the analyst consensus estimate of $1.910 ...",POOL,0.592095,0.196788,Somewhat-Bullish
"Pool Corp  ( POOL )  Lags Q2 Earnings Estimates, Trims '23 View",https://www.zacks.com/stock/news/2125581/pool-corp-pool-lags-q2-earnings-estimates-trims-23-view,2023-07-21 15:32:00,"Pool Corp's (POOL) second-quarter 2023 performance is affected by weather-related constraints, slower-than-anticipated maintenance activity and high interest rates.",POOL,0.254973,-0.15992,Somewhat-Bearish
Pool Corp Q2 Earnings Miss Estimates Amid Macro Woes; Cuts FY23 EPS Outlook - Pool  ( NASDAQ:POOL ) ,https://www.benzinga.com/news/earnings/23/07/33306021/pool-corp-q2-earnings-miss-estimates-amid-macro-woes-cuts-fy23-eps-outlook,2023-07-20 15:31:11,"Pool Corporation POOL reported a second-quarter FY23 sales decline of 9.7% year-on-year to $1.857 billion, missing the consensus of $1.910 billion. EPS of $5.91 missed the consensus of $6.20.",POOL,0.640349,0.107776,Neutral
