title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Argan Stock Sees Its Composite Rating Rise To 96 As It Builds A Base,https://www.investors.com/news/argan-sees-its-composite-rating-rise-to-96/,2024-01-18 08:00:00,Argan Sees Its Composite Rating Rise To 96 Investor's Business Daily ...,PWR,0.222838,0.0,Neutral
Is Nuveen ESG Mid-Cap Growth ETF  ( NUMG )  a Strong ETF Right Now?,https://www.zacks.com/stock/news/2208051/is-nuveen-esg-mid-cap-growth-etf-numg-a-strong-etf-right-now,2024-01-10 11:20:06,Smart Beta ETF report for ...,PWR,0.110462,0.060146,Neutral
Here's How Much $1000 Invested In Quanta Services 5 Years Ago Would Be Worth Today - Quanta Services  ( NYSE:PWR ) ,https://www.benzinga.com/news/24/01/36561768/heres-how-much-1000-invested-in-quanta-services-5-years-ago-would-be-worth-today,2024-01-09 17:30:17,"Quanta Services PWR has outperformed the market over the past 5 years by 31.68% on an annualized basis producing an average annual return of 44.67%. Currently, Quanta Services has a market capitalization of $29.73 billion.",PWR,0.980595,0.386944,Bullish
Blackcomb Helicopters' new board director Nick Salisbury brings deep utility and aviation experience - PR Newswire,https://www.prnewswire.com/news-releases/blackcomb-helicopters-new-board-director-nick-salisbury-brings-deep-utility-and-aviation-experience-302024865.html,2024-01-02 22:13:00,Blackcomb Helicopters' new board director Nick Salisbury brings deep utility and aviation experience PR ...,PWR,0.262522,-0.041225,Neutral
Blackcomb Helicopters' new board director Nick Salisbury brings deep utility and aviation experience - Canada NewsWire,https://www.newswire.ca/news-releases/blackcomb-helicopters-new-board-director-nick-salisbury-brings-deep-utility-and-aviation-experience-814199079.html,2024-01-02 22:13:00,Blackcomb Helicopters' new board director Nick Salisbury brings deep utility and aviation experience Canada ...,PWR,0.254307,-0.040174,Neutral
Price Over Earnings Overview: Quanta Services - Quanta Services  ( NYSE:PWR ) ,https://www.benzinga.com/news/23/12/36396886/price-over-earnings-overview-quanta-services,2023-12-27 14:00:14,"In the current market session, Quanta Services Inc. PWR stock price is at $214.17, after a 0.23% decrease. However, over the past month, the company's stock went up by 15.65%, and in the past year, by 50.51%.",PWR,0.337811,-0.054814,Neutral
 ( PWR )  - Analyzing Quanta Services's Short Interest - Quanta Services  ( NYSE:PWR ) ,https://www.benzinga.com/short-sellers/23/12/36387227/pwr-analyzing-quanta-servicess-short-interest,2023-12-26 16:30:26,"Quanta Services's PWR short percent of float has fallen 6.1% since its last report. The company recently reported that it has 4.13 million shares sold short, which is 3.23% of all regular shares that are available for trading.",PWR,0.221819,0.083071,Neutral
5 Stocks to Watch on Their Recent Dividend Hike,https://www.zacks.com/stock/news/2200448/5-stocks-to-watch-on-their-recent-dividend-hike,2023-12-20 13:31:00,"Five stocks that have recently raised dividends are: BMY, PWR, CARR, AVGO, OC.",PWR,0.28305,0.228947,Somewhat-Bullish
Here's How Much $100 Invested In Quanta Services 15 Years Ago Would Be Worth Today - Quanta Services  ( NYSE:PWR ) ,https://www.benzinga.com/news/23/12/36312422/heres-how-much-100-invested-in-quanta-services-15-years-ago-would-be-worth-today,2023-12-19 19:00:29,"Quanta Services PWR has outperformed the market over the past 15 years by 6.16% on an annualized basis producing an average annual return of 18.15%. Currently, Quanta Services has a market capitalization of $31.68 billion.",PWR,0.980595,0.386944,Bullish
Why Is Aecom  ( ACM )  Up 6.7% Since Last Earnings Report?,https://www.zacks.com/stock/news/2197462/why-is-aecom-acm-up-67-since-last-earnings-report,2023-12-13 16:30:07,Aecom (ACM) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,PWR,0.160099,0.046051,Neutral
Stock Upgrades: Quanta Services Shows Rising Relative Strength,https://www.investors.com/ibd-data-stories/stock-upgrades-quanta-services-shows-rising-relative-strength-4/,2023-12-11 08:00:00,"When looking for the best stocks to buy and watch, focus on those with rising relative price strength. One stock that fits that bill is Quanta Services ( PWR ) , which had its Relative Strength ( RS ) Rating upgraded from 79 to 82 Monday.",PWR,0.567144,0.504681,Bullish
Here's How Much $1000 Invested In Quanta Services 15 Years Ago Would Be Worth Today - Quanta Services  ( NYSE:PWR ) ,https://www.benzinga.com/news/23/12/36141241/heres-how-much-1000-invested-in-quanta-services-15-years-ago-would-be-worth-today,2023-12-07 19:30:23,"Quanta Services PWR has outperformed the market over the past 15 years by 5.57% on an annualized basis producing an average annual return of 17.12%. Currently, Quanta Services has a market capitalization of $27.89 billion.",PWR,0.980595,0.386944,Bullish
Quanta  ( PWR )  Hikes Dividend by 12.5% to Boost Investors' Value,https://www.zacks.com/stock/news/2195083/quanta-pwr-hikes-dividend-by-125-to-boost-investors-value,2023-12-07 18:05:00,Quanta (PWR) is set to boost its quarterly dividend due to stability of its base business and solid long-term prospects.,PWR,0.175859,0.389498,Bullish
"Daily Dividend Report: Paccar, AWK, Quanta Services, Mastercard, Deere",https://www.forbes.com/sites/dividendchannel/2023/12/06/daily-dividend-report-paccar-awk-quanta-services-mastercard-deere/,2023-12-06 18:29:19,"PACCAR's Board of Directors today declared an extra cash dividend of three dollars and twenty cents per share, payable on January 4, 2024, to stockholders of record at the close of business on December 15, 2023.",PWR,0.128135,0.115448,Neutral
Stocks Generating Improved Relative Strength: AECOM,https://www.investors.com/ibd-data-stories/stocks-generating-improved-relative-strength-aecom/,2023-12-01 08:00:00,"The Relative Strength ( RS ) Rating for AECOM ( ACM ) moved up into a higher percentile Friday, as it got a lift from 68 to 72. X As you try to find the best stocks to buy and watch, be sure to pay attention to relative price strength.",PWR,0.318897,0.0,Neutral
Quanta  ( PWR )  Stock Rises 30.2% YTD: More Room to Run?,https://www.zacks.com/stock/news/2191601/quanta-pwr-stock-rises-302-ytd-more-room-to-run,2023-11-30 16:22:00,"More demand for infrastructural solutions, buyouts and solid backlog aids Quanta (PWR). Yet high costs ail.",PWR,0.201944,0.42685,Bullish
