title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Kiplinger's Industrial Policy Report,https://www.kiplinger.com/investing/economy/kiplingers-industrial-policy-report,2023-01-10 22:00:07,"The past few years marked a wake-up call in Washington, with the pandemic and supply chain shortages, rising competition with China, the war in Ukraine, and, now, the specter of recession. Lawmakers are taking a more active role in the economy to bolster critical industries, key technologies, and ...",QCOM,0.021718,0.113045,Neutral
IBM just broke a winning streak that lasted nearly three decades,https://www.marketwatch.com/story/ibm-just-broke-a-winning-streak-that-lasted-nearly-three-decades-11673380305,2023-01-10 19:58:00,"IBM lost its crown as the top U.S. patent grantee in 2022 to South Korea's Samsung, according to a ranking from an industry tracker ...",QCOM,0.160633,0.129761,Neutral
"Battery Maker Enovix Hopes To Recharge With New CEO, Strategy",https://www.investors.com/news/technology/enovix-stock-looks-to-regain-investor-confidence/,2023-01-10 17:53:00,Enovix Stock Looks To Regain Investor Confidence Investor's Business Daily ...,QCOM,0.114409,0.167092,Somewhat-Bullish
This Top Chip Stock Is Expanding Into EVs -- Is It a Buy for 2023?,https://www.fool.com/investing/2023/01/10/top-chip-stock-expanding-into-evs-is-it-buy-2023/,2023-01-10 15:49:41,Skyworks Solutions is starting small but growing fast in the electric vehicle market.,QCOM,0.050894,0.062991,Neutral
Apple's Push for In-House Chips Hits Suppliers Broadcom and Qualcomm,https://www.barrons.com/articles/apple-chips-broadcom-qualcomm-stock-price-51673343594,2023-01-10 14:24:00,Apple's Push for In-House Chips Hits Broadcom and Qualcomm Stocks ...,QCOM,0.879272,0.053088,Neutral
"mmWave 5G Market Size Projected to Reach $4.9 billion by 2027, Growing at A CAGR Of 14.7%: Report by MarketsandMarkets™",https://www.benzinga.com/pressreleases/23/01/g30352566/mmwave-5g-market-size-projected-to-reach-4-9-billion-by-2027-growing-at-a-cagr-of-14-7-report-by-m,2023-01-10 14:00:00,"Chicago, Jan. 10, 2023 ( GLOBE NEWSWIRE ) -- The Global mmWave 5G Market size is expected to grow from USD 2.5 billion in 2022 to USD 4.9 billion by 2027, at a Compound Annual Growth Rate ( CAGR ) of 14.7% during the forecast period, published by MarketsandMarkets.",QCOM,0.063258,0.0,Neutral
LitePoint 5G Test Solutions for 5G Small Cell Chipsets Supports Validation of the Qualcomm FSM 5G RAN Platform - Teradyne  ( NASDAQ:TER ) ,https://www.benzinga.com/pressreleases/23/01/g30352545/litepoint-5g-test-solutions-for-5g-small-cell-chipsets-supports-validation-of-the-qualcomm-fsm-5g-,2023-01-10 14:00:00,"SAN JOSE, Calif., Jan. 10, 2023 ( GLOBE NEWSWIRE ) -- LitePoint, a leading provider of wireless test solutions, today announced that its 5G test solutions have received full validation from Qualcomm Technologies, Inc. in the Qualcomm® Development Acceleration Resource Toolkit ( QDART ) for ...",QCOM,0.497126,0.378463,Bullish
Better Semiconductor Stock: ASML vs. Qualcomm,https://www.fool.com/investing/2023/01/10/better-semiconductor-stock-asml-vs-qualcomm/,2023-01-10 10:25:00,Which blue-chip semiconductor stock is the better long-term investment?,QCOM,0.521465,-0.009759,Neutral
Apple's Push for In-House Chips Hits Suppliers Broadcom and Qualcomm,https://www.barrons.com/articles/apple-chips-broadcom-qualcomm-stocks-51673343594,2023-01-10 10:02:00,Apple's Push for In-House Chips Hits Suppliers Broadcom and ...,QCOM,0.879272,0.053088,Neutral
Zacks Industry Outlook Highlights Apple and Lenovo,https://www.zacks.com/stock/news/2037087/zacks-industry-outlook-highlights-apple-and-lenovo,2023-01-10 10:00:00,Apple and Lenovo have been highlighted in this Industry Outlook article.,QCOM,0.073209,0.233467,Somewhat-Bullish
