title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Royal Caribbean Makes a Passenger Favorite Free,https://www.thestreet.com/travel/royal-caribbean-makes-a-passenger-favorite-free,2023-01-10 20:23:00,The cruise line has just done something that will make a lot of people happy (and save them money).,RCL,0.623692,0.391529,Bullish
Planet Fitness  ( PLNT )  Membership Increases in 2022 to 17M,https://www.zacks.com/stock/news/2037452/planet-fitness-plnt-membership-increases-in-2022-to-17m,2023-01-10 15:37:00,"Planet Fitness (PLNT) benefits from strategic partnerships and international expansions. As of Dec 31, 2022, the company has had 17.0 million members, up 1.8 million members from the end of 2021.",RCL,0.349575,0.16248,Somewhat-Bullish
Futures Fall Ahead Of Powell Speech; Boeing Slides On Downgrade,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-fall-ahead-of-powell-speech-boeing-slides-on-downgrade/,2023-01-10 13:18:00,Futures Fall Ahead Of Powell Speech. Boeing Slides On Downgrade Investor's Business Daily ...,RCL,0.055046,0.019028,Neutral
What's Happening With Royal Caribbean Stock?,https://www.forbes.com/sites/greatspeculations/2023/01/10/whats-happening-with-royal-caribbean-stock/,2023-01-10 11:30:18,Royal Caribbean stock (NYSE: RCL) has rallied by almost 10% over the last week (five trading days) although it remains down by about 5% over the past month (about 21 trading days).,RCL,0.755492,-0.051075,Neutral
"Royal Caribbean Group Clears Technical Benchmark, Hitting 90-Plus RS Rating",https://www.investors.com/ibd-data-stories/royal-caribbean-group-clears-technical-benchmark-hitting-90-plus-rs-rating/,2023-01-10 08:00:00,"Royal Caribbean Group Clears Technical Benchmark, Hitting 90 ... Investor's Business Daily ...",RCL,0.719473,0.601362,Bullish
Why Carnival and Royal Caribbean Outlaw This Popular Vice,https://www.thestreet.com/travel/why-carnival-and-royal-caribbean-dont-allow-marijuana,2023-01-09 16:00:00,"Both cruise lines encourage a lot of excess, but they do draw a particular line. And some passengers think that's a mistake.",RCL,0.441524,0.141142,Neutral
Royal Caribbean Reveals New Main Dining Room Menus,https://www.thestreet.com/travel/royal-caribbean-reveals-new-main-dining-room-menus,2023-01-08 14:28:00,The cruise line has revealed the changes which a lot of passengers may not like.,RCL,0.622414,0.053627,Neutral
Here's Why You Should Retain Hilton  ( HLT )  Stock For Now,https://www.zacks.com/stock/news/2036406/heres-why-you-should-retain-hilton-hlt-stock-for-now,2023-01-06 18:51:00,"Hilton (HLT) emphasizes on its loyalty program, Hilton Honors, to drive growth. However, inflationary pressures are a concern.",RCL,0.25142,0.125572,Neutral
Lionsgate  ( LGF.A )  Collaborates With Canada's Cineplex Pictures,https://www.zacks.com/stock/news/2036392/lionsgate-lgfa-collaborates-with-canadas-cineplex-pictures,2023-01-06 17:30:00,Lionsgate (LGF.A) expands its footprint by collaborating with Canada's Cineplex Pictures to release 11 big movies across 160 cinema halls in 2023.,RCL,0.239698,0.233247,Somewhat-Bullish
Better Cruise Stock Buy: Carnival or Royal Caribbean,https://www.fool.com/investing/2023/01/06/better-cruise-stock-buy-carnival-or-royal-caribbea/,2023-01-06 13:51:00,"With revenge travel surging among tourists, the cruise industry is due for some upside recovery.",RCL,0.307731,-0.002291,Neutral
Cruise industry poised to make strong comeback in 2023,https://www.foxbusiness.com/lifestyle/cruise-industry-poised-make-strong-comeback-2023,2023-01-05 20:02:23,"The cruise industry, which suffered significant financial losses and other COVID-related challenges over the past few years, is poised to have a strong 2023, according to a new survey.",RCL,0.272788,0.281622,Somewhat-Bullish
Roblox  ( RBLX )  Collaborates With H&M to Launch Looptopia,https://www.zacks.com/stock/news/2035913/roblox-rblx-collaborates-with-hm-to-launch-looptopia,2023-01-05 19:26:00,"Roblox (RBLX) collaborates with popular fashion brand H&M to launch an immersive gaming experience, Looptopia for its players.",RCL,0.250386,0.20715,Somewhat-Bullish
Royal Caribbean Brings a Bold New Idea to Cruising,https://www.thestreet.com/travel/royal-caribbean-brings-a-bold-new-idea-to-cruising,2023-01-05 19:19:00,The cruise line has a unique plan that parents and kids of a certain age might be very happy about.,RCL,0.441698,0.141826,Neutral
Here's Why Investor Should Retain PENN Entertainment  ( PENN ) ,https://www.zacks.com/stock/news/2035814/heres-why-investor-should-retain-penn-entertainment-penn,2023-01-05 16:55:00,"PENN Entertainment (PENN) benefits from robust demand for sports betting, business strategies and strong brand recognition.",RCL,0.266828,0.146007,Neutral
Here's Why You Should Retain Hyatt  ( H )  Stock in Your Portfolio,https://www.zacks.com/stock/news/2035736/heres-why-you-should-retain-hyatt-h-stock-in-your-portfolio,2023-01-05 15:10:00,"Hyatt's (H) emphasis on the integration of Apple Leisure Group bodes well. However, supply chain challenges and inflationary pressures are headwinds.",RCL,0.248343,0.126249,Neutral
Choice Hotels  ( CHH )  Boosts New England Presence With New Hotel,https://www.zacks.com/stock/news/2035729/choice-hotels-chh-boosts-new-england-presence-with-new-hotel,2023-01-05 14:54:00,Choice Hotels (CHH) boosts upscale brand presence in New England with the Cambria Hotel New Haven University Area opening.,RCL,0.318897,0.153815,Somewhat-Bullish
Warner Bros. Discovery  ( WBD )  Honors Elvis Presley's Birthday,https://www.zacks.com/stock/news/2035265/warner-bros-discovery-wbd-honors-elvis-presleys-birthday,2023-01-04 16:50:00,Warner Bros. Discovery (WBD) collaborates with Graceland to celebrate the 88th birthday of Elvis Presley and host a series of events at the mansion.,RCL,0.064449,0.101229,Neutral
"Carnival Raises 2 Key Prices, Royal Caribbean, Norwegian May Follow",https://www.thestreet.com/travel/carnival-raises-2-key-prices-royal-caribbean-norwegian-may-follow,2023-01-04 16:45:00,"Historically, when one of the big three cruise lines raise a price, the other two usually follow.",RCL,0.305058,0.193736,Somewhat-Bullish
20 Great Stock Ideas For 2023 From Top-Performing Fund Managers,https://www.forbes.com/sites/sergeiklebnikov/2023/01/04/20-great-stock-ideas-for-2023-from-top-performing-fund-managers/,2023-01-04 11:30:00,Forbes spoke with ten top fund managers. Here are their best stock ideas for the coming year.,RCL,0.028984,0.052498,Neutral
Cruise lines to appeal U.S court's big award to owner of Havana dock,https://www.reuters.com/business/autos-transportation/cruise-lines-appeal-us-courts-big-award-owner-havana-dock-2023-01-03/,2023-01-03 23:29:00,"[1/2] Royal Caribbean logo is seen displayed in this illustration taken, May 3, 2022. REUTERS/Dado Ruvic/Illustration",RCL,0.381463,0.151816,Somewhat-Bullish
Royal Caribbean Sales Soar; Cruising Into High Profits Zone?,https://www.investors.com/news/royal-caribbean-group-clears-technical-benchmark-hitting-80-plus-rs-rating/,2023-01-03 20:53:00,Royal Caribbean Sales Soar. Profits Rising Investor's Business Daily ...,RCL,0.640349,0.336575,Somewhat-Bullish
Carnival Has Big Plans For Its Rival to Royal Caribbean's CocoCay,https://www.thestreet.com/travel/carnival-has-big-plans-for-rival-to-royal-caribbeans-cococay,2023-01-03 19:42:00,Royal Caribbean has changed the definition of what passengers expect on a cruise line private island.,RCL,0.489163,0.235503,Somewhat-Bullish
Royal Caribbean Sales Soar; Cruising Into High Profits Zone?,https://www.investors.com/ibd-data-stories/royal-caribbean-group-clears-technical-benchmark-hitting-80-plus-rs-rating/,2023-01-03 08:00:00,Royal Caribbean Sales Soar. Cruising Into High Profits Zone? Investor's Business Daily ...,RCL,0.647749,0.34166,Somewhat-Bullish
SpaceX Reportedly Raising $750 Mln,https://markets.businessinsider.com/news/stocks/spacex-reportedly-raising-750-mln-1031997146,2023-01-03 07:50:06,SpaceX Reportedly Raising ...,RCL,0.084722,0.0,Neutral
Carnival Has a Plan to Get Rid of Low Cruise Prices,https://www.thestreet.com/travel/carnival-has-a-plan-to-get-rid-of-low-cruise-prices,2023-01-02 16:17:00,"The cruise line, and its rival Royal Caribbean, have seen selling cruises at a major discount to land vacations (book now if you want to take advantage).",RCL,0.381255,0.123029,Neutral
"Carnival and Royal Caribbean Dining Changes, What You Need to Know",https://www.thestreet.com/travel/carnival-royal-caribbean-dining-changes-what-you-need-to-know,2023-01-01 14:58:00,Here's everything we know about the main dining room (MDR) changes the two major family-friendly cruise lines are making (you're not going to like them).,RCL,0.305437,0.216623,Somewhat-Bullish
Carnival-Owned Cruise Line Makes Smoking Move; Royal Caribbean Watches,https://www.thestreet.com/travel/carnival-owned-cruise-line-makes-smoking-move-royal-caribbean-watches,2023-01-20 20:24:00,Royal Caribbean and Carnival Cruise Lines still allow smoking in their casinos and in select areas onboard. Here's what could change.,RCL,0.373112,0.152744,Somewhat-Bullish
3 Top Stocks With Steep Growth Trajectories,https://www.zacks.com/commentary/2041589/3-top-stocks-with-steep-growth-trajectories,2023-01-19 19:52:00,"For those with an appetite for growth, many large-cap stocks can leave investors hungry. However, all three of these are exceptions, forecasted to witness significant earnings growth on the back of improved earnings outlooks.",RCL,0.412619,0.062767,Neutral
Carnival Answers Big Question on a Passenger-Favorite Change,https://www.thestreet.com/travel/carnival-answers-big-question-on-a-passenger-favorite-change,2023-01-19 13:00:00,Not every covid-era change was a negative and the cruise line has made it clear that a popular one is here to stay (but there's something you may not know).,RCL,0.206685,0.181098,Somewhat-Bullish
"Want to see Tahiti, Fiji, or other parts of the South Pacific? A cruise may be an affordable way to go.",https://www.marketwatch.com/story/want-to-see-tahiti-fiji-or-other-parts-of-the-south-pacific-a-cruise-may-be-an-affordable-way-to-go-11673643302,2023-01-19 10:01:00,"Several cruise lines sail to the South Pacific and it may be a more affordable way to see the area, with less airport hassle.",RCL,0.063425,-0.002003,Neutral
