title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"Stocks making the biggest moves midday: Bed Bath & Beyond, Coinbase, Virgin Orbit and more",https://www.cnbc.com/2023/01/10/stocks-making-the-biggest-moves-midday-virgin-orbit-bed-bath-beyond-coinbase-and-more.html,2023-01-10 17:43:40,These are the stocks posting the largest moves midday.,REGN,0.054732,0.03388,Neutral
Check Out What Whales Are Doing With REGN - Regeneron Pharmaceuticals  ( NASDAQ:REGN ) ,https://www.benzinga.com/markets/options/23/01/30357184/check-out-what-whales-are-doing-with-regn,2023-01-10 16:48:19,A whale with a lot of money to spend has taken a noticeably bearish stance on Regeneron Pharmaceuticals. Looking at options history for Regeneron Pharmaceuticals REGN we detected 15 strange trades.,REGN,0.802374,0.228994,Somewhat-Bullish
Regeneron  ( REGN )  Down on Ophthalmology Drug Eylea Sales Update,https://www.zacks.com/stock/news/2037409/regeneron-regn-down-on-ophthalmology-drug-eylea-sales-update,2023-01-10 14:46:00,Regeneron's (REGN) lead drug Eylea's sales decline in the fourth quarter due to a short-term shift to off-label use of Avastin.,REGN,0.294446,0.280652,Somewhat-Bullish
"Company News for Jan 10, 2023",https://www.zacks.com/stock/news/2037351/company-news-for-jan-10-2023,2023-01-10 14:32:00,"Companies In The News Are: REGN, LULU, DCT, BAX.",REGN,0.601928,0.0,Neutral
"Dow Jones, S&P 500 Reverse Lower; A Few Stocks Break Out But Volume Mixed",https://www.investors.com/market-trend/stock-market-today/dow-jones-rises-new-data-shows-strong-economy-in-2023-retailers-fall-but-bed-bath-beyond-pops/,2023-01-09 21:33:00,"Dow Jones, S&P Reverse Lower As Nasdaq Pares Gains Investor's Business Daily ...",REGN,0.112008,-0.150196,Somewhat-Bearish
Check Out What Whales Are Doing With REGN - Regeneron Pharmaceuticals  ( NASDAQ:REGN ) ,https://www.benzinga.com/markets/options/23/01/30339228/check-out-what-whales-are-doing-with-regn,2023-01-09 19:49:39,A whale with a lot of money to spend has taken a noticeably bearish stance on Regeneron Pharmaceuticals. Looking at options history for Regeneron Pharmaceuticals REGN we detected 30 strange trades.,REGN,0.718897,0.057628,Neutral
Dow Jones Rises; Retailers Fall But Bed Bath & Beyond Pops,https://www.investors.com/market-trend/stock-market-today/dow-jones-rises-retailers-fall-but-bed-bath-beyond-pops/,2023-01-09 18:53:00,Dow Jones Rises. Retailers Fall But Bed Bath & Beyond Pops Investor's Business Daily ...,REGN,0.143843,-0.186162,Somewhat-Bearish
Regeneron Stock Sinks on Disappointing Sales of Eylea Vaccine,https://www.barrons.com/articles/regeneron-stock-eylea-vaccine-sales-51673283975,2023-01-09 17:07:00,"Regeneron Pharmaceuticals stock was tumbling after the medicine maker reported lower sales of its Eylea vaccine than Wall Street was anticipating for the fourth quarter. In a preliminary update on its fourth quarter on Monday, Regeneron ( REGN ) said fourth-quarter sales of Eylea were $1.5 ...",REGN,0.866386,-0.311833,Somewhat-Bearish
Regeneron Stock Sinks,https://www.investors.com/news/technology/regn-stock-sinks-as-eylea-sales-suffer/,2023-01-09 16:51:00,REGN Stock Sinks As Eylea Sales Suffer| Investor's Business Daily Investor's Business Daily ...,REGN,0.550532,-0.306757,Somewhat-Bearish
Coherus Agrees to Acquire Exclusive U.S. Commercial Rights to Eylea® Biosimilar FYB203 from Klinge Biopharma,https://www.globenewswire.com/news-release/2023/01/09/2585235/33333/en/Coherus-Agrees-to-Acquire-Exclusive-U-S-Commercial-Rights-to-Eylea-Biosimilar-FYB203-from-Klinge-Biopharma.html,2023-01-09 13:20:00,Additional Growth Driver Projected to Significantly Increase Mid-to-Long Term Revenue Potential Additional Growth Driver Projected to Significantly Increase Mid-to-Long Term Revenue Potential ...,REGN,0.032825,0.0,Neutral
