title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"Morgan Stanley upgrades Bank of America, Goldman Sachs and Citi on 'lightened up' Basel III capital requirements",https://www.marketwatch.com/story/morgan-stanley-upgrades-bank-of-america-goldman-sachs-and-citi-on-lightened-up-basel-iii-capital-requirements-266707a3,2024-01-30 14:23:00,"Analyst Betsy Graseck is ""back & bullish"" on banks on sunnier prospects for a ""significant increase in buybacks."" ...",RF,0.128135,0.013859,Neutral
"Regions Financial  ( NYSE:RF )  Upgraded to ""Hold"" by StockNews.com",https://www.defenseworld.net/2024/01/30/regions-financial-nyserf-upgraded-to-hold-by-stocknews-com.html,2024-01-30 08:38:43,StockNews.com upgraded shares of Regions Financial ( NYSE:RF - Free Report ) from a sell rating to a hold rating in a research note released on Monday. RF has been the topic of a number of other reports.,RF,0.836111,0.399142,Bullish
"Tesla, Netflix, Intel Take Center Stage In Pivotal Q4 Earnings Week As S&P 500 Eyes Breaking New Highs - SPDR S&P 500  ( ARCA:SPY ) ",https://www.benzinga.com/news/earnings/24/01/36711792/tesla-netflix-intel-take-center-stage-in-pivotal-q4-earnings-week-as-s-p-500-eyes-breaking-new-high,2024-01-22 10:00:45,"The earnings season is gaining momentum as the tech reporting season kicks off this week. With the S&P 500 Index reaching a new high on Friday, investors are keenly watching earnings reports to sustain the market's upward momentum.",RF,0.107255,0.193511,Somewhat-Bullish
Regions Financial  ( RF )  Q4 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/01/19/regions-financial-rf-q4-2023-earnings-call-transcr/,2024-01-19 20:15:19,"RF earnings call for the period ending December 31, 2023.",RF,0.0054,0.120079,Neutral
"Regions Financial's  ( RF )  Q4 Earnings Beat, Revenues Dip Y/Y",https://www.zacks.com/stock/news/2213013/regions-financials-rf-q4-earnings-beat-revenues-dip-yy,2024-01-19 18:20:00,Increasing expenses and a decline in revenues compared with the prior-year quarter's level affect Regions Financial's (RF) Q4 earnings.,RF,0.211191,0.053085,Neutral
"Regions Financial Q4 Performance Shows Resilience, CEO Emphasizes 'Protective Hedging Strategies' To Navigate Interest Rate Volatility - Regions Finl  ( NYSE:RF ) ",https://www.benzinga.com/news/earnings/24/01/36697557/regions-financial-charts-resilience-in-q4-fy23-beats-estimates-ceo-emphasizes-protective-hedging-fo,2024-01-19 16:10:38,"Regions Financial Corp RF reported an adjusted revenue decline of 7.1% Y/Y in fourth-quarter FY23 to $1.812 billion, beating the consensus of $1.800 billion. Total revenue decreased 9.5% Y/Y in the quarter.",RF,0.401331,-0.238918,Somewhat-Bearish
Futures Higher Ahead Of Inflation Reading,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-inflation-survey-nvidia-stock-jumps-to-record-highs/,2024-01-19 13:20:00,Dow Jones Futures Rise Ahead Of Key Inflation Survey. Nvidia Stock Jumps To Record High Investor's Business Daily ...,RF,0.127007,0.049738,Neutral
"Wall Street Set To Build On Tech-Driven Rally, S&P 500 Eyes All-Time High: Analyst Points To 'Contrarian Signal' For Buying Stocks - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , SPDR S&P 500  ( ARCA:SPY ) ",https://www.benzinga.com/news/earnings/24/01/36693393/wall-street-set-to-build-on-tech-driven-rally-s-p-500-eyes-all-time-high-analyst-points-to-contrari,2024-01-19 12:33:26,"U.S. stocks seem poised for a higher open on Friday, buoyed by optimism surrounding upcoming earnings reports as the tech reporting season kicks off next week. Encouragement is also drawn from Congress's agreement on a bill to fund the federal government until early March.",RF,0.087985,-0.062846,Neutral
Regions Financial  ( RF )  Q4 Earnings and Revenues Beat Estimates,https://www.zacks.com/stock/news/2212622/regions-financial-rf-q4-earnings-and-revenues-beat-estimates,2024-01-19 12:15:02,"Regions Financial (RF) delivered earnings and revenue surprises of 8.33% and 0.56%, respectively, for the quarter ended December 2023. Do the numbers hold clues to what lies ahead for the stock?",RF,0.397098,0.144782,Neutral
STT: Assessing Buy Opportunities in State Street  ( STT )  and Regions Financial  ( RF )  Prior to Earnings Releases,https://stocknews.com/news/stt-rf-assessing-buy-opportunities-in-state-street-stt-and-regions-financial/,2024-01-17 13:53:53,"Last week, earnings season kicked off with several top banks reporting their fourth-quarter results. With interest rates at their highest level in 22 years, investors are closely watching the results of financial companies to figure out how they navigated the challenges posed by the high interest ...",RF,0.16171,0.083733,Neutral
Is a Surprise Coming for Regions Financial  ( RF )  This Earnings Season?,https://www.zacks.com/stock/news/2211327/is-a-surprise-coming-for-regions-financial-rf-this-earnings-season,2024-01-17 13:42:00,Regions Financial (RF) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,RF,0.859898,0.587391,Bullish
