title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
American Eagle  ( AEO )  Gives Sneak Peek of Q4 Preliminary Results,https://www.zacks.com/stock/news/2037367/american-eagle-aeo-gives-sneak-peek-of-q4-preliminary-results,2023-01-10 14:39:00,"American Eagle (AEO) issues encouraging preliminary results for fourth-quarter fiscal 2022. Also, it records the second-highest holiday sales period in its history.",ROST,0.281692,0.209957,Somewhat-Bullish
"Lululemon, Macy's Q4 Warnings Put Retail Stocks Under Pressure",https://www.investors.com/news/lululemon-macys-warnings-put-retail-stocks-under-pressure/,2023-01-09 13:00:00,Retail stocks came under early pressure Monday after Lululemon Athletica ( LULU ) and Macy's ( M ) warned of weaker-sthan-expected fourth-quarter performances. Lululemon stock plummeted more than 12% in early trade. Macy's shares were down 4.7%.,ROST,0.236972,-0.465919,Bearish
Walmart's  ( WMT )  Drone Deliveries Likely to Accelerate Growth,https://www.zacks.com/stock/news/2036620/walmarts-wmt-drone-deliveries-likely-to-accelerate-growth,2023-01-09 12:50:00,"Walmart (WMT) has been committed to enhancing its delivery services. The company, together with its vendors, now operates 36 drone delivery centers across seven states.",ROST,0.348103,0.281339,Somewhat-Bullish
Bed Bath & Beyond  ( BBBY )  Posts Dull Preliminary Results for Q3,https://www.zacks.com/stock/news/2036276/bed-bath-beyond-bbby-posts-dull-preliminary-results-for-q3,2023-01-06 14:56:00,Bed Bath & Beyond's (BBBY) dismal Q3 preliminary results and continued failed attempts to turn around raise investors' concerns.,ROST,0.351392,0.248396,Somewhat-Bullish
LIM College Names Eda Sanchez-Persampieri as Dean of Graduate Studies,https://www.prnewswire.com/news-releases/lim-college-names-eda-sanchez-persampieri-as-dean-of-graduate-studies-301725164.html,2023-01-19 15:00:00,LIM College Names Eda Sanchez-Persampieri as Dean of Graduate ... PR ...,ROST,0.062926,0.170157,Somewhat-Bullish
"Morgan Stanley Says Timing Is Tricky & Demand The Key Unknown For Specialty Retail, Department Stores And Brands",https://www.benzinga.com/news/23/01/30467561/morgan-stanley-says-timing-is-tricky-demand-the-key-unknown-for-specialty-retail-department-stores-a,2023-01-18 19:08:08,"Morgan Stanley analyst Alex Straton thinks 1H23 Softlines Retail results likely remain challenged, if not further degrade from 4Q22 trend, on potentially recessionary-like conditions, ongoing outsized inventory levels, & tougher compares.",ROST,0.159043,-0.160478,Somewhat-Bearish
Is Casey's General Stores  ( CASY )  Stock Outpacing Its Retail-Wholesale Peers This Year?,https://www.zacks.com/stock/news/2039637/is-caseys-general-stores-casy-stock-outpacing-its-retail-wholesale-peers-this-year,2023-01-16 14:40:14,Here is how Casey's General Stores (CASY) and Ross Stores (ROST) have performed compared to their sector so far this year.,ROST,0.459624,0.151462,Somewhat-Bullish
4 Reasons to Invest in American Eagle  ( AEO )  Stock Right Away,https://www.zacks.com/stock/news/2039623/4-reasons-to-invest-in-american-eagle-aeo-stock-right-away,2023-01-16 14:26:00,"American Eagle (AEO) is likely to keep its stellar show on the back of strength in the Aerie brand, solid online performance and robust demand.",ROST,0.230965,0.181217,Somewhat-Bullish
Here's Why it is Apt to Buy Ross Stores  ( ROST )  at This Moment,https://www.zacks.com/stock/news/2039601/heres-why-it-is-apt-to-buy-ross-stores-rost-at-this-moment,2023-01-16 14:02:00,"Ross Stores (ROST) looks well-poised on fundamental strength, off-price model, improved traffic trends in the retail industry and cost leverage, resulting in upbeat guidance.",ROST,0.532761,0.413333,Bullish
Can Rite Aid  ( RAD )  Get Back on Track Via Solid Growth Efforts?,https://www.zacks.com/stock/news/2038581/can-rite-aid-rad-get-back-on-track-via-solid-growth-efforts,2023-01-12 16:26:00,"Rite Aid (RAD) is reeling under elevated expenses. Yet, online strength, led by expanded delivery services, increased non-COVID prescriptions, and cost-saving initiatives, are likely to aid.",ROST,0.262052,0.198331,Somewhat-Bullish
Are You Looking for a Top Momentum Pick? Why Ross Stores  ( ROST )  is a Great Choice,https://www.zacks.com/stock/news/2038021/are-you-looking-for-a-top-momentum-pick-why-ross-stores-rost-is-a-great-choice,2023-01-11 17:00:07,Does Ross Stores (ROST) have what it takes to be a top stock pick for momentum investors? Let's find out.,ROST,0.576289,0.387174,Bullish
The TJX Companies  ( TJX )  Gains on Online Business & Marketing,https://www.zacks.com/stock/news/2037968/the-tjx-companies-tjx-gains-on-online-business-marketing,2023-01-11 15:56:00,"The TJX Companies' (TJX) off-price model, strategic store locations and impressive online business is working well.",ROST,0.315493,0.289233,Somewhat-Bullish
"Bed Bath & Beyond  ( BBBY )  Q3 Loss Wider Than Expected, Sales Lag",https://www.zacks.com/stock/news/2037960/bed-bath-beyond-bbby-q3-loss-wider-than-expected-sales-lag,2023-01-11 15:42:00,"Bed Bath & Beyond's (BBBY) Q3 results have been hurt by a drab demand, supply-chain issues and cash shortage.",ROST,0.26928,0.202642,Somewhat-Bullish
4 Stocks to Buy as E-Commerce Sales Continue to Grow,https://www.zacks.com/stock/news/2037801/4-stocks-to-buy-as-e-commerce-sales-continue-to-grow,2023-01-11 13:39:00,"E-commerce is helping boost retail sales, which is likely to benefit stocks like Capri Holdings Limited (CPRI), Casey's General Stores, Inc. (CASY), Ross Stores, Inc. (ROST) and Arhaus, Inc. (ARHS).",ROST,0.319488,0.220048,Somewhat-Bullish
2 Stocks Near All-Time Highs Worth Buying Now,https://www.fool.com/investing/2023/01/29/2-stocks-near-all-time-highs-worth-buying-now/,2023-01-29 10:01:00,These two discount retailers have very long histories of creating shareholder wealth.,ROST,0.716023,-0.440492,Bearish
LIM College Partners with Association of Cannabis Workers  ( ACW )  Local Union 420 to Offer Cannabis Industry Fundamentals Course,https://www.prnewswire.com/news-releases/lim-college-partners-with-association-of-cannabis-workers-acw-local-union-420-to-offer-cannabis-industry-fundamentals-course-301729409.html,2023-01-24 18:00:00,LIM College Partners with Association of Cannabis Workers ( ACW ... PR ...,ROST,0.061159,0.167057,Somewhat-Bullish
BRIXMOR PROPERTY GROUP ANNOUNCES RETIREMENT OF JOHN G. SCHREIBER FROM THE BOARD OF DIRECTORS AND APPOINTMENT OF SHERYL M. CROSLAND AS NEW CHAIR,https://www.prnewswire.com/news-releases/brixmor-property-group-announces-retirement-of-john-g-schreiber-from-the-board-of-directors-and-appointment-of-sheryl-m-crosland-as-new-chair-301738343.html,2023-02-03 21:05:00,BRIXMOR PROPERTY GROUP ANNOUNCES RETIREMENT OF ... PR ...,ROST,0.06623,0.16744,Somewhat-Bullish
Ross Stores  ( ROST )  Upgraded to Buy: What Does It Mean for the Stock?,https://www.zacks.com/stock/news/2055548/ross-stores-rost-upgraded-to-buy-what-does-it-mean-for-the-stock,2023-02-16 17:00:05,"Ross Stores (ROST) has been upgraded to a Zacks Rank #2 (Buy), reflecting growing optimism about the company's earnings prospects. This might drive the stock higher in the near term.",ROST,0.361626,0.307564,Somewhat-Bullish
Want Better Returns? Don?t Ignore These 2 Retail and Wholesale Stocks Set to Beat Earnings,https://www.zacks.com/stock/news/2055194/want-better-returns-dont-ignore-these-2-retail-and-wholesale-stocks-set-to-beat-earnings,2023-02-16 13:50:07,Finding stocks expected to beat quarterly earnings estimates becomes an easier task with our Zacks Earnings ESP.,ROST,0.38489,0.385194,Bullish
Why Ross Stores  ( ROST )  Could Beat Earnings Estimates Again,https://www.zacks.com/stock/news/2054202/why-ross-stores-rost-could-beat-earnings-estimates-again,2023-02-14 17:10:07,Ross Stores (ROST) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,ROST,0.411848,0.415662,Bullish
"Ross Stores  ( ROST )  Tops on Q4 Earnings & Sales, Gives '23 View",https://www.zacks.com/stock/news/2060503/ross-stores-rost-tops-on-q4-earnings-sales-gives-23-view,2023-03-01 15:35:00,Ross Stores' (ROST) Q4 results reflected gains from positive customer response to its improved merchandise and strong value offerings despite the competitive environment.,ROST,0.342487,0.158583,Somewhat-Bullish
"3 Ross Stores Analysts Offer Takes On Quarter, Disappointing Guidance - Ross Stores  ( NASDAQ:ROST ) ",https://www.benzinga.com/analyst-ratings/analyst-color/23/03/31125764/3-ross-stores-analysts-offer-takes-on-quarter-disappointing-guidance,2023-03-01 15:17:41,"Shares of Ross Stores Inc ROST declined sharply in early trading on Wednesday, despite the company reporting a sales and earnings beat for its fourth quarter. Credit Suisse analyst Michael Binetti maintained an Outperform rating and price target of $123.",ROST,0.758293,0.278027,Somewhat-Bullish
Kohl's  ( KSS )  Stock Declines on Q4 Loss & Sluggish Revenues,https://www.zacks.com/stock/news/2060459/kohls-kss-stock-declines-on-q4-loss-sluggish-revenues,2023-03-01 14:45:00,Kohl's (KSS) fourth-quarter fiscal 2022 results reflect a net loss and lower sales due to the inflationary landscape.,ROST,0.32478,0.035069,Neutral
"Jim Cramer's top 10 things to watch in the stock market Wednesday: China, stocks, retail",https://www.cnbc.com/2023/03/01/jim-cramers-top-10-things-to-watch-in-the-stock-market-wednesday-china-stocks-retail.html,2023-03-01 14:19:11,"First day of March: the Dow, the S&P 500 and the Nasdaq set to open lower.",ROST,0.115509,0.167245,Somewhat-Bullish
Ross Stores  ( ROST )  Tops Q4 Earnings and Revenue Estimates,https://www.zacks.com/stock/news/2060011/ross-stores-rost-tops-q4-earnings-and-revenue-estimates,2023-02-28 22:15:06,"Ross Stores (ROST) delivered earnings and revenue surprises of 6.50% and 1.65%, respectively, for the quarter ended January 2023. Do the numbers hold clues to what lies ahead for the stock?",ROST,0.396052,0.215393,Somewhat-Bullish
Ross Stores says rising prices continue to hit lower-income shoppers - and forecasts miss expectations,https://www.marketwatch.com/story/ross-stores-says-rising-prices-continue-to-hit-lower-income-shoppers-and-forecasts-miss-expectations-b94968f8,2023-02-28 21:24:00,Ross Stores Inc. slipped after hours on Tuesday after the bargain retail chain offered up a full-year forecasts that missed analysts expectations.,ROST,0.451494,-0.194314,Somewhat-Bearish
Kendra Scott to Give Keynote Address and Receive Honorary Doctorate at LIM College's 2023 Commencement Ceremony,https://www.prnewswire.com/news-releases/kendra-scott-to-give-keynote-address-and-receive-honorary-doctorate-at-lim-colleges-2023-commencement-ceremony-301758122.html,2023-02-28 20:15:00,Kendra Scott to Give Keynote Address and Receive Honorary ... PR ...,ROST,0.067158,0.150454,Somewhat-Bullish
Can Ross Stores Keep Up With Retail Giants Target And Walmart? We'll See At Market Close - Ross Stores  ( NASDAQ:ROST ) ,https://www.benzinga.com/news/earnings/23/02/31096929/can-ross-stores-keep-up-with-retail-giants-target-and-walmart-well-see-at-market-close,2023-02-28 18:11:31,"As retailers continue to report their earnings for the fourth quarter of 2022, investors are waiting for the upcoming earnings report from Ross Stores ROST, which is set to issue its fourth quarter results after market close on Tuesday.",ROST,0.568148,0.361117,Bullish
Stocks Lower Amid Economic Data; Target Rises On Earnings,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-rise-ahead-of-economic-data-tesla-stock-rallies-ahead-of-investor-day/,2023-02-28 14:34:00,Dow Jones Falls 100 Points After Economic Data. Tesla Rallies ... Investor's Business Daily ...,ROST,0.046679,-0.12853,Neutral
Global Financial and Risk Management Leader Edward G. Cannizzaro to Join PG&E Boards of Directors,https://www.prnewswire.com/news-releases/global-financial-and-risk-management-leader-edward-g-cannizzaro-to-join-pge-boards-of-directors-301757203.html,2023-02-27 23:32:00,Global Financial and Risk Management Leader Edward G ... PR ...,ROST,0.106541,0.0,Neutral
