title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Market Reclaims Key Levels Ahead Of CPI Inflation Report,https://www.investors.com/market-trend/stock-market-today/market-rally-reclaims-key-levels-ahead-of-cpi-inflation-report/,2023-01-10 22:18:00,"Dow Jones futures were little changed after hours, along with S&P 500 futures and Nasdaq futures. The stock market rally was indecisive for much of Tuesday, but the major indexes gained steam, with the S&P 500 moving its 50-day moving average. Investors await the December CPI inflation report on ...",SMCI,0.106188,0.073354,Neutral
Stock Market Posted Respectable Gains; Test Systems Stock Breaks Out,https://www.investors.com/market-trend/stock-market-today/stock-market-holds-onto-small-gains-drug-stock-breaks-out/,2023-01-10 21:39:00,Stock Market Holds Gains. Chip Stock Breaks Out | Investor's ... Investor's Business Daily ...,SMCI,0.116348,-0.116873,Neutral
"Super Micro Computer, Rayonier Advanced Materials And Some Other Big Stocks Moving Lower On Tuesday - ALX Oncology Holdings  ( NASDAQ:ALXO ) , Arqit Quantum  ( NASDAQ:ARQQ ) ",https://www.benzinga.com/news/23/01/30358488/super-micro-computer-rayonier-advanced-materials-and-some-other-big-stocks-moving-lower-on-tuesday,2023-01-10 17:36:55,"U.S. stocks traded slightly higher, with the Dow Jones gaining around 30 points on Tuesday. Here are some big stocks recording losses in today's session. Rayonier Advanced Materials Inc. RYAM fell 30.6% to $6.35.",SMCI,0.275867,-0.532324,Bearish
Why Are Super Micro Computer  ( SMCI )  Shares Trading Lower Today - Super Micro Computer  ( NASDAQ:SMCI ) ,https://www.benzinga.com/analyst-ratings/analyst-color/23/01/30355639/super-micro-computer-shares-slide-on-bearish-report-from-spruce-point-capital,2023-01-10 17:01:57,"Spruce Point Capital Management, LLC shared a Strong Sell research opinion on Super Micro Computer, Inc SMCI, susceptible to up to 40% - 50% downside risk, or $42.39 - $50.86 per share.",SMCI,0.519739,-0.066961,Neutral
Futures Fall Ahead Of Powell Speech; Boeing Slides On Downgrade,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-fall-ahead-of-powell-speech-boeing-slides-on-downgrade/,2023-01-10 13:18:00,Futures Fall Ahead Of Powell Speech. Boeing Slides On Downgrade Investor's Business Daily ...,SMCI,0.109831,0.167928,Somewhat-Bullish
3 Stocks Staging Breakouts,https://www.zacks.com/commentary/2036971/3-stocks-staging-breakouts,2023-01-09 22:41:00,"Monday, markets added to Friday's strength as leadership broadened. Today, we cover 3 stocks breaking out technically with stellar fundamentals.",SMCI,0.372448,0.174789,Somewhat-Bullish
Futures: Rally Stumbles Ahead Of Powell Speech,https://www.investors.com/market-trend/stock-market-today/dow-jones-reverses-lower-ahead-of-powell-speech-best-stocks-to-buy-and-watch/,2023-01-09 21:56:00,Dow Jones Reverses Lower Ahead Of Powell Speech. 7 Best Stocks ... Investor's Business Daily ...,SMCI,0.105295,0.180714,Somewhat-Bullish
Super Micro Computer Charges Ahead In Tough Business Climate,https://www.investors.com/research/the-new-america/smci-stock-shows-strength-in-tough-market-super-micro/,2023-01-06 13:03:00,SMCI Stock: Supermicro Shows Strength In Tough Market ... Investor's Business Daily ...,SMCI,0.356317,0.314167,Somewhat-Bullish
"Zacks Industry Outlook Highlights NetApp, Pure Storage and Super Micro Computer",https://www.zacks.com/stock/news/2035457/zacks-industry-outlook-highlights-netapp-pure-storage-and-super-micro-computer,2023-01-05 10:00:00,"NetApp, Pure Storage and Super Micro Computer have been highlighted in this Industry Outlook article.",SMCI,0.12165,0.21032,Somewhat-Bullish
Futures: Stocks Rise Despite MSFT Tumble; Beware Doing This,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-stocks-rise-microsoft-tumbles-beware-doing-this/,2023-01-05 03:07:00,"Dow Jones Futures Fall After Stocks Rise, Microsoft Tumbles ... Investor's Business Daily ...",SMCI,0.085706,0.033805,Neutral
Super Micro Computer  ( SMCI )  Stock Sinks As Market Gains: What You Should Know,https://www.zacks.com/stock/news/2035341/super-micro-computer-smci-stock-sinks-as-market-gains-what-you-should-know,2023-01-04 22:45:26,"Super Micro Computer (SMCI) closed at $82.25 in the latest trading session, marking a -1.92% move from the prior day.",SMCI,0.530253,0.266187,Somewhat-Bullish
"Dow Jones Rises, But Beware 'Buying The Blip'",https://www.investors.com/market-trend/stock-market-today/dow-jones-beware-buying-the-blip-microsoft-skids-these-china-stocks-soared/,2023-01-04 22:44:00,"Dow Jones futures fell slightly after hours, along with S&P 500 futures and Nasdaq futures. Stocks traded up and down Wednesday, amid a Microsoft ( MSFT ) sell-off, stronger-than-expected economic data and a still-hawkish Federal Reserve, clearly worried about a market rally undermining its ...",SMCI,0.090304,0.034122,Neutral
3 Storage Devices Stocks to Watch for in a Challenging Industry,https://www.zacks.com/commentary/2035006/3-storage-devices-stocks-to-watch-for-in-a-challenging-industry,2023-01-04 16:06:00,"Despite macroeconomic headwinds and supply chain troubles, momentum in cloud computing, IoT, auto, connected devices, VR and AI will likely favor the prospects of the Zacks Computer - Storage Devices industry players like NTAP, PSTG and SMCI.",SMCI,0.100623,0.114989,Neutral
Super Micro Computer  ( SMCI )  Gains But Lags Market: What You Should Know,https://www.zacks.com/stock/news/2042208/super-micro-computer-smci-gains-but-lags-market-what-you-should-know,2023-01-20 22:45:22,"Super Micro Computer (SMCI) closed at $71.98 in the latest trading session, marking a +1.58% move from the prior day.",SMCI,0.602879,0.350152,Bullish
Super Micro Computer  ( SMCI )  Gains But Lags Market: What You Should Know,https://www.zacks.com/stock/news/2039295/super-micro-computer-smci-gains-but-lags-market-what-you-should-know,2023-01-13 22:45:21,"Super Micro Computer (SMCI) closed the most recent trading day at $80.58, moving +0.16% from the previous trading session.",SMCI,0.655281,0.286716,Somewhat-Bullish
Respecting Stop Losses Saved Us From Gap Down,https://www.investors.com/research/swing-trading/downside-reversal-smci-stock-strong-warning-sign/,2023-01-13 21:41:00,SMCI Stock Gave Strong Warning Sign Investor's Business Daily ...,SMCI,0.654246,0.0,Neutral
Market Reclaims Key Levels Ahead Of CPI Inflation Report,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-cpi-inflation-report-us-airline-flights-grounded/,2023-01-11 13:26:00,Dow Jones Futures Rise Ahead Of CPI Inflation Report. U.S. Airline ... Investor's Business Daily ...,SMCI,0.090731,0.070153,Neutral
Factors to Note Ahead of Dolby's  ( DLB )  Q1 Earnings Release,https://www.zacks.com/stock/news/2046241/factors-to-note-ahead-of-dolbys-dlb-q1-earnings-release,2023-01-30 14:14:00,"Dolby Laboratories' (DLB) first-quarter performance is likely to have benefited from Dolby Atmos and Dolby Vision. However, the softness in consumer device shipments might have acted as a dampener.",SMCI,0.180685,0.0,Neutral
PTC Set to Report Q1 Earnings: Here's What You Should Know,https://www.zacks.com/stock/news/2046188/ptc-set-to-report-q1-earnings-heres-what-you-should-know,2023-01-30 13:55:00,PTC's fiscal first-quarter performance is likely to benefit from increased demand for its products and services.,SMCI,0.109956,0.114479,Neutral
Why Investors Need to Take Advantage of These 2 Computer and Technology Stocks Now,https://www.zacks.com/stock/news/2046185/why-investors-need-to-take-advantage-of-these-2-computer-and-technology-stocks-now,2023-01-30 13:50:06,Why investors should use the Zacks Earnings ESP tool to help find stocks that are poised to top quarterly earnings estimates.,SMCI,0.322233,0.348418,Somewhat-Bullish
SONY Gears Up to Report Q3 Earnings: Here's What to Expect,https://www.zacks.com/stock/news/2046090/sony-gears-up-to-report-q3-earnings-heres-what-to-expect,2023-01-30 12:51:00,"SONY's third-quarter fiscal 2022 revenues are likely to have benefited from sales growth in the Music and Pictures segments. However, weak global macroeconomic conditions are likely to have acted as dampeners.",SMCI,0.110462,0.114668,Neutral
