title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"Steep losses, high cash burn: Byju's seeks more time to pay $1.2 bn | The Financial Express",https://www.financialexpress.com/industry/steep-losses-high-cash-burn-byjus-seeks-more-time-to-pay-1-2-bn/2943935/,2023-01-11 00:00:00,"Steep losses, high cash burn: Byju's seeks more time to pay $1.2 bn The Financial Express ...",SPGI,0.071784,-0.121209,Neutral
"Down 72% in This Bear Market, Can Fiverr Recover in 2023?",https://www.fool.com/investing/2023/01/10/down-72-in-this-bear-market-can-fiverr-recover-in/,2023-01-10 23:17:47,"The freelance services specialist was a market darling in 2020, largely abandoned in 2021, and left for dead in 2022. So is there any life left in this unloved stock?",SPGI,0.07157,0.019402,Neutral
Why Shares of Enphase Energy Stock Fell 17% in December,https://www.fool.com/investing/2023/01/10/why-shares-of-enphase-energy-stock-fell-17-in-dece/,2023-01-10 23:01:24,Insider selling wasn't the only catalyst behind this solar stock's sell-off.,SPGI,0.105604,0.117229,Neutral
Kiplinger's Industrial Policy Report,https://www.kiplinger.com/investing/economy/kiplingers-industrial-policy-report,2023-01-10 22:00:07,"The past few years marked a wake-up call in Washington, with the pandemic and supply chain shortages, rising competition with China, the war in Ukraine, and, now, the specter of recession. Lawmakers are taking a more active role in the economy to bolster critical industries, key technologies, and ...",SPGI,0.021718,0.068952,Neutral
Why Rivian Automotive Stock Lost Nearly Half Its Value in December,https://www.fool.com/investing/2023/01/10/why-rivian-automotive-stock-lost-nearly-half-its-v/,2023-01-10 20:43:57,The electric vehicle manufacturer is scaling back its ambitions in order to help it weather potential headwinds.,SPGI,0.101154,0.0133,Neutral
Why Markel Stock Jumped 6.8% in 2022,https://www.fool.com/investing/2023/01/10/why-markel-stock-jumped-68-in-2022/,2023-01-10 20:43:03,"This ""baby Berkshire"" even beat Berkshire Hathaway last year.",SPGI,0.102449,0.222644,Somewhat-Bullish
"Down 40% in This Bear Market, Can Walt Disney Recover in 2023?",https://www.fool.com/investing/2023/01/10/down-40-in-this-bear-market-can-walt-disney-recove/,2023-01-10 18:34:07,Disney's painful 2022 was closely related to one of its closest rivals.,SPGI,0.066047,-0.06989,Neutral
"Up 4.1% in This Bear Market, Is Berkshire Hathaway Still a Winner?",https://www.fool.com/investing/2023/01/10/up-41-in-this-bear-market-is-berkshire-hathaway-st/,2023-01-10 18:32:12,Warren Buffett's company has beaten the market for a long time.,SPGI,0.091162,0.14576,Neutral
Etsy Stock Actually Gained 64% in the Second Half of 2022. Is the Worst Over?,https://www.fool.com/investing/2023/01/10/etsy-stock-actually-gained-64-in-the-second-half-o/,2023-01-10 18:06:30,It's still posting mixed performance.,SPGI,0.098255,0.140482,Neutral
Why CarParts.com Stock Fell 44% in 2022,https://www.fool.com/investing/2023/01/10/why-carpartscom-stock-fell-44-in-2022/,2023-01-10 17:34:22,Investors turned away from e-commerce stocks.,SPGI,0.083251,0.122798,Neutral
