title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"Zacks Investment Ideas feature highlights: Netflix, Tesla, PACCAR, Stride and Seagate Technology",https://www.zacks.com/stock/news/2216988/zacks-investment-ideas-feature-highlights-netflix-tesla-paccar-stride-and-seagate-technology,2024-01-29 14:00:00,"Netflix, Tesla, PACCAR, Stride and Seagate Technology are part of the Zacks Investment Ideas article.",STX,0.345674,0.206708,Somewhat-Bullish
"This Analyst With 85% Accuracy Rate Sees Around 24% Upside In Western Digital - Here Are 5 Stock Picks For Last Week From Wall Street's Most Accurate Analysts - D.R. Horton  ( NYSE:DHI ) , Materion  ( NYSE:MTRN ) ",https://www.benzinga.com/news/24/01/36821065/this-analyst-with-85-accuracy-rate-sees-around-24-upside-in-western-digital-here-are-5-stock-picks-f,2024-01-29 11:35:07,"U.S. stocks closed mixed on Friday, with the S&P 500 snapping a six-day winning streak. However, the broad market index recorded gains last week. The S&P 500 gained around 1.1%, while the blue-chip Dow added about 0.7% last week. Wall Street analysts make new stock picks on a daily basis.",STX,0.145583,0.0,Neutral
3 Intriguing Stocks to Buy After Earnings,https://www.zacks.com/commentary/2216625/3-intriguing-stocks-to-buy-after-earnings,2024-01-26 22:32:00,"Following their favorable quarterly results thi, earnings estimate revisions are likely to trend higher for Paccar (PCAR), Stride (LRN), and Seagate Technology (STX) making them three stand-out stocks to buy at the moment.",STX,0.370143,0.324613,Somewhat-Bullish
WDC Stock: Western Digital Slides After Earnings Report,https://www.investors.com/news/technology/western-digital-stock-falls-after-reporting-december-quarter-earnings/,2024-01-25 21:34:00,"WDC stock fell late Thursday after data storage company Western Digital ( WDC ) reported a narrower-than-expected loss for its December quarter, with revenue just squeaking past expectations. Western Digital said it lost an adjusted 69 cents per share on $3.03 billion in fiscal second-quarter ...",STX,0.182506,0.036929,Neutral
"Seagate's  ( STX )  Q2 Earnings Beat Estimates, Revenues Miss",https://www.zacks.com/stock/news/2215606/seagates-stx-q2-earnings-beat-estimates-revenues-miss,2024-01-25 13:18:00,Seagate's (STX) second-quarter fiscal 2024 performance gains from an improvement in demand for mass capacity solutions.,STX,0.302642,0.076028,Neutral
Seagate Technology Plc  ( STX )  Q2 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/01/24/seagate-technology-plc-stx-q2-2024-earnings-call-t/,2024-01-25 03:15:18,"STX earnings call for the period ending December 31, 2023.",STX,0.005039,0.039007,Neutral
STX Stock: Seagate Reports Earnings Ahead Of Expectations,https://www.investors.com/news/technology/data-storage-company-seagate-reports-better-than-expected-earnings/,2024-01-24 23:14:00,"Data storage company Seagate Technology ( STX ) on Wednesday posted better-than-expected results for its December quarter. STX stock traded sideways in late trades. The Fremont, Calif.-based hard drive maker said it earned an adjusted 12 cents per share on $1.6 billion in sales for its fiscal ...",STX,0.604787,0.437097,Bullish
"Seagate Tech Returns To Profit In Q2, Aims For Strong Q3 EPS Growth - Seagate Tech Hldgs  ( NASDAQ:STX ) ",https://www.benzinga.com/news/earnings/24/01/36769077/seagate-tech-returns-to-profit-in-q2-aims-for-strong-q3-eps-growth,2024-01-24 22:01:45,"Seagate Technology Holdings PLC STX shares are volatile in Wednesday's after-hours session on the heels of the company's second-quarter earnings. Here's what you need to know. What To Know: Seagate reported quarterly earnings of 12 cents per share, surpassing the analyst consensus estimate of a ...",STX,0.47379,0.258525,Somewhat-Bullish
"Nvidia and AMD Rule The Charts - Here Are Other Semiconductor Plays That Analysts Root For - NVIDIA  ( NASDAQ:NVDA ) , Advanced Micro Devices  ( NASDAQ:AMD ) ",https://www.benzinga.com/analyst-ratings/analyst-color/24/01/36747355/nvidia-and-amd-rule-the-charts-here-are-other-semiconductor-plays-that-analysts-roo,2024-01-23 21:25:50,"Analysts discussed their favorite semiconductor plays on Monday. Citi analyst Christopher Danely expressed his positive stance on semiconductors given the stabilization in the PC, wireless, and server end markets ( combined 56% of the semiconductor Total Addressable Market ) .",STX,0.122062,0.111779,Neutral
Western Digital  ( WDC )  to Post Q2 Earnings: Key Factors to Note,https://www.zacks.com/stock/news/2214129/western-digital-wdc-to-post-q2-earnings-key-factors-to-note,2024-01-23 14:26:00,Western Digital's (WDC) fiscal second-quarter performance is likely to have been cushioned by higher nearline HDD shipments amid weak macroeconomic conditions.,STX,0.230782,0.05299,Neutral
Is a Surprise Coming for Seagate  ( STX )  This Earnings Season?,https://www.zacks.com/stock/news/2213697/is-a-surprise-coming-for-seagate-stx-this-earnings-season,2024-01-22 18:04:00,Seagate (STX) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,STX,0.795859,0.537518,Bullish
Factors to Note Ahead of Seagate's  ( STX )  Q2 Earnings Release,https://www.zacks.com/stock/news/2213370/factors-to-note-ahead-of-seagates-stx-q2-earnings-release,2024-01-22 14:04:00,Seagate's (STX) fiscal second-quarter performance is likely to have been affected by global macroeconomic turmoil and softness in enterprise system business.,STX,0.323078,-0.028215,Neutral
