title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Why Investors Need to Take Advantage of These 2 Industrial Products Stocks Now,https://www.zacks.com/stock/news/2217751/why-investors-need-to-take-advantage-of-these-2-industrial-products-stocks-now,2024-01-30 13:50:06,Investors looking for ways to find stocks that are set to beat quarterly earnings estimates should check out the Zacks Earnings ESP.,SWK,0.31006,0.304778,Somewhat-Bullish
"Wall Street's Greatest Dividend Stock Just Made History Again, and 99% of Investors Probably Don't Realize It Exists",https://www.fool.com/investing/2024/01/30/wall-street-greatest-dividend-stock-made-history/,2024-01-30 10:21:00,This virtually unknown company has been paying a consecutive dividend to its investors for more than 200 years.,SWK,0.114865,0.050688,Neutral
Eaton  ( ETN )  to Report Q4 Earnings: What's in the Cards?,https://www.zacks.com/stock/news/2217177/eaton-etn-to-report-q4-earnings-whats-in-the-cards,2024-01-29 14:46:00,"Eaton's (ETN) fourth-quarter earnings are likely to have benefited from high demand from its customers, organic growth and the improvement in end-market conditions boosting demand.",SWK,0.154951,0.0,Neutral
Wall Street's Insights Into Key Metrics Ahead of Stanley Black & Decker  ( SWK )  Q4 Earnings,https://www.zacks.com/stock/news/2217069/wall-streets-insights-into-key-metrics-ahead-of-stanley-black-decker-swk-q4-earnings,2024-01-29 14:16:00,"Evaluate the expected performance of Stanley Black & Decker (SWK) for the quarter ended December 2023, looking beyond the conventional Wall Street top-and-bottom-line estimates and examining some of its key metrics for better insight.",SWK,0.495015,0.210729,Somewhat-Bullish
DEWALT® Celebrates 100 Years of Innovation,https://www.prnewswire.com/news-releases/dewalt-celebrates-100-years-of-innovation-302046694.html,2024-01-29 13:00:00,"• Through its commitment to innovation, safety and productivity, DEWALT has been delivering tools to meet the needs of professional tradespeople around the world since 1924 when forward-looking vision resulted in the founding of DEWALT • DEWALT has pledged to its ""Grow the Trades"" initiative to ...",SWK,0.228226,0.236503,Somewhat-Bullish
Stanley Black & Decker  ( SWK )  Earnings Expected to Grow: Should You Buy?,https://www.zacks.com/stock/news/2215878/stanley-black-decker-swk-earnings-expected-to-grow-should-you-buy,2024-01-25 15:00:49,Stanley Black & Decker (SWK) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,SWK,0.294093,0.220145,Somewhat-Bullish
"Jim Cramer Likes This Bank 'Very, Very Much,' Says Stock Is Up 7% Over Past 6 Months - Commerce Bancshares  ( NASDAQ:CBSH ) , American Airlines Group  ( NASDAQ:AAL ) ",https://www.benzinga.com/news/24/01/36711229/jim-cramer-likes-this-bank-very-very-much-says-stock-is-up-7-over-past-6-months,2024-01-22 13:43:19,"On CNBC's ""Mad Money Lightning Round,"" Jim Cramer said Stanley Black & Decker, Inc. SWK is ""very inexpensive, and if people are buying Home Depot HD and Loews L, they should be buying Stanley Black & Decker."" ""I'm not a big fan of the airline stocks,"" Cramer said when asked about American ...",SWK,0.512093,0.426544,Bullish
This Is Why You Should Pay Close Attention to Dividend Increases,https://www.fool.com/investing/2024/01/19/why-should-pay-close-attention-dividend-increase/,2024-01-19 10:45:00,"Walgreens just cut its dividend, but the dividend trend already provided a warning.",SWK,0.16171,0.021753,Neutral
"Household & DIY Hand Tools Market Projected to reach USD 26.5 billion, Exceeding at a CAGR of 4.5% by 2031: Transparency Market Research, Inc.",https://www.benzinga.com/pressreleases/24/01/g36657477/household-diy-hand-tools-market-projected-to-reach-usd-26-5-billion-exceeding-at-a-cagr-of-4-5-by-,2024-01-17 12:30:00,"Wilmington, Delaware, United States, Jan. 17, 2024 ( GLOBE NEWSWIRE ) -- Transparency Market Research Inc. - The global household & DIY hand tools market is estimated to flourish at a CAGR of 4.5% from 2023 to 2031.",SWK,0.076479,0.26966,Somewhat-Bullish
This small stock buy is a play on a bounce back in home improvement this year,https://www.cnbc.com/2024/01/16/this-stock-buy-is-a-play-on-a-bounce-back-in-home-improvement-this-year.html,2024-01-16 16:51:15,Several trends are pointing to a stronger year for this market.,SWK,0.461006,0.392243,Bullish
VTEX recognized as a Leader by IDC MarketScape for Global B2B Digital Commerce Applications for Midmarket Growth - Paving a Pivotal Moment for B2B brands to seize the Biggest Commerce Opportunity of 2024,https://www.prnewswire.com/news-releases/vtex-recognized-as-a-leader-by-idc-marketscape-for-global-b2b-digital-commerce-applications-for-midmarket-growth--paving-a-pivotal-moment-for-b2b-brands-to-seize-the-biggest-commerce-opportunity-of-2024-302033390.html,2024-01-12 13:00:00,VTEX recognized as a Leader by IDC MarketScape for Global B2B Digital Commerce Applications for Midmarket ... PR ...,SWK,0.09495,0.180991,Somewhat-Bullish
How to Boost Your Portfolio with Top Industrial Products Stocks Set to Beat Earnings,https://www.zacks.com/stock/news/2208779/how-to-boost-your-portfolio-with-top-industrial-products-stocks-set-to-beat-earnings,2024-01-11 13:50:05,Why investors should use the Zacks Earnings ESP tool to help find stocks that are poised to top quarterly earnings estimates.,SWK,0.374312,0.350563,Bullish
"Industrial Vending Machine Market Surges Towards US$ 7 Billion Milestone by 2032, Unveiling Profound Insights from Persistence Market Research",https://www.benzinga.com/pressreleases/24/01/g36590157/industrial-vending-machine-market-surges-towards-us-7-billion-milestone-by-2032-unveiling-profound,2024-01-11 11:10:00,"New York, Jan. 11, 2024 ( GLOBE NEWSWIRE ) -- Industrial Vending Machines: A Market Poised for Boom Industrial vending machines are automated systems designed to dispense and manage industrial tools, consumables, and personal protective equipment ( PPE ) within manufacturing and industrial ...",SWK,0.019302,0.040417,Neutral
Why we're planning to stick with this 2023 cybersecurity stock standout again this year,https://www.cnbc.com/2024/01/10/planning-to-stick-with-this-2023-cybersecurity-stock-standout-again-this-year.html,2024-01-10 16:53:09,"The Investing Club holds its ""Morning Meeting"" every weekday at 10:20 a.m. ET.",SWK,0.245339,0.213017,Somewhat-Bullish
Stanley Black  ( SWK )  to Gain From Business Strength Amid Risks,https://www.zacks.com/stock/news/2207630/stanley-black-swk-to-gain-from-business-strength-amid-risks,2024-01-09 17:52:00,"Stanley Black (SWK) is likely to benefit from the recovery in aerospace and auto end markets, divestiture of non-core assets and shareholder-friendly policies. Lower consumer outdoor and do-it-yourself (""DIY"") market demand remains a concern.",SWK,0.340915,0.149978,Neutral
3 Dividend Stocks to Double Up On Right Now,https://www.fool.com/investing/2024/01/09/3-dividend-stocks-to-double-up-on-right-now/,2024-01-09 10:40:00,Shares of Medtronic and Texas Instruments are discounted but have long-term appeal. Stanley Black & Decker is a turnaround story.,SWK,0.238133,0.013365,Neutral
These Valentine's Day Stanley cups sold exclusively at Target are now going for $200 on eBay,https://www.marketwatch.com/story/these-valentines-day-stanley-cups-sold-exclusively-at-target-are-now-going-for-200-on-ebay-e0977252,2024-01-03 18:21:00,"But if you're still hoping to buy one at a store, you're out of luck - they won't be restocked, Target says ...",SWK,0.266828,0.075832,Neutral
Which Mutual Funds Are Positioned Perfectly For 2024?,https://www.investors.com/etfs-and-funds/mutual-funds/best-mutual-funds-are-positioned-perfectly-for-2024/,2023-12-29 12:00:00,Best Mutual Funds: Which Are Positioned Perfectly For 2024? Investor's Business Daily ...,SWK,0.038314,0.182612,Somewhat-Bullish
This Dividend King Is Set for a Big Rebound in 2024,https://www.fool.com/investing/2023/12/23/this-dividend-king-is-set-for-a-big-rebound-in-202/,2023-12-23 19:22:00,"This company has given shareholders over 50 years of dividend increases, and it expects earnings to more than double in 2024. There's some important backstory here.",SWK,0.600602,0.262943,Somewhat-Bullish
"The market is still overbought, but a drop in bond yields is great for 3 of our stocks",https://www.cnbc.com/2023/12/22/the-market-is-still-overbought-but-a-drop-in-bond-yields-is-great-for-3-of-our-stocks.html,2023-12-22 16:46:36,"The Investing Club holds its ""Morning Meeting"" every weekday at 10:20 a.m. ET.",SWK,0.170878,0.11583,Neutral
Allegion  ( ALLE )  Gains From Business Strength Amid Headwinds,https://www.zacks.com/stock/news/2200650/allegion-alle-gains-from-business-strength-amid-headwinds,2023-12-20 16:41:00,"Allegion (ALLE) is likely to benefit from strength across its businesses, strong prolonged actions and acquired businesses. However, lower demand for residential products remains a concern.",SWK,0.172713,0.220988,Somewhat-Bullish
Why more women are picking up power tools,https://www.economist.com/christmas-specials/2023/12/20/why-more-women-are-picking-up-power-tools,2023-12-20 13:42:15,"""I down here,"" says Hannah Lee Duggan as she leads the way into her basement. It looks like the staging area for a ""Saw"" trap. There are drills and nail guns neatly arranged on a shelf. The walls are made of metre-deep stone. There are no windows. We are in the middle of the woods.",SWK,0.028422,0.0,Neutral
Stanley Black  ( SWK )  to Sell Infrastructure Business for $760M,https://www.zacks.com/stock/news/2199329/stanley-black-swk-to-sell-infrastructure-business-for-760m,2023-12-18 14:11:00,Stanley Black (SWK) inks a deal to sell its Infrastructure business for $760 million to focus on the core businesses while supporting capital-allocation priorities.,SWK,0.474958,0.114989,Neutral
"Stanley Black & Decker Streamlines Portfolio With $760M Infrastructure Sale To Epiroc, Targets Debt Reduction - Epiroc  ( OTC:EPIAF ) , Epiroc  ( OTC:EPOKY ) , Stanley Black & Decker  ( NYSE:SWK ) ",https://www.benzinga.com/markets/equities/23/12/36257527/stanley-black-decker-streamlines-portfolio-with-760m-infrastructure-sale-to-epiroc-targets-debt-,2023-12-15 14:43:52,"Stanley Black & Decker SWK has agreed to divest its STANLEY Infrastructure division, which specializes in attachment and handheld hydraulic tools, to Epiroc AB EPOKY EPIAF for $760 million in cash.",SWK,0.889454,0.196244,Somewhat-Bullish
