title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Are Investors Undervaluing Synchrony Financial  ( SYF )  Right Now?,https://www.zacks.com/stock/news/2217913/are-investors-undervaluing-synchrony-financial-syf-right-now,2024-01-30 14:40:12,"Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",SYF,0.519002,0.388973,Bullish
AmEx  ( AXP )  Q4 Earnings Miss on High Client Engagement Costs,https://www.zacks.com/stock/news/2216602/amex-axp-q4-earnings-miss-on-high-client-engagement-costs,2024-01-26 17:15:00,American Express' (AXP) Q4 results reflect escalating expenses resulting from increased usage of travel-related benefits. Management expects EPS in the range of $12.65-$13.15 for 2024.,SYF,0.130394,0.097488,Neutral
"Synchrony Financial  ( NYSE:SYF )  Upgraded to ""Buy"" at StockNews.com",https://www.defenseworld.net/2024/01/25/synchrony-financial-nysesyf-upgraded-to-buy-at-stocknews-com.html,2024-01-25 09:52:46,StockNews.com upgraded shares of Synchrony Financial ( NYSE:SYF - Free Report ) from a hold rating to a buy rating in a research report released on Wednesday morning. A number of other research analysts have also recently commented on the company.,SYF,0.785851,0.390894,Bullish
Synchrony  ( SYF )  is a Top-Ranked Value Stock: Should You Buy?,https://www.zacks.com/stock/news/2214973/synchrony-syf-is-a-top-ranked-value-stock-should-you-buy,2024-01-24 14:40:06,"Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",SYF,0.342803,0.450562,Bullish
Synchrony Financial  ( SYF )  Q4 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/01/23/synchrony-financial-syf-q4-2023-earnings-call-tran/,2024-01-23 19:15:16,"SYF earnings call for the period ending December 31, 2023.",SYF,0.007965,0.078438,Neutral
Synchrony  ( SYF )  Q4 Earnings Beat on Robust Receivables Growth,https://www.zacks.com/stock/news/2214464/synchrony-syf-q4-earnings-beat-on-robust-receivables-growth,2024-01-23 17:45:00,"Synchrony (SYF) expects net interest income in the range of $17.5-18.5 billion for 2024, higher than the previous year's figure of $17 billion.",SYF,0.252006,0.180341,Somewhat-Bullish
Synchrony  ( SYF )  to Buy Ally Financial's Point-of-Sale Business,https://www.zacks.com/stock/news/2213533/synchrony-syf-to-buy-ally-financials-point-of-sale-business,2024-01-22 15:12:00,Synchrony's (SYF) pending acquisition of Ally's point-of-sale financing business is likely to help it expand in home improvement and healthcare financing.,SYF,0.142565,0.139352,Neutral
The 4 most important things we're watching in the stock market this coming week,https://www.cnbc.com/2024/01/20/4-most-important-things-were-watching-in-the-stock-market-this-week.html,2024-01-20 15:13:48,On tap: A handful of key economic updates and a ramp up of quarterly earnings reports.,SYF,0.042234,-0.028099,Neutral
Why Ally Stock Is Charging Higher Today,https://www.fool.com/investing/2024/01/19/why-ally-stock-is-charging-higher-today/,2024-01-19 17:31:30,The company delivered a solid quarter and announced the sale of a non-core business.,SYF,0.099476,0.168172,Somewhat-Bullish
Synchrony  ( SYF )  Opts for Tech Investment to Ease Online Checkouts,https://www.zacks.com/stock/news/2212979/synchrony-syf-opts-for-tech-investment-to-ease-online-checkouts,2024-01-19 17:29:00,"Synchrony (SYF) is testing the feasibility of a browser extension in a bid to make online checkouts safer and, subsequently, generate higher sales from its cardholders.",SYF,0.251941,0.294758,Somewhat-Bullish
Ally's stock rallies after earnings beat and deal with Synchrony,https://www.marketwatch.com/story/allys-stock-rallies-after-earnings-beat-and-deal-with-synchrony-89aa395f,2024-01-19 17:06:00,Ally says its point-of-sale transaction with Synchrony will boost its 2024 earnings.,SYF,0.401331,0.371595,Bullish
"World Acceptance Posts Upbeat Earnings, Joins Kaman, Spirit Airlines And Other Big Stocks Moving Higher On Friday - World Acceptance  ( NASDAQ:WRLD ) ",https://www.benzinga.com/news/24/01/36696606/world-acceptance-posts-upbeat-earnings-joins-kaman-spirit-airlines-and-other-big-stocks-moving-highe,2024-01-19 15:20:42,"U.S. stocks traded higher, with the Dow Jones index gaining around 50 points on Friday. Shares of World Acceptance Corporation WRLD rose sharply during Friday's session following upbeat quarterly results. World Acceptance posted quarterly earnings of $2.84 per share, beating market estimates of ...",SYF,0.079921,0.116979,Neutral
Can Higher Expenses Affect Synchrony's  ( SYF )  Q4 Earnings?,https://www.zacks.com/stock/news/2212367/can-higher-expenses-affect-synchronys-syf-q4-earnings,2024-01-18 17:38:00,Synchrony's (SYF) fourth-quarter results are likely to reflect rising total purchase volumes and lower net interest margins.,SYF,0.214937,0.177973,Somewhat-Bullish
Is Invesco Fundamental High Yield Corporate Bond ETF  ( PHB )  a Strong ETF Right Now?,https://www.zacks.com/stock/news/2209287/is-invesco-fundamental-high-yield-corporate-bond-etf-phb-a-strong-etf-right-now,2024-01-12 11:20:06,Smart Beta ETF report for ...,SYF,0.056943,0.104942,Neutral
Synchrony  ( SYF )  Strengthens Ties to Offer Improved Health Care,https://www.zacks.com/stock/news/2209030/synchrony-syf-strengthens-ties-to-offer-improved-health-care,2024-01-11 16:48:00,"Synchrony (SYF) renews its deal with The Good Feet Store for providing flexible financing options, thereby encouraging customers to purchase more personalized arch supports from the latter.",SYF,0.284972,0.407789,Bullish
"Credit Concerns Spark Downgrades! American Express, Capital One, Synchrony Financial Hit By Credit Quality Doubts Analyst - Synchrony Finl  ( NYSE:SYF ) , Citigroup  ( NYSE:C ) , American Express  ( NYSE:AXP ) , OneMain Holdings  ( NYSE:OMF ) ",https://www.benzinga.com/analyst-ratings/analyst-color/24/01/36581863/credit-concerns-spark-downgrades-american-express-capital-one-synchrony-financial-h,2024-01-10 20:47:51,"BMO Capital Markets analyst James Fotheringham downgraded American Express Company AXP to Underperform from Market Perform, with a price target of $157. The analyst downgraded the company due to concerns regarding credit quality, loan loss reserve adequacy, decelerating spending growth, rising ...",SYF,0.235823,0.127379,Neutral
Synchrony  ( SYF )  Expands CareCredit Offering With Destination Pet,https://www.zacks.com/stock/news/2208434/synchrony-syf-expands-carecredit-offering-with-destination-pet,2024-01-10 17:11:00,Synchrony (SYF) partners with Destination Pet to offer financing solutions to pet owners through its CareCredit card.,SYF,0.408949,0.481048,Bullish
"American Express, Goldman Sachs, Citigroup lead downgrades at BMO as 'banks and specialty finance stocks look vulnerable'",https://www.marketwatch.com/story/american-express-goldman-sachs-citigroup-lead-downgrades-at-bmo-as-banks-and-specialty-finance-stocks-look-vulnerable-7b1b28e2,2024-01-10 16:06:00,Analyst James Fotheringham assesses the bank sector after a big stock runup from October lows against worsening credit conditions.,SYF,0.142989,0.046701,Neutral
Time to Buy OneMain Holdings  ( OMF )  Stock for Higher Highs?,https://www.zacks.com/stock/news/2207188/time-to-buy-onemain-holdings-omf-stock-for-higher-highs,2024-01-08 20:54:00,OneMain Holdings' (OMF) valuation and lucrative dividend yield remain enticing to income investors with shares hovering near 52-week highs.,SYF,0.176502,0.08309,Neutral
Time to Buy Ally or Synchrony Financial Stock for Higher Highs?,https://www.zacks.com/stock/news/2206544/time-to-buy-ally-or-synchrony-financial-stock-for-higher-highs,2024-01-05 21:36:00,Several consumer lending stocks have been bright spots in the financial sector with Ally Financial (ALLY) and Synchrony Financial (SYF) standing out in particular.,SYF,0.147366,0.160955,Somewhat-Bullish
Apple Card Raises Annual Percentage Yield For Second Time From 4.25% To 4.35% - Goldman Sachs Gr  ( NYSE:GS ) ,https://www.benzinga.com/news/24/01/36505931/apple-card-raises-annual-percentage-yield-for-second-time-from-4-25-to-4-35,2024-01-05 09:39:26,"Apple Inc. AAPL has raised the annual percentage yield ( APY ) for Apple Card's linked savings account, Apple Savings, to 4.35%. What Happened: On Thursday, Apple Card customers were notified that their Apple Savings account's APY has been revised to 4.35% from 4.25%.",SYF,0.128822,0.173464,Somewhat-Bullish
Why You Should Hold Synchrony  ( SYF )  Stock in Your Portfolio,https://www.zacks.com/stock/news/2205085/why-you-should-hold-synchrony-syf-stock-in-your-portfolio,2024-01-03 15:32:00,"Synchrony's (SYF) product innovations, partnerships and rising purchase volumes poise it well for growth.",SYF,0.244846,0.326349,Somewhat-Bullish
Stocks Showing Rising Market Leadership: Synchrony Financial Earns 82 RS Rating,https://www.investors.com/ibd-data-stories/stocks-showing-rising-market-leadership-synchrony-financial-earns-82-rs-rating-2/,2023-12-14 08:00:00,"On Thursday, Synchrony Financial ( SYF ) received a positive adjustment to its Relative Strength ( RS ) Rating, from 75 to 82. X As you try to find the best stocks to buy and watch, be sure to pay attention to relative price strength.",SYF,0.491878,0.414662,Bullish
US bank bosses predict soft landing as consumers stay resilient,https://www.reuters.com/business/finance/us-bank-bosses-predict-soft-landing-consumers-stay-resilient-2023-12-05/,2023-12-05 15:23:00,"[1/2] Goldman Sachs chairman and CEO David Solomon speaks during Goldman Sachs analyst impact fund competition at Goldman Sachs Headquarters in New York City, U.S., November 14, 2023. REUTERS/Brendan McDermid Acquire Licensing Rights",SYF,0.154455,0.289488,Somewhat-Bullish
Analyst Richard Bove thinks the return of 'the Goldman Sachs of old' is the right move,https://www.marketwatch.com/story/heres-why-analyst-richard-bove-thinks-the-return-of-the-goldman-sachs-of-old-is-the-right-move-6b0193e7,2023-12-01 16:24:00,"Odeon Capital analyst praises bank for ""shrinking back to what it knows works and where it does have leading positions."" ...",SYF,0.09239,0.0,Neutral
Synchrony  ( SYF )  & HABRI Join Forces to Boost Human-Animal Bond,https://www.zacks.com/stock/news/2192087/synchrony-syf-habri-join-forces-to-boost-human-animal-bond,2023-12-01 13:47:00,Synchrony (SYF) is expected to promote HABRI's science-based education within CareCredit's extensive veterinary network.,SYF,0.228431,0.404339,Bullish
Synchrony  ( SYF )  to Issue Co-Branded Card for J.Crew Clients,https://www.zacks.com/stock/news/2191738/synchrony-syf-to-issue-co-branded-card-for-jcrew-clients,2023-11-30 17:05:00,Synchrony (SYF) ties up with J.Crew Group and Mastercard to introduce a consumer financing program and offer higher rewards for J.Crew customers.,SYF,0.380012,0.321105,Somewhat-Bullish
Is Apple Eyeing A New Partner For Apple Card Issuance? This Job Listing May Give A Clue - Apple  ( NASDAQ:AAPL ) ,https://www.benzinga.com/news/23/11/36018125/is-apple-eyeing-a-new-partner-for-apple-card-issuance-this-job-listing-may-give-a-clue,2023-11-30 10:29:04,Apple Inc. AAPL is reportedly on the lookout for a new partner to manage its Apple Card operations. This development comes amid an end to its partnership with Goldman Sachs.,SYF,0.140076,-0.126955,Neutral
"Credit Card Payments Market size to grow by USD 147.16 billion from 2021 to 2026, The market is fragmented due to ... - PR Newswire",https://www.prnewswire.com/news-releases/credit-card-payments-market-size-to-grow-by-usd-147-16-billion-from-2021-to-2026--the-market-is-fragmented-due-to-the-presence-of-prominent-companies-like-american-express-co-capital-one-financial-corp-and-bank-of-america-corp-302000763.html,2023-11-29 22:15:00,"Credit Card Payments Market size to grow by USD 147.16 billion from 2021 to 2026, The market is fragmented due to ... PR ...",SYF,0.092569,0.13795,Neutral
Apple Pulls Plug on Goldman Credit-Card Partnership,https://www.foxbusiness.com/markets/apple-pulls-plug-goldman-credit-card-partnership,2023-11-29 14:53:00,"Apple is pulling the plug on its credit-card partnership with Goldman Sachs, the final nail in the coffin of the Wall Street bank's bid to expand into consumer lending. The tech giant recently sent a proposal to Goldman to exit from the contract in the next roughly 12 to 15 months, according to ...",SYF,0.052455,0.05389,Neutral
Synchrony  ( SYF )  Frees Up Capital With the Sale of Pets Best,https://www.zacks.com/stock/news/2190894/synchrony-syf-frees-up-capital-with-the-sale-of-pets-best,2023-11-29 14:49:00,Synchrony's (SYF) divestiture of Pets Best is expected to free up capital and expand Care Credit's reach to pet owners.,SYF,0.410059,0.530116,Bullish
Apple offers exit ramp to Goldman Sachs for troubled credit card accord,https://www.business-standard.com/world-news/apple-offers-exit-ramp-to-goldman-sachs-for-troubled-credit-card-accord-123112900162_1.html,2023-11-29 04:18:25,"Goldman Sachs Group Inc., which has been trying to jettison its struggling credit card business, now has a potential way out of its partnership with Apple Inc.",SYF,0.084722,-0.023121,Neutral
Synchrony  ( SYF )  Up 7.2% Since Last Earnings Report: Can It Continue?,https://www.zacks.com/stock/news/2188598/synchrony-syf-up-72-since-last-earnings-report-can-it-continue,2023-11-23 16:30:45,Synchrony (SYF) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,SYF,0.22595,0.083171,Neutral
Synchrony Financial  ( NYSE:SYF )  Stock Rating Lowered by StockNews.com,https://www.defenseworld.net/2023/11/22/synchrony-financial-nysesyf-stock-rating-lowered-by-stocknews-com.html,2023-11-22 07:32:48,Synchrony Financial ( NYSE:SYF ) Stock Rating Lowered by ... Defense World ...,SYF,0.828248,0.501331,Bullish
Synchrony  ( SYF )  Joins Forces With Big Brand Tire & Service,https://www.zacks.com/stock/news/2184769/synchrony-syf-joins-forces-with-big-brand-tire-service,2023-11-15 16:57:00,The new partnership will strategically expand Synchrony's (SYF) market reach in automotive financing.,SYF,0.31583,0.265035,Somewhat-Bullish
Synchrony Financial  ( NYSE:SYF )  Stock Rating Upgraded by StockNews.com,https://www.defenseworld.net/2023/11/11/synchrony-financial-nysesyf-stock-rating-upgraded-by-stocknews-com.html,2023-11-11 06:45:10,Synchrony Financial ( NYSE:SYF ) Stock Rating Upgraded by ... Defense World ...,SYF,0.856646,0.497279,Bullish
Rithm Capital  ( RITM )  Shares Up 10% Since Q3 Earnings Release,https://www.zacks.com/stock/news/2181128/rithm-capital-ritm-shares-up-10-since-q3-earnings-release,2023-11-08 18:22:00,"Rithm Capital's (RITM) Q3 results indicate higher interest income and strong contribution from the Servicing segment, partly offset by an escalating expense base.",SYF,0.135347,0.143032,Neutral
Is Invesco Fundamental High Yield Corporate Bond ETF  ( PHB )  a Strong ETF Right Now?,https://www.zacks.com/stock/news/2180604/is-invesco-fundamental-high-yield-corporate-bond-etf-phb-a-strong-etf-right-now,2023-11-08 11:20:06,Smart Beta ETF report for ...,SYF,0.056674,0.090924,Neutral
New Synchrony Learning Center Expands to Serve Hundreds of Thousands of Small Businesses and Healthcare ... - PR Newswire,https://www.prnewswire.com/news-releases/new-synchrony-learning-center-expands-to-serve-hundreds-of-thousands-of-small-businesses-and-healthcare-providers-301977375.html,2023-11-06 14:00:00,New Synchrony Learning Center Expands to Serve Hundreds of Thousands of Small Businesses and Healthcare ... PR ...,SYF,0.255106,0.345628,Somewhat-Bullish
Synchrony Financial  ( NYSE:SYF )  Upgraded at StockNews.com,https://www.defenseworld.net/2023/11/03/synchrony-financial-nysesyf-upgraded-at-stocknews-com.html,2023-11-03 06:02:41,"Synchrony Financial ( NYSE:SYF - Get Free Report ) was upgraded by investment analysts at StockNews.com from a ""hold"" rating to a ""buy"" rating in a research report issued to clients and investors on Wednesday.",SYF,0.810787,0.402609,Bullish
Why Sleep Number Stock Dropped Today,https://www.fool.com/investing/2023/10/26/why-sleep-number-stock-dropped-today/,2023-10-26 20:54:14,Investors are worried that interest rates are headed higher.,SYF,0.104683,0.0,Neutral
Synchrony Financial  ( SYF )  Q3 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/10/24/synchrony-financial-syf-q3-2023-earnings-call-tran/,2023-10-24 18:00:27,"SYF earnings call for the period ending September 30, 2023.",SYF,0.008883,0.07812,Neutral
Synchrony  ( SYF )  Q3 Earnings Beat on Growing Purchase Volume,https://www.zacks.com/stock/news/2170914/synchrony-syf-q3-earnings-beat-on-growing-purchase-volume,2023-10-24 14:28:00,"Synchrony (SYF) expects loan receivables to grow 11% for 2023, up from the previous guidance of 8-10%.",SYF,0.359447,0.111775,Neutral
"Credit Card Payments Market to Reach $1,204.48 Billion, Globally, by 2032 at 8.8% CAGR: Allied Market Research",https://www.prnewswire.com/news-releases/credit-card-payments-market-to-reach-1-204-48-billion-globally-by-2032-at-8-8-cagr-allied-market-research-301964247.html,2023-10-23 08:40:00,"The growth of the global credit card market is driven by a rise in demand for cash alternatives, availability of affordable credit cards across the globe, and the rise in demand for credit cards among the youths of developing nations.",SYF,0.024749,0.0,Neutral
Will Rising Expenses Affect Synchrony's  ( SYF )  Q3 Earnings?,https://www.zacks.com/stock/news/2169132/will-rising-expenses-affect-synchronys-syf-q3-earnings,2023-10-19 17:03:00,Synchrony's (SYF) third-quarter results are likely to reflect lower net interest margins and higher total average active accounts.,SYF,0.21686,0.175934,Somewhat-Bullish
Should Value Investors Buy Synchrony Financial  ( SYF )  Stock?,https://www.zacks.com/stock/news/2165531/should-value-investors-buy-synchrony-financial-syf-stock,2023-10-13 13:40:10,"Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",SYF,0.555911,0.450833,Bullish
"Synchrony Financial Downgraded to ""Hold"" Rating by StockNews.com",https://www.claytoncountyregister.com/news2/synchrony-financial-nysesyf-stock-rating-lowered-by-stocknews-com/574187/,2023-10-13 08:32:10,"StockNews.com recently downgraded Synchrony Financial from a ""buy"" rating to a ""hold"" rating in a research note issued to investors. Other equities analysts have also released research reports about the company.",SYF,0.896455,0.242848,Somewhat-Bullish
Synchrony Financial  ( NYSE:SYF )  Stock Rating Lowered by StockNews.com,https://www.defenseworld.net/2023/10/13/synchrony-financial-nysesyf-stock-rating-lowered-by-stocknews-com.html,2023-10-13 07:52:42,Synchrony Financial ( NYSE:SYF ) Stock Rating Lowered by ... Defense World ...,SYF,0.675109,0.49547,Bullish
Synchrony  ( SYF )  & Veterinary Growth to Offer Pet Care Financing,https://www.zacks.com/stock/news/2164498/synchrony-syf-veterinary-growth-to-offer-pet-care-financing,2023-10-11 16:33:00,Synchrony (SYF) collaborates with Veterinary Growth to provide pet care financing solutions to its members.,SYF,0.505874,0.629851,Bullish
