title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Why Industrial Conglomerate Teledyne Technologies Shares Are Falling Wednesday Why Industrial Conglomerate Teledyne Technologies  ( TDY )  Shares Are Falling Wednesday - Teledyne Technologies  ( NYSE:TDY ) ,https://www.benzinga.com/news/earnings/24/01/36764526/why-industrial-conglomerate-teledyne-technologies-shares-are-falling-wednesday,2024-01-24 18:14:02,"The firm reported Q4 FY23 sales growth of 0.5% year-over-year to $1.425 billion, missing the consensus of $1.470 billion. Adjusted EPS was $5.44, above the consensus of $5.04.",TDY,0.340915,0.0,Neutral
"Teledyne  ( TDY )  Q4 Earnings Beat Estimates, Sales Increase Y/Y",https://www.zacks.com/stock/news/2215223/teledyne-tdy-q4-earnings-beat-estimates-sales-increase-yy,2024-01-24 17:52:00,"Teledyne (TDY) reported Q4 sales of $1,425 million, which missed the Zacks Consensus Estimate by 1.4%. The top line, however, grew 0.5% from the year-ago quarter's level.",TDY,0.302553,0.276267,Somewhat-Bullish
"Global Airside Services Market Size is Estimated to Reach USD 5.8 billion by 2031, Growing at a CAGR of 7.3%: Straits Research",https://www.benzinga.com/pressreleases/24/01/g36758724/global-airside-services-market-size-is-estimated-to-reach-usd-5-8-billion-by-2031-growing-at-a-cag,2024-01-24 14:15:00,"New York, United States, Jan. 24, 2024 ( GLOBE NEWSWIRE ) -- Airside services involve a wide range of ground support and operational tasks required to pass aircraft, passengers, and cargo through airports safely and efficiently.",TDY,0.032382,0.0,Neutral
Teledyne Technologies  ( TDY )  Surpasses Q4 Earnings Estimates,https://www.zacks.com/stock/news/2214789/teledyne-technologies-tdy-surpasses-q4-earnings-estimates,2024-01-24 13:05:02,"Teledyne (TDY) delivered earnings and revenue surprises of 7.51% and 1.42%, respectively, for the quarter ended December 2023. Do the numbers hold clues to what lies ahead for the stock?",TDY,0.139265,0.096077,Neutral
Will Segmental Performance Aid Teledyne's  ( TDY )  Q4 Earnings?,https://www.zacks.com/stock/news/2214020/will-segmental-performance-aid-teledynes-tdy-q4-earnings,2024-01-23 13:13:00,"Teledyne Technologies' (TDY) Q4 earnings are likely to have gained from the increase in commercial customers. However, deterioration in certain end markets might have offset some positives.",TDY,0.190043,0.0,Neutral
The 4 most important things we're watching in the stock market this coming week,https://www.cnbc.com/2024/01/20/4-most-important-things-were-watching-in-the-stock-market-this-week.html,2024-01-20 15:13:48,On tap: A handful of key economic updates and a ramp up of quarterly earnings reports.,TDY,0.042234,0.029072,Neutral
Countdown to Teledyne  ( TDY )  Q4 Earnings: A Look at Estimates Beyond Revenue and EPS,https://www.zacks.com/stock/news/2212978/countdown-to-teledyne-tdy-q4-earnings-a-look-at-estimates-beyond-revenue-and-eps,2024-01-19 17:25:00,"Besides Wall Street's top -and-bottom-line estimates for Teledyne (TDY), review projections for some of its key metrics to gain a deeper understanding of how the company might have fared during the quarter ended December 2023.",TDY,0.142144,0.110966,Neutral
"Machine Condition Monitoring Market to grow by USD 1.14 billion from 2022 to 2027, Wireless communication gaining ... - PR Newswire",https://www.prnewswire.com/news-releases/machine-condition-monitoring-market-to-grow-by-usd-1-14-billion-from-2022-to-2027--wireless-communication-gaining-momentum-in-industries-to-drive-growth---technavio-302038566.html,2024-01-19 03:50:00,"Machine Condition Monitoring Market to grow by USD 1.14 billion from 2022 to 2027, Wireless communication gaining ... PR ...",TDY,0.051551,0.204537,Somewhat-Bullish
Teledyne e2v announces next generation high-performance CMOS image sensors for extreme low light conditions - Teledyne Technologies  ( NYSE:TDY ) ,https://www.benzinga.com/pressreleases/24/01/g36648922/teledyne-e2v-announces-next-generation-high-performance-cmos-image-sensors-for-extreme-low-light-c,2024-01-16 20:00:00,"GRENOBLE, France, Jan. 16, 2024 ( GLOBE NEWSWIRE ) -- Teledyne e2v, a Teledyne Technologies company and global innovator of imaging solutions, announces OnyxMax™, the next generation of its popular Onyx 1.3M low light CMOS image sensor. This new sensor has been designed for extremely low light ...",TDY,0.091509,0.021256,Neutral
"Aircraft Health Monitoring Market Size, Share, Industry Report, Statistics & Growth, 2028",https://www.benzinga.com/pressreleases/24/01/g36633589/aircraft-health-monitoring-market-size-share-industry-report-statistics-growth-2028,2024-01-16 00:30:00,"Chicago, Jan. 15, 2024 ( GLOBE NEWSWIRE ) -- The Aircraft Health Monitoring Market size is set to experience significant growth, with a projected increase from USD 6.3 Billion in 2023 to USD 8.6 Billion by 2028, representing a robust CAGR of 6.5%.",TDY,0.069495,0.167689,Somewhat-Bullish
