title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
T-Mobile Just Had a Great Fourth Quarter. Here's What's Next.,https://www.fool.com/investing/2023/01/10/t-mobile-had-great-fourth-quarter-whats-next/,2023-01-10 18:42:23,Can the Un-carrier keep its momentum in 2023?,TMUS,0.122894,0.191709,Somewhat-Bullish
"Analyst Touts AT&T As Top Telecom Pick Backed By Wireless Subscriber, Fiber-To-The-home, Fixed Wireless Growth Momentum - AT&T  ( NYSE:T ) ",https://www.benzinga.com/news/23/01/30357279/analyst-touts-at-t-as-top-telecom-pick-backed-by-wireless-subscriber-fiber-to-the-home-fixed-wireles,2023-01-10 17:41:14,"Wells Fargo analyst Eric Luebchow upgraded AT&T Inc T from Equal-Weight to Overweight and raised the price target from $17 to $22. The analyst viewed the telecom sector as a relatively defensive play going into 2023, despite some growth challenges ahead.",TMUS,0.428632,0.332425,Somewhat-Bullish
Here's Why American Tower Can Keep Increasing Its Dividend,https://www.fool.com/investing/2023/01/10/heres-why-american-tower-can-keep-increasing-its-d/,2023-01-10 15:03:00,The cellphone tower REIT has a long growth runway ahead.,TMUS,0.060694,-0.036999,Neutral
"Jim Cramer Says Forget AT&T, This 'Class Of The Field' Communications Stock Is Better - Array Technologies  ( NASDAQ:ARRY ) , ADMA Biologics  ( NASDAQ:ADMA ) ",https://www.benzinga.com/news/23/01/30346274/jim-cramer-says-forget-at-t-this-class-of-the-field-communications-stock-is-better,2023-01-10 13:24:54,"On CNBC's ""Mad Money Lightning Round,"" Jim Cramer said ADMA Biologics, Inc. ADMA is a ""great spec, but it is losing money hand over fist. I think it's very binary. I can not like binary situations."" Analysts disagree, according to Benzinga data, ADMA has a consensus Buy rating.",TMUS,0.331765,0.227427,Somewhat-Bullish
Looking At T-Mobile US's Recent Unusual Options Activity - T-Mobile US  ( NASDAQ:TMUS ) ,https://www.benzinga.com/markets/options/23/01/30338786/looking-at-t-mobile-uss-recent-unusual-options-activity,2023-01-09 19:32:02,"A whale with a lot of money to spend has taken a noticeably bearish stance on T-Mobile US. Looking at options history for T-Mobile US TMUS we detected 11 strange trades. If we consider the specifics of each trade, it is accurate to state that 9% of the investors opened trades with bullish ...",TMUS,0.716023,0.057527,Neutral
"Amazon And Other Analysts' Favorite Stocks Face-Planted In 2022, Can This Year's Crop Do Better?",https://www.forbes.com/sites/johndorfman/2023/01/09/amazon-and-other-analysts-favorite-stocks-face-planted-in-2022-can-this-years-crop-do-better/,2023-01-09 15:18:26,Here are the stocks analysts love the most as the year begins-and the four they most despise.,TMUS,0.110462,0.108619,Neutral
Verizon shares log best six-day stretch since 2020,https://www.marketwatch.com/story/verizon-shares-log-best-six-day-stretch-since-2020-11673042388,2023-01-06 21:59:00,The new year is bringing new momentum for Verizon Communications Inc.'s stock.,TMUS,0.206685,-0.123614,Neutral
Delta  ( DAL )  to Offer Free Wi-Fi Service on More Flights,https://www.zacks.com/stock/news/2036408/delta-dal-to-offer-free-wi-fi-service-on-more-flights,2023-01-06 18:48:00,"In a bid to make air travel more attractive, Delta (DAL) aims to provide free Wi-Fi service on more U.S. flights.",TMUS,0.236972,0.157067,Somewhat-Bullish
"Qualcomm Satellite Messaging Partnership Likely To Trigger Iridium's Revenue Stream, Analyst Says - Iridium Comms  ( NASDAQ:IRDM ) , Qualcomm  ( NASDAQ:QCOM ) ",https://www.benzinga.com/analyst-ratings/analyst-color/23/01/30313958/qualcomm-satellite-messaging-partnership-likely-to-trigger-iridiums-revenue-stream-,2023-01-06 18:43:29,"Qualcomm Inc QCOM has been the previously unnamed partner in Iridium Communications Inc's IRDM smartphone Technology Development Agreement and Service Provider Agreement. Snapdragon Satellite will be a satellite-based, two-way capable messaging solution for next-generation premium Android ...",TMUS,0.17715,0.12301,Neutral
"Stocks Mostly Higher; Tesla, GE In Focus: Weekly Review",https://www.investors.com/news/stock-market-mostly-higher-amid-jobs-report-tesla-price-cuts-ge-spinoff/,2023-01-06 17:07:00,"Stocks Mostly Higher. Tesla, GE In Focus: Weekly Review Investor's Business Daily ...",TMUS,0.052685,-0.007997,Neutral
"Iridium, Qualcomm To Partner In Satellite-Based Smartphone Text Services",https://www.investors.com/news/technology/iridium-qualcomm-to-partner-in-satellite-based-smartphone-text-services/,2023-01-06 15:24:00,"Iridium, Qualcomm To Partner In Satellite-Based Smartphone Text ... Investor's Business Daily ...",TMUS,0.195025,-0.089388,Neutral
"Top Stories Friday, Jan. 06 - Bed Bath & Beyond  ( NASDAQ:BBBY ) , Salesforce  ( NYSE:CRM ) ",https://www.benzinga.com/general/biotech/23/01/30309715/twitter-hackers-stole-more-than-200m-emails-delta-air-lines-to-offer-free-wi-fi-bed-bath-beyonds-,2023-01-06 13:43:26,"Twitter suffered a data breach in which hackers stole over 200 million email addresses and posted them on an online hacking forum, according to a security researcher. Details of the hacking were shared by Alon Gal, co-founder and CTO of Israeli cybersecurity monitoring firm Hudson Rock in a ...",TMUS,0.089295,0.261282,Somewhat-Bullish
"CES 2023: Delta, T-Mobile bringing free WiFi to flights in February",https://www.marketwatch.com/story/ces-2023-delta-t-mobile-bringing-free-wifi-to-flights-in-february-11672951471,2023-01-06 13:32:00,The initial free service starts Feb. 1 for SkyMiles members.,TMUS,0.316846,0.432952,Bullish
"Free Wi-Fi On Your Next Flight? - Delta Taps T-Mobile To Offer Free Wi-Fi - T-Mobile US  ( NASDAQ:TMUS ) , Delta Air Lines  ( NYSE:DAL ) ",https://www.benzinga.com/news/23/01/30306742/free-wi-fi-on-your-next-flight-delta-taps-t-mobile-to-offer-free-wi-fi,2023-01-06 13:21:57,"Delta Air Lines, Inc DAL shared plans to offer fast, free Wi-Fi in partnership with T-Mobile US, Inc TMUS to all customers on board most domestic mainline flights beginning February 1. Delta will offer the service on more than 700 ViaSat, Inc VSAT-equipped aircraft by the end of 2023.",TMUS,0.282234,0.483208,Bullish
"Jim Cramer Says He's 'Still Feeling Good' About These 5 Stocks From 'Mutilated' Nasdaq - T-Mobile US  ( NASDAQ:TMUS ) , Regeneron Pharmaceuticals  ( NASDAQ:REGN ) ",https://www.benzinga.com/analyst-ratings/analyst-color/23/01/30305723/jim-cramer-says-hes-still-feeling-good-about-these-5-stocks-from-mutilated-nasdaq,2023-01-06 02:42:40,"Prominent market commentator Jim Cramer has recommended five stocks from the Nasdaq Index that he believes could be decent additions to investors' portfolios. ""In an index that's been folded, spindled and mutilated, I am still feeling good about a few of these stocks,"" Cramer said according to a ...",TMUS,0.271274,0.4902,Bullish
"Looking for clues about iPhone supply? Ask AT&T, Verizon and T-Mobile",https://www.marketwatch.com/story/looking-for-clues-about-iphone-supply-ask-at-t-verizon-and-t-mobile-11672959595,2023-01-05 22:59:00,How have iPhone sales have fared in the wake of production constraints on high-end models? Some public companies may have just offered a few clues.,TMUS,0.213048,0.051514,Neutral
T-Mobile US Analysts Cheer Its Preliminary Q4 Subscriber Numbers - T-Mobile US  ( NASDAQ:TMUS ) ,https://www.benzinga.com/analyst-ratings/analyst-color/23/01/30297363/t-mobile-us-analysts-cheer-its-preliminary-q4-subscriber-numbers,2023-01-05 17:57:34,"RBC Capital analyst Kutgun Maral maintained Outperform on T-Mobile US, Inc TMUS with a $166 price target after it shared preliminary 4Q22 subscriber results and provided some color at an investor conference.",TMUS,0.28387,0.243755,Somewhat-Bullish
T-Mobile shares gain after 'solid' subscriber numbers offer upbeat industry signal,https://www.marketwatch.com/story/t-mobile-shares-gain-after-solid-subscriber-numbers-offer-upbeat-industry-signal-11672937425,2023-01-05 16:50:00,Shares of T-Mobile US Inc. were headed higher in Thursday trading after the telecommunications company provided subscriber metrics for its latest quarter.,TMUS,0.262522,-0.011739,Neutral
T-Mobile  ( TMUS )  Registers Record Customer Growth in 2022,https://www.zacks.com/stock/news/2035755/t-mobile-tmus-registers-record-customer-growth-in-2022,2023-01-05 15:43:00,"T-Mobile (TMUS) witnessed a record customer increase in 2022, driven by 5G network strength and a differentiated growth strategy.",TMUS,0.098862,0.100135,Neutral
Consumers Keeping Up With Cellphone Bills Despite Economic Strains,https://www.wsj.com/articles/consumers-keeping-up-with-cellphone-bills-despite-economic-strains-11672924158,2023-01-05 15:00:00,"AT&T isn't seeing ""alarming"" behavior changes, and Verizon says it isn't seeing impact from late payments.",TMUS,0.388879,-0.205958,Somewhat-Bearish
T-Mobile Surpasses Q4 Wireless-Subscriber Estimates - T-Mobile US  ( NASDAQ:TMUS ) ,https://www.benzinga.com/news/23/01/30289347/t-mobile-surpasses-q4-wireless-subscriber-estimates,2023-01-05 11:11:41,"T-Mobile US, Inc TMUS reported preliminary wireless subscriber growth for the fourth quarter that slightly beat analysts' estimates. The second-largest U.S. mobile service provider added 927,000 new phone customers, beating the analyst expectation of 921,000, Bloomberg reports.",TMUS,0.801457,0.093502,Neutral
Utility And Telecom Picks For 2023,https://www.forbes.com/sites/moneyshow/2023/01/04/utility-and-telecom-picks-for-2023/,2023-01-04 21:57:23,"As part of our MoneyShow Top Picks report 2023, we ask the nation's leading financial newsletter advisors to select their favorite ideas for conservative investors and income seekers. Here are 6 such picks that fall within the broad utility and telecom sector.",TMUS,0.05654,0.075035,Neutral
