title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
3 Top Tech Stocks Ready for a Bull Run,https://www.fool.com/investing/2023/01/10/3-top-tech-stocks-ready-for-a-bull-run/,2023-01-10 11:30:00,This trio won't repeat 2022's performance because of their valuations.,TSN,0.060236,0.164024,Somewhat-Bullish
NWA's hot housing market is worthy of watching in 2023,https://www.axios.com/local/nw-arkansas/2023/01/09/hot-housing-market-jobs-economy-2023,2023-01-09 12:20:35,NWA's hot housing market is worthy of watching in ...,TSN,0.172097,0.023844,Neutral
Tyson Foods  ( TSN )  Outpaces Stock Market Gains: What You Should Know,https://www.zacks.com/stock/news/2035417/tyson-foods-tsn-outpaces-stock-market-gains-what-you-should-know,2023-01-04 23:15:17,"Tyson Foods (TSN) closed the most recent trading day at $64.51, moving +1.43% from the previous trading session.",TSN,0.602879,0.326496,Somewhat-Bullish
Insights on the Reduced Salt Food Products Global Market to 2028 - Increased Health Consciousness Throughout Customers Along with the Broad Availability of Products Drives Growth,https://www.benzinga.com/pressreleases/23/01/g30501200/insights-on-the-reduced-salt-food-products-global-market-to-2028-increased-health-consciousness-th,2023-01-20 13:33:39,"Dublin, Jan. 20, 2023 ( GLOBE NEWSWIRE ) -- The ""Global Reduced Salt Food Products Market Size, Share & Industry Trends Analysis Report by Type, Distribution Channel, Regional Outlook and Forecast, 2022-2028"" report has been added to ResearchAndMarkets.com's offering.The Global Reduced Salt Food ...",TSN,0.036255,-0.0066,Neutral
"Tyson, others, lose Oklahoma lawsuit over poultry pollution",https://apnews.com/article/politics-oklahoma-state-government-illinois-tulsa-aaa56f6e60d16a9205bc3730ad1d26ed,2023-01-19 22:14:24,"The Illinois River as seen from Goat's Bluffat the J.T. Nickel Family Nature and Wildlife Preserve, July 18, 2019. The world's largest poultry producer is among nearly a dozen poultry companies that face a March 17th deadline to reach agreement with the state of Oklahoma on how to clean a ...",TSN,0.198493,0.035195,Neutral
"Amy's Kitchen Expands Leadership Team with New Roles -- Supply Chain, HR, Communications and Engineering",https://www.prnewswire.com/news-releases/amys-kitchen-expands-leadership-team-with-new-roles----supply-chain-hr-communications-and-engineering-301725403.html,2023-01-19 15:00:00,Amy's Kitchen Expands Leadership Team with New Roles -- Supply ... PR ...,TSN,0.057767,0.136071,Neutral
"If You Invested $1000 In This Stock 10 Years Ago, You Would Have $2,900 Today",https://www.benzinga.com/news/earnings/23/01/30470987/if-you-invested-1000-in-this-stock-10-years-ago-you-would-have-2-900-today,2023-01-18 20:02:53,"Tyson Foods TSN has outperformed the market over the past 10 years by 1.05% on an annualized basis producing an average annual return of 11.24%. Currently, Tyson Foods has a market capitalization of $22.99 billion.",TSN,0.980595,0.386944,Bullish
Kevin's Natural Foods weighs exit options,https://www.axios.com/pro/retail-deals/2023/01/18/kevins-natural-foods-exit,2023-01-18 16:07:52,"Kevin's Natural Foods, a Modesto, Calif.-based maker of sous-vide entrées, sides, sauces and seasoning blends, is weighing either an IPO or a sale, co-founder Kevin McCray told Axios at the ICR Conference.",TSN,0.130217,0.142377,Neutral
"White River Bancshares Co. Earns $1.42 Million, or $1.42 Per Diluted Share, in Fourth Quarter 2022 and Earns $5.62 Million, or $5.64 Per Diluted Share for the Year; Highlighted By Strong Quarterly Loan and Deposit Growth",https://www.globenewswire.com/news-release/2023/01/18/2591001/0/en/White-River-Bancshares-Co-Earns-1-42-Million-or-1-42-Per-Diluted-Share-in-Fourth-Quarter-2022-and-Earns-5-62-Million-or-5-64-Per-Diluted-Share-for-the-Year-Highlighted-By-Strong-Qu.html,2023-01-18 14:00:00,"FAYETTEVILLE, Ark., Jan. 18, 2023 ( GLOBE NEWSWIRE ) -- White River Bancshares Company ( OTCQX: WRIV ) , ( the ""Company"" ) the holding company for Signature Bank of Arkansas ( the ""Bank"" ) , today reported net income of $1.42 million, or $1.42 per dilute share, in the fourth quarter of 2022, ...",TSN,0.015716,0.116008,Neutral
28 Women Execs in the Food Industry Earn Honors,https://www.benzinga.com/pressreleases/23/01/r30456259/28-women-execs-in-the-food-industry-earn-honors,2023-01-18 09:06:00,"Olathe, KS January 18, 2023 -- ( PR.com ) -- Frozen & Refrigerated Buyer magazine is honoring 28 Frozen & Refrigerated Women Achieving Remarkable Distinction ( FoRWARD ) . Twenty-eight outstanding women executives are being recognized by Frozen & Refrigerated Buyer in its next issue, coming out ...",TSN,0.079656,0.122581,Neutral
