title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"Battery Maker Enovix Hopes To Recharge With New CEO, Strategy",https://www.investors.com/news/technology/enovix-stock-looks-to-regain-investor-confidence/,2023-01-10 17:53:00,Enovix Stock Looks To Regain Investor Confidence Investor's Business Daily ...,TXN,0.114409,0.167092,Somewhat-Bullish
This Top Chip Stock Is Expanding Into EVs -- Is It a Buy for 2023?,https://www.fool.com/investing/2023/01/10/top-chip-stock-expanding-into-evs-is-it-buy-2023/,2023-01-10 15:49:41,Skyworks Solutions is starting small but growing fast in the electric vehicle market.,TXN,0.050894,0.181389,Somewhat-Bullish
Sona Comstar gains on acquiring Serbian sensors-maker NOVELIC,https://www.business-standard.com/article/news-cm/sona-comstar-gains-on-acquiring-serbian-sensors-maker-novelic-123011000210_1.html,2023-01-10 04:01:00,Sona BLW Precision Forgings advanced 3.27% to Rs 436.30 after the company announced the signing of an agreement to acquire a 54% equity stake in sensors and software maker NOVELIC for euro 40.5 million.,TXN,0.066047,0.125247,Neutral
Texas Instruments  ( TXN )  Gains As Market Dips: What You Should Know,https://www.zacks.com/stock/news/2036995/texas-instruments-txn-gains-as-market-dips-what-you-should-know,2023-01-09 22:50:23,"In the latest trading session, Texas Instruments (TXN) closed at $176.68, marking a +0.87% move from the previous day.",TXN,0.636698,0.105138,Neutral
Looking At Texas Instruments's Recent Unusual Options Activity - Texas Instruments  ( NASDAQ:TXN ) ,https://www.benzinga.com/markets/options/23/01/30337547/looking-at-texas-instrumentss-recent-unusual-options-activity,2023-01-09 17:33:24,"Someone with a lot of money to spend has taken a bearish stance on Texas Instruments TXN. We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga. Whether this is an institution or just a wealthy individual, we don't know.",TXN,0.701476,0.164621,Somewhat-Bullish
"Compound semiconductor market 2023-2027. A descriptive analysis of parent market, five forces model, market dynamics, and segmentation - Technavio",https://www.prnewswire.com/news-releases/compound-semiconductor-market-2023-2027-a-descriptive-analysis-of-parent-market-five-forces-model-market-dynamics-and-segmentation---technavio-301714282.html,2023-01-09 16:30:00,Compound semiconductor market 2023-2027. A descriptive analysis ... PR ...,TXN,0.077218,0.068794,Neutral
"Touch controller IC market: Growth opportunities led by Analog Devices Inc, Apex Material Technology Corp, Cirque Corp - Technavio",https://www.prnewswire.com/news-releases/touch-controller-ic-market-growth-opportunities-led-by-analog-devices-inc-apex-material-technology-corp-cirque-corp---technavio-301714246.html,2023-01-09 12:30:00,Touch controller IC market: Growth opportunities led by Analog ... PR ...,TXN,0.031159,0.087164,Neutral
"Sona Comstar acquires majority stake in Serbia's Novelic for 40.5 million euro, will strengthen ADAS capabilities | The Financial Express",https://www.financialexpress.com/express-mobility/components/sona-comstar-acquires-majority-stake-in-serbias-novelic-for-40-5-million-euro-will-strengthen-adas-capabilities/2941478/,2023-01-09 12:13:10,"Sona Comstar acquires majority stake in Serbia's Novelic for 40.5 million euro, will strengthen ADAS capabilities The Financial Express ...",TXN,0.045224,0.072652,Neutral
How to Invest in Tech ETFs,https://www.fool.com/investing/stock-market/market-sectors/information-technology/tech-etfs/,2023-01-06 22:53:43,Here's how to get tech exposure without the single-stock risk.,TXN,0.03453,0.059577,Neutral
onsemi  ( ON )  New SiC Modules Selected for Hyundai Motors EV,https://www.zacks.com/stock/news/2035756/onsemi-on-new-sic-modules-selected-for-hyundai-motors-ev,2023-01-05 15:44:00,onsemi (ON) Elite SiC modules will boost the performance of Hyundai and Kia's electric vehicles.,TXN,0.190417,0.3399,Somewhat-Bullish
Texas Instruments  ( TXN )  Boosts EV Prospects With New Monitors,https://www.zacks.com/stock/news/2035675/texas-instruments-txn-boosts-ev-prospects-with-new-monitors,2023-01-05 14:34:00,"Texas Instruments (TXN) rolls out a battery cell monitor and a battery pack monitor, which are designed to maximize the drive time of an EV and ensure safer operation.",TXN,0.553082,0.430191,Bullish
