title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
TXT vs. EADSY: Which Stock Should Value Investors Buy Now?,https://www.zacks.com/stock/news/2218100/txt-vs-eadsy-which-stock-should-value-investors-buy-now,2024-01-30 16:40:12,TXT vs. EADSY: Which Stock Is the Better Value Option?,TXT,0.731515,0.634705,Bullish
Is Safran  ( SAFRY )  Stock Outpacing Its Aerospace Peers This Year?,https://www.zacks.com/stock/news/2217932/is-safran-safry-stock-outpacing-its-aerospace-peers-this-year,2024-01-30 14:40:06,Here is how Safran SA (SAFRY) and Textron (TXT) have performed compared to their sector so far this year.,TXT,0.417995,0.178524,Somewhat-Bullish
This Top Aerospace Stock is a #1  ( Strong Buy ) : Why It Should Be on Your Radar,https://www.zacks.com/stock/news/2217790/this-top-aerospace-stock-is-a-strong-buy-why-it-should-be-on-your-radar,2024-01-30 14:00:03,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Rank.",TXT,0.314246,0.256031,Somewhat-Bullish
Best Growth Stocks to Buy for January 30th,https://www.zacks.com/commentary/2217578/best-growth-stocks-to-buy-for-january-30th,2024-01-30 10:05:00,"ENS, AZZ and TXT made it to the Zacks Rank #1 (Strong Buy) growth stocks list on January 30, 2024.",TXT,0.87744,0.074376,Neutral
Textron  ( NYSE:TXT )  Lifted to Strong-Buy at StockNews.com,https://www.defenseworld.net/2024/01/28/textron-nysetxt-lifted-to-strong-buy-at-stocknews-com.html,2024-01-28 09:06:46,StockNews.com upgraded shares of Textron ( NYSE:TXT - Free Report ) from a buy rating to a strong-buy rating in a research note released on Thursday morning. A number of other equities research analysts have also weighed in on the company.,TXT,0.887383,0.473725,Bullish
"Stocks Rally Amid Big Earnings, Economic Data: Weekly Review",https://www.investors.com/news/stock-market-continues-to-rally-asml-netflix-tesla-intel-are-big-earnings-movers-weekly-review/,2024-01-26 17:29:00,"Stock Market Continues To Rally. ASML, Netflix, Tesla, Intel Are Big Earnings Movers: Weekly Review Investor's Business Daily ...",TXT,0.040212,0.202956,Somewhat-Bullish
Archer  ( ACHR )  Partners NASA to Study eVTOL Technologies,https://www.zacks.com/stock/news/2216444/archer-achr-partners-nasa-to-study-evtol-technologies,2024-01-26 14:15:00,Archer Aviation's (ACHR) latest partnership with NASA will help expand its presence in the advanced air mobility market.,TXT,0.208166,0.057272,Neutral
"L3Harris  ( LHX )  Q4 Earnings Beat, Revenues Increase Y/Y",https://www.zacks.com/stock/news/2216308/l3harris-lhx-q4-earnings-beat-revenues-increase-yy,2024-01-26 11:21:00,"L3Harris' (LHX) fourth-quarter revenues of $5,340 million beats the Zacks Consensus Estimate by 0.9%. The figure also rises 17% from the year-ago quarter's level.",TXT,0.103331,0.141874,Neutral
"Northrop's  ( NOC )  Q4 Earnings Beat Estimates, Sales Up Y/Y",https://www.zacks.com/stock/news/2215911/northrops-noc-q4-earnings-beat-estimates-sales-up-yy,2024-01-25 15:18:00,Northrop Grumman's (NOC) Q4 earnings and sales surpass estimates. The company holds a solid order backlog and issues strong 2024 sales guidance.,TXT,0.149038,0.090056,Neutral
"Hexcel  ( HXL )  Q4 Earnings Miss Estimates, Sales Rise Y/Y",https://www.zacks.com/stock/news/2215583/hexcel-hxl-q4-earnings-miss-estimates-sales-rise-yy,2024-01-25 12:58:00,Hexcel's (HXL) Q4 earnings and sales improve year-over-year. It expects to generate free cash flow of more than $200 million in 2024.,TXT,0.166551,0.096714,Neutral
