title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
WIT or TYL: Which Is the Better Value Stock Right Now?,https://www.zacks.com/stock/news/2218103/wit-or-tyl-which-is-the-better-value-stock-right-now,2024-01-30 16:40:11,WIT vs. TYL: Which Stock Is the Better Value Option?,TYL,0.666827,0.496819,Bullish
Stock Upgrades: Tyler Technologies Shows Rising Relative Strength,https://www.investors.com/ibd-data-stories/stock-upgrades-tyler-technologies-shows-rising-relative-strength-4/,2024-01-18 08:00:00,"On Thursday, Tyler Technologies ( TYL ) received a positive adjustment to its Relative Strength ( RS ) Rating, from 77 to 81. X When looking for the best stocks to buy and watch, keep a close on eye on relative price strength.",TYL,0.504646,0.177536,Somewhat-Bullish
Tyler's  ( TYL )  Solution to Streamline Rhode Island DBR Operations,https://www.zacks.com/stock/news/2211317/tylers-tyl-solution-to-streamline-rhode-island-dbr-operations,2024-01-17 13:40:00,The deployment of Tyler's (TYL) State Regulatory Platform suite is likely to help Rhode Island DBR regulators automate key processes and enhance their efficiency.,TYL,0.295155,0.271113,Somewhat-Bullish
Tyler Technologies Scores Relative Strength Rating Upgrade; Hits Key Threshold,https://www.investors.com/ibd-data-stories/tyler-technologies-scores-relative-strength-rating-upgrade-hits-key-threshold/,2024-01-16 08:00:00,Tyler Technologies Scores Relative Strength Rating Upgrade. Hits Key Threshold Investor's Business Daily ...,TYL,0.618922,0.563465,Bullish
WIT vs. TYL: Which Stock Is the Better Value Option?,https://www.zacks.com/stock/news/2207099/wit-vs-tyl-which-stock-is-the-better-value-option,2024-01-08 16:40:10,Investors with an interest in Business - Software Services stocks have likely encountered both Wipro Limited ( WIT Quick QuoteWIT - ) and Tyler Technologies ( TYL Quick QuoteTYL - ) . But which of these two stocks presents investors with the better value opportunity right now?,TYL,0.678673,0.619341,Bullish
"Kentucky Gov Beshear Wants To Add Glaucoma, AIDS And 13 More Conditions To Medical Marijuana Program",https://www.benzinga.com/markets/cannabis/24/01/36508539/kentucky-gov-beshear-wants-to-add-glaucoma-aids-and-13-more-conditions-to-medical-marijuana-prog,2024-01-05 13:09:53,"Governor Andy Beshear ( D ) announced Thursday during this Team Kentucky update that he would like to expand medical marijuana access. In March 2023, Kentucky became the 38th state in the nation to enable access to medical marijuana for patients with debilitating conditions when Beshear ...",TYL,0.100729,0.178448,Somewhat-Bullish
Tyler  ( TYL )  Transforms Wyoming State Parks' Booking Experience,https://www.zacks.com/stock/news/2205537/tyler-tyl-transforms-wyoming-state-parks-booking-experience,2024-01-04 13:32:00,"Powered by Tyler's (TYL) recreation management software, Wyoming State Parks' newly revamped reservation platform promises convenience and an enriched camping experience.",TYL,0.2842,0.167487,Somewhat-Bullish
Tyler  ( TYL )  & NY Police Team Up for Firearm Background Check,https://www.zacks.com/stock/news/2201239/tyler-tyl-ny-police-team-up-for-firearm-background-check,2023-12-21 19:21:00,"Tyler (TYL) implements State Firearm Point of Contact Background Check solution for the New York State Police, aligning with the 2022 gun-safety legislation in New York.",TYL,0.167709,0.083178,Neutral
Government Open Data Management Platform Market to grow by USD 96.48 million from 2023 to 2028 | Process ... - PR Newswire,https://www.prnewswire.com/news-releases/government-open-data-management-platform-market-to-grow-by-usd-96-48-million-from-2023-to-2028--process-optimization-and-operational-efficiency-drives-the-market---technavio-302018081.html,2023-12-19 08:15:00,Government Open Data Management Platform Market to grow by USD 96.48 million from 2023 to 2028 | Process ... PR ...,TYL,0.032338,0.0,Neutral
Sell Alert: JOHN MARR JR Cashes Out $2.84M In Tyler Technologies Stock - Tyler Technologies  ( NYSE:TYL ) ,https://www.benzinga.com/news/23/12/36238745/sell-alert-john-marr-jr-cashes-out-2-84m-in-tyler-technologies-stock,2023-12-14 15:04:11,"Revealing a significant insider sell on December 13, JOHN MARR JR, Executive Chairman at Tyler Technologies TYL, as per the latest SEC filing. What Happened: A Form 4 filing from the U.S. Securities and Exchange Commission on Wednesday showed that JR sold 7,000 shares of Tyler Technologies.",TYL,0.307731,0.197658,Somewhat-Bullish
"JOHN MARR JR Takes Money Off The Table, Sells $2.66M In Tyler Technologies Stock - Tyler Technologies  ( NYSE:TYL ) ",https://www.benzinga.com/news/23/12/36135304/john-marr-jr-takes-money-off-the-table-sells-2-66m-in-tyler-technologies-stock,2023-12-07 15:03:42,"It was reported on December 6, that JOHN MARR JR, Executive Chairman at Tyler Technologies TYL executed a significant insider sell, according to an SEC filing. What Happened: JR opted to sell 6,500 shares of Tyler Technologies, according to a Form 4 filing with the U.S.",TYL,0.305437,0.213475,Somewhat-Bullish
Tyler  ( TYL )  Workforce Suite Sees Growing Adoption by Fed Agencies,https://www.zacks.com/stock/news/2194636/tyler-tyl-workforce-suite-sees-growing-adoption-by-fed-agencies,2023-12-07 13:04:00,"Tyler (TYL) witnesses the increased adoption of its Workforce Case Management suite as federal agencies continue to ensure they have the right systems to promote diversity, equity, inclusion and accessibility in the federal workforce.",TYL,0.368773,0.342154,Somewhat-Bullish
