title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Sally Beauty  ( SBH )  Q1 Earnings Coming Up: Factors to Note,https://www.zacks.com/stock/news/2218209/sally-beauty-sbh-q1-earnings-coming-up-factors-to-note,2024-01-30 18:06:00,Sally Beauty's (SBH) first-quarter fiscal 2024 performance will likely reflect the adverse impact of soft customer traffic and inflationary headwinds.,ULTA,0.185781,0.163904,Somewhat-Bullish
Why Ulta Beauty  ( ULTA )  is a Top Stock for the Long-Term,https://www.zacks.com/stock/news/2217889/why-ulta-beauty-ulta-is-a-top-stock-for-the-long-term,2024-01-30 14:30:05,"Finding strong, market-beating stocks with a positive earnings outlook becomes easier with the Focus List, a top feature of the Zacks Premium portfolio service.",ULTA,0.256989,0.310463,Somewhat-Bullish
Stock Upgrades: Ulta Beauty Shows Rising Relative Strength,https://www.investors.com/ibd-data-stories/stock-upgrades-ulta-beauty-shows-rising-relative-strength-2/,2024-01-30 08:00:00,"On Tuesday, Ulta Beauty ( ULTA ) received a positive adjustment to its Relative Strength ( RS ) Rating, from 69 to 74. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength. IBD's unique rating tracks price action with a 1 ( worst ) to 99 ...",ULTA,0.798255,0.663142,Bullish
Skechers  ( SKX )  Gears Up for Q4 Earnings: What Lies Ahead?,https://www.zacks.com/stock/news/2217275/skechers-skx-gears-up-for-q4-earnings-what-lies-ahead,2024-01-29 15:59:00,"Skechers' (SKX) Q4 results are expected to reflect robust growth, driven by DTC and international sales, along with effective operating cost management, indicating positive revenue and earnings prospects.",ULTA,0.147516,0.135774,Neutral
Factors Likely to Influence Deckers'  ( DECK )  Q3 Earnings,https://www.zacks.com/stock/news/2217090/factors-likely-to-influence-deckers-deck-q3-earnings,2024-01-29 14:23:00,Deckers' (DECK) third-quarter fiscal 2024 results are likely to reflect strength in the HOKA ONE ONE brand.,ULTA,0.161349,0.172793,Somewhat-Bullish
Ulta Beauty  ( ULTA )  Rises As Market Takes a Dip: Key Facts,https://www.zacks.com/stock/news/2216711/ulta-beauty-ulta-rises-as-market-takes-a-dip-key-facts,2024-01-26 23:15:17,"In the closing of the recent trading day, Ulta Beauty (ULTA) stood at $493.59, denoting a +0.08% change from the preceding trading day.",ULTA,0.470894,0.349848,Somewhat-Bullish
New Chair Appointed and Two New Directors Join LIM College Board,https://www.prnewswire.com/news-releases/new-chair-appointed-and-two-new-directors-join-lim-college-board-302045022.html,2024-01-26 13:00:00,"NEW YORK, Jan. 26, 2024 /PRNewswire/ -- LIM College today announced the appointment of a new Chair and the addition of two new members to its Board of Directors. Patty Farmer, currently Vice Chair of the LIM College Board of Directors, has been appointed Chair. She succeeds William Borner.",ULTA,0.050679,0.133325,Neutral
"Zacks Market Edge Highlights: NVDA, MSFT, SMCI, TSCO and ULTA",https://www.zacks.com/stock/news/2216292/zacks-market-edge-highlights-nvda-msft-smci-tsco-and-ulta,2024-01-26 11:00:00,"NVDA, MSFT, SMCI, TSCO and ULTA have been highlighted in this Market Edge article.",ULTA,0.382925,0.264846,Somewhat-Bullish
"Zacks Industry Outlook Highlights Ulta Beauty, Five Below, Arhaus and Sally Beauty",https://www.zacks.com/stock/news/2216296/zacks-industry-outlook-highlights-ulta-beauty-five-below-arhaus-and-sally-beauty,2024-01-26 11:00:00,"Ulta Beauty, Five Below, Arhaus and Sally Beauty have been highlighted in this Industry Outlook article.",ULTA,0.1331,0.213378,Somewhat-Bullish
What If You Only Buy the Magnificent 7 Stocks?,https://www.zacks.com/stock/news/2216062/what-if-you-only-buy-the-magnificent-7-stocks,2024-01-25 17:32:00,Many of these 7 big cap tech stocks are soaring. Should you just own them and nothing else?,ULTA,0.412619,0.278764,Somewhat-Bullish
4 Retail-Miscellaneous Stocks With Potential to Beat Industry Blues,https://www.zacks.com/commentary/2215554/4-retail-miscellaneous-stocks-with-potential-to-beat-industry-blues,2024-01-25 13:05:00,"While challenges prevail in the Retail - Miscellaneous industry, players such as Ulta Beauty (ULTA), Five Below (FIVE), Arhaus (ARHS) and Sally Beauty (SBH) look well-poised due to their business operating model and prospects.",ULTA,0.110209,0.277048,Somewhat-Bullish
MarineMax  ( HZO )  to Post Q1 Earnings: Key Factors to Note,https://www.zacks.com/stock/news/2214311/marinemax-hzo-to-post-q1-earnings-key-factors-to-note,2024-01-23 15:28:00,"MarineMax's (HZO) focus on customer experience, technological innovation and strategic acquisitions are likely to have driven its Q1 top-line performance.",ULTA,0.172507,0.173652,Somewhat-Bullish
Boot Barn Holdings  ( BOOT )  to Post Q3 Earnings: What's in Store?,https://www.zacks.com/stock/news/2214245/boot-barn-holdings-boot-to-post-q3-earnings-whats-in-store,2024-01-23 14:58:00,"Boot Barn's (BOOT) third-quarter results are likely to reflect solid omnichannel initiatives, strength in merchandising strategies, customer gains and store growth.",ULTA,0.179343,0.185513,Somewhat-Bullish
Jim Cramer Examines The Market's Trends And 'Phenomenal' Performance Ahead of Earnings Report: 'Can This Market Keep This Up? Only If We Still Have Plenty Of People Out There Badmouthing The Market',https://www.benzinga.com/general/24/01/36735236/jim-cramer-examines-the-markets-trends-and-phenomenal-performance-ahead-of-earnings-report-can-this,2024-01-23 13:00:10,"Despite various global challenges, including geopolitical tensions and economic concerns, the stock market has shown remarkable resilience. During his Jan. 19 ""Mad Money"" show, host Jim Cramer noted that the Dow Jones rose 395 points, the S&P surged 1.2% and the Nasdaq Stock Exchange was up 1.7%",ULTA,0.09186,0.280804,Somewhat-Bullish
"Daily Cleansing Cream Market is Projected to Reach US$4.4 Billion by 2030, Registering a CAGR of 6% | Persistence Market Research",https://www.benzinga.com/pressreleases/24/01/g36732001/daily-cleansing-cream-market-is-projected-to-reach-us-4-4-billion-by-2030-registering-a-cagr-of-6-,2024-01-23 08:15:00,"New York, Jan. 23, 2024 ( GLOBE NEWSWIRE ) -- Market Overview: The Daily Cleansing Cream Market is a thriving segment within the broader skincare industry. Daily cleansing creams are skincare products designed to gently remove impurities, makeup, and excess oils from the skin, leaving it ...",ULTA,0.018285,0.255401,Somewhat-Bullish
"Have $1,100? These 3 Stocks Could Be Bargains for 2024 and Beyond",https://www.fool.com/investing/2024/01/22/have-1100-these-3-stocks-could-be-bargains-for/,2024-01-22 08:45:00,Their stock price trends haven't kept pace with their strong operating results.,ULTA,0.12645,-0.017145,Neutral
"Venture funds eye recovery in 2024, but capital remains tight",https://cointelegraph.com/news/venture-funds-eye-recovery-2024-capital-remains-tight,2024-01-20 21:04:34,"Investors are focusing on more liquid, growth-ready startup opportunities as crypto venture capital continues to recover.",ULTA,0.085324,0.045741,Neutral
Check Out What Whales Are Doing With ULTA - Ulta Beauty  ( NASDAQ:ULTA ) ,https://www.benzinga.com/insights/options/24/01/36701172/check-out-what-whales-are-doing-with-ulta,2024-01-19 20:15:46,"Whales with a lot of money to spend have taken a noticeably bearish stance on Ulta Beauty. Looking at options history for Ulta Beauty ULTA we detected 8 trades. If we consider the specifics of each trade, it is accurate to state that 25% of the investors opened trades with bullish expectations ...",ULTA,0.626443,0.187852,Somewhat-Bullish
Here's Why Target  ( TGT )  Could Be a Promising Pick for 2024,https://www.zacks.com/stock/news/2212234/heres-why-target-tgt-could-be-a-promising-pick-for-2024,2024-01-18 15:37:00,"Consumers have been opting for Target (TGT) for its multi-category assortment of owned and national brands, reasonable pricing and accessibility.",ULTA,0.050572,0.203894,Somewhat-Bullish
Should Invesco NASDAQ Next Gen 100 ETF  ( QQQJ )  Be on Your Investing Radar?,https://www.zacks.com/stock/news/2211878/should-invesco-nasdaq-next-gen-100-etf-qqqj-be-on-your-investing-radar,2024-01-18 11:20:05,Style Box ETF report for ...,ULTA,0.12165,0.061318,Neutral
Ulta Beauty  ( ULTA )  Up on Omni-channel Strength & Skincare Sales,https://www.zacks.com/stock/news/2211589/ulta-beauty-ulta-up-on-omni-channel-strength-skincare-sales,2024-01-17 16:56:00,Ulta Beauty (ULTA) continues to invest in enhancing guest experience in all touch points. A positive view of the beauty space is keeping the company well-positioned.,ULTA,0.29887,0.61424,Bullish
3 Stocks to Buy While They Are on Sale,https://www.fool.com/investing/2024/01/13/3-stocks-to-buy-while-they-are-on-sale/,2024-01-13 13:05:00,Discounts have become harder to find on the stock market lately.,ULTA,0.142144,0.198306,Somewhat-Bullish
cosnova's Rapid Rise: Sales Doubled in Three Years as Company Enters Its Third Decade,https://www.prnewswire.com/news-releases/cosnovas-rapid-rise-sales-doubled-in-three-years-as-company-enters-its-third-decade-302032036.html,2024-01-11 14:00:00,"With 2023 net sales of 817 million euros ( 890 million USD ) ( cosnova Group ) , the family-owned company remains an accelerator of growth in the color cosmetics market, aspiring to join the top 5 global industry leaders.",ULTA,0.03642,0.204226,Somewhat-Bullish
Beauty And This  ( Growth )  Beast: How ELF Stock Is Betting TikTok Will Drive A 133% EPS Jump,https://www.investors.com/research/the-new-america/elf-stock-this-disruptive-cosmetics-company-is-betting-tiktok-will-drive-a-133-eps/,2024-01-10 13:00:00,"If beauty is in the eye of the stock beholder, then investors surely are turning their gaze to fast-growing cosmetics player ELF Beauty ( ELF ) . Fueled by business from Gen Z and millennials, ELF stock has ballooned 800% on earnings growth of more than 360% since it went public more than seven ...",ULTA,0.083059,0.118636,Neutral
Nvidia And Spotify Lead Five Stocks Near Buy Points,https://www.investors.com/news/nvidia-spotify-lead-five-stocks-near-buy-points/,2024-01-06 16:12:00,"Nvidia ( NVDA ) , one of the Magnificent Seven stocks, and digital audio streaming leader Spotify ( SPOT ) head this weekend's watchlist of stocks near buy points.",ULTA,0.060236,0.173176,Somewhat-Bullish
Ulta Beauty's  ( ULTA )  Strategies Position it for Growth in 2024,https://www.zacks.com/stock/news/2206474/ulta-beautys-ulta-strategies-position-it-for-growth-in-2024,2024-01-05 17:18:00,Ulta Beauty (ULTA) is striking the right balance between growth across online and offline sales channel. The company is benefiting from healthy traffic trends.,ULTA,0.361501,0.522436,Bullish
"VC roundup: blockchain storage, rollups, and Bitcoin rewards draw investors",https://cointelegraph.com/news/vc-roundup-blockchain-storage-rollups-bitcoin-rewards-investors,2024-01-03 20:45:00,"Lolli, NodeKit, and Cumulus Encrypted Storage System are among the latest startups to receive venture capital funding.",ULTA,0.050679,0.138677,Neutral
FIRELIGHT CAPITAL PARTNERS ANNOUNCES ACQUISITION OF FROMM INTERNATIONAL,https://www.prnewswire.com/news-releases/firelight-capital-partners-announces-acquisition-of-fromm-international-302025526.html,2024-01-03 17:41:00,Its First Platform Investment in Beauty; Martin Okner Appointed CEO,ULTA,0.044551,0.194779,Somewhat-Bullish
"Holiday Showdown: Black Friday Reigns Over Christmas As Top Brands Steal the Shopping Spotlight - Williams-Sonoma  ( NYSE:WSM ) , Lululemon Athletica  ( NASDAQ:LULU ) , Lvmh Moet Hennessy Louis  ( OTC:LVMHF ) , Best Buy Co  ( NYSE:BBY ) ",https://www.benzinga.com/analyst-ratings/analyst-color/24/01/36455853/holiday-showdown-black-friday-reigns-over-christmas-as-top-brands-steal-the-shoppin,2024-01-02 18:54:04,"Telsey Advisory Group analyst Dana Telsey presented a brand performance study on the Christmas vs. Black Friday holiday by revisiting the Google Trends insights from Black Friday, with many initial findings holding over the extended holiday period.",ULTA,0.200688,0.321229,Somewhat-Bullish
"If You Invested $100 In This Stock 10 Years Ago, You Would Have $3,700 Today - Ulta Beauty  ( NASDAQ:ULTA ) ",https://www.benzinga.com/news/24/01/36443592/if-you-invested-100-in-this-stock-10-years-ago-you-would-have-3-700-today,2024-01-01 14:01:26,"Ulta Beauty ULTA has outperformed the market over the past 10 years by 33.43% on an annualized basis producing an average annual return of 43.42%. Currently, Ulta Beauty has a market capitalization of $23.75 billion.",ULTA,0.980595,0.386944,Bullish
Earnings Growth & Price Strength Make Ulta Beauty  ( ULTA )  a Stock to Watch,https://www.zacks.com/stock/news/2203659/earnings-growth-price-strength-make-ulta-beauty-ulta-a-stock-to-watch,2023-12-29 14:30:06,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Focus List.",ULTA,0.263942,0.320405,Somewhat-Bullish
Ulta Beauty Unusual Options Activity - Ulta Beauty  ( NASDAQ:ULTA ) ,https://www.benzinga.com/markets/options/23/12/36390548/ulta-beauty-unusual-options-activity,2023-12-26 20:45:39,"Financial giants have made a conspicuous bullish move on Ulta Beauty. Our analysis of options history for Ulta Beauty ULTA revealed 9 unusual trades. Delving into the details, we found 55% of traders were bullish, while 44% showed bearish tendencies.",ULTA,0.845475,0.229244,Somewhat-Bullish
Warby Parker Shows Improved Relative Price Performance; Still Shy Of Benchmark,https://www.investors.com/ibd-data-stories/warby-parker-shows-improved-relative-price-performance-still-shy-of-benchmark/,2023-12-22 08:00:00,Warby Parker Shows Improved Relative Price Performance. Still Shy Of Benchmark Investor's Business Daily ...,ULTA,0.343279,0.0,Neutral
Unpacking the Latest Options Trading Trends in Ulta Beauty - Ulta Beauty  ( NASDAQ:ULTA ) ,https://www.benzinga.com/markets/options/23/12/36351175/unpacking-the-latest-options-trading-trends-in-ulta-beauty,2023-12-21 20:01:26,"Investors with a lot of money to spend have taken a bearish stance on Ulta Beauty ULTA. We noticed this today when the trades showed up on publicly available options history that we track here at Benzinga. Whether these are institutions or just wealthy individuals, we don't know.",ULTA,0.74725,0.104663,Neutral
ELF Stock Hits A High As Profit Growth Tops 128%,https://www.investors.com/research/elf-stock-hits-a-high-as-profit-growth-tops/,2023-12-21 18:09:00,"ELF Beauty ( ELF ) is Thursday's pick for the IBD 50 Growth Stocks To Watch as the beauty products maker is in buy territory. ELF stock is in the 5% buy zone of a cup base, and hit a new high Wednesday before retreating amid the market sell-off.",ULTA,0.132733,0.030515,Neutral
Sally Beauty Shows Rising Price Performance With Jump To 84 RS Rating,https://www.investors.com/ibd-data-stories/sally-beauty-shows-rising-price-performance-with-jump-to-84-rs-rating/,2023-12-20 08:00:00,"One important metric to look for in a stock is an 80 or higher Relative Strength Rating. Sally Beauty ( SBH ) cleared that benchmark Wednesday, with a jump from 80 to 84 Wednesday. When you're researching the best stocks to buy and watch, keep a close on eye on relative price strength.",ULTA,0.343279,0.0,Neutral
Dyson Airwrap Sale: Save 20% At Ulta Beauty,https://www.forbes.com/sites/forbes-personal-shopper/2023/12/19/dyson-airwrap-sale/,2023-12-19 23:51:35,"The Dyson Airwrap is one of the most raved about beauty products on TikTok-but it's also one of the most expensive. So when a Dyson Airwrap sale rolls around, it's best to take advantage ( especially if you're shopping for a beauty lover ahead of the holidays ) .",ULTA,0.068896,0.194689,Somewhat-Bullish
Why Ulta Beauty  ( ULTA )  is a Top Stock for the Long-Term,https://www.zacks.com/stock/news/2199367/why-ulta-beauty-ulta-is-a-top-stock-for-the-long-term,2023-12-18 14:30:06,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Focus List.",ULTA,0.255641,0.314551,Somewhat-Bullish
Check Off Your Holiday Shopping List With These 40 Christmas Deals,https://www.forbes.com/sites/forbes-personal-shopper/2023/12/14/christmas-deals/,2023-12-15 01:34:34,"The holidays are upon us ( we know, we're not sure how it happened so fast either ) . If you're still working through your shopping list, there are tons of Christmas deals worth checking out right now.",ULTA,0.029654,0.23254,Somewhat-Bullish
Ulta Beauty  ( ULTA )  Up on Omni-Channel Growth & Skincare Sales,https://www.zacks.com/stock/news/2197516/ulta-beauty-ulta-up-on-omni-channel-growth-skincare-sales,2023-12-13 17:02:00,"Ulta Beauty (ULTA) is benefiting from healthy traffic trends, greater brand awareness and the expansion of its loyalty program. However, higher supply-chain costs are a headwind.",ULTA,0.270373,0.467102,Bullish
Retail's Year in Review,https://www.fool.com/investing/2023/12/13/retails-year-in-review/,2023-12-13 14:28:00,"The key word for retail in 2022 was ""inventory."" This year, it's ""shrink."" ...",ULTA,0.011243,0.076324,Neutral
Decoding Ulta Beauty's Options Activity: What's the Big Picture? - Ulta Beauty  ( NASDAQ:ULTA ) ,https://www.benzinga.com/markets/options/23/12/36202298/decoding-ulta-beautys-options-activity-whats-the-big-picture,2023-12-12 17:16:12,"Whales with a lot of money to spend have taken a noticeably bearish stance on Ulta Beauty. Looking at options history for Ulta Beauty ULTA we detected 12 trades. If we consider the specifics of each trade, it is accurate to state that 41% of the investors opened trades with bullish expectations ...",ULTA,0.783955,0.274706,Somewhat-Bullish
"$100 Invested In This Stock 15 Years Ago Would Be Worth $5,300 Today - Ulta Beauty  ( NASDAQ:ULTA ) ",https://www.benzinga.com/news/23/12/36155999/100-invested-in-this-stock-15-years-ago-would-be-worth-5-300-today,2023-12-08 16:30:36,"Ulta Beauty ULTA has outperformed the market over the past 15 years by 18.78% on an annualized basis producing an average annual return of 30.43%. Currently, Ulta Beauty has a market capitalization of $23.54 billion.",ULTA,0.980595,0.386944,Bullish
ELF Beauty Looks Attractive To Investors,https://www.investors.com/stock-lists/sector-leaders/elf-stock-beauty-company-turns-heads-with-its-results/,2023-12-08 14:42:00,ELF Stock: Beauty Company Turns Heads With Its Results Investor's Business Daily ...,ULTA,0.146025,0.178425,Somewhat-Bullish
3 Beautiful New Reasons to Buy Ulta Stock,https://www.fool.com/investing/2023/12/08/3-beautiful-new-reasons-to-buy-ulta-stock/,2023-12-08 14:37:00,The beauty products retailer had some good news for investors in its latest update.,ULTA,0.484408,0.560859,Bullish
The 27 Best Christmas Deals To Help You Check Off Your Holiday Shopping List,https://www.forbes.com/sites/forbes-personal-shopper/2023/12/07/the-27-best-christmas-deals-to-help-you-check-off-your-holiday-shopping-list/,2023-12-07 20:31:19,Best Christmas Deals 2023 Forbes ...,ULTA,0.046006,0.261481,Somewhat-Bullish
Retail group pulls back on claim organized retail crime accounts for nearly half of inventory loss,https://apnews.com/article/national-retail-federation-organized-retail-crime-data-fa38e4e3d7e9d2b7b4e8dd7e6fed81e1,2023-12-07 20:12:37,"NEW YORK ( AP ) - The National Retail Federation, the nation's largest retail trade group, has revised a report released in April that pulls back the claim that organized retail crime accounts for nearly half of overall industry shrink, which measures overall loss in inventory, including theft.",ULTA,0.057767,-0.075204,Neutral
Ulta Beauty Stock Meets 80-Plus Relative Strength Rating Benchmark,https://www.investors.com/news/ulta-beauty-meets-80-plus-relative-strength-rating-benchmark-2/,2023-12-07 15:37:00,"On Thursday, Ulta Beauty ( ULTA ) got an upgrade to its Relative Strength ( RS ) Rating, from 79 to 84. As you try to find the best stocks to buy and watch, keep a close on eye on relative price strength. This exclusive rating from Investor's Business Daily measures market leadership with a ...",ULTA,0.369685,0.11218,Neutral
"Betting Against An Overbought Retailer--This One Is Up More Than 150% Since It Missed Earnings Last Quarter - Farfetch  ( NYSE:FTCH ) , Dollar Tree  ( NASDAQ:DLTR ) ",https://www.benzinga.com/markets/penny-stocks/23/12/36135814/betting-against-an-overbought-retailer-this-one-is-up-more-than-150-since-it-missed-earnings,2023-12-07 15:20:45,"That was our first thought when we saw that shares of a retailer had more than doubled in price since it missed earnings last quarter, ostensibly because one of its competitors was bought out.",ULTA,0.151222,0.15445,Somewhat-Bullish
