title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
A Fresh Face-Off on the Market Cap Game Show,https://www.fool.com/investing/2023/01/07/a-fresh-face-off-on-the-market-cap-game-show/,2023-01-07 16:43:00,"A market cap game with the ""Rule Breaker Investing"" podcast.",UNP,0.003353,0.012397,Neutral
Poultry Farm Says Millions of Chickens Could Starve From Rail Delays,https://www.wsj.com/articles/poultry-farm-says-millions-of-chickens-could-starve-from-rail-delays-11673054052,2023-01-07 13:00:00,Union Pacific blames weather for causing service disruptions but says its trains are reaching Foster Farms.,UNP,0.846873,-0.421865,Bearish
"Down 25%, This Surefire Passive-Income Powerhouse Is a No-Brainer Buy for 2023",https://www.fool.com/investing/2023/01/04/down-stock-passive-income-powerhouse-buy-2023/,2023-01-04 14:00:00,Union Pacific is a well-rounded dividend stock to own over the long term.,UNP,0.527831,0.186842,Somewhat-Bullish
Should You Invest in the Vanguard Industrials ETF  ( VIS ) ?,https://www.zacks.com/stock/news/2034948/should-you-invest-in-the-vanguard-industrials-etf-vis,2023-01-04 11:20:07,Sector ETF report for VIS ...,UNP,0.136113,0.07192,Neutral
Union Pacific  ( UNP )  Gains As Market Dips: What You Should Know,https://www.zacks.com/stock/news/2034893/union-pacific-unp-gains-as-market-dips-what-you-should-know,2023-01-03 23:15:18,"In the latest trading session, Union Pacific (UNP) closed at $207.58, marking a +0.25% move from the previous day.",UNP,0.620664,0.167437,Somewhat-Bullish
Feds say railroad must deliver grain to California chickens,https://apnews.com/article/business-transportation-california-omaha-28652f6baad4048b30315d9e6a58a3e7,2023-01-03 22:10:56,"OMAHA, Neb. ( AP ) - Federal regulators have ordered Union Pacific railroad to make sure a livestock producer gets the grain it needs in California to prevent millions of chickens and hundreds of thousands of cattle from starving. The U.S.",UNP,0.470894,-0.224231,Somewhat-Bearish
Union Pacific  ( UNP )  Gains But Lags Market: What You Should Know,https://www.zacks.com/stock/news/2042271/union-pacific-unp-gains-but-lags-market-what-you-should-know,2023-01-20 23:15:20,"In the latest trading session, Union Pacific (UNP) closed at $208.66, marking a +1.54% move from the previous day.",UNP,0.651499,0.324351,Somewhat-Bullish
Could Alphabet Cuts Spell a Potentially Tough Year Ahead for Tech?,https://www.benzinga.com/markets/23/01/30504478/could-alphabet-cuts-spell-a-potentially-tough-year-ahead-for-tech,2023-01-20 15:36:03,"( Friday Market Open ) The weekend probably can't come soon enough for the info tech world with Friday's latest round of layoffs. This time, it's Alphabet GOOGL announcing 12,000 job cuts. That follows Microsoft MSFT earlier this week and other major mega-cap tech companies slicing their ...",UNP,0.07238,0.016078,Neutral
2 Stocks Down 25% and 41% to Buy Right Now,https://www.fool.com/investing/2023/01/20/2-stocks-down-25-and-41-to-buy-right-now/,2023-01-20 11:10:00,Industrial stocks are on sale. Here's how to take advantage.,UNP,0.303926,0.318734,Somewhat-Bullish
Railroad's plan to test idea to cut train crews put on hold,https://apnews.com/article/nebraska-business-transportation-cce1888bacfb5b76a57a0b9843e21e82,2023-01-19 21:15:14,"OMAHA, Neb. ( AP ) - Union Pacific's latest attempt to move toward cutting its train crews down to one person remains on hold because of the longstanding safety concerns of the union that represents conductors.",UNP,0.107255,0.031988,Neutral
What To Expect From Union Pacific's Q4?,https://www.forbes.com/sites/greatspeculations/2023/01/19/what-to-expect-from-union-pacifics-q4/,2023-01-19 16:00:25,"With rising costs, the company should be able to expand its average revenue per carload, boding well for its top-line growth.",UNP,0.682689,0.123936,Neutral
"Climbing the Wall: As Wall Street Considers Fresh Worrisome Economic Data, Stocks Head Lower",https://www.benzinga.com/markets/23/01/30486260/climbing-the-wall-as-wall-street-considers-fresh-worrisome-economic-data-stocks-head-lower,2023-01-19 15:57:23,"( Thursday Market Open ) Yesterday's steep sell-off looked like it might be a wake-up call as earnings season accelerated. This morning's trading picked up where Wednesday left off, with stock index futures losing more ground amid bubbling recession concerns.",UNP,0.03463,0.0,Neutral
"The Zacks Analyst Blog Highlights Pfizer, Abbott Laboratories, Union Pacific Corporation, Citigroup and Intuitive Surgical.",https://www.zacks.com/stock/news/2041223/the-zacks-analyst-blog-highlights-pfizer-abbott-laboratories-union-pacific-corporation-citigroup-and-intuitive-surgical,2023-01-19 13:45:00,"Pfizer, Abbott Laboratories, Union Pacific Corporation, Citigroup and Intuitive Surgical are part of the Zacks top Analyst Blog.",UNP,0.724687,0.0,Neutral
"Top Analyst Reports for Pfizer, Abbott Laboratories & Union Pacific",https://www.zacks.com/research-daily/2040709/top-analyst-reports-for-pfizer-abbott-laboratories-union-pacific,2023-01-18 20:59:00,"Today's Research Daily features new research reports on 16 major stocks, including Pfizer Inc. (PFE), Abbott Laboratories (ABT) and Union Pacific Corporation (UNP).",UNP,0.31482,0.193982,Somewhat-Bullish
Infrastructure Spending Update: Progress Continues as Companies Look to 2023,https://www.benzinga.com/markets/23/01/30470525/infrastructure-spending-update-progress-continues-as-companies-look-to-2023,2023-01-18 19:33:47,"The $550 million in new spending that the Infrastructure Investment and Jobs Act ( IIJA ) directs toward traditional and next-generation infrastructure represents one of the most prodigious infrastructure investments in U.S. history.1 In the first year since passage in November 2021, dispersal ...",UNP,0.042159,0.032301,Neutral
"Sharply Lower PPI, Retail Sales Data Further Signs of a Slowing Economy",https://www.benzinga.com/markets/23/01/30469653/sharply-lower-ppi-retail-sales-data-further-signs-of-a-slowing-economy,2023-01-18 18:50:47,( Wednesday Market Open ) Just checking. Is bad economic news still good for the markets? Investors might be asking themselves that this morning as major stock indexes climbed just slightly in premarket trading despite a batch of inflation and retail sales data suggesting a slowing economy.,UNP,0.031843,0.0,Neutral
Why Union Pacific  ( UNP )  is Poised to Beat Earnings Estimates Again,https://www.zacks.com/stock/news/2040884/why-union-pacific-unp-is-poised-to-beat-earnings-estimates-again,2023-01-18 17:10:11,Union Pacific (UNP) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,UNP,0.407844,0.442293,Bullish
Norfolk Southern  ( NSC )  Reports Next Week: Wall Street Expects Earnings Growth,https://www.zacks.com/stock/news/2040764/norfolk-southern-nsc-reports-next-week-wall-street-expects-earnings-growth,2023-01-18 15:00:49,Norfolk Southern (NSC) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,UNP,0.175539,0.002854,Neutral
Alphabet To Rally Around 37%? Here Are 10 Other Analyst Forecasts For Wednesday,https://www.benzinga.com/news/23/01/30460552/alphabet-to-rally-around-37-here-are-10-other-analyst-forecasts-for-wednesday,2023-01-18 13:26:01,Morgan Stanley cut the price target for IBM IBM from $152 to $148. Morgan Stanley analyst Erik Woodring downgraded the stock from Overweight to Equal-Weight. IBM shares fell 2.3% to $141.80 in pre-market trading. Keybanc boosted the price target for Oracle Corporation ORCL from $94 to $98.,UNP,0.271777,0.288462,Somewhat-Bullish
"Home and Away: Bank of Japan, China Data, Davos Distract From Bank Earnings as Yields Rise, Stocks Retreat",https://www.benzinga.com/markets/23/01/30448629/home-and-away-bank-of-japan-china-data-davos-distract-from-bank-earnings-as-yields-rise-stocks-retre,2023-01-17 19:19:51,"( Tuesday Market Open ) Following Friday's mixed earnings performance from four of the largest U.S. banks, Tuesday kicked off with more mixed results from two closely followed names in investment banking. That, along with overnight weakness in Europe and Asia, helped set a negative tone in the ...",UNP,0.034087,0.0,Neutral
Rail earnings on deck: What to expect,https://www.marketwatch.com/story/rail-earnings-on-deck-what-to-expect-11673971269,2023-01-17 16:01:00,The extreme cold that hit the U.S. in December is likely to factor in the rail sector's fourth-quarter results ...,UNP,0.271576,0.245753,Somewhat-Bullish
Union Pacific  ( UNP )  Earnings Expected to Grow: Should You Buy?,https://www.zacks.com/stock/news/2040202/union-pacific-unp-earnings-expected-to-grow-should-you-buy,2023-01-17 15:00:22,Union Pacific (UNP) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,UNP,0.297661,0.070474,Neutral
What's in the Cards for Union Pacific  ( UNP )  in Q4 Earnings?,https://www.zacks.com/stock/news/2040082/whats-in-the-cards-for-union-pacific-unp-in-q4-earnings,2023-01-17 13:42:00,"Union Pacific's (UNP) fourth-quarter 2022 revenues are likely to have benefited from higher freight revenues. However, rising fuel prices might have hurt the bottom line.",UNP,0.499789,0.391787,Bullish
Better Buy: Union Pacific or Norfolk Southern Stock?,https://www.fool.com/investing/2023/01/17/better-buy-union-pacific-or-norfolk-southern-stock/,2023-01-17 13:34:00,Two of America's largest railroads go head-to-head.,UNP,0.320557,0.263568,Somewhat-Bullish
